lamore|true|2402
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.961170331161611e-08,0.779988169670105|4.854449064950472e-10,1,3.8353775266841694e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.9797248285158275e-08,0.779988169670105|-3.244671475943761e-10,1,-2.5641796241870907e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,9.375243337217398e-08,0.779988169670105|-1.5367394023968473e-09,1,-1.2143019034738245e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.135282611310686e-08,0.779988169670105|-5.139416670019159e-10,1,-4.0608881590742385e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-3.094016776117314e-08,0.779988169670105|5.0710607935045e-10,1,4.007434029063006e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-9.3126736544491e-08,0.779988169670105|1.5264085551081052e-09,1,1.2061971688126505e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-3.8847332461955375e-08,0.779988169670105|6.367615323910059e-10,1,5.031590788462381e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.8013497360414021e-09,0.779988169670105|-2.947814908837998e-11,1,-2.333108373164805e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,5.591856222508795e-08,0.779988169670105|-9.164679570794476e-10,1,-7.242684318953252e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.087525316113897e-08,0.779988169670105|-1.3255255781885467e-09,1,-1.0475127965037245e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.8659646272567443e-08,0.779988169670105|-3.058550634982282e-10,1,-2.4168377521505136e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-4.344965631730702e-08,0.779988169670105|7.120704026419844e-10,1,5.627683563602659e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.430309440474957e-08,0.779988169670105|1.0538652173153196e-09,1,8.32866433597701e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-1.3051090874682814e-08,0.779988169670105|2.139300958603485e-10,1,1.69040603736903e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.811334892134255e-08,0.779988169670105|-6.245678974003965e-10,1,-4.936510578090747e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.919037242094419e-08,0.779988169670105|-1.461634147048585e-09,1,-1.1552104695056187e-07|Running
