pargoy|true|979
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.6111480150016178e-08,-0.9995894432067871|-1.0054348109633793e-07,1,-1.900008328448166e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-6.8867445079945355e-09,-0.9995894432067871|-4.297667288710727e-08,1,-8.12145994899538e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,2.3261694792608978e-09,-0.9995894432067871|1.4516366775296774e-08,1,2.7432229821044984e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.1527276910783257e-08,-0.9995894432067871|7.19357231560025e-08,1,1.3593981940118738e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.514920100476047e-08,-0.9995894432067871|9.453830784877937e-08,1,1.7865275481199205e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,5.137524627940593e-09,-0.9995894432067871|3.2060682997325785e-08,1,6.058624268945323e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.3810241838996262e-10,-0.9995894432067871|8.619065461346054e-10,1,1.6286488824235335e-10|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-4.85704765296191e-09,-0.9995894432067871|-3.0310211229789275e-08,1,-5.72785641139717e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.2341769384249801e-08,-0.9995894432067871|-7.701845561314258e-08,1,-1.4554501603925019e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.981690012087256e-08,-0.9995894432067871|-1.236668367710081e-07,1,-2.3369834067921147e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-9.726822902678123e-09,-0.9995894432067871|-6.070000324598368e-08,1,-1.147072747897937e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,3.5032166056936376e-10,-0.9995894432067871|2.186133940540458e-09,1,4.1312905874058004e-10|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.0414551887549806e-08,-0.9995894432067871|6.499167426454733e-08,1,1.2281755168430664e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.4909513623706516e-08,-0.9995894432067871|9.304236670004684e-08,1,1.75826109227728e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.0497627656036457e-08,-0.9995894432067871|6.55101359825494e-08,1,1.2379725689015686e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,3.886865496127712e-09,-0.9995894432067871|2.4255898622982386e-08,1,4.5837342810273185e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-4.914306739323138e-09,-0.9995894432067871|-3.066751830260728e-08,1,-5.7953810639332914e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.3700443446396093e-08,-0.9995894432067871|-8.549710628358298e-08,1,-1.6156764814923008e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.6628892041126164e-08,-0.9995894432067871|-1.0377200965194788e-07,1,-1.961024942431777e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,8.886574143218695e-09,-0.9995894432067871|5.545626891034772e-08,1,1.0479825895970407e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,9.034006431818398e-09,-0.9995894432067871|5.637638622602026e-08,1,1.0653693927054064e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-7.078147401529122e-09,-0.9995894432067871|-4.417078969254362e-08,1,-8.347169178080094e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.5118741814035275e-08,-0.9995894432067871|-9.434775449790322e-08,1,-1.7829341558694978e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.3643119523010228e-08,-0.9995894432067871|-8.513924854014476e-08,1,-1.6089160226329113e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-3.40862316150492e-09,-0.9995894432067871|-2.1271407746326076e-08,1,-4.0197480899450966e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,6.812757025187466e-09,-0.9995894432067871|4.2514578524333047e-08,1,8.034196419259843e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.7021038800635324e-08,-0.9995894432067871|1.0621881330052929e-07,1,2.0072693729389357e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.0560549768001692e-08,-0.9995894432067871|6.590253320837292e-08,1,1.2453921449662175e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,4.108338558239666e-09,-0.9995894432067871|2.5637923783961014e-08,1,4.844913359391967e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,-1.885402389767421e-10,-0.9995894432067871|-1.176477804065712e-09,1,-2.2234032670542803e-10|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.3057157133289365e-08,-0.9995894432067871|-8.148227692572618e-08,1,-1.5398132546806664e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.9479097446151172e-08,-0.9995894432067871|-1.2155800277469098e-07,1,-2.2971445190478335e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.2506105484533236e-08,-0.9995894432067871|-7.804354140716896e-08,1,-1.4748287036070451e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.4220086219651762e-09,-0.9995894432067871|8.873873191816983e-09,1,1.6769540200911592e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.8798695933242016e-08,-0.9995894432067871|1.1731185622920748e-07,1,2.2169052371623366e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,8.624956748803925e-09,-0.9995894432067871|5.3823477230707795e-08,1,1.0171299358319175e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,-1.5314008949829372e-09,-0.9995894432067871|-9.556449853675986e-09,1,-1.8059566064820842e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-6.603071422972562e-09,-0.9995894432067871|-4.120579788491341e-08,1,-7.786909783646934e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.4202451659173221e-08,-0.9995894432067871|-8.862911471396728e-08,1,-1.6748757047935214e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.6055924589863935e-08,-0.9995894432067871|-1.0019559226748243e-07,1,-1.8934533940750953e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-9.645297893712268e-09,-0.9995894432067871|-6.019066489670877e-08,1,-1.1374568842370536e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,3.1595261962280574e-09,-0.9995894432067871|1.9716663857138883e-08,1,3.7259839658077e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.274878780321842e-08,-0.9995894432067871|7.955755876309922e-08,1,1.5034467892860448e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.3556001654535521e-08,-0.9995894432067871|8.459493727741574e-08,1,1.5986405088597166e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,2.4127029263354416e-09,-0.9995894432067871|1.5056270896707247e-08,1,2.84526779914529e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-5.932276447850882e-09,-0.9995894432067871|-3.701975259673418e-08,1,-6.9958496773381285e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.4266560377507176e-08,-0.9995894432067871|-8.90290365873625e-08,1,-1.682435524230641e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.0223032198553028e-08,-0.9995894432067871|-6.379583084026308e-08,1,-1.2055878961803046e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-3.834008222014518e-09,-0.9995894432067871|-2.3925766257093528e-08,1,-4.521392593659357e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,5.7392925967292285e-09,-0.9995894432067871|3.5815453713894385e-08,1,6.768266835877057e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.2114676373187194e-08,-0.9995894432067871|7.560038994824936e-08,1,1.4286666960572347e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.5847964718318508e-08,-0.9995894432067871|9.88976012195053e-08,1,1.8689281233719157e-08|Running
-743.5944213867188,39.70852279663086,-761.0704345703125|-0.35632413625717163,-0.0001106010313378647,-0.9343624114990234|-0.000017605254470254295,1,-0.00011165673640789464|Running
-743.831298828125,39.70852279663086,-760.9331665039062|-0.7050184607505798,-0.00009435445826966316,-0.7091889381408691|-0.00005068675454822369,1,-0.00008265690121334046|Running
-744.4407958984375,39.708526611328125,-760.5830078125|-0.9128321409225464,-0.00005105035234009847,-0.40833503007888794|-0.00004423163045430556,1,-0.000026141031412407756|Running
-745.0792846679688,39.708526611328125,-760.2145385742188|-0.976908802986145,-0.000031249499443219975,-0.2136567085981369|-0.00002991344445035793,1,-0.000009486206181463785|Running
-745.8348999023438,39.708526611328125,-759.774169921875|-0.9994840621948242,-0.000016768584828241728,-0.03211811184883118|-0.000016725958630559035,1,-0.0000015958461290210835|Running
-746.376953125,39.708526611328125,-759.46337890625|-0.9976634383201599,-0.000011279485079285223,0.06832029670476913|-0.000011293861462036148,1,1.758246526151197e-07|Running
-747.1370239257812,39.708526611328125,-759.0300903320312|-0.9841070175170898,-0.000006057062364561716,0.17757639288902283|-0.000005999635504849721,1,8.603569767728914e-07|Running
-747.8978271484375,39.708526611328125,-758.5980834960938|-0.9657325148582458,-0.0000036048804759047925,0.2595394253730774|-0.000003508454028633423,1,8.347566335942247e-07|Running
-748.65869140625,39.54497528076172,-758.1660766601562|-0.9474256038665771,-0.0000020262000361981336,0.3199760913848877|-0.0000019319447801535716,1,6.120022248978785e-07|Running
-749.3109130859375,39.233036041259766,-757.7958374023438|-0.9334974884986877,-0.0000012231532764417352,0.3585840165615082|-0.0000011476038253022125,1,4.2352138507339987e-07|Running
-749.963134765625,38.77734375,-757.4255981445312|-0.9216077327728271,-7.256240905917366e-07,0.3881225883960724|-6.712506319672684e-07,1,2.7567151050789107e-07|Running
-750.5067749023438,38.61100769042969,-757.1171875|-0.9132320880889893,-4.822477421839722e-07,0.4074397087097168|-4.4168285739942803e-07,1,1.9362067860129173e-07|Running
-751.0504150390625,38.64923095703125,-756.8086547851562|-0.9061307311058044,-3.153659235977102e-07,0.4229978024959564|-2.863542647446593e-07,1,1.3213200134032377e-07|Running
-751.7055053710938,38.682552337646484,-756.4436645507812|-0.8995224237442017,-1.7224645887381484e-07,0.4368746280670166|-1.550657060533922e-07,1,7.49903250607531e-08|Running
-752.2528686523438,38.69540786743164,-756.1420288085938|-0.8953749537467957,-1.4627488553742296e-07,0.4453130066394806|-1.3081972838335787e-07,1,6.544200914504472e-08|Running
-753.0196533203125,38.70286178588867,-755.7205200195312|-0.8908206820487976,-1.1746043071525492e-07,0.45435506105422974|-1.045156139412029e-07,1,5.360512034258136e-08|Running
-753.7881469726562,38.70539855957031,-755.30224609375|-0.8876914381980896,-1.0914942549788975e-07,0.4604387581348419|-9.672608314303943e-08,1,5.057460228385935e-08|Running
-754.4513549804688,38.70615768432617,-754.9520874023438|-0.8867077827453613,-8.235111437215892e-08,0.46233034133911133|-7.271139423892237e-08,1,3.8667934632030665e-08|Running
-755.2283325195312,38.50582504272461,-754.549560546875|-0.8868441581726074,-5.882908027388112e-08,0.462068647146225|-5.1547157653430986e-08,1,2.8382761030343318e-08|Running
-756.0081787109375,38.14254379272461,-754.152587890625|-0.887776255607605,-4.300226308373567e-08,0.46027523279190063|-3.7196997482169536e-08,1,2.1681920259197796e-08|Running
-756.8997802734375,38.01114273071289,-753.6995239257812|-0.8887972831726074,-4.581594126307209e-08,0.45830053091049194|-3.931167924520196e-08,1,2.3730775566832563e-08|Running
-757.5684814453125,37.85556411743164,-753.3597412109375|-0.889373779296875,-5.8240871680936834e-08,0.45718079805374146|-5.004395475793899e-08,1,3.0038641796181764e-08|Running
-758.4617309570312,37.55143356323242,-752.9102172851562|-0.8903789520263672,-8.758642877637612e-08,0.455220103263855|-7.570170623694139e-08,1,4.4337294724527965e-08|Running
-759.3552856445312,37.54901123046875,-752.4609985351562|-0.8912186622619629,-9.949509660600597e-08,0.45357394218444824|-8.650285820976933e-08,1,4.9390266099180735e-08|Running
-759.9137573242188,37.55624008178711,-752.1802978515625|-0.8916113376617432,-4.7470528841131454e-08,0.45280152559280396|-4.160114031037665e-08,1,2.2920596975950502e-08|Running
-760.5839233398438,37.56038284301758,-751.8433837890625|-0.8919792175292969,1.1870443294981214e-08,0.45207634568214417|9.543962953273422e-09,1,-7.4266806038281175e-09|Running
-761.1423950195312,37.561866760253906,-751.5626220703125|-0.8922241926193237,5.962128568626213e-08,0.45159271359443665|5.0659142658560086e-08,1,-3.193580155880227e-08|Running
-761.92431640625,37.56268310546875,-751.1695556640625|-0.8924986124038696,1.0695271157601383e-07,0.4510501027107239|9.146381074742749e-08,1,-5.6138738102617936e-08|Running
-762.4827880859375,37.56288146972656,-750.8888549804688|-0.892652153968811,6.329167945295922e-08,0.4507461488246918|5.4266205751218877e-08,1,-3.2947216510592625e-08|Running
-763.1539916992188,37.56295394897461,-750.5543212890625|-0.8930939435958862,9.060929784254768e-09,0.449870228767395|7.984763072954593e-09,1,-4.28964996856962e-09|Running
-763.8252563476562,37.56291961669922,-750.219970703125|-0.8935407996177673,-4.9309349492432375e-08,0.44898203015327454|-4.199968728357817e-08,1,2.6239174388820174e-08|Running
-764.3858032226562,37.56287384033203,-749.943603515625|-0.8940776586532593,-1.0203032019262537e-07,0.44791194796562195|-8.730461331651895e-08,1,5.352214671461297e-08|Running
-765.05859375,37.56281280517578,-749.6121826171875|-0.8947075605392456,-8.037012833028712e-08,0.4466524124145508|-6.910240557544967e-08,1,4.1517036919458405e-08|Running
-765.7327270507812,37.5627555847168,-749.283447265625|-0.8955118060112,-5.004783787398992e-08,0.44503775238990784|-4.380211393595346e-08,1,2.4318225655406422e-08|Running
-766.4069213867188,37.562686920166016,-748.9550170898438|-0.8962421417236328,-3.2097492663751837e-08,0.44356513023376465|-2.9538366419501472e-08,1,1.267900717749626e-08|Running
-766.96875,37.56262969970703,-748.6812744140625|-0.8967326283454895,-2.3937198889711908e-08,0.4425726532936096|-2.3719689323797866e-08,1,6.0260840761827694e-09|Running
-767.6430053710938,37.56256103515625,-748.352783203125|-0.8972068428993225,-1.92684304067825e-08,0.4416104853153229|-2.1311898024123366e-08,1,3.33435612454025e-10|Running
-768.3171997070312,37.56249237060547,-748.0243530273438|-0.8975836038589478,-1.827689288802503e-08,0.44084432721138|-2.218817130028583e-08,1,-3.7175147404866493e-09|Running
-768.8790283203125,37.562435150146484,-747.7506103515625|-0.8978331685066223,-1.9249336347115786e-08,0.44033578038215637|-2.4525194319835464e-08,1,-6.2911027498557814e-09|Running
-769.55322265625,37.5623664855957,-747.422119140625|-0.898074209690094,-2.1750880208060153e-08,0.43984392285346985|-2.8521379036305916e-08,1,-8.783650251587005e-09|Running
-770.2274169921875,37.56229782104492,-747.0936279296875|-0.8982658386230469,-2.5206261966559396e-08,0.43945246934890747|-3.336889875527049e-08,1,-1.0849588782946284e-08|Running
-771.0139770507812,37.562217712402344,-746.71044921875|-0.8984405398368835,-2.9973186599363544e-08,0.439095139503479|-3.968006012655678e-08,1,-1.292883755610319e-08|Running
-771.5768432617188,37.56216049194336,-746.4388427734375|-0.8987659811973572,-3.452932517689078e-08,0.4384286403656006|-4.5203240262026156e-08,1,-1.3908327822775846e-08|Running
-772.2525634765625,37.56209182739258,-746.11328125|-0.8991876840591431,-4.3397626825480984e-08,0.43756309151649475|-5.487120446900917e-08,1,-1.357949219737975e-08|Running
-772.8156127929688,37.570072174072266,-745.8419799804688|-0.8994791507720947,-5.318125317899103e-08,0.43696364760398865|-6.507313088377487e-08,1,-1.2245121361331712e-08|Running
