age|true|1209
959.2168579101562,124.00719451904297,-951.5982055664062|-0.8353936672210693,-1.6558581705794495e-07,0.5496521592140198|-1.371380733417027e-07,1,9.282516089115234e-08|Running
959.019775390625,124.00719451904297,-951.5049438476562|-0.8497045636177063,-5.780016181233805e-07,0.5272590517997742|-4.855568249695352e-07,1,3.137389796847856e-07|Running
958.64306640625,124.00719451904297,-951.3521728515625|-0.865948498249054,-0.000001017242539091967,0.500133216381073|-8.675777394273609e-07,1,5.317880891198001e-07|Running
958.1421508789062,124.00719451904297,-951.1654663085938|-0.8801372051239014,-9.408605592398089e-07,0.474719375371933|-8.16403428416379e-07,1,4.6830510314066487e-07|Running
957.7359619140625,124.00719451904297,-951.0148315429688|-0.889390230178833,-7.22421816590213e-07,0.45714884996414185|-6.352939294629323e-07,1,3.443028617766686e-07|Running
957.22705078125,124.00719451904297,-950.829345703125|-0.8991156816482544,-4.98025201522978e-07,0.43771103024482727|-4.4414343847165583e-07,1,2.254657829325879e-07|Running
956.6146240234375,124.00719451904297,-950.6115112304688|-0.9089751243591309,-3.7612170444845106e-07,0.41685038805007935|-3.394593761640863e-07,1,1.6207630437747866e-07|Running
956.00146484375,124.00719451904297,-950.395751953125|-0.916846513748169,-2.715293589972134e-07,0.39923980832099915|-2.473615552389674e-07,1,1.1205493422039581e-07|Running
955.4901733398438,124.00719451904297,-950.2168579101562|-0.9220311045646667,-1.902603230519162e-07,0.3871157765388489|-1.7449504241540126e-07,1,7.58699769676241e-08|Running
954.8759155273438,124.00719451904297,-950.004150390625|-0.9271242022514343,-1.5114582652131503e-07,0.3747542202472687|-1.395716537899716e-07,1,5.802620606232267e-08|Running
954.363525390625,124.00719451904297,-949.8286743164062|-0.9306561946868896,-1.3261806941500254e-07,0.3658948540687561|-1.229200279340148e-07,1,4.98005867655138e-08|Running
953.6456909179688,124.00719451904297,-949.5836791992188|-0.934665858745575,-1.2829178785978002e-07,0.35552743077278137|-1.1948691280849744e-07,1,4.672342157618914e-08|Running
953.13232421875,124.00719451904297,-949.4111328125|-0.9370952248573303,-1.2600960985764686e-07,0.3490738868713379|-1.1770816854550503e-07,1,4.499291605952749e-08|Running
952.720947265625,124.00719451904297,-949.2750244140625|-0.9388770461082458,-1.119665355986399e-07,0.34425270557403564|-1.048002573611484e-07,1,3.9424474351790195e-08|Running
952.205810546875,124.00719451904297,-949.1077270507812|-0.9410420060157776,-1.1811278710638362e-07,0.3382898271083832|-1.1082956064001337e-07,1,4.0845208104656194e-08|Running
951.5869140625,124.00719451904297,-948.9091186523438|-0.943427562713623,-1.1420455336974555e-07,0.33157873153686523|-1.0742792966311754e-07,1,3.876630572108297e-08|Running
