mount prambanan|true|43504
-1112.3565673828125,22.414291381835938,903.750244140625|0.9996697902679443,0,0.025696726515889168|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9996697902679443,0,0.025696726515889168|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9996697902679443,0,0.025696726515889168|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9995744228363037,0,0.029173072427511215|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9994074106216431,0,0.03442443907260895|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9991408586502075,0,0.04144267737865448|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9986534118652344,0,0.05187968537211418|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9979442954063416,0,0.06408816576004028|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9974730014801025,0,0.07104752212762833|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9969483613967896,0,0.0780639722943306|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9959232211112976,0,0.09020557254552841|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9956015348434448,0,0.09368859976530075|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9952677488327026,0,0.09717074781656265|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9956015348434448,0,0.09368859976530075|0,1,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.9960762858390808,0,0.08849942684173584|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1112.3565673828125,22.414291381835938,903.750244140625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1112.2584228515625,22.414291381835938,903.7587890625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1112.0032958984375,22.414291381835938,903.781005859375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1111.5911865234375,22.414291381835938,903.81689453125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1111.09716796875,22.414291381835938,903.85986328125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1110.59912109375,22.414291381835938,903.9033203125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1110.10107421875,22.414291381835938,903.94677734375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1109.60302734375,22.414291381835938,903.990234375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1109.10498046875,22.414291381835938,904.03369140625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1108.60693359375,22.414291381835938,904.0771484375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1108.10888671875,22.414291381835938,904.12060546875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1107.61083984375,22.414291381835938,904.1640625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1107.11279296875,22.414291381835938,904.20751953125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1106.61474609375,22.414291381835938,904.2509765625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1106.11669921875,22.414291381835938,904.29443359375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1105.61865234375,22.414291381835938,904.337890625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1105.12060546875,22.414291381835938,904.38134765625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1104.62255859375,22.414291381835938,904.4248046875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1104.12451171875,22.414291381835938,904.46826171875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1103.62646484375,22.414291381835938,904.51171875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1103.00390625,22.414291381835938,904.5660400390625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1102.63037109375,22.414291381835938,904.5986328125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1102.13232421875,22.414291381835938,904.64208984375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1101.63427734375,22.414291381835938,904.685546875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1101.13623046875,22.356006622314453,904.72900390625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1100.63818359375,22.23427391052246,904.7724609375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
