wasabi|true|3418
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.7751688119460596e-08,-0.9988024234771729|3.6983241358257146e-08,1,1.596139220794157e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,8.568203924141926e-09,-0.9988024234771729|1.7849957956173057e-08,1,7.704117344076167e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-6.113551886954838e-10,-0.9988024234771729|-1.2751463218663162e-09,1,-5.496266775040226e-10|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-9.786989885185449e-09,-0.9988024234771729|-2.0392077360043004e-08,1,-8.799841744178138e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8958701275550993e-08,-0.9988024234771729|-3.950083993231601e-08,1,-1.7046529521280718e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.812649135819356e-08,-0.9988024234771729|-5.860143303948462e-08,1,-2.5289692118235507e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.729036279764841e-08,-0.9988024234771729|-7.76938691160467e-08,1,-3.352932864686409e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.729036279764841e-08,-0.9988024234771729|-7.76938691160467e-08,1,-3.352932864686409e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.645031737027239e-08,-0.9988024234771729|-9.677813750386122e-08,1,-4.1765446212593815e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.5606353299708644e-08,-0.9988024234771729|-1.1585425596649657e-07,1,-4.999803948635417e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.742803128010564e-08,-0.9988024234771729|-9.88148158853619e-08,1,-4.264456876512668e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.742803128010564e-08,-0.9988024234771729|-9.88148158853619e-08,1,-4.264456876512668e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.925320513076258e-08,-0.9988024234771729|-8.178265886726876e-08,1,-3.529424219550492e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.108187485167946e-08,-0.9988024234771729|-6.475777780678982e-08,1,-2.7947056224775224e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.2914036890142597e-08,-0.9988024234771729|-4.7740172703925055e-08,1,-2.0603014405651265e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.4749692134330417e-08,-0.9988024234771729|-3.0729840005960796e-08,1,-1.3262111409062527e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-6.588838363796867e-09,-0.9988024234771729|-1.3726777048361782e-08,1,-5.9243481231874284e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-6.588838363796867e-09,-0.9988024234771729|-1.3726777048361782e-08,1,-5.9243481231874284e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.5685261978148901e-09,-0.9988024234771729|3.2690190554518495e-09,1,1.4102776724200794e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,9.722402438683275e-09,-0.9988024234771729|2.0257552080238383e-08,1,8.741767310027626e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.7872793023343547e-08,-0.9988024234771729|3.7238823580310054e-08,1,1.607012123372442e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.6019698395884916e-08,-0.9988024234771729|5.4212836886335936e-08,1,2.3395342552134935e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.416311855630738e-08,-0.9988024234771729|7.117959199831603e-08,1,3.0717430377080746e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.416311855630738e-08,-0.9988024234771729|7.117959199831603e-08,1,3.0717430377080746e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.230305705732462e-08,-0.9988024234771729|8.813909602167769e-08,1,3.803639003763237e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.043951745165032e-08,-0.9988024234771729|1.0509134540370724e-07,1,4.53522162047193e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.292270361361261e-08,-0.9988024234771729|8.942987506088684e-08,1,3.859354791302394e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.540910142874054e-08,-0.9988024234771729|7.377509803063731e-08,1,3.183776797754945e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.7898712673390946e-08,-0.9988024234771729|5.8127021418385993e-08,1,2.5084878174652658e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.0391535571206987e-08,-0.9988024234771729|4.248563456599186e-08,1,1.8334876727976734e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.0391535571206987e-08,-0.9988024234771729|4.248563456599186e-08,1,1.8334876727976734e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.2887569234010243e-08,-0.9988024234771729|2.6850935697098066e-08,1,1.1587760084807996e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.386811885443876e-09,-0.9988024234771729|1.1222920370812517e-08,1,4.843528689235654e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.1107389169827684e-09,-0.9988024234771729|-4.398414077400048e-09,1,-1.8978185689633165e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.1107389169827684e-09,-0.9988024234771729|-4.398414077400048e-09,1,-1.8978185689633165e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-9.605083839403505e-09,-0.9988024234771729|-2.0013072088431727e-08,1,-8.63628280001194e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.709622310386294e-08,-0.9988024234771729|-3.562105632681778e-08,1,-1.5371865558222453e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.4584160485119355e-08,-0.9988024234771729|-5.1222368568915044e-08,1,-2.2104568841996297e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.206889687135117e-08,-0.9988024234771729|-6.681700881472352e-08,1,-2.8834392651333474e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.955043226255839e-08,-0.9988024234771729|-8.240498772238425e-08,1,-3.556133876259082e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.7028766658741006e-08,-0.9988024234771729|-9.798630173918355e-08,1,-4.228541072848202e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.7028766658741006e-08,-0.9988024234771729|-9.798630173918355e-08,1,-4.228541072848202e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.450390716532638e-08,-0.9988024234771729|-1.1356095797054877e-07,1,-4.900660499629339e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.56137314586158e-08,-0.9988024234771729|-9.50378904462923e-08,1,-4.101310224768895e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.672735715554154e-08,-0.9988024234771729|-7.652273836811219e-08,1,-3.302301720964351e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.7844784256103594e-08,-0.9988024234771729|-5.801549818329477e-08,1,-2.5036348105800244e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8966007431231446e-08,-0.9988024234771729|-3.951616633912636e-08,1,-1.7053093159802302e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8966007431231446e-08,-0.9988024234771729|-3.951616633912636e-08,1,-1.7053093159802302e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.0091025792746677e-08,-0.9988024234771729|-2.1024741059250118e-08,1,-9.073252371649687e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.2198386745154721e-09,-0.9988024234771729|-2.5412176807293463e-09,1,-1.0968227437402334e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,7.647555477774404e-09,-0.9988024234771729|1.5934405794837403e-08,1,6.876196501082177e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.6511158662524394e-08,-0.9988024234771729|3.4402130921762364e-08,1,1.4845807250196685e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.5370972878135944e-08,-0.9988024234771729|5.286196369524987e-08,1,2.2812010058714804e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.422699990096589e-08,-0.9988024234771729|7.131390589165676e-08,1,3.0774806702993374e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.422699990096589e-08,-0.9988024234771729|7.131390589165676e-08,1,3.0774806702993374e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.307923973101424e-08,-0.9988024234771729|8.975795395826935e-08,1,3.873419984756765e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.1927692368280987e-08,-0.9988024234771729|1.0819412210594237e-07,1,4.669019304515132e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.446419765713472e-08,-0.9988024234771729|9.26434893244732e-08,1,3.997947572997873e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.7003889730158335e-08,-0.9988024234771729|7.709950722301073e-08,1,3.3271629007458614e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.7003889730158335e-08,-0.9988024234771729|7.709950722301073e-08,1,3.3271629007458614e-08|Running
