yareu|true|1270
-191.51974487304688,138.17910766601562,-5.359698295593262|0.9975959658622742,-1.5826448418465588e-07,-0.06929874420166016|1.5786575602305675e-07,1,-1.1230137708651e-08|Freefall
-190.52468872070312,137.92076110839844,-5.459080696105957|0.9970046877861023,-1.7115290518177062e-07,-0.07734152674674988|1.7065019619622035e-07,1,-1.3108836682818037e-08|Freefall
-189.4065704345703,137.36953735351562,-5.583323001861572|0.9961822032928467,-1.719082973750119e-07,-0.0872984454035759|1.7127551643625338e-07,1,-1.4738795073299116e-08|Freefall
-187.66688537597656,135.96368408203125,-5.773622035980225|0.9952099919319153,-1.6475711106522795e-07,-0.09775999188423157|1.6387703283271549e-07,1,-1.7031943855272402e-08|Freefall
-187.0446014404297,135.2998046875,-5.831905364990234|0.9951989650726318,-1.2022046291804145e-07,-0.09787219762802124|1.1952273837323446e-07,1,-1.2992001252598584e-08|Freefall
-186.17184448242188,134.227294921875,-5.894119739532471|0.9957295656204224,-1.1122608611913165e-07,-0.09231819957494736|1.1052462411953456e-07,1,-1.2710948738003935e-08|Freefall
-185.42276000976562,133.17515563964844,-5.931034088134766|0.9964578151702881,-1.6549019221656636e-07,-0.08409412205219269|1.6462784913073847e-07,1,-1.718892583824072e-08|Freefall
-184.7982940673828,132.2047119140625,-5.956894874572754|0.9970420598983765,-1.6094300292479602e-07,-0.07685788720846176|1.6027986760036583e-07,1,-1.4796698089014626e-08|Freefall
-184.04891967773438,130.92774963378906,-5.987385272979736|0.9975923299789429,-1.6730594154523715e-07,-0.06935085356235504|1.667938249738654e-07,1,-1.3175177393520698e-08|Freefall
-183.21961975097656,130.79507446289062,-6.027346134185791|0.9979591965675354,-6.335622515507566e-08,-0.0638546347618103|6.328530588461945e-08,1,-3.1332905159331403e-09|Landed
-182.51309204101562,130.79493713378906,-6.064513683319092|0.9981240034103394,-3.5229962946914384e-08,-0.0612250491976738|3.5369012607588957e-08,1,1.1873912963977773e-09|Running
-181.80665588378906,131.01914978027344,-6.10195255279541|0.9982566833496094,-2.8496451420778612e-08,-0.059022385627031326|2.878790006377585e-08,1,4.087628013849098e-09|Running
-180.71070861816406,131.04397583007812,-6.171224594116211|0.9982153177261353,-3.453864394487027e-08,-0.059717562049627304|3.5042535984075585e-08,1,7.390629441772489e-09|Running
-179.9640655517578,130.70965576171875,-6.221399307250977|0.9981306791305542,-4.401494990702304e-08,-0.06111598759889603|4.466266645408723e-08,1,9.232053344021551e-09|Running
-179.3406524658203,130.31256103515625,-6.264983177185059|0.998042106628418,-5.9297974530636566e-08,-0.06254570931196213|6.005810604392536e-08,1,1.0273187633913494e-08|Running
-178.5925750732422,129.72364807128906,-6.318181037902832|0.9979332685470581,-8.842575027756538e-08,-0.06425900012254715|8.930332739964797e-08,1,1.078467981585618e-08|Running
-178.09396362304688,129.26290893554688,-6.355247974395752|0.9978481531143188,-1.148887278645816e-07,-0.06556759774684906|1.1583515657775934e-07,1,1.0632819069655852e-08|Running
-176.97239685058594,128.92665100097656,-6.443049907684326|0.9975982308387756,-6.22844140707457e-08,-0.06926596909761429|6.230449400845828e-08,1,-1.870481991517181e-09|Running
-176.10047912597656,128.99758911132812,-6.516486644744873|0.9973541498184204,-5.1561553249257486e-08,-0.07269567996263504|5.0547246388532585e-08,1,-1.5792524621360826e-08|Running
-175.27728271484375,129.0019989013672,-6.645993709564209|0.9959184527397156,-1.8294178971700603e-07,-0.09025737643241882|1.8183989425324398e-07,1,-2.0431464520243026e-08|Running
-174.55245971679688,129.0019989013672,-6.915915489196777|0.9886031150817871,-0.000001964066314030788,-0.15054534375667572|0.0000019482938569126418,1,-2.522615716316068e-07|Running
-173.85800170898438,129.0019989013672,-7.253332614898682|0.9754104614257812,-0.0000027265873541182373,-0.22039596736431122|0.0000026790173706103815,1,-5.147358592694218e-07|Running
-173.33209228515625,129.0019989013672,-7.559421539306641|0.9597908854484558,-0.0000027566049993765773,-0.2807159423828125|0.000002668850129339262,1,-6.948911277504521e-07|Running
-172.93907165527344,129.0019989013672,-7.81214714050293|0.9446951746940613,-0.000002586478331068065,-0.32794976234436035|0.000002466608520990121,1,-7.814767286618007e-07|Running
-172.44635009765625,129.0019989013672,-8.15626049041748|0.9247016906738281,-0.000002269823880851618,-0.3806925117969513|0.0000021199782622716157,1,-8.129305228976591e-07|Running
-172.0138397216797,129.0421905517578,-8.468182563781738|0.9082425236701965,-0.0000018488507294023293,-0.4184441566467285|0.0000016959063486865489,1,-7.373897119578032e-07|Running
-171.56629943847656,129.19676208496094,-8.805337905883789|0.8921286463737488,-0.0000014394994423128082,-0.45178139209747314|0.0000012955292731930967,1,-6.280043862716411e-07|Running
-171.10536193847656,129.38478088378906,-9.184491157531738|0.8747411370277405,-0.0000013693164646610967,-0.4845905303955078|0.000001208906951433164,1,-6.435037676055799e-07|Running
-170.73773193359375,129.52197265625,-9.50197982788086|0.8605521321296692,-0.0000013439237136481097,-0.5093623995780945|0.0000011687513961078366,1,-6.638734930675128e-07|Running
-170.10586547851562,129.73654174804688,-10.073427200317383|0.8353057503700256,-0.0000011816624692073674,-0.5497857332229614|9.977765103030833e-07,1,-6.333631290544872e-07|Running
-168.68971252441406,130.1780548095703,-11.412755012512207|0.7792745232582092,-8.756791203268222e-07,-0.626682698726654|6.897203093103599e-07,1,-5.396633468990331e-07|Running
-167.53309631347656,130.57151794433594,-12.666285514831543|0.7323442101478577,-6.423378522413259e-07,-0.6809346675872803|4.7494319233010174e-07,1,-4.325171971686359e-07|Running
-167.11923217773438,130.63116455078125,-13.131731986999512|0.7195990681648254,-4.3176396502531134e-07,-0.6943897604942322|3.131959545044083e-07,1,-2.9722275485255523e-07|Running
-166.70510864257812,130.65756225585938,-13.599430084228516|0.7097702622413635,-2.1489891821602214e-07,-0.704433262348175|1.527725288497095e-07,1,-1.5113643314634828e-07|Running
-166.20135498046875,130.6797332763672,-14.154991149902344|0.7015818357467651,-1.342027218242947e-07,-0.712588906288147|9.363437669662744e-08,1,-9.61431609880492e-08|Running
-165.69236755371094,130.682373046875,-14.705713272094727|0.6964936852455139,-1.2897925216748263e-07,-0.7175629138946533|8.925246675062226e-08,1,-9.31144512605897e-08|Running
-165.09202575683594,130.6302947998047,-15.339898109436035|0.6939120292663574,-9.769559738970202e-08,-0.7200597524642944|6.72573250426467e-08,1,-7.086207176598691e-08|Running
-164.56602478027344,130.56712341308594,-15.870719909667969|0.6953471899032593,-9.415131785317499e-08,-0.7186740040779114|6.449610623349145e-08,1,-6.860430801225448e-08|Running
-164.02561950683594,130.51620483398438,-16.388233184814453|0.7003584504127502,-1.281556620824631e-07,-0.7137913107872009|8.821828600957815e-08,1,-9.298409509028716e-08|Running
-163.5705108642578,130.47547912597656,-16.814666748046875|0.7053633332252502,-1.3062935977359302e-07,-0.7088459730148315|9.103570874913203e-08,1,-9.369611575493764e-08|Running
-162.83604431152344,130.40338134765625,-17.48946762084961|0.7138209939002991,-1.1774687180832188e-07,-0.7003281712532043|8.336915158224656e-08,1,-8.315561217386858e-08|Running
-162.3769989013672,130.31671142578125,-17.910648345947266|0.7180776596069336,-1.2471565469240886e-07,-0.6959629654884338|8.887878522045867e-08,1,-8.749572799615635e-08|Running
-161.4691619873047,130.2082977294922,-18.763824462890625|0.7220906019210815,-8.414262708811293e-08,-0.6917985081672668|6.059894985810388e-08,1,-5.837638283878732e-08|Running
-160.9336700439453,130.14569091796875,-19.28517723083496|0.7214868068695068,-3.1427589419763535e-08,-0.6924281716346741|2.3118117198350774e-08,1,-2.129920950721953e-08|Running
-160.40789794921875,130.0819091796875,-19.816186904907227|0.7182711958885193,-1.9715942656262087e-08,-0.6957632303237915|1.504873914370819e-08,1,-1.2801576687593297e-08|Running
-160.06008911132812,130.05364990234375,-20.174236297607422|0.7154693007469177,-7.553374814506242e-08,-0.6986441612243652|5.5152092670596176e-08,1,-5.163446914480119e-08|Running
-159.45773315429688,130.02198791503906,-20.808103561401367|0.7094284892082214,-1.1589362713948503e-07,-0.7047774195671082|8.259970485369195e-08,1,-8.12952336559647e-08|Running
-158.61492919921875,130.0313720703125,-21.73116111755371|0.698004961013794,-1.3328596537576232e-07,-0.7160929441452026|9.300065073603037e-08,1,-9.547790824626645e-08|Running
-158.11703491210938,130.03555297851562,-22.29203224182129|0.6910392045974731,-1.3247478136690916e-07,-0.7228173017501831|9.162040726096166e-08,1,-9.568322667519169e-08|Running
-157.62478637695312,130.03729248046875,-22.857912063598633|0.6840689182281494,-1.2526503212484386e-07,-0.7294173836708069|8.572995824351892e-08,1,-9.133292877550048e-08|Running
-157.2976837158203,130.03782653808594,-23.23606300354004|0.6798954010009766,-1.3153510280972114e-07,-0.7333090901374817|8.934797079973578e-08,1,-9.65320410273307e-08|Running
-156.80810546875,130.0382080078125,-23.80422592163086|0.6743586659431458,-1.3048807545601449e-07,-0.7384039163589478|8.784416394291839e-08,1,-9.649135535028108e-08|Running
-156.318603515625,130.03834533691406,-24.372474670410156|0.6698045134544373,-1.202966899427338e-07,-0.7425374984741211|8.033451592837082e-08,1,-8.954197028288036e-08|Running
-155.74755859375,130.0384063720703,-25.035432815551758|0.6656118631362915,-1.0633845448637658e-07,-0.74629807472229|7.044972250014325e-08,1,-7.965488180161628e-08|Running
-154.83737182617188,130.0384063720703,-26.0660343170166|0.6638144254684448,-5.7858020596768256e-08,-0.7478973269462585|3.756105115826358e-08,1,-4.4022691270129144e-08|Running
-154.24658203125,130.0384063720703,-26.711463928222656|0.6660367250442505,-4.567640488062352e-08,-0.7459189891815186|2.8980345234685956e-08,1,-3.535830472856105e-08|Running
-153.56602478027344,130.0384063720703,-27.44416618347168|0.6698949337005615,-1.1013207767973654e-07,-0.7424558997154236|7.117105127463219e-08,1,-8.411940655150829e-08|Running
-152.800048828125,130.0384063720703,-28.268110275268555|0.6733819246292114,-1.1411115963255725e-07,-0.7392947673797607|7.576814908816232e-08,1,-8.533843498526039e-08|Running
-152.11956787109375,130.0384063720703,-29.000904083251953|0.6754457354545593,-6.3988366605372e-08,-0.7374097108840942|4.352709837007751e-08,1,-4.6904961692462166e-08|Running
-151.693115234375,130.0384063720703,-29.457805633544922|0.6766368746757507,-2.4221685990255537e-08,-0.7363168597221375|1.7664502749425992e-08,1,-1.6662976776160576e-08|Running
-151.1788787841797,130.0384063720703,-30.003759384155273|0.6784129738807678,6.377600669793537e-09,-0.7346807718276978|-1.8534612733489553e-09,1,6.9692700499501825e-09|Running
-150.8358917236328,130.0384063720703,-30.36757469177246|0.6794946193695068,1.42940947966963e-08,-0.7336804866790771|-6.44903108693029e-09,1,1.3509986018789277e-08|Running
-149.46397399902344,130.0384063720703,-31.82281494140625|0.6830162405967712,-1.7060463264328973e-08,-0.7304031848907471|1.780161262843194e-08,1,-6.7109122703357116e-09|Running
-148.0897216796875,130.0384063720703,-33.27585983276367|0.6853471994400024,-1.141353322964278e-07,-0.7282164692878723|8.668698114888684e-08,1,-7.514888267223796e-08|Running
-146.709716796875,130.0384063720703,-34.72339630126953|0.687884509563446,1.4202967690835067e-08,-0.7258201837539673|-1.5587090729241027e-08,1,4.795746022523417e-09|Running
-146.09507751464844,130.0384063720703,-35.346153259277344|0.6910718679428101,3.428764472346302e-08,-0.7227860689163208|-3.604237619470041e-08,1,1.2977243279976847e-08|Running
-145.56663513183594,130.0384063720703,-35.87837219238281|0.693894624710083,-1.7435137777965792e-08,-0.7200765609741211|-6.123594076257177e-09,1,-3.011383498119358e-08|Running
-145.1238555908203,130.0384063720703,-36.3194694519043|0.6963624954223633,-8.840126497489109e-08,-0.7176902294158936|4.118065177749486e-08,1,-8.321780597952966e-08|Running
-144.6793670654297,130.0384063720703,-36.75886535644531|0.6988919377326965,-1.1177431247233471e-07,-0.7152273058891296|6.849372624628813e-08,1,-8.934866002618946e-08|Running
-144.233154296875,130.0384063720703,-37.19647979736328|0.7014657258987427,-1.0842835251878569e-07,-0.7127032279968262|7.945529745256863e-08,1,-7.393425960344757e-08|Running
-143.695556640625,130.0384063720703,-37.71947479248047|0.7045934200286865,-9.962050739886763e-08,-0.7096112370491028|8.036003862343932e-08,1,-6.05956458343826e-08|Running
-142.70068359375,130.0384063720703,-38.66856384277344|0.7115646004676819,-1.0524613713869257e-07,-0.7026206851005554|7.730596962574054e-08,1,-7.15008070528711e-08|Running
-142.06044006347656,130.0384063720703,-39.26497268676758|0.7164096236228943,-1.1770838170832576e-07,-0.697679877281189|7.937261159440823e-08,1,-8.721059430172318e-08|Running
-141.59716796875,130.0384063720703,-39.684505462646484|0.7205724716186523,-1.1215389861263247e-07,-0.6933796405792236|7.683090075261134e-08,1,-8.190558986598262e-08|Running
-141.03794860839844,130.0384063720703,-40.18427276611328|0.7257384657859802,-1.0942578398953628e-07,-0.6879706978797913|7.896120735040313e-08,1,-7.57599067924275e-08|Running
-140.57034301757812,130.0384063720703,-40.598968505859375|0.7296934127807617,-1.1036249247808883e-07,-0.683774471282959|8.117314109767904e-08,1,-7.477756014395709e-08|Running
-139.91546630859375,130.0384063720703,-41.179264068603516|0.7343073487281799,-1.151477135863388e-07,-0.6788171529769897|8.46468779513998e-08,1,-7.806357160689004e-08|Running
-139.35414123535156,130.0384063720703,-41.67665481567383|0.7373717427253723,-1.2273291360997973e-07,-0.6754871606826782|8.970778253569733e-08,1,-8.376906635021442e-08|Running
-138.69920349121094,130.0384063720703,-42.25694274902344|0.7401227355003357,-8.380656169038048e-08,-0.672471821308136|6.112345118935991e-08,1,-5.735215324875753e-08|Running
-138.32496643066406,130.0384063720703,-42.58853530883789|0.7413564324378967,-8.63104432369255e-08,-0.6711114645004272|6.301009847220485e-08,1,-5.9002861263479645e-08|Running
-137.9507293701172,130.0384063720703,-42.920127868652344|0.7423720955848694,-9.973772563398597e-08,-0.6699877977371216|7.296014103985726e-08,1,-6.80223664062396e-08|Running
-137.29762268066406,130.0384063720703,-43.502445220947266|0.743426501750946,-1.0148714579827356e-07,-0.6688176393508911|7.447214755984533e-08,1,-6.896135573697393e-08|Running
-136.73794555664062,130.0384063720703,-44.001731872558594|0.7440342903137207,-3.3314659475536246e-08,-0.6681414246559143|2.463689341425379e-08,1,-2.242633811988526e-08|Running
-136.2715606689453,130.0384063720703,-44.417808532714844|0.7444252967834473,2.146083133425236e-08,-0.6677057147026062|-1.5389653995612207e-08,1,1.498322355075743e-08|Running
-135.80516052246094,130.0384063720703,-44.83388900756836|0.7447416186332703,7.507844657084206e-08,-0.6673529148101807|-5.456149310134606e-08,1,5.16132168115746e-08|Running
-135.15097045898438,130.0384063720703,-45.41497802734375|0.7453939914703369,9.211328944047636e-08,-0.6666241884231567|-6.70972823968441e-08,1,6.315308809234921e-08|Running
-134.4031524658203,130.0384063720703,-46.07892990112305|0.746057391166687,2.250638964085283e-08,-0.6658816337585449|-1.6460028007259098e-08,1,1.535748239689383e-08|Running
-133.55567932128906,130.0384063720703,-46.8188362121582|0.7481080293655396,-7.431560078430266e-08,-0.6635769605636597|5.4298674001529434e-08,1,-5.0776819193742995e-08|Running
-132.8926239013672,130.0384063720703,-47.38978958129883|0.7503507733345032,-9.491230912317405e-08,-0.6610398292541504|6.97517563708061e-08,1,-6.440462385626233e-08|Running
-132.4145050048828,130.0384063720703,-47.79229736328125|0.7527260780334473,-1.0610723677473288e-07,-0.6583338379859924|7.861945761078459e-08,1,-7.12834662408568e-08|Running
-132.0299835205078,130.0384063720703,-48.111900329589844|0.754928708076477,-1.0273533490590125e-07,-0.6558068990707397|7.68005747886491e-08,1,-6.824627973855968e-08|Running
-131.54676818847656,130.0384063720703,-48.50827407836914|0.7579972743988037,-1.1131371735473294e-07,-0.6522577404975891|8.397540085525179e-08,1,-7.307018279334443e-08|Running
-130.964111328125,130.0384063720703,-48.980533599853516|0.7618589401245117,-1.194044330077304e-07,-0.6477429270744324|9.062260630798846e-08,1,-7.775118859854047e-08|Running
-130.1814422607422,130.0384063720703,-49.602935791015625|0.7675095200538635,-1.2002976745861815e-07,-0.6410375237464905|9.14692392939287e-08,1,-7.77275204200123e-08|Running
-129.09593200683594,130.0384063720703,-50.44694900512695|0.7757304310798645,-1.204989814596047e-07,-0.6310644149780273|9.279028745368123e-08,1,-7.688395697869055e-08|Running
-128.40084838867188,130.0384063720703,-50.97843933105469|0.7803812026977539,-1.0835138652964815e-07,-0.625304102897644|8.40523881606714e-08,1,-6.838030230937875e-08|Running
-127.79946899414062,130.0384063720703,-51.426578521728516|0.7847588658332825,-1.1932391430491407e-07,-0.6198012232780457|9.303582260145049e-08,1,-7.472271335018377e-08|Running
-126.68624877929688,130.0384063720703,-52.233642578125|0.794017493724823,-1.2163363294348528e-07,-0.6078949570655823|9.584562832287702e-08,1,-7.489868636412211e-08|Running
-125.15644836425781,130.0384063720703,-53.31771469116211|0.8053454160690308,-1.1158424229051889e-07,-0.5928058624267578|8.931333894679483e-08,1,-6.68956943172816e-08|Running
-123.5136947631836,130.0384063720703,-54.45854187011719|0.8143265843391418,-1.1164228652660313e-07,-0.580406904220581|9.04704506865528e-08,1,-6.541925756664568e-08|Running
-122.97257995605469,130.03843688964844,-54.83420181274414|0.814897358417511,1.6816914083506163e-08,-0.5796053409576416|-1.3089531236687435e-08,1,1.0611167944318822e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,8.561013231656034e-08,-0.5796053409576416|-6.883366410193048e-08,1,5.092734767231377e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,-7.368650756234274e-08,-0.5796053409576416|5.877419084754365e-08,1,-4.449852042398561e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,-1.7593315249087027e-08,-0.5796053409576416|1.4209456722369396e-08,1,-1.0376142611789874e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,7.799364709626389e-08,-0.5796053409576416|-6.199348945301608e-08,1,4.7403496239439846e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,6.186343881608991e-08,-0.5796053409576416|-4.9268329860296944e-08,1,3.746482235555959e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,-4.434131284369869e-08,-0.5796053409576416|3.5176228152522526e-08,1,-2.7046503703331837e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,-1.0795532290330812e-07,-0.5796053409576416|8.575641174957127e-08,1,-6.568720323230082e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,-1.089106671514628e-08,-0.5796053409576416|8.715547394899659e-09,1,-6.536845287286042e-09|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,5.826300153444208e-08,-0.5796053409576416|-4.6172715428838274e-08,1,3.5605221881951366e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,1.1347997741495419e-07,-0.5796053409576416|-8.999897005423918e-08,1,6.92541135549618e-08|Running
-122.9725570678711,130.03843688964844,-54.83422088623047|0.814897358417511,-3.279430416114337e-08,-0.5796053409576416|2.597937331927369e-08,1,-2.005465127297157e-08|Running
Replay 2|true|1256
-120.89409637451172,130.03843688964844,-52.678802490234375|0.7638905048370361,7.564499782120038e-08,-0.6453458666801453|-5.2778606374204173e-08,1,5.4742617550118666e-08|Running
-120.89409637451172,130.03843688964844,-52.678802490234375|0.7638905048370361,-8.923901617663432e-08,-0.6453458666801453|6.196269453084824e-08,1,-6.493618798231182e-08|Running
-120.89409637451172,130.03843688964844,-52.678802490234375|0.7638905048370361,-6.262312979288254e-08,-0.6453458666801453|4.359779026685828e-08,1,-4.5431747253132926e-08|Running
-120.89409637451172,130.03843688964844,-52.678802490234375|0.7638905048370361,-2.278453692383664e-08,-0.6453458666801453|1.610924904582589e-08,1,-1.6237548194908413e-08|Running
-120.89409637451172,130.03843688964844,-52.678802490234375|0.7638905048370361,1.0336322020521038e-08,-0.6453458666801453|-6.744067970743117e-09,1,8.03382071978831e-09|Running
-120.89409637451172,130.03843688964844,-52.678802490234375|0.7638905048370361,3.0174884813050085e-08,-0.6453458666801453|-2.0432628033972833e-08,1,2.25717613488996e-08|Running
-120.81930541992188,130.03843688964844,-52.39309310913086|0.948659360408783,-0.00007777856080792844,-0.3162996470928192|0.00006933824624866247,1,-0.000037939305912004784|Running
-120.56874084472656,130.03843688964844,-51.412452697753906|0.9827984571456909,-0.00007914819434517995,0.1846812218427658|0.00008084360888460651,1,-0.000001650308036005299|Running
-120.14009857177734,130.03843688964844,-49.716888427734375|0.7385523319244385,-0.000035375633160583675,0.6741961240768433|0.00002880965439544525,1,0.000020911118554067798|Running
-119.70938110351562,130.03843688964844,-47.892677307128906|0.4847031831741333,-0.000009542035513732117,0.8746786713600159|0.0000050487778935348615,1,0.000008111409442790318|Running
-119.28195190429688,130.03843688964844,-45.939083099365234|0.32998326420783997,-0.000002261662757518934,0.9439867734909058|8.026171371966484e-07,1,0.000002115297320415266|Running
-119.01644134521484,130.03843688964844,-44.71764373779297|0.28369399905204773,-4.097184103102336e-07,0.9589148759841919|1.193439373992078e-07,1,3.9196518741846376e-07|Running
-118.8307113647461,130.03843688964844,-43.86259460449219|0.26497483253479004,-1.7799034424115234e-07,0.9642553329467773|4.8067185787203925e-08,1,1.713796677904611e-07|Running
-118.67153930664062,130.03843688964844,-43.12968826293945|0.25359004735946655,-1.356091274828941e-07,0.9673117995262146|3.5887250504629264e-08,1,1.3078356175810768e-07|Running
-118.43280792236328,130.03843688964844,-42.03031539916992|0.24065753817558289,-1.295576907978102e-07,0.9706100821495056|3.225221689717728e-08,1,1.254839077091674e-07|Running
-118.24723052978516,130.0497589111328,-41.17576599121094|0.2334420531988144,-1.1072416583601807e-07,0.9723707437515259|2.6522146256979795e-08,1,1.0750301271400531e-07|Running
-118.05995178222656,130.0866241455078,-40.323280334472656|0.2286345660686493,-9.676850254436431e-08,0.9735122919082642|2.2482508299503934e-08,1,9.412127610630705e-08|Running
-117.8997573852539,130.1460723876953,-39.594844818115234|0.22564014792442322,-9.446142001934277e-08,0.9742107391357422|2.1358669499704774e-08,1,9.201504980183017e-08|Running
-117.62740325927734,130.2830810546875,-38.38482666015625|0.22333727777004242,-1.1593562021516846e-07,0.9747412204742432|2.552097555508226e-08,1,1.1309241187973385e-07|Running
-117.35453796386719,130.43484497070312,-37.17409896850586|0.2220776230096817,8.171184617822291e-09,0.9750289916992188|-2.0953303536686008e-09,1,-7.903210530457727e-09|Running
-117.08099365234375,130.56405639648438,-35.960506439208984|0.22128711640834808,9.249385612974947e-08,0.9752086997032166|-2.076933647288115e-08,1,-9.013236734745078e-08|Running
-116.80646514892578,130.64637756347656,-34.742469787597656|0.2207818478345871,3.4408703442068145e-08,0.9753232002258301|-7.516105071658785e-09,1,-3.3577880031998575e-08|Running
-116.64205932617188,130.6627960205078,-34.013065338134766|0.2205790877342224,-7.650332034536689e-10,0.9753690958023071|5.065753927446792e-10,1,6.69790833907058e-10|Running
-116.45027923583984,130.73509216308594,-33.162254333496094|0.22040624916553497,-4.1898939429074744e-08,0.975408136844635|9.886877982978604e-09,1,4.0721221949979736e-08|Running
-116.24021911621094,130.9574432373047,-32.23032760620117|0.2202581912279129,-8.894819814031507e-08,0.9754416346549988|2.061446480183804e-08,1,8.653280048065426e-08|Running
-116.04887390136719,131.0466766357422,-31.381399154663086|0.22016344964504242,-1.1256048537688912e-07,0.9754629731178284|2.5956824245554344e-08,1,1.0953336015973036e-07|Running
-115.80388641357422,130.95135498046875,-30.294506072998047|0.2200743705034256,-7.67487318142912e-09,0.9754831194877625|1.6780214995293363e-09,1,7.48919504189871e-09|Running
-115.40035247802734,130.6311798095703,-28.483131408691406|0.21881729364395142,7.482250907742127e-08,0.9757658243179321|-1.736741062074998e-08,1,-7.278612912386961e-08|Running
-115.19266510009766,130.48617553710938,-27.51544761657715|0.2165817767381668,1.2953703887319534e-08,0.976264476776123|-3.0542293139035337e-09,1,-1.259106952034017e-08|Running
-114.98580169677734,130.49220275878906,-26.53879737854004|0.214045912027359,-7.402601909234363e-08,0.976823627948761|1.6787259582429215e-08,1,7.210388019984748e-08|Running
-114.72786712646484,130.49993896484375,-25.31583595275879|0.2113909125328064,-7.335564333743605e-08,0.977401614189148|1.652503023308327e-08,1,7.14776788868221e-08|Running
-114.54939270019531,130.36622619628906,-24.469411849975586|0.21008853614330292,-6.184981771184539e-08,0.97768235206604|1.370566860003919e-08,1,6.031653754234867e-08|Running
-114.39569854736328,130.14663696289062,-23.740598678588867|0.20927532017230988,-5.617532394808222e-08,0.9778567552566528|1.2190795040112334e-08,1,5.483839160547177e-08|Running
-114.26386260986328,130.1168975830078,-23.13137435913086|0.20946796238422394,-5.2610342748948824e-08,0.9778155088424683|1.117860204402632e-08,1,5.140927328284306e-08|Running
-113.99564361572266,130.04148864746094,-21.913311004638672|0.2112358957529068,-5.1783874965849463e-08,0.9774351119995117|1.051168663224189e-08,1,5.070764075298939e-08|Running
-113.83642578125,130.0341033935547,-21.180814743041992|0.21162527799606323,-5.61409230215304e-08,0.9773508906364441|1.1158884483108977e-08,1,5.502570488147285e-08|Running
-113.5713119506836,130.0361785888672,-19.95927619934082|0.21180586516857147,-6.380719241860788e-08,0.9773117303848267|1.2326717424571143e-08,1,6.261699070364557e-08|Running
-113.27967071533203,130.0380096435547,-18.61556053161621|0.21191713213920593,-7.23105415545433e-08,0.9772876501083374|1.3628366879459008e-08,1,7.103584920287176e-08|Running
-112.93462371826172,130.0384063720703,-17.02762222290039|0.21209806203842163,-8.24249042352676e-08,0.9772483706474304|1.5183223567305504e-08,1,8.104856163981822e-08|Running
-112.77141571044922,130.0384063720703,-16.295597076416016|0.21306073665618896,-8.869312040360455e-08,0.9770389795303345|1.625050316533816e-08,1,8.723375799490896e-08|Running
-112.60528564453125,130.0384063720703,-15.564230918884277|0.21469394862651825,-1.024791060899588e-07,0.9766813516616821|1.896184720351357e-08,1,1.0075764578232338e-07|Running
-112.43660736083984,130.0384063720703,-14.833444595336914|0.21671931445598602,-1.1283684386853565e-07,0.976233959197998|2.141160848623258e-08,1,1.1083054118898872e-07|Running
-112.26498413085938,130.0384063720703,-14.103343963623047|0.21912822127342224,-5.6273744775126033e-08,0.9756960868835449|1.1611190231519686e-08,1,5.5067769011429846e-08|Running
-112.03578186035156,130.0384063720703,-13.129964828491211|0.2219255119562149,-1.4316861474128473e-08,0.9750636219978333|6.01225158547436e-09,1,1.3314607194558903e-08|Running
-111.74925231933594,130.0384063720703,-11.913244247436523|0.22448603808879852,4.1988146293192585e-09,0.9744772911071777|6.68008404147713e-09,1,-5.847647699397385e-09|Running
-111.46583557128906,130.0384063720703,-10.69579792022705|0.22542619705200195,7.274660873690664e-09,0.9742602705955505|1.0868097533034415e-08,1,-9.981537374414984e-09|Running
-111.29936981201172,130.0384063720703,-9.964507102966309|0.22490550577640533,7.888934838717887e-09,0.9743805527687073|1.3661870745806937e-08,1,-1.124977710986741e-08|Running
-111.13410186767578,130.0384063720703,-9.232941627502441|0.2240130454301834,6.038812117026282e-09,0.9745861291885376|1.7018514597566536e-08,1,-1.0108066383907044e-08|Running
-110.99644470214844,130.0384063720703,-8.623286247253418|0.22334538400173187,2.1093824464912814e-09,0.9747393727302551|2.0358122299057868e-08,1,-6.828774434808338e-09|Running
-110.77619171142578,130.0384063720703,-7.647838592529297|0.22248107194900513,-7.188435624527756e-09,0.9749370217323303|2.6379652240393625e-08,1,1.353382295121719e-09|Running
-110.52845001220703,130.0384063720703,-6.550458908081055|0.22176481783390045,-2.0425662938805544e-08,0.9751001596450806|3.377274637728078e-08,1,1.3266387988153383e-08|Running
-110.1751480102539,130.0384063720703,-5.351593494415283|0.24035100638866425,-1.3339146676116798e-07,0.9706860184669495|3.4687978711644973e-08,1,1.2883072031399934e-07|Running
