yareu|true|1270
-813.9701538085938,40.0069580078125,-233.48756408691406|0.2711099684238434,-0.000005792850515717873,0.9625483751296997|0.0000018352169490754022,1,0.000005501339273905614|Running
-813.9985961914062,40.00714874267578,-232.82159423828125|0.16325914859771729,-0.000002905196424762835,0.9865832328796387|5.580962465501216e-07,1,0.0000028523515993583715|Running
-814.0304565429688,40.0071907043457,-232.2892608642578|0.10264937579631805,-0.0000015201414953480707,0.9947175979614258|1.9332227907398192e-07,1,0.000001508264404037618|Running
-814.0844116210938,40.0072021484375,-231.62481689453125|0.04078497737646103,-0.0000010059334272227716,0.9991679191589355|6.34767118867785e-08,1,0.0000010041801488114288|Running
-814.13818359375,40.0072021484375,-231.09423828125|0.002154457150027156,-6.160387897580222e-07,0.9999976754188538|1.103391866763559e-08,1,6.160164502944099e-07|Running
-814.2089233398438,40.0072021484375,-230.43133544921875|-0.034550510346889496,-3.449053451731743e-07,0.9994029402732849|-7.588223382981596e-09,1,3.448490701885021e-07|Running
-814.28564453125,40.0072021484375,-229.7691192626953|-0.061946626752614975,-1.9227894654250122e-07,0.9980794787406921|-9.864189465247364e-09,1,1.9203670831302588e-07|Running
-814.410400390625,40.0072021484375,-228.70982360839844|-0.09177452325820923,-1.7766176085842744e-07,0.995779812335968|-1.443534447531647e-08,1,1.770843027770752e-07|Running
-814.4727783203125,40.0072021484375,-228.18019104003906|-0.09895268082618713,-1.0526145644007556e-07,0.9950921535491943|-9.986886873036838e-09,1,1.0478751022446886e-07|Running
-814.56884765625,40.0072021484375,-227.385986328125|-0.10757312178611755,-9.905434694701398e-08,0.9941971898078918|-1.135302607480071e-08,1,9.840409376238313e-08|Running
-814.6029052734375,40.0072021484375,-227.1215057373047|-0.11033651977777481,-1.120548347444128e-07,0.9938942790031433|-1.2557427986337188e-08,1,1.1134915922639266e-07|Running
-814.6541748046875,40.0072021484375,-226.72482299804688|-0.11395017802715302,-1.0103413927708971e-07,0.9934864640235901|-1.091858514712385e-08,1,1.0044421117072488e-07|Running
-814.722900390625,40.0072021484375,-226.19595336914062|-0.11798691004514694,-1.0045786069667884e-07,0.9930151700973511|-1.0295278407568276e-08,1,9.994123217893502e-08|Running
-814.7915649414062,40.0072021484375,-225.66708374023438|-0.12096159905195236,-1.1119026055439463e-07,0.9926571846008301|-1.1366842578297565e-08,1,1.106276314999377e-07|Running
-814.8773803710938,40.0072021484375,-225.00601196289062|-0.12366051226854324,-1.592428766628018e-08,0.9923245906829834|-2.0684816082194857e-09,1,1.5789691332201983e-08|Running
-814.9290161132812,40.0072021484375,-224.60935974121094|-0.12475208938121796,3.015425775743097e-08,0.9921879172325134|2.2169881486178156e-09,1,-3.011292903920548e-08|Running
-815.01025390625,40.0072021484375,-223.9476776123047|-0.12378152459859848,1.0134732519873069e-07,0.9923095107078552|8.702893516954191e-09,1,-1.0104717063086355e-07|Running
-815.1000366210938,40.0072021484375,-223.15272521972656|-0.1191982701420784,3.7587248868931056e-08,0.9928704500198364|2.6083202264715055e-09,1,-3.7544012343460054e-08|Running
-815.140625,40.0072021484375,-222.75479125976562|-0.11562919616699219,-9.359921904206203e-08,0.9932924509048462|-1.0105511982771986e-08,1,9.305489356847829e-08|Running
-815.1769409179688,40.0072021484375,-222.3564453125|-0.11067202687263489,-1.2106676194889587e-07,0.9938569664955139|-1.2535527282864223e-08,1,1.204191590886694e-07|Running
-815.2191162109375,40.0072021484375,-221.8247833251953|-0.1022542268037796,-1.37639034392123e-07,0.9947583079338074|-1.401094085196064e-08,1,1.3692407208054647e-07|Running
-815.277587890625,40.0072021484375,-221.02691650390625|-0.09053868800401688,-1.186286837651096e-07,0.9958929419517517|-1.0667854155599343e-08,1,1.1814807265864147e-07|Running
-815.3046875,40.0072021484375,-220.62783813476562|-0.08582544326782227,-1.1102838470833376e-07,0.9963101744651794|-9.128491740284517e-09,1,1.1065321814385243e-07|Running
-815.3363647460938,40.0072021484375,-220.09542846679688|-0.07875390350818634,-1.1565415292125181e-07,0.9968940615653992|-8.528632022830607e-09,1,1.1534072541508067e-07|Running
-815.3624877929688,40.0072021484375,-219.56272888183594|-0.07077108323574066,-1.337427022463089e-07,0.9974926114082336|-9.289977676019134e-09,1,1.3341977478376066e-07|Running
-815.3826904296875,40.0072021484375,-219.02976989746094|-0.061953164637088776,-1.1747874140155545e-07,0.9980790615081787|-7.208246000089957e-09,1,1.1725741444479354e-07|Running
-815.3990478515625,40.0072021484375,-218.49667358398438|-0.05354201793670654,-1.1268102895201082e-07,0.9985656142234802|-5.742744502157393e-09,1,1.1253496978724797e-07|Running
