funny|true|1279
872.7548217773438,434.7050476074219,-391.3876953125|0.007677153684198856,2.8486027758845012e-08,0.999970555305481|5.322356599890554e-08,1,-2.8895483339397288e-08|Running
872.7593383789062,434.7850646972656,-390.8111877441406|0.00547680864110589,1.7876955027418262e-08,0.9999852180480957|3.097614253988468e-08,1,-1.804687776996161e-08|Running
872.76416015625,434.8700256347656,-390.1990966796875|0.0031405952759087086,6.559087495361382e-09,0.9999950528144836|7.32919946955235e-09,1,-6.5821379457986495e-09|Running
872.7627563476562,434.94342041015625,-389.671630859375|-0.0013914679875597358,-2.854926739459529e-09,0.9999990463256836|-1.310956943001429e-08,1,2.836687995610987e-09|Running
872.7615356445312,435.0058898925781,-389.222900390625|-0.005247000604867935,-1.0936599181832207e-08,0.9999861717224121|-3.05308489600975e-08,1,1.0776552983315923e-08|Running
872.7612915039062,435.0169982910156,-389.1430358886719|-0.00593316275626421,-1.2381910607928148e-08,0.9999824166297913|-3.363451739346601e-08,1,1.2182566067053813e-08|Running
872.7582397460938,435.0887451171875,-388.6376037597656|-0.00593316275626421,-2.143192823211848e-08,0.9999823570251465|-5.320702101130337e-08,1,2.11166142349839e-08|Running
872.75537109375,435.1561584472656,-388.1627197265625|-0.00593316275626421,-2.9935097956013124e-08,0.9999823570251465|-7.15968653253185e-08,1,2.951082223034973e-08|Running
872.754150390625,435.1856384277344,-387.95513916015625|-0.00593316275626421,-3.365178358194498e-08,0.9999824166297913|-7.96349368670235e-08,1,3.317988017670359e-08|Running
872.7504272460938,435.2747802734375,-387.3327331542969|-0.00593316275626421,-3.263742698322858e-08,0.9999823570251465|-7.601286711178545e-08,1,3.2186999732175536e-08|Running
872.7461547851562,435.3763122558594,-386.62384033203125|-0.00593316275626421,-3.148215910186991e-08,0.9999823570251465|-7.188758388565475e-08,1,3.105618162635437e-08|Running
872.7454223632812,435.3935852050781,-386.5032653808594|-0.00593316275626421,-3.128564429744074e-08,0.9999824166297913|-7.11858803015275e-08,1,3.0863830602356757e-08|Running
872.7421264648438,435.47222900390625,-385.9560546875|-0.00593316275626421,-1.1741109418039741e-08,0.9999823570251465|-2.5468091635616474e-08,1,1.159020790453269e-08|Running
872.7394409179688,435.5372314453125,-385.50372314453125|-0.00593316275626421,4.414567822408344e-09,0.9999823570251465|1.2322619369342647e-08,1,-4.341532022777983e-09|Running
872.7390747070312,435.54534912109375,-385.4473571777344|-0.00593316275626421,6.428257925961134e-09,0.9999824166297913|1.703296170774138e-08,1,-6.327310231313277e-09|Running
872.7361450195312,435.6150817871094,-384.9593505859375|-0.005934535060077906,1.8285287950448037e-08,0.9999825954437256|4.4569318902176747e-08,1,-1.8021108161292432e-08|Running
872.73193359375,435.7150573730469,-384.25946044921875|-0.005936500150710344,3.529066461283037e-08,0.9999823570251465|8.406190232790323e-08,1,-3.479224375269041e-08|Running
872.7266845703125,435.8392333984375,-383.3819885253906|-0.005936500150710344,2.173466029375959e-08,0.9999823570251465|5.074215536637894e-08,1,-2.1433805841297726e-08|Running
872.722412109375,435.9391784667969,-382.67559814453125|-0.005936500150710344,1.0821478824141195e-08,0.9999823570251465|2.3918280689372295e-08,1,-1.0679676698543972e-08|Running
872.7185668945312,436.0318603515625,-382.0364074707031|-0.005936500150710344,9.68622515529205e-10,0.9999823570251465|-2.993830738873271e-10,1,-9.704168579816042e-10|Running
872.7152709960938,436.1114196777344,-381.4877014160156|-0.005936500150710344,-7.489264319815447e-09,0.9999823570251465|-2.1088306212391217e-08,1,7.364203913340361e-09|Running
872.7124633789062,436.1786804199219,-381.0229187011719|-0.005936500150710344,-1.4640848533531425e-08,0.9999823570251465|-3.8666424728717175e-08,1,1.441155994541532e-08|Running
872.709716796875,436.24542236328125,-380.561767578125|-0.005936500616371632,-2.1735855781912505e-08,0.9999823570251465|-5.6105477597157005e-08,1,2.1403161909461232e-08|Running
872.7089233398438,436.2642517089844,-380.4317932128906|-0.005936500150710344,-2.373593410709418e-08,0.9999823570251465|-6.102153093934248e-08,1,2.337409199526519e-08|Running
872.7054443359375,436.3473815917969,-379.8526306152344|-0.005936499685049057,-3.263114223273078e-08,0.9999823570251465|-8.288535013889486e-08,1,3.213965982240552e-08|Running
872.7017822265625,436.4347839355469,-379.243896484375|-0.005936500150710344,-4.1980264597896166e-08,0.9999823570251465|-1.0586486354213775e-07,1,4.135252495984787e-08|Running
872.697998046875,436.5254211425781,-378.6122131347656|-0.005936500150710344,-2.8569953514079316e-08,0.9999823570251465|-7.173471061605596e-08,1,2.814459776345757e-08|Running
872.6954345703125,436.5863037109375,-378.18798828125|-0.005936500150710344,-1.956387585266839e-08,0.9999823570251465|-4.8813625141974626e-08,1,1.9274432716542833e-08|Running
872.6882934570312,436.75372314453125,-376.9996643066406|-0.005936500150710344,1.8317865002615008e-09,0.9999823570251465|5.106913558705628e-09,1,-1.801500948417356e-09|Running
872.6826171875,436.88623046875,-376.0590515136719|-0.005936499685049057,1.8767158493915304e-08,0.9999823570251465|4.778680562367299e-08,1,-1.8483797603607854e-08|Running
872.6803588867188,436.9396057128906,-375.6802062988281|-0.005936500150710344,2.558849843126154e-08,0.9999823570251465|6.497769078350757e-08,1,-2.520320308008195e-08|Running
872.67626953125,437.0379333496094,-375.0028991699219|-0.005936500150710344,1.5279777443311104e-08,0.9999823570251465|3.8432677484934175e-08,1,-1.5051888624384446e-08|Running
872.6724853515625,437.1304016113281,-374.3660583496094|-0.005936500150710344,5.5864859405119205e-09,0.9999823570251465|1.3472389426283371e-08,1,-5.506604061622511e-09|Running
872.6724243164062,437.1312255859375,-374.3603210449219|-0.005936500150710344,5.499315225421242e-09,0.9999823570251465|1.3247922758807817e-08,1,-5.420764281893753e-09|Running
872.66552734375,437.29718017578125,-373.2142639160156|-0.005936500150710344,-1.1906955421636667e-08,0.9999823570251465|-3.1573314629440574e-08,1,1.171972741076388e-08|Running
872.6644897460938,437.3223571777344,-373.0404357910156|-0.005936500150710344,-1.454697429181806e-08,0.9999823570251465|-3.837137541040647e-08,1,1.4319435415188764e-08|Running
872.6618041992188,437.38726806640625,-372.5896301269531|-0.005936500150710344,-2.1379809922450477e-08,0.9999823570251465|-5.596596608370419e-08,1,2.1047940279572686e-08|Running
872.6591796875,437.44927978515625,-372.1590576171875|-0.005936500150710344,-2.7906175148473267e-08,0.9999823570251465|-7.277139246752995e-08,1,2.747465188690512e-08|Running
872.6573486328125,437.493408203125,-371.8525390625|-0.005936500150710344,-3.255203395724493e-08,0.9999823570251465|-8.473449497614638e-08,1,3.2049573661652175e-08|Running
872.6536865234375,437.5810852050781,-371.24151611328125|-0.005936500150710344,-3.5123303376849435e-08,0.9999823570251465|-9.124139666027986e-08,1,3.458226061070491e-08|Running
872.6506958007812,437.6528625488281,-370.7414245605469|-0.005936500150710344,-3.7227717797350124e-08,0.9999823570251465|-9.656687183223767e-08,1,3.665509140660106e-08|Running
872.6502075195312,437.66387939453125,-370.6646423339844|-0.005936500150710344,-3.7550787368445526e-08,0.9999823570251465|-9.738444362028531e-08,1,3.697331507623858e-08|Running
872.6463012695312,438.21734619140625,-370.02130126953125|-0.005936500150710344,-1.5639519901355925e-08,0.9999823570251465|-4.042162160544649e-08,1,1.539982896758829e-08|Running
872.6424560546875,438.76849365234375,-369.38067626953125|-0.005936500150710344,6.178906275522422e-09,0.9999823570251465|1.6299852134693538e-08,1,-6.082249370820136e-09|Jumping
872.6422729492188,438.7967529296875,-369.3478088378906|-0.005936500150710344,7.2979502441228306e-09,0.9999823570251465|1.9209036139500313e-08,1,-7.184042694063919e-09|Freefall
872.638916015625,439.6101989746094,-368.77947998046875|-0.005936500616371632,2.6377872330840546e-08,0.9999823570251465|6.88111043700701e-08,1,-2.5969832506689272e-08|Freefall
872.6351318359375,440.51409912109375,-368.1479187011719|-0.005936500150710344,4.757997373872058e-08,0.9999823570251465|1.2393020654144493e-07,1,-4.684508780883334e-08|Jumping
872.6312866210938,441.2769470214844,-367.4990539550781|-0.005936500150710344,4.111069884515928e-08,0.9999823570251465|1.0702118657945903e-07,1,-4.0476077600715143e-08|Freefall
872.6268310546875,442.1542663574219,-366.7528076171875|-0.005936500150710344,3.3670673360575165e-08,0.9999823570251465|8.757487535149266e-08,1,-3.315136609671754e-08|Jumping
872.6264038085938,442.2383728027344,-366.6812744140625|-0.005936500150710344,3.295754069654322e-08,0.9999823570251465|8.571095122533734e-08,1,-3.24492930303677e-08|Freefall
872.6233520507812,442.7274169921875,-366.1641845703125|-0.005936500150710344,2.5566015082745253e-08,0.9999823570251465|6.641574401555772e-08,1,-2.5172182560595502e-08|Freefall
872.6209716796875,443.10333251953125,-365.7666931152344|-0.005936500150710344,1.9884410562553967e-08,0.9999823570251465|5.1584208904387197e-08,1,-1.9578525467522923e-08|Freefall
872.620849609375,443.1210632324219,-365.7479553222656|-0.005936500150710344,1.9616397395338936e-08,0.9999823570251465|5.0884569446907335e-08,1,-1.931466186988473e-08|Freefall
872.6168823242188,443.6080627441406,-365.07952880859375|-0.005936380475759506,1.0078951007130854e-08,0.9999823570251465|2.5987592522369596e-08,1,-9.924853827669722e-09|Freefall
872.6131591796875,444.0657958984375,-364.4512634277344|-0.005936268251389265,1.1148665324256513e-09,0.9999823570251465|2.587334568815436e-09,1,-1.0995268029390104e-09|Freefall
872.6129150390625,444.0924987792969,-364.4146423339844|-0.005936261732131243,5.92199567162055e-10,0.9999823570251465|1.2229404156016699e-09,1,-5.849501993893114e-10|Freefall
872.6090087890625,444.4095764160156,-363.76202392578125|-0.005936391651630402,-8.700737907929579e-09,0.9999823570251465|-2.303572799178255e-08,1,8.564139619693378e-09|Freefall
872.6057739257812,444.675537109375,-363.21466064453125|-0.005936500150710344,-1.649485348309554e-08,0.9999823570251465|-4.3381806591469285e-08,1,1.6237605038327274e-08|Freefall
872.6022338867188,444.8275146484375,-362.62091064453125|-0.0059363823384046555,-2.493307604822803e-08,0.9999823570251465|-6.540925312492618e-08,1,2.4545215637772344e-08|Freefall
872.5989990234375,444.9660949707031,-362.0794982910156|-0.005936274304986,-3.2627902157855715e-08,0.9999823570251465|-8.549611862918027e-08,1,3.212093702131824e-08|Freefall
872.5986328125,444.9826965332031,-362.0146789550781|-0.005936261732131243,-3.354907818220454e-08,0.9999823570251465|-8.790077998810375e-08,1,3.302785955838772e-08|Freefall
872.5953979492188,444.99688720703125,-361.4692077636719|-0.0059363702312111855,-4.128638764200332e-08,0.9999823570251465|-1.0809851858084585e-07,1,4.064539282921942e-08|Freefall
872.592529296875,445.00946044921875,-360.9873046875|-0.005936466157436371,-4.8121947315848956e-08,0.9999823570251465|-1.2594226461715152e-07,1,4.73751313734283e-08|Freefall
872.5914916992188,445.0139465332031,-360.814697265625|-0.005936500150710344,-5.057053442669712e-08,0.9999823570251465|-1.3233415074864752e-07,1,4.978581102932367e-08|Freefall
872.5860595703125,444.7939758300781,-359.9065246582031|-0.005936364643275738,-4.5485627708785614e-08,0.9999823570251465|-1.1898068663640515e-07,1,4.478010140473998e-08|Freefall
872.5819702148438,444.6264343261719,-359.2147216796875|-0.005936261732131243,-4.1612320700323835e-08,0.9999823570251465|-1.088090186840418e-07,1,4.096712657997159e-08|Freefall
872.5776977539062,444.2584228515625,-358.4938049316406|-0.005936261732131243,-1.7668460472464176e-08,0.9999823570251465|-4.615379722849866e-08,1,1.7394784279645137e-08|Freefall
872.5748291015625,444.0138854980469,-358.0147399902344|-0.005936261732131243,-1.7578549726948722e-09,0.9999823570251465|-4.519629115407042e-09,1,1.7310557431926554e-09|Freefall
872.5684814453125,443.23779296875,-356.9480895996094|-0.005936261732131243,3.3604063531811335e-08,0.9999823570251465|8.801369943967075e-08,1,-3.308217344510922e-08|Freefall
872.5597534179688,441.8147277832031,-355.4814453125|-0.005936261732131243,3.8135603119826555e-08,0.9999823570251465|9.982278470488382e-08,1,-3.754368904651528e-08|Freefall
872.5526733398438,440.3233947753906,-354.2896423339844|-0.0059335497207939625,2.1405288208597995e-08,0.9999823570251465|5.59819852696819e-08,1,-2.10734860672801e-08|Freefall
872.551025390625,439.9794921875,-354.0148010253906|-0.005932924337685108,1.75473093833034e-08,0.9999824166297913|4.587233704000937e-08,1,-1.7275455732601586e-08|Freefall
872.5475463867188,439.5137634277344,-353.4293518066406|-0.005934668704867363,9.346547535926675e-09,0.9999823570251465|2.4382634578046236e-08,1,-9.202007156261516e-09|Freefall
872.5438842773438,439.0248718261719,-352.8148193359375|-0.005936500150710344,7.383249567283201e-10,0.9999823570251465|1.8252938049911904e-09,1,-7.275019475727618e-10|Freefall
872.5400390625,439.07159423828125,-352.16729736328125|-0.005935111083090305,-8.31350277508136e-09,0.9999823570251465|-2.189438497168794e-08,1,8.183700828112705e-09|Freefall
872.5359497070312,439.12109375,-351.48150634765625|-0.0059336391277611256,-1.7900516624536067e-08,0.9999824166297913|-4.7016563087254326e-08,1,1.7621847092641474e-08|Freefall
872.5314331054688,439.1391906738281,-350.72015380859375|-0.0030559715814888477,-2.8587402667312745e-08,0.999995231628418|-7.484303665705738e-08,1,2.835881751650504e-08|Freefall
872.52880859375,439.1496276855469,-350.2815246582031|-0.0013979986542835832,-3.4708232732327815e-08,0.9999990463256836|-9.086112839895577e-08,1,3.458124098187909e-08|Freefall
872.5274047851562,439.15478515625,-349.4422302246094|-0.0013961642980575562,-3.316879926273941e-08,0.9999990463256836|-8.659213790451759e-08,1,3.304793594338662e-08|Freefall
872.5267944335938,439.1570129394531,-349.08154296875|-0.001395376049913466,-3.250724489589629e-08,0.9999990463256836|-8.475757340420387e-08,1,3.238900703195213e-08|Freefall
872.52587890625,439.15802001953125,-348.43377685546875|-0.001396534382365644,-1.0710755837806119e-08,0.9999990463256836|-2.7740975738765883e-08,1,1.0672024153279835e-08|Freefall
872.525146484375,439.15887451171875,-347.8815612792969|-0.00139752181712538,7.86979104105967e-09,0.9999990463256836|2.086305173065739e-08,1,-7.840641913503532e-09|Freefall
872.5239868164062,439.1591491699219,-347.0560607910156|-0.0013966606929898262,1.8484390906792214e-08,0.9999990463256836|4.8542709407684015e-08,1,-1.8416612235228058e-08|Freefall
872.52294921875,439.159423828125,-346.2815856933594|-0.001395852887071669,2.844281610236976e-08,0.9999990463256836|7.451131267544042e-08,1,-2.8338835278418628e-08|Freefall
872.5198974609375,439.159423828125,-345.54248046875|-0.004190937150269747,1.6681791947803504e-08,0.9999914169311523|4.307182877028026e-08,1,-1.650142422704448e-08|Freefall
872.5180053710938,439.159423828125,-345.08160400390625|-0.005933877546340227,9.30334742577088e-09,0.9999824166297913|2.3450105857136805e-08,1,-9.164358161228847e-09|Freefall
872.5113525390625,439.159423828125,-344.5340270996094|-0.012146723456680775,9.190384564483622e-10,0.9999265670776367|1.338622268587386e-10,1,-9.174801474109984e-10|Freefall
872.5052490234375,439.159423828125,-344.0274353027344|-0.017893966287374496,-6.966118348827877e-09,0.9998400211334229|-2.1481824319380394e-08,1,6.582776990171624e-09|Freefall
872.5034790039062,439.159423828125,-343.8817443847656|-0.01954660750925541,-9.256513777700093e-09,0.9998089671134949|-2.770582874234151e-08,1,8.716623867144335e-09|Freefall
872.4732055664062,439.159423828125,-342.548828125|-0.03315619006752968,-2.9136609569491156e-08,0.9994502067565918|-8.464026279852987e-08,1,2.634474505214257e-08|Freefall
872.4426879882812,439.159423828125,-341.7356262207031|-0.041459228843450546,-2.679429478291695e-08,0.9991403818130493|-7.839750537641521e-08,1,2.3564256323993504e-08|Freefall
872.4231567382812,439.159423828125,-341.2164306640625|-0.04675891250371933,-2.5271180703612117e-08,0.9989061951637268|-7.439976457135344e-08,1,2.1816191519974382e-08|Freefall
872.3867797851562,439.159423828125,-340.51104736328125|-0.05576152727007866,-5.750847353880317e-09,0.9984441995620728|-1.5468268443896704e-08,1,4.895930327819542e-09|Freefall
872.3682250976562,439.159423828125,-340.1512451171875|-0.06035201996564865,4.4080263883472526e-09,0.998177170753479|1.465064070060862e-08,1,-3.53026541333179e-09|Freefall
872.3029174804688,439.159423828125,-339.16845703125|-0.0770740881562233,2.2187883530477848e-08,0.9970253705978394|7.142863012177258e-08,1,-1.673236127430755e-08|Freefall
872.2798461914062,439.159423828125,-338.8208923339844|-0.08298300206661224,2.8698226017809247e-08,0.996550977230072|9.156035929436257e-08,1,-2.1173299558086e-08|Freefall
872.2188110351562,439.159423828125,-338.2153015136719|-0.10567014664411545,2.1050135856626184e-08,0.9944015741348267|6.347060121925097e-08,1,-1.4423945593478038e-08|Freefall
872.1461791992188,439.159423828125,-337.49444580078125|-0.13260285556316376,1.112060932229042e-08,0.991169273853302|2.984462454946879e-08,1,-7.226946152627534e-09|Freefall
871.997802734375,439.159423828125,-336.4798889160156|-0.1739838570356369,2.7409663427846453e-10,0.9847487211227417|-1.7472451929734234e-08,1,-3.365347556183451e-09|Freefall
871.9532470703125,439.159423828125,-336.1752624511719|-0.18635238707065582,-3.361038780624881e-09,0.9824829697608948|-3.170685403119933e-08,1,-2.5930311231547876e-09|Freefall
871.8455810546875,439.159423828125,-335.64569091796875|-0.21338824927806854,-7.3580013193463856e-09,0.9769676923751831|-5.634603184034859e-08,1,-4.775571049719929e-09|Freefall
871.74072265625,439.159423828125,-335.13018798828125|-0.23954947292804718,-1.1894736751116852e-08,0.9708841443061829|-8.026353270906839e-08,1,-7.552241498842704e-09|Freefall
871.5963745117188,439.159423828125,-334.56866455078125|-0.2529383599758148,-1.1438535452157339e-08,0.967482328414917|-7.749158470460316e-08,1,-8.43639114123107e-09|Freefall
871.4159545898438,439.159423828125,-333.86663818359375|-0.2696097195148468,-1.0817126749884665e-08,0.9629696607589722|-7.400917212407876e-08,1,-9.487802543617363e-09|Freefall
871.4088134765625,439.159423828125,-333.8389587402344|-0.2702654004096985,-1.0791465498982689e-08,0.9627858400344849|-7.387149736359788e-08,1,-9.528021926996644e-09|Freefall
871.2007446289062,439.159423828125,-333.104248046875|-0.2727665901184082,-2.7263613588957014e-09,0.9620802402496338|-1.3381956875946344e-08,1,-9.601998085528862e-10|Freefall
871.0454711914062,439.159423828125,-332.5561218261719|-0.2746313214302063,3.3930016574146293e-09,0.9615495800971985|3.173090590280481e-08,1,5.534087410552502e-09|Freefall
870.8403930664062,439.159423828125,-331.83819580078125|-0.2746313810348511,6.822712173004675e-09,0.9615498781204224|5.5666685483402034e-08,1,8.803605844320828e-09|Freefall
870.6426391601562,439.159423828125,-331.1458740234375|-0.2746313214302063,1.013002304262045e-08,0.9615495800971985|7.874824348164111e-08,1,1.195644028229026e-08|Freefall
870.4279174804688,439.159423828125,-330.3940734863281|-0.2788931727409363,5.795903756933285e-09,0.9603222608566284|3.9630119630373883e-08,1,5.473855591020538e-09|Freefall
870.2031860351562,439.159423828125,-329.607421875|-0.2833468019962311,1.073585553790224e-09,0.9590175151824951|-1.2715181130218411e-09,1,-1.4951406779317722e-09|Freefall
869.9698486328125,439.159423828125,-328.8533935546875|-0.3141114115715027,-1.343344546711478e-09,0.9493860006332397|-4.011297249917334e-08,1,-1.185671294479107e-08|Freefall
869.80908203125,439.159423828125,-328.33380126953125|-0.3351225256919861,-3.761661204748634e-09,0.9421745538711548|-6.667402630000652e-08,1,-1.9722785182807456e-08|Freefall
869.534912109375,439.159423828125,-327.572509765625|-0.34806370735168457,-3.907422829740881e-09,0.9374710321426392|-7.61285434691672e-08,1,-2.4096916462212903e-08|Freefall
869.3573608398438,439.159423828125,-327.0793762207031|-0.35641130805015564,-4.077723492201812e-09,0.9343291521072388|-8.222020397852248e-08,1,-2.6999570579278043e-08|Freefall
869.0909423828125,439.159423828125,-326.4072570800781|-0.3767613172531128,-2.7142210701214253e-09,0.9263104200363159|-2.9163773618279265e-08,1,-8.931737127682027e-09|Freefall
868.9151611328125,439.159423828125,-325.9638671875|-0.3900884687900543,-1.143505179435067e-09,0.9207773804664612|5.616564102695065e-09,1,3.6213554377440005e-09|Freefall
868.6885375976562,439.159423828125,-325.4277038574219|-0.39008843898773193,-1.3250911479190108e-10,0.920777440071106|4.757283633693987e-08,1,2.029819867743754e-08|Freefall
868.4806518554688,439.159423828125,-324.9358215332031|-0.39008843898773193,7.949765290504729e-10,0.920777440071106|8.60634230548385e-08,1,3.5597494729699974e-08|Freefall
868.3960571289062,439.159423828125,-324.7357482910156|-0.3900884687900543,1.1722360859778291e-09,0.9207773804664612|1.0171956432714069e-07,1,4.182052393275626e-08|Freefall
868.0660400390625,439.159423828125,-323.9565734863281|-0.3924984037876129,1.3267822396301199e-09,0.9197529554367065|5.879471842717976e-08,1,2.3647713121022207e-08|Freefall
867.8240356445312,439.159423828125,-323.38525390625|-0.3942636251449585,1.3625313100007475e-09,0.9189974069595337|2.7351280351695095e-08,1,1.0251479665157603e-08|Freefall
867.6619262695312,439.159423828125,-323.0132751464844|-0.3974342346191406,1.6784312828477255e-09,0.9176305532455444|6.886402115213741e-09,1,1.153471651527127e-09|Freefall
867.5095825195312,439.159423828125,-322.6637268066406|-0.40040943026542664,1.904792323870197e-09,0.9163364171981812|-1.231535229351266e-08,1,-7.460116080437729e-09|Freefall
867.3978881835938,439.159423828125,-322.407470703125|-0.40258777141571045,2.027349177424753e-09,0.9153813719749451|-2.6374236128390294e-08,1,-1.3814235977349654e-08|Freefall
867.1683349609375,439.159423828125,-321.8852844238281|-0.40258777141571045,2.385171171681577e-09,0.9153815507888794|-5.50002567933916e-08,1,-2.679495025859069e-08|Freefall
866.9150390625,439.159423828125,-321.3091125488281|-0.40258777141571045,2.779968255595122e-09,0.9153813719749451|-8.658494010660434e-08,1,-4.111729623446081e-08|Landed
866.3519287109375,439.159423828125,-320.02813720703125|-0.40258777141571045,7.663363277288227e-10,0.9153813123703003|-4.0905213438691135e-08,1,-1.8827424952405636e-08|Landed
866.271240234375,439.159423828125,-319.8446350097656|-0.40258777141571045,4.779041051783395e-10,0.9153813719749451|-3.436209894402964e-08,1,-1.563464735454545e-08|Running
866.028564453125,439.159423828125,-319.2926330566406|-0.40258774161338806,-1.0099803215979364e-09,0.9153813123703003|1.019636908239363e-08,1,5.587740048440537e-09|Running
865.842041015625,439.159423828125,-318.8683166503906|-0.40258777141571045,-2.15373963108334e-09,0.9153813719749451|4.444911994028189e-08,1,2.190170178550943e-08|Running
865.4962158203125,439.159423828125,-318.0816650390625|-0.40258774161338806,-2.8997284573506477e-09,0.9153813123703003|7.2023318864467e-08,1,3.484387534058442e-08|Running
865.3591918945312,439.159423828125,-317.76995849609375|-0.40258777141571045,-3.1953106827131705e-09,0.9153813719749451|8.294912134942933e-08,1,3.997198660954382e-08|Running
865.0772705078125,439.159423828125,-317.1286926269531|-0.40258774161338806,-1.5696350885718857e-09,0.9153813123703003|4.705014688966003e-08,1,2.2407544264524404e-08|Running
864.9299926757812,439.159423828125,-316.79364013671875|-0.40258777141571045,-7.20232151696365e-10,0.9153813719749451|2.8293207776641793e-08,1,1.3230256890039982e-08|Running
864.5994873046875,439.159423828125,-316.0418701171875|-0.40258777141571045,1.1821903456166183e-09,0.9153813123703003|-1.3716549673858935e-08,1,-7.324056916502286e-09|Running
864.4471435546875,439.159423828125,-315.6952819824219|-0.40258777141571045,2.0592108018746558e-09,0.9153813719749451|-3.308315044137089e-08,1,-1.6799646118670353e-08|Running
864.2531127929688,439.159423828125,-315.2538757324219|-0.40258774161338806,3.1739624262172583e-09,0.9153813123703003|-5.769904731778297e-08,1,-2.8843597732475246e-08|Running
863.9957885742188,439.159423828125,-314.6685791015625|-0.40258774161338806,4.652095597634798e-09,0.9153813123703003|-9.033910686184754e-08,1,-4.481357507302164e-08|Running
863.91064453125,439.159423828125,-314.4748840332031|-0.40258777141571045,5.141262526819901e-09,0.9153813719749451|-1.0114085569057352e-07,1,-5.009860970517366e-08|Running
863.6460571289062,439.159423828125,-313.88543701171875|-0.4206271171569824,1.9356711788987013e-09,0.9072338342666626|-6.417009501547e-08,1,-3.188522867958454e-08|Running
863.3646850585938,439.159423828125,-313.25872802734375|-0.43962663412094116,-5.791908619379171e-10,0.8981806039810181|-2.5264311531714156e-08,1,-1.1721110304563354e-08|Running
863.046875,439.159423828125,-312.6360168457031|-0.46719828248023987,-7.18448411873851e-09,0.8841527700424194|2.079237582108817e-08,1,1.911281621858052e-08|Running
862.8587036132812,439.159423828125,-312.2672424316406|-0.48331746459007263,-1.0290724716810473e-08,0.8754452466964722|4.7610676290332776e-08,1,3.803984327532817e-08|Running
862.7586669921875,439.159423828125,-312.0712890625|-0.49181634187698364,-1.1696885238166033e-08,0.8706989288330078|6.171753597072893e-08,1,4.829520250382302e-08|Running
862.50244140625,439.159423828125,-311.6326599121094|-0.5051394701004028,-1.1508333841447893e-08,0.8630378246307373|6.15164736927909e-08,1,4.934052100225017e-08|Running
862.19384765625,439.159423828125,-311.1043701171875|-0.5210282802581787,-1.1270554267639454e-08,0.8535397052764893|6.125298313008898e-08,1,5.059530039375204e-08|Running
862.1534423828125,439.159423828125,-311.0352478027344|-0.5230937600135803,-1.1238583397243929e-08,0.8522751331329346|6.121678808312936e-08,1,5.0759080494344744e-08|Running
861.898193359375,439.159423828125,-310.6253967285156|-0.528335690498352,-6.461790214018492e-09,0.8490357398986816|3.752930055611614e-08,1,3.096437595218049e-08|Running
861.5994873046875,439.159423828125,-310.14569091796875|-0.5344453454017639,-1.109777603147677e-09,0.845203161239624|9.96046267687234e-09,1,7.611307140109602e-09|Running
861.589599609375,439.159423828125,-310.1297912597656|-0.5346473455429077,-9.367988607067446e-10,0.845075249671936|9.049582416764679e-09,1,6.8338699144021575e-09|Running
861.2528076171875,439.159423828125,-309.59747314453125|-0.5346473455429077,5.149391579806206e-09,0.8450751304626465|-2.138510168947505e-08,1,-1.962296103386052e-08|Running
860.9790649414062,439.159423828125,-309.1648864746094|-0.5346473455429077,1.0095012825672711e-08,0.8450751304626465|-4.6116227281345346e-08,1,-4.112170159942252e-08|Running
860.947998046875,439.159423828125,-309.1157531738281|-0.5346473455429077,1.065681498602089e-08,0.845075249671936|-4.892556759727995e-08,1,-4.356385829851206e-08|Running
860.5806274414062,439.159423828125,-308.5351257324219|-0.5346473455429077,1.4107060408719008e-08,0.8450751304626465|-6.672551933206705e-08,1,-5.890798604468728e-08|Running
860.2377319335938,439.159423828125,-307.99322509765625|-0.5346473455429077,1.732719034919228e-08,0.8450751304626465|-8.333827139495043e-08,1,-7.322871908854722e-08|Running
860.235107421875,439.159423828125,-307.9890441894531|-0.5346473455429077,1.7351991843383985e-08,0.845075249671936|-8.346623303623346e-08,1,-7.333902374284662e-08|Running
859.8425903320312,439.159423828125,-307.3686828613281|-0.5346473455429077,7.47604911310873e-09,0.8450751304626465|-3.699761919051525e-08,1,-3.225360956093937e-08|Running
859.593505859375,439.159423828125,-306.9750061035156|-0.5346473455429077,1.208801614360766e-09,0.845075249671936|-7.508766053376803e-09,1,-6.180921108267512e-09|Running
859.2072143554688,439.159423828125,-306.3644714355469|-0.5346475839614868,-8.491851666292405e-09,0.8450751304626465|3.8134892577090795e-08,1,3.4175162255678515e-08|Running
858.951904296875,439.159423828125,-305.9609680175781|-0.5346477627754211,-1.4903415390676855e-08,0.8450750112533569|6.830273946434318e-08,1,6.084823667151795e-08|Running
858.66748046875,439.159423828125,-305.5114440917969|-0.5346474051475525,-1.3078368610308644e-08,0.8450751304626465|6.033307897723716e-08,1,5.364645261352052e-08|Running
858.3287353515625,439.159423828125,-304.9760437011719|-0.5346468687057495,-1.090469048392606e-08,0.8450756072998047|5.084100962449156e-08,1,4.5068958343108534e-08|Running
858.239013671875,439.159423828125,-304.8342590332031|-0.53464674949646,-1.0329018529375844e-08,0.8450756669044495|4.8327148505222794e-08,1,4.2797317689746706e-08|Running
857.9055786132812,439.159423828125,-304.3072814941406|-0.5346472263336182,-3.700085571267664e-09,0.8450753688812256|1.8169110660437582e-08,1,1.5873318659487268e-08|Running
