funny|true|1279
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.183918989042468e-08,0.998917818069458|-2.5744993692455864e-08,1,4.0685829816311525e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.911582144970453e-08,0.998917818069458|-4.8682508690944815e-08,1,7.693487447113512e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.194896767259706e-08,0.998917818069458|-4.4272518096022395e-08,1,6.996558710170575e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.617781357296735e-08,0.998917818069458|-2.8414694597245216e-08,1,4.490485494557106e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.2984034937253455e-09,0.998917818069458|3.260277603445161e-09,1,-5.152345217140919e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.668663405344887e-08,0.998917818069458|3.488110067451089e-08,1,-5.512398004725583e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.517015797655404e-08,0.998917818069458|5.856123763692267e-08,1,-9.254664945501645e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.168365646568418e-08,0.998917818069458|3.1802617428411395e-08,1,-5.025891880450217e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.4188194619180194e-08,0.998917818069458|8.73046879235062e-09,1,-1.3797074593924208e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.3275203986372617e-08,0.998917818069458|-1.4321948071938095e-08,1,2.2633589225051765e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.07065686608621e-08,0.998917818069458|-3.735465270437999e-08,1,5.9033101962313594e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-8.515855398627536e-08,0.998917818069458|-5.240074330004063e-08,1,8.281103447416172e-08|Running
