KBG|false|14298
-579.6304321289062,120.53507995605469,379.23492431640625|0.33868035674095154,0.00047992615145631135,0.9409013390541077|-0.00002746501922956668,0.9999998807907104,-0.0005001844256184995|Freefall
-579.62451171875,120.89625549316406,379.7373352050781|0.35032975673675537,0.0001258637785213068,0.9366264343261719|-0.000041504721593810245,1,-0.00011885574349435046|Freefall
-579.6306762695312,121.20293426513672,380.23590087890625|0.37081924080848694,0.000011503743735374883,0.9287050366401672|-0.0000341212326020468,1,0.000001237278070220782|Freefall
-579.6357421875,121.4551010131836,380.7320556640625|0.391523152589798,-0.000008935358891903888,0.9201682806015015|-0.000011416876986913849,1,0.000014568346159649082|Freefall
-579.634765625,121.65276336669922,381.2258605957031|0.41975682973861694,0.0000017867497490442474,0.9076365828514099|-0.000016223648344748653,1,0.0000055344148677249905|Freefall
-579.6228637695312,121.79593658447266,381.7165832519531|0.4480728805065155,0.000001398758968207403,0.8939970135688782|-0.000005420240540843224,1,0.0000011520215821292368|Freefall
-579.6390380859375,121.89825439453125,382.3172302246094|0.46122145652770996,0.0000044740468183590565,0.887285053730011|-0.000007881023520894814,1,-9.457498890697025e-07|Freefall
-579.62451171875,121.91876983642578,382.6744384765625|0.4746953547000885,0.0000015824792853891267,0.8801501989364624|-0.0000025601043489587028,1,-4.1721250454429537e-07|Freefall
-579.626953125,121.8984375,383.1484069824219|0.4934998154640198,0.000023542059352621436,0.8697459101676941|-0.00004056406396557577,1,-0.000004051415544381598|Freefall
-579.6069946289062,121.78407287597656,383.5987243652344|0.5862890481948853,-0.0006273184553720057,0.8101016879081726|-0.00013227356248535216,0.9999996423721313,0.0008700991165824234|Landed
-579.5791015625,121.62862396240234,384.01123046875|0.6818767786026001,-0.002181799616664648,0.7314637899398804|-0.00014074449427425861,0.9999951124191284,0.0031139743514358997|Landed
-579.5377197265625,121.44625854492188,384.3936767578125|0.7499217391014099,-0.003116671461611986,0.6615191698074341|-0.00022675284708384424,0.9999876022338867,0.0049683814868330956|Running
-579.5067138671875,122.3321533203125,384.76861572265625|0.80238276720047,-0.003438528859987855,0.596799910068512|-0.00033123843604698777,0.9999806880950928,0.006206841673702002|Jumping
-579.4658813476562,123.2180404663086,385.14385986328125|0.8552784323692322,-0.003270859830081463,0.5181584358215332|-0.0006052784156054258,0.9999730587005615,0.007311380933970213|Jumping
-579.3997802734375,124.06982421875,385.4997253417969|0.8970755934715271,-0.0013019941980019212,0.441875159740448|-0.00046510761603713036,0.999992311000824,0.003890739055350423|Freefall
-579.3050537109375,124.86712646484375,385.8276062011719|0.9465450644493103,-0.0002085862506646663,0.32257145643234253|-0.0001151348405983299,0.9999995231628418,0.0009844840969890356|Freefall
-579.1847534179688,125.60994720458984,386.1259460449219|0.9835431575775146,0.000031460866011912,0.18067345023155212|-0.000033100081054726616,1,0.000006057829068595311|Freefall
-579.0422973632812,126.29827880859375,386.391845703125|0.9981192350387573,0.0000582159154873807,0.06130247563123703|-0.000051200528105255216,1,-0.00011600976722547784|Freefall
-578.8807983398438,126.93211364746094,386.6230773925781|0.9999656081199646,0.0000647638735244982,-0.00829266756772995|-0.00006525115895783529,1,-0.000058490106312092394|Freefall
-578.7027587890625,127.51144409179688,386.8182678222656|0.9985780715942383,0.00007417413144139573,-0.053308457136154175|-0.00007513003220083192,1,-0.00001592763510416262|Freefall
-578.5094604492188,128.03627014160156,386.9766845703125|0.9958509802818298,0.00008132233779178932,-0.09099912643432617|-0.00008173817332135513,1,-8.428399382864882e-07|Freefall
-578.3021240234375,128.50662231445312,387.0977783203125|0.9913221001625061,0.00008393726602662355,-0.131455197930336|-0.00008420937228947878,1,0.0000034890217648353428|Freefall
-578.082275390625,128.92245483398438,387.1811218261719|0.9890938401222229,0.00008577444532420486,-0.14728686213493347|-0.00008613552199676633,1,0.000003926564204448368|Freefall
-577.8506469726562,129.28378295898438,387.2264709472656|0.9887628555297852,0.00008903135312721133,-0.14949245750904083|-0.00008947997412178665,1,0.0000037251354569889372|Freefall
-577.607421875,129.5906219482422,387.2336730957031|0.9880447387695312,0.00009127796511165798,-0.15416721999645233|-0.00009175647574011236,1,0.000004011581950180698|Freefall
-577.352783203125,129.84295654296875,387.20263671875|0.9860100746154785,0.00009119899914367124,-0.16668571531772614|-0.00009164886432699859,1,0.000004993190032109851|Freefall
-577.0873413085938,130.04078674316406,387.1331787109375|0.9829620122909546,0.00008992590301204473,-0.18380872905254364|-0.00009028525528265163,1,0.000006413888968381798|Freefall
-576.8120727539062,130.1841278076172,387.0251159667969|0.9769408106803894,0.00008801488729659468,-0.21351027488708496|-0.00008813654130790383,1,0.000008949011316872202|Freefall
-576.5285034179688,130.27296447753906,386.8780517578125|0.9707906246185303,0.00008656889986013994,-0.23992814123630524|-0.00008640345185995102,1,0.000011208499927306548|Freefall
-576.2387084960938,130.3072967529297,386.69171142578125|0.9681299924850464,0.00008747664105612785,-0.25044816732406616|-0.00008714821888133883,1,0.000012401119420246687|Freefall
-575.94384765625,130.28712463378906,386.4658508300781|0.9623565077781677,0.00008845625416142866,-0.2717902362346649|-0.0000878185237525031,1,0.000014509442735288758|Freefall
-575.5707397460938,130.18527221679688,386.12762451171875|0.9457515478134155,0.00008708429231774062,-0.32489076256752014|-0.00008559183334000409,1,0.00001888537735794671|Freefall
-575.3348388671875,130.08328247070312,385.9176940917969|0.961089015007019,0.0000646820553811267,-0.2762387990951538|-0.00006373198266373947,1,0.000012416615390975494|Freefall
-574.9024047851562,129.84518432617188,385.5960388183594|0.9519333839416504,0.000015439740309375338,-0.3063051998615265|-0.000014754712537978776,1,0.000004551793608698063|Freefall
-574.5186767578125,129.5933837890625,385.36224365234375|0.9324971437454224,0.0000014751907428944833,-0.36117738485336304|-0.0000010851111937881797,1,0.000001282825678572408|Freefall
-574.2069091796875,129.3687744140625,385.1966247558594|0.90342777967453,-6.142544179965626e-07,-0.42874032258987427|8.302332048515382e-07,1,3.167448596741451e-07|Freefall
-573.7576904296875,129.0216064453125,384.9723815917969|0.867219090461731,-1.3178892288578936e-07,-0.4979267716407776|2.3381704750136123e-07,1,1.4255442692956422e-07|Freefall
-573.29638671875,128.61993408203125,384.72015380859375|0.8285753130912781,5.767675474999123e-07,-0.5598776340484619|-4.6601695657955133e-07,1,3.404983317523147e-07|Freefall
-572.848388671875,128.16375732421875,384.4331970214844|0.793190598487854,7.282561682586675e-07,-0.6089734435081482|-5.920212515775347e-07,1,4.247648064392706e-07|Freefall
-572.4207153320312,127.65309143066406,384.1153259277344|0.7635985016822815,5.653550942952279e-07,-0.6456913352012634|-4.393606900521263e-07,1,3.5599038028522045e-07|Freefall
-572.0132446289062,127.08792114257812,383.77130126953125|0.73029625415802,5.601906138963386e-08,-0.6831305623054504|-3.6159352845288595e-08,1,4.334752645718254e-08|Landed
-571.6220092773438,126.46825408935547,383.4089050292969|0.7165794372558594,-2.1227987190286512e-07,-0.697505533695221|1.6014207915304723e-07,1,-1.3982017321723106e-07|Landed
-571.2388305664062,126.39830017089844,383.0378723144531|0.7195992469787598,-1.3869703252566978e-07,-0.6943895816802979|1.0083881818445661e-07,1,-9.523975563752174e-08|Running
-570.8565063476562,127.26374816894531,382.6659240722656|0.7195881605148315,-6.517298345443123e-08,-0.6944010853767395|4.0979582394129466e-08,1,-5.138897662959607e-08|Jumping
-570.472900390625,128.07470703125,382.2952880859375|0.7080415487289429,2.4925064678882336e-08,-0.7061707973480225|-3.1665599919961096e-08,1,3.5465981262916557e-09|Freefall
-570.0949096679688,128.83114624023438,381.91900634765625|0.7014784812927246,1.0684724571774495e-07,-0.7126906514167786|-9.087187891054782e-08,1,6.047866207836705e-08|Freefall
-569.7208251953125,129.53309631347656,381.5388488769531|0.6977555155754089,1.2161790152731555e-07,-0.7163359522819519|-9.513203025335315e-08,1,7.711326333037505e-08|Freefall
-569.3487548828125,130.1805419921875,381.15673828125|0.6973166465759277,1.413907710912099e-07,-0.7167631983757019|-1.0320042065359303e-07,1,9.686240076689501e-08|Freefall
-568.9769287109375,130.77349853515625,380.7744140625|0.6971819400787354,1.6137043701291987e-07,-0.7168942093849182|-1.1146259737415676e-07,1,1.1669884258935781e-07|Freefall
-568.6051025390625,131.31195068359375,380.3920593261719|0.6912345886230469,1.5087158544702106e-07,-0.7226304411888123|-9.941271628122195e-08,1,1.1368754826435179e-07|Freefall
-568.2362670898438,131.7958984375,380.0068664550781|0.6938410401344299,1.1327060889243512e-07,-0.7201282382011414|-7.196111795337856e-08,1,8.795799288918715e-08|Freefall
-567.866455078125,132.22535705566406,379.62255859375|0.6908389925956726,7.700027282453448e-08,-0.7230086326599121|-4.461572444824924e-08,1,6.386921569401238e-08|Freefall
-567.4978637695312,132.60031127929688,379.23712158203125|0.6996235251426697,4.892918070709129e-08,-0.7145116925239563|-2.425046297105382e-08,1,4.4734029813753295e-08|Freefall
-567.1249389648438,132.92076110839844,378.8558654785156|0.7345035076141357,1.4950650495393347e-07,-0.6786049008369446|-1.0211669376758437e-07,1,1.0978616415968645e-07|Freefall
-566.7368774414062,133.1867218017578,378.4902648925781|0.7693531513214111,3.204111465038295e-07,-0.6388236880302429|-2.427687491035613e-07,1,2.0919111420880654e-07|Freefall
-566.3299560546875,133.39817810058594,378.145751953125|0.795444667339325,3.59688044682116e-07,-0.6060262322425842|-2.84585894405609e-07,1,2.1998337729201012e-07|Freefall
-565.9067993164062,133.5551300048828,377.8211975097656|0.8268125653266907,3.5963535083283205e-07,-0.5624775886535645|-2.9777666554764437e-07,1,2.016611659882983e-07|Freefall
-565.46875,133.65757751464844,377.517333984375|0.8538362383842468,3.8592719420194044e-07,-0.5205417275428772|-3.299940658507694e-07,1,2.0011137280562252e-07|Freefall
-565.0155639648438,133.7055206298828,377.2365417480469|0.8728347420692444,3.320520534089155e-07,-0.48801589012145996|-2.9019071234870353e-07,1,1.6139536285209033e-07|Freefall
-564.5506591796875,133.698974609375,376.97540283203125|0.8939278721809387,2.8118543582422717e-07,-0.44821083545684814|-2.522049555864214e-07,1,1.2434412610673462e-07|Freefall
-564.0751953125,133.63792419433594,376.7341003417969|0.9081234335899353,2.4136298293342406e-07,-0.41870251297950745|-2.1971307262447226e-07,1,9.99191485107076e-08|Freefall
-563.5911254882812,133.52236938476562,376.510498046875|0.9227397441864014,2.0023509250677307e-07,-0.38542357087135315|-1.8525153677728667e-07,1,7.601023099823578e-08|Freefall
-563.0994873046875,133.35232543945312,376.3038330078125|0.93166184425354,2.0117722954182682e-07,-0.3633265495300293|-1.8768034237837128e-07,1,7.24488842251958e-08|Freefall
-562.6026000976562,133.12777709960938,376.11016845703125|0.9369831085205078,1.8062580409150542e-07,-0.3493747115135193|-1.692161646360546e-07,1,6.317891632079409e-08|Freefall
-562.1029052734375,132.84872436523438,375.9239807128906|0.9389799237251282,1.4872742326588195e-07,-0.34397202730178833|-1.3950217692126898e-07,1,5.15671985112931e-08|Freefall
-561.60205078125,132.5151824951172,375.74072265625|0.9392524361610413,1.2394227155709814e-07,-0.3432271480560303|-1.1609873240558954e-07,1,4.3400554261552315e-08|Freefall
-561.10107421875,132.12713623046875,375.5577392578125|0.9407297372817993,1.0066962374821742e-07,-0.33915722370147705|-9.427287750440883e-08,1,3.5335609993580874e-08|Freefall
-560.4739990234375,131.5654296875,375.3316345214844|0.9460949301719666,1.1082304496312645e-07,-0.32388943433761597|-1.0450979459619703e-07,1,3.688559857550899e-08|Freefall
-559.9693603515625,131.0547637939453,375.1588439941406|0.9543222188949585,1.5313977996811445e-07,-0.2987792491912842|-1.4580766105609655e-07,1,4.683155196971711e-08|Freefall
-559.4605712890625,130.48959350585938,374.9992370605469|0.9642199277877808,1.8706523974287848e-07,-0.2651035487651825|-1.802386009330803e-07,1,5.00769843370108e-08|Freefall
-558.94677734375,129.8699188232422,374.8566589355469|0.9749852418899536,2.277025714647607e-07,-0.22226963937282562|-2.2200835303465283e-07,1,5.060391572442313e-08|Freefall
-558.427490234375,129.19573974609375,374.7356262207031|0.9847237467765808,2.978859470204043e-07,-0.17412406206130981|-2.9330988127185265e-07,1,5.201321684467075e-08|Freefall
-557.9030151367188,128.46707153320312,374.6392517089844|0.993155300617218,3.949790254864638e-07,-0.11680130660533905|-3.9223317571668304e-07,1,4.6494154304355106e-08|Freefall
-557.3743896484375,127.68389129638672,374.5707702636719|0.9968786835670471,3.809361430739955e-07,-0.07894895225763321|-3.796964449520601e-07,1,3.071459531156506e-08|Freefall
-556.9757690429688,127.06074523925781,374.5384521484375|0.99839848279953,1.7165129406748747e-07,-0.05657286196947098|-1.713879953513242e-07,1,9.50593914694764e-09|Landed
-556.443359375,126.29780578613281,374.5074462890625|0.9991241097450256,-1.1104916808335474e-07,-0.04184449091553688|1.1076431860601588e-07,1,-9.125714406366114e-09|Landed
-555.9105224609375,126.29418182373047,374.48419189453125|0.9999518394470215,-1.1084454598631055e-07,-0.009811487048864365|1.1079474404596112e-07,1,-5.619515963672939e-09|Landed
-555.3773193359375,126.41636657714844,374.47650146484375|0.9985557794570923,-4.870781467047891e-08,0.05372503399848938|4.853473001276143e-08,1,4.5264019199464656e-09|Running
-554.8446044921875,126.50253295898438,374.5001220703125|0.993130087852478,1.2841880447922449e-08,0.11701549589633942|-1.4190573160988151e-08,1,1.0692638774401075e-08|Running
-554.3145141601562,126.55255126953125,374.5574645996094|0.9793643951416016,7.321855832742585e-08,0.20210231840610504|-7.734538343129316e-08,1,1.2522140657722503e-08|Running
-553.660400390625,126.58497619628906,374.685302734375|0.9510131478309631,1.6345623521374364e-07,0.30915045738220215|-1.6052949547429307e-07,1,-3.490395883432029e-08|Running
-553.2772216796875,126.59546661376953,374.7988586425781|0.9481899738311768,1.4582059293388738e-07,0.31770390272140503|-1.3932114484305202e-07,1,-4.3177557529361366e-08|Running
-552.7708129882812,126.60374450683594,374.9659729003906|0.9412190318107605,6.011505604419654e-08,0.3377968966960907|-5.242100797886451e-08,1,-3.189906294664979e-08|Running
-552.2681274414062,126.6082534790039,375.14422607421875|0.9366563558578491,-2.451271008396816e-08,0.35024967789649963|3.315754426580497e-08,1,-1.8685280878116828e-08|Running
-551.7681884765625,126.6106948852539,375.3299560546875|0.9350719451904297,-7.516027977771955e-08,0.3544579744338989|8.216987623654859e-08,1,-4.724038049630508e-09|Running
-551.2693481445312,126.61203002929688,375.5186462402344|0.9350736141204834,-9.19574958402336e-08,0.35445353388786316|9.493125929793678e-08,1,8.999142764309909e-09|Running
-550.7705688476562,126.61276245117188,375.70770263671875|0.9350736141204834,-1.0874037315034002e-07,0.35445359349250793|1.0768174973918576e-07,1,2.2711045488676973e-08|Running
-550.2717895507812,126.6131591796875,375.89678955078125|0.9350736141204834,-1.2550893302432087e-07,0.35445359349250793|1.2042136177115026e-07,1,3.641124024511555e-08|Running
-549.8546142578125,126.61337280273438,376.1724548339844|0.9366724491119385,-8.972845932930795e-08,0.3502066433429718|8.422162522947474e-08,1,3.0954229401913835e-08|Running
-549.5672607421875,126.61349487304688,376.58673095703125|0.9366726875305176,-3.6487051602307474e-08,0.3502059876918793|3.153183669724058e-08,1,1.985129216564019e-08|Running
-549.3433227539062,126.61356353759766,377.069091796875|0.9382522702217102,1.6744788666755994e-08,0.3459518551826477|-2.102316543073357e-08,1,8.614618351998615e-09|Running
-549.1201782226562,126.61359405517578,377.5534973144531|0.939812421798706,6.996599211106513e-08,0.34169089794158936|-7.358364939591411e-08,1,-2.373978347236516e-09|Running
-548.8949584960938,126.61360931396484,378.03692626953125|0.9382522702217102,8.857330158207333e-08,0.3459518551826477|-9.091028374541565e-08,1,-9.471021300555549e-09|Running
-548.6713256835938,126.61360931396484,378.52105712890625|0.939812421798706,7.260749157467217e-08,0.34169089794158936|-7.307401261869018e-08,1,-1.1506396724314527e-08|Running
-548.446044921875,126.61360931396484,379.0044860839844|0.9398122429847717,5.665533109322496e-08,0.34169134497642517|-5.521096468896758e-08,1,-1.3952330846223049e-08|Running
-548.1640625,126.61360931396484,379.60858154296875|0.9382522106170654,3.6782111578759213e-08,0.3459520637989044|-3.283975047452259e-08,1,-1.725713616451685e-08|Running
-547.9404296875,126.61360931396484,380.09271240234375|0.9413534998893738,2.0822691126909376e-08,0.3374220132827759|-1.5166300215696538e-08,1,-1.9399568174094384e-08|Running
-547.6366577148438,126.61360931396484,380.4892578125|0.9382520914077759,4.952967369575845e-09,0.34595227241516113|2.8238933413859968e-09,1,-2.1975548492036978e-08|Running
-547.2037353515625,126.61360931396484,380.7461853027344|0.9382522702217102,-1.0903185021504669e-08,0.3459518253803253|2.062213511067057e-08,1,-2.441259283614272e-08|Running
-546.7061157226562,126.61360931396484,380.9337158203125|0.9382522702217102,-2.674577537220557e-08,0.3459518253803253|3.840516882291922e-08,1,-2.6847558842746366e-08|Running
-546.2057495117188,126.61360931396484,381.1183166503906|0.9382522702217102,-4.257481478475711e-08,0.3459518253803253|5.617299336790893e-08,1,-2.9280446511847913e-08|Running
-545.7052612304688,126.61360931396484,381.30279541015625|0.9366728663444519,-5.835194372139085e-08,0.35020551085472107|7.405790825032454e-08,1,-3.145607507804016e-08|Running
-545.2056274414062,126.61360931396484,381.4892272949219|0.936672568321228,-7.411558300418619e-08,0.35020628571510315|9.179539972592465e-08,1,-3.388474922871865e-08|Running
-544.7061157226562,126.61360931396484,381.6759948730469|0.939812421798706,-8.994204137025008e-08,0.34169086813926697|1.0920637549816092e-07,1,-3.7143120579230526e-08|Running
-543.8292236328125,126.61360931396484,381.99560546875|0.9473223686218262,-6.172725619535413e-08,0.32028159499168396|7.283775005362259e-08,1,-2.2709940594722866e-08|Running
-543.7033081054688,126.61360931396484,382.03936767578125|0.9487663507461548,-5.1641290355064484e-08,0.3159785270690918|6.054553125522943e-08,1,-1.8362859677267807e-08|Running
-543.3241577148438,126.61360931396484,382.16668701171875|0.9487663507461548,-2.139633181741374e-08,0.3159785270690918|2.3995973208457144e-08,1,-4.336500047941172e-09|Running
-542.818115234375,126.61360931396484,382.3352966308594|0.9487663507461548,1.890012768512861e-08,0.3159785270690918|-2.4700332446059292e-08,1,1.435134411309491e-08|Running
-542.31201171875,126.61360931396484,382.5038757324219|0.9487663507461548,5.9162147181268665e-08,0.3159785270690918|-7.335502516525594e-08,1,3.302323392517792e-08|Running
-541.805908203125,126.61360931396484,382.6724548339844|0.9487663507461548,7.174156024802869e-08,0.3159785270690918|-8.810449259044617e-08,1,3.74994435503595e-08|Running
-541.2998046875,126.61360931396484,382.8410339355469|0.9487663507461548,5.667383007335047e-08,0.3159785270690918|-6.899216486999649e-08,1,2.7798140678214622e-08|Running
-540.793701171875,126.61360931396484,383.0096130371094|0.9487663507461548,4.161897848575791e-08,0.3159785270690918|-4.9896172527041927e-08,1,1.8105120958011867e-08|Running
-540.28759765625,126.61360931396484,383.1781921386719|0.9487663507461548,2.6576994827109957e-08,0.3159785270690918|-3.081649069258674e-08,1,8.420371067074939e-09|Running
-539.6549682617188,126.61360931396484,383.388916015625|0.9487663507461548,7.792591460997755e-09,0.3159785270690918|-6.989818945868365e-09,1,-3.6739404851715562e-09|Running
-539.275390625,126.61360931396484,383.5153503417969|0.9487663507461548,-3.468416887031367e-09,0.3159785270690918|7.293968096178105e-09,1,-1.0924332549677729e-08|Running
-538.6427612304688,126.61360931396484,383.72607421875|0.9487663507461548,-2.222072481572468e-08,0.3159785270690918|3.107993862272451e-08,1,-2.2998003501584208e-08|Running
-538.26318359375,126.61360931396484,383.8525085449219|0.9487663507461548,-3.3462491444424813e-08,0.3159785270690918|4.533932695949261e-08,1,-3.023602346274856e-08|Running
-537.6305541992188,126.61360931396484,384.063232421875|0.9487663507461548,-5.218275944685047e-08,0.3159785270690918|6.908466332333774e-08,1,-4.2289094892566936e-08|Running
-537.2509765625,126.61360931396484,384.1896667480469|0.9487663507461548,-6.340532365811669e-08,0.3159785270690918|8.331969780783766e-08,1,-4.951476384462694e-08|Running
-536.744873046875,126.61360931396484,384.3582458496094|0.9487663507461548,-7.835754445295606e-08,0.3159785270690918|1.0228554003788304e-07,1,-5.914179013188914e-08|Running
-536.23876953125,126.61360931396484,384.5268249511719|0.9487663507461548,-6.932564389217077e-08,0.3159785270690918|9.012576640543557e-08,1,-5.121439272670614e-08|Running
-535.732666015625,126.61360931396484,384.6954040527344|0.9487663507461548,-3.634037071265084e-08,0.3159785270690918|4.6880259674253466e-08,1,-2.575504787216687e-08|Running
-535.2265625,126.61360931396484,384.8639831542969|0.9487663507461548,-3.383290536618233e-09,0.3159785270690918|3.671708270758245e-09,1,-3.174348839340979e-10|Running
-534.720458984375,126.61360931396484,385.0325622558594|0.9487663507461548,2.9545621060833582e-08,0.3159785270690918|-3.949992333218688e-08,1,2.5098461975403552e-08|Running
-534.21435546875,126.61360931396484,385.2011413574219|0.9487663507461548,6.244638939278957e-08,0.3159785270690918|-8.263465645086399e-08,1,5.0492658942857815e-08|Running
-533.708251953125,127.4892807006836,385.3697204589844|0.9487663507461548,9.531903799597785e-08,0.3159785270690918|-1.2573254082326457e-07,1,7.586517369873036e-08|Jumping
-533.2021484375,128.31385803222656,385.5382995605469|0.9487663507461548,8.138915319477746e-08,0.3159785270690918|-1.0720451371071249e-07,1,6.431726973232799e-08|Freefall
-532.696044921875,129.08392333984375,385.7068786621094|0.9487663507461548,6.747116998440106e-08,0.3159785568714142|-8.869231038488579e-08,1,5.2779224546384285e-08|Freefall
-532.18994140625,129.79949951171875,385.8754577636719|0.9487663507461548,5.356509191756231e-08,0.3159785568714142|-7.019593084578446e-08,1,4.12510310354719e-08|Freefall
-531.683837890625,130.4605712890625,386.0440368652344|0.9487663507461548,3.967089412526548e-08,0.3159785568714142|-5.171535377712644e-08,1,2.9732678541449786e-08|Freefall
-531.177734375,131.06715393066406,386.2126159667969|0.9487663507461548,2.5788569502083192e-08,0.3159785568714142|-3.325056141534333e-08,1,1.8224161735247435e-08|Freefall
-530.671630859375,131.61923217773438,386.3811950683594|0.94876629114151,1.19181109425881e-08,0.3159787058830261|-1.4801551984078287e-08,1,6.7254610769396095e-09|Freefall
-530.16552734375,132.11680603027344,386.54974365234375|0.9500601291656494,-9.689833380122082e-10,0.3120668828487396|2.669080956252401e-09,1,-5.0207318302852855e-09|Freefall
-529.6588134765625,132.5598907470703,386.7162780761719|0.9514153003692627,-9.681690116281061e-09,0.3079105317592621|1.604740518246217e-08,1,-1.8141820490313876e-08|Freefall
-529.1513671875,132.94847106933594,386.8805236816406|0.9515380859375,-1.527303439274874e-08,0.3075309097766876|2.6460007518380735e-08,1,-3.220706901174708e-08|Freefall
-528.6437377929688,133.2825469970703,387.0444641113281|0.9528464078903198,-1.9570514098177227e-08,0.3034529983997345|3.5438411316590646e-08,1,-4.678434351035321e-08|Freefall
-528.135498046875,133.56211853027344,387.2064208984375|0.9529290795326233,-2.1615184309098368e-08,0.30319327116012573|4.2385302378988854e-08,1,-6.192421153627947e-08|Freefall
-527.627197265625,133.78720092773438,387.3680419921875|0.954214334487915,-2.2400229227059754e-08,0.2991237938404083|4.780875073606694e-08,1,-7.762527332033642e-08|Freefall
-527.1182861328125,133.95777893066406,387.5276794433594|0.9542950987815857,-2.0952484192093834e-08,0.2988658845424652|5.133547276159334e-08,1,-9.381032128885636e-08|Freefall
-526.6092529296875,134.0738525390625,387.6869812011719|0.9543391466140747,-1.9381239724225452e-08,0.2987252473831177|5.4743956923175574e-08,1,-1.1001100119756302e-07|Freefall
-526.1002197265625,134.1354217529297,387.8462829589844|0.9543442726135254,-1.7811519370525275e-08,0.2987089157104492|5.816126602553595e-08,1,-1.261909119421034e-07|Freefall
-525.5911865234375,134.1425018310547,388.0055847167969|0.9543449878692627,-1.6243385303482683e-08,0.2987065315246582|6.157740983780968e-08,1,-1.42356142873723e-07|Freefall
-525.0821533203125,134.09507751464844,388.16485595703125|0.9555675983428955,-1.3635077955598263e-08,0.29477205872535706|6.334591517997978e-08,1,-1.5909317596651817e-07|Freefall
-524.572509765625,133.99314880371094,388.32220458984375|0.9556418061256409,-8.538769691313064e-09,0.2945314645767212|5.8091504939739025e-08,1,-1.5949365206324728e-07|Freefall
-523.935302734375,133.7891082763672,388.5184020996094|0.9568485617637634,1.8167553017534033e-09,0.2905871272087097|2.794425491003949e-08,1,-9.826717217720216e-08|Freefall
-523.5526123046875,133.6258087158203,388.6347351074219|0.9581963419914246,1.1569606606087746e-08,0.2861114740371704|6.5923595471417684e-09,1,-6.251542572499602e-08|Freefall
-523.0416870117188,133.36038208007812,388.7874450683594|0.9605932235717773,3.4006458093926994e-08,0.2779580056667328|-3.0404720519072725e-08,1,-1.726839116145129e-08|Freefall
-522.5294189453125,133.04046630859375,388.93585205078125|0.9630312323570251,7.605799368093358e-08,0.269389808177948|-8.54255617355193e-08,1,2.3050199970953145e-08|Freefall
-522.015869140625,132.66604614257812,389.07958984375|0.9654313921928406,9.832512404273075e-08,0.2606572210788727|-1.1222173412761549e-07,1,3.8430780335829695e-08|Freefall
-521.5009765625,132.23712158203125,389.2186279296875|0.967756450176239,1.2859973708145844e-07,0.2518877387046814|-1.4378905177636625e-07,1,4.1895795277469006e-08|Freefall
-520.98486328125,131.75369262695312,389.3529968261719|0.9700026512145996,1.2985543662580312e-07,0.24309436976909637|-1.4128994507700554e-07,1,2.9602448492482836e-08|Freefall
-520.467529296875,131.2157745361328,389.4826965332031|0.9721688628196716,1.3584626401552669e-07,0.23428133130073547|-1.4179050822349382e-07,1,8.528379780159412e-09|Freefall
-519.9490356445312,130.62335205078125,389.6076965332031|0.9751757979393005,1.5256154028975288e-07,0.22143206000328064|-1.5318398993713345e-07,1,-1.4362059097550173e-08|Freefall
-519.428955078125,129.97642517089844,389.7259826660156|0.9780656099319458,1.5889030180460395e-07,0.2082970142364502|-1.5517851181812148e-07,1,-3.416051086446714e-08|Freefall
-518.9073486328125,129.27499389648438,389.8371887207031|0.9808065295219421,1.567095466725732e-07,0.194983571767807|-1.5096152594651358e-07,1,-4.43396181992739e-08|Freefall
-518.38427734375,128.51907348632812,389.94122314453125|0.9818397164344788,1.693588984608141e-07,0.1897123157978058|-1.6166507066373015e-07,1,-5.6030692974218255e-08|Freefall
-517.860595703125,127.7086410522461,390.042236328125|0.983505129814148,1.4335998343995016e-07,0.18088027834892273|-1.3657142972078873e-07,1,-4.9984912209311005e-08|Freefall
-517.3360595703125,126.84371185302734,390.1388854980469|0.9836330413818359,1.1118408593802087e-07,0.1801833212375641|-1.0553885942954366e-07,1,-4.0917093713233044e-08|Landed
-516.8114013671875,126.23568725585938,390.2348327636719|0.984495997428894,7.967994264390654e-08,0.17540688812732697|-7.530486811901937e-08,1,-3.1598546001987415e-08|Landed
-516.286376953125,126.31159973144531,390.3287353515625|0.9852880239486694,4.822596366693688e-08,0.17090192437171936|-4.505015738232032e-08,1,-2.2460735493723405e-08|Running
-515.760986328125,126.43415832519531,390.42022705078125|0.9852887392044067,1.679891603600936e-08,0.17089776694774628|-1.4677755011405225e-08,1,-1.3675358623288503e-08|Running
-515.235595703125,126.51371765136719,390.51141357421875|0.9852892160415649,-1.460126419772223e-08,0.17089533805847168|1.5668751629505095e-08,1,-4.897665828451636e-09|Running
-514.710205078125,126.55907440185547,390.60260009765625|0.9852889776229858,-4.597461611410836e-08,0.17089663445949554|4.598936698130274e-08,1,3.872517861935876e-09|Running
-514.184814453125,126.58409881591797,390.69378662109375|0.9860546588897705,-7.730514539616706e-08,0.16642194986343384|7.630116982682011e-08,1,1.2426375484153596e-08|Running
-513.6589965820312,126.59776306152344,390.78289794921875|0.9860545992851257,-1.0860892984965176e-07,0.1664223074913025|1.0656999904767872e-07,1,2.1181605802667036e-08|Running
-513.1331176757812,126.60521697998047,390.87164306640625|0.9867995381355286,-8.766131998072524e-08,0.16194641590118408|8.581925925454925e-08,1,1.836972352009525e-08|Running
