KBG|false|14298
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-2.802064358320422e-08,-0.001389597891829908|2.8045247901786752e-08,1,1.7685799491573562e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-7.63069536446892e-08,-0.001389597891829908|7.637395071924402e-08,1,4.816268983631744e-08|Running
-570.1942749023438,4.944838523864746,70.40159606933594|0.9999975562095642,-9.646590370948616e-08,-0.0021984390914440155|9.660549693535359e-08,1,6.339076463746096e-08|Running
-569.9470825195312,4.944838523864746,70.40010070800781|0.9999969005584717,-7.086323705607356e-08,-0.0024874762166291475|7.099378507291476e-08,1,5.239259692757514e-08|Running
-569.5200805664062,4.944838523864746,70.40299987792969|0.9999994039535522,-1.883217848330787e-08,-0.0010644783033058047|1.886517253524289e-08,1,3.098575973581319e-08|Running
-569.0256958007812,5.820509910583496,70.40840148925781|0.9999997019767761,7.803469515010875e-08,0.0007517049089074135|-7.804191426430407e-08,1,9.575730430810836e-09|Jumping
-568.3746948242188,6.842717170715332,70.41841125488281|0.9999942183494568,1.4187133956511389e-07,0.0033999555744230747|-1.4184969643338263e-07,1,-6.604197189119532e-09|Freefall
-567.8416748046875,7.599169731140137,70.42969512939453|0.9999832510948181,1.6787768686299387e-07,0.005790871102362871|-1.6782024658823502e-07,1,-1.0402902539397019e-08|Freefall
-567.3084716796875,8.301122665405273,70.4433822631836|0.9999642372131348,1.7017252673667826e-07,0.008455813862383366|-1.7011153374824062e-07,1,-7.93258170261879e-09|Freefall
-566.7755126953125,8.94857406616211,70.46154022216797|0.9999303817749023,1.7081381997741119e-07,0.011797849088907242|-1.7077758229788742e-07,1,-4.078486437464335e-09|Freefall
-566.242919921875,9.541525840759277,70.48860168457031|0.9998597502708435,2.0468807804263633e-07,0.016746483743190765|-2.0467341244057025e-07,1,-2.5891306876246745e-09|Freefall
-565.7106323242188,10.079977035522461,70.52115631103516|0.999743640422821,2.537436216698552e-07,0.022642286494374275|-2.537169905281189e-07,1,-4.048930968281184e-09|Freefall
-565.3114624023438,10.448050498962402,70.54757690429688|0.9996317625045776,2.867631394565251e-07,0.027136174961924553|-2.8671027507698454e-07,1,-5.8393392343703e-09|Freefall
-564.6461791992188,10.993380546569824,70.59220123291016|0.9994206428527832,2.8079963954041887e-07,0.03403546288609505|-2.8070164148630283e-07,1,-7.658214506989225e-09|Freefall
-564.1139526367188,11.368331909179688,70.6279296875|0.9992481470108032,2.354155270722913e-07,0.0387708842754364|-2.3529729276106082e-07,1,-7.612442232129979e-09|Freefall
-563.5817260742188,11.688783645629883,70.66368865966797|0.9990833401679993,2.0547656731650932e-07,0.04280693084001541|-2.0533330769012537e-07,1,-7.743429897288934e-09|Freefall
-563.1825561523438,11.893357276916504,70.69051361083984|0.9989674091339111,2.036798605331569e-07,0.045432932674884796|-2.0350474017050146e-07,1,-8.479567270569532e-09|Freefall
