aneh pro|false|14975
523.9072875976562,629.9346923828125,546.8871459960938|0.9960886836051941,-3.006890025858411e-08,-0.08835908770561218|2.337275262220828e-08,1,-7.681799729652994e-08|Running
523.9072265625,629.8885498046875,546.886962890625|0.9785841703414917,1.1167715285864688e-07,0.2058476209640503|-9.050994265180634e-08,1,-1.1224602758375113e-07|Running
523.9071655273438,629.8676147460938,546.8869018554688|0.9423296451568604,1.7618975789446267e-07,0.33468616008758545|-1.3760691786046664e-07,1,-1.3899196460442909e-07|Running
523.9072875976562,629.862060546875,546.8870849609375|0.8634914755821228,2.4603988890703476e-07,0.5043641328811646|-1.8921124933513056e-07,1,-1.6388494827879185e-07|Running
523.907470703125,629.8556518554688,546.8872680664062|0.7360731959342957,3.156054049213708e-07,0.676902174949646|-2.414758455415722e-07,1,-2.0366542230476625e-07|Running
523.9075317382812,629.85400390625,546.8873291015625|0.6980661153793335,3.3110083563769876e-07,0.7160333395004272|-2.5328890274067817e-07,1,-2.1547657524934039e-07|Running
524.1306762695312,630.406982421875,547.125|0.6378713846206665,9.676226397914434e-08,0.7701431512832642|-7.185089856420745e-08,1,-6.61314061289886e-08|Running
524.3055419921875,630.8402099609375,547.3112182617188|0.5877681970596313,-8.537711693179517e-08,0.8090293407440186|6.150877140953526e-08,1,6.084354708946194e-08|Jumping
524.5987548828125,631.8666381835938,547.6619873046875|0.5447489619255066,4.047443269428186e-08,0.8385995626449585|-3.921295999020913e-08,1,-2.2791837750446575e-08|Freefall
524.8771362304688,632.8411865234375,547.9949340820312|0.5025303959846497,1.581410060680355e-07,0.8645600080490112|-1.3067733561911155e-07,1,-1.0695814012251503e-07|Jumping
524.9537963867188,633.1095581054688,548.086669921875|0.49068164825439453,1.9019697106159583e-07,0.8713389039039612|-1.5512463846789615e-07,1,-1.3092514450363524e-07|Freefall
525.260498046875,633.8822631835938,548.5257568359375|0.44629180431365967,2.5163316763610055e-07,0.8948879241943359|-2.0479951956531295e-07,1,-1.7905360039094376e-07|Freefall
525.4461669921875,634.3499755859375,548.7915649414062|0.41886788606643677,2.880005354199966e-07,0.9080471992492676|-2.3367017831787962e-07,1,-2.093763669108739e-07|Jumping
525.939453125,635.3723754882812,549.652587890625|0.4149233102798462,2.21911093944982e-08,0.909856379032135|-2.011630861886715e-08,1,-1.5216009785490314e-08|Freefall
526.5667724609375,636.3590087890625,550.9798583984375|0.41470783948898315,-9.14579771915669e-08,0.9099546670913696|7.356170783623384e-08,1,6.698286370010464e-08|Jumping
526.6069946289062,636.4222412109375,551.06494140625|0.41469401121139526,-9.874096207340699e-08,0.909960925579071|7.956455760904646e-08,1,7.225146703149221e-08|Freefall
527.39306640625,637.1314086914062,552.7894287109375|0.41469356417655945,-5.175580142235958e-08,0.9099612236022949|4.324898128515997e-08,1,3.716722218882751e-08|Freefall
527.393310546875,637.131591796875,552.7899169921875|0.41469356417655945,-5.1742315321234855e-08,0.9099611043930054|4.323855407051269e-08,1,3.715715024554811e-08|Jumping
527.862548828125,637.2259521484375,553.8193969726562|0.4146937131881714,6.417816056369929e-09,0.9099609851837158|-3.159402739427719e-09,1,-5.613022491246511e-09|Freefall
528.1087646484375,637.2754516601562,554.359619140625|0.41469377279281616,3.6935976055474384e-08,0.9099610447883606|-2.750564043196846e-08,1,-2.8055662681936155e-08|Freefall
528.4315185546875,637.1376953125,555.0679321289062|0.41469377279281616,8.295734232888208e-08,0.9099609851837158|-6.42197335309902e-08,1,-6.189915779941657e-08|Freefall
528.5225219726562,637.098876953125,555.267578125|0.41469377279281616,9.592864103069587e-08,0.9099610447883606|-7.456774397951449e-08,1,-7.143807323473084e-08|Freefall
528.67578125,636.8677368164062,555.6038208007812|0.42698007822036743,5.8411739445318744e-08,0.9042613506317139|-4.5374463297775947e-08,1,-4.317088908578626e-08|Freefall
528.8187866210938,636.6521606445312,555.91748046875|0.43836918473243713,2.323079684174445e-08,0.8987950086593628|-1.780229297310143e-08,1,-1.7163891641303053e-08|Freefall
528.8225708007812,636.6730346679688,555.9257202148438|0.43836915493011475,-1.9625437386316946e-10,0.8987952470779419|9.756123686699425e-10,1,-2.5748247978185645e-10|Freefall
528.8271484375,636.6984252929688,555.9357299804688|0.43836915493011475,-2.874296889388006e-08,0.8987952470779419|2.3857174014096927e-08,1,2.0343593476468413e-08|Freefall
528.8280639648438,636.70361328125,555.9378051757812|0.43836918473243713,-3.458083241980603e-08,0.8987950086593628|2.853650116207973e-08,1,2.4556555899835075e-08|Freefall
528.8280639648438,636.721923828125,555.9378051757812|0.43836918473243713,-4.11888230189561e-08,0.8987952470779419|3.361841649507369e-08,1,2.9430008652298056e-08|Freefall
528.8280639648438,636.742919921875,555.9378051757812|0.43836915493011475,-4.874552672617938e-08,0.8987952470779419|3.942994908356923e-08,1,3.5003147047518723e-08|Freefall
528.8280639648438,636.7460327148438,555.9378051757812|0.43836918473243713,-4.9877431962386254e-08,0.8987950086593628|4.030044920000364e-08,1,3.5837935286053835e-08|Freefall
528.828125,636.7018432617188,555.93701171875|0.13200920820236206,2.0363304997772502e-07,0.9912484884262085|-1.6382141154736019e-07,1,-1.8361401998845395e-07|Freefall
528.8294677734375,636.6959838867188,555.9759521484375|0.08805419504642487,8.416066066274652e-08,0.9961156845092773|-6.814906328145298e-08,1,-7.846463745408983e-08|Landed
528.8310546875,636.68896484375,556.02294921875|0.03485751524567604,-5.512015022191008e-08,0.9993922710418701|4.0838987303004615e-08,1,5.3729259263946005e-08|Landed
528.8517456054688,636.7228393554688,556.616943359375|0.034878626465797424,-4.7403325709183264e-08,0.9993915557861328|3.586400509902887e-08,1,4.618053850435899e-08|Running
528.8684692382812,636.7500610351562,557.094970703125|0.034895606338977814,-4.11932639110546e-08,0.9993910789489746|3.18603490256919e-08,1,4.0105906151666204e-08|Running
528.8684692382812,636.7501220703125,557.095703125|0.0348956361413002,-4.1183447763160075e-08,0.9993909597396851|3.18540145372026e-08,1,4.009629961387873e-08|Running
528.8860473632812,636.816162109375,557.5995483398438|0.03489574044942856,-1.97705816162852e-08,0.9993908405303955|1.608807664865708e-08,1,1.9220880886905434e-08|Running
528.9059448242188,636.8909301757812,558.1699829101562|0.034895867109298706,4.4728967196761005e-09,0.9993910789489746|-1.7619952163983044e-09,1,-4.4140984201135325e-09|Running
528.9071044921875,636.8952026367188,558.2026977539062|0.0348958745598793,5.863161067765077e-09,0.9993909597396851|-2.7856243978163775e-09,1,-5.7694680144493304e-09|Running
528.9314575195312,637.4976806640625,558.8984375|0.061280518770217896,3.339503251709175e-08,0.9981205463409424|-2.429403522796747e-08,1,-3.196635844915363e-08|Running
528.9473266601562,637.8904418945312,559.35205078125|0.07845903933048248,5.161962945976484e-08,0.9969173669815063|-3.8685058711962483e-08,1,-4.8734669633176964e-08|Jumping
529.05322265625,639.361572265625,560.4796752929688|0.11603832989931107,1.0165897634806242e-07,0.9932448863983154|-8.220891345445125e-08,1,-9.274611301179903e-08|Freefall
529.1106567382812,640.1597900390625,561.0914916992188|0.13636092841625214,1.29368288526166e-07,0.990659236907959|-1.0650882842355713e-07,1,-1.1592749160627136e-07|Jumping
529.3121337890625,641.3567504882812,562.24755859375|0.24708057940006256,3.769795000607701e-07,0.9689953327178955|-3.087331208462274e-07,1,-3.103189953890251e-07|Freefall
529.4100952148438,641.9386596679688,562.8096313476562|0.29985785484313965,5.023941866966197e-07,0.9539839029312134|-4.146615424360789e-07,1,-3.962903747378732e-07|Jumping
529.5603637695312,642.3284301757812,563.2824096679688|0.32706478238105774,4.2431895508343587e-07,0.9450020790100098|-3.511129875732877e-07,1,-3.2749380807217676e-07|Freefall
529.6912841796875,642.66796875,563.6942749023438|0.35055097937583923,3.551030260950938e-07,0.9365438222885132|-2.941582408766408e-07,1,-2.6905908612206986e-07|Freefall
529.7622680664062,642.85205078125,563.9176025390625|0.3631913959980011,3.1713665293864324e-07,0.9317145347595215|-2.6268128294759663e-07,1,-2.3798392589924333e-07|Freefall
530.1026000976562,643.3385009765625,564.7132568359375|0.4108920991420746,2.177087026211666e-07,0.9116842746734619|-1.7500299520634144e-07,1,-1.5992532098607626e-07|Freefall
530.3919067382812,643.7520141601562,565.3895263671875|0.4505775272846222,1.306676580270505e-07,0.8927373290061951|-9.738558048866253e-08,1,-9.721549076857627e-08|Freefall
530.7330322265625,643.9722900390625,566.06103515625|0.45204439759254456,9.127894884386478e-08,0.8919955492019653|-7.725095230171064e-08,1,-6.318204270883143e-08|Freefall
531.0631713867188,644.185546875,566.7109985351562|0.453463077545166,5.314795004096595e-08,0.89127516746521|-5.7708184897364845e-08,1,-3.0270584261415934e-08|Freefall
531.1843872070312,644.2637939453125,566.9495849609375|0.4539835751056671,3.9148783770315276e-08,0.891010046005249|-5.05207822243392e-08,1,-1.8196402606918127e-08|Freefall
531.4746704101562,644.2939453125,567.5191650390625|0.4539870321750641,3.3642857388826997e-09,0.8910083770751953|-3.127869163677133e-08,1,1.2161316398362487e-08|Freefall
531.7803955078125,644.32568359375,568.1190795898438|0.4539905786514282,-3.4322454212087905e-08,0.8910064697265625|-1.1013603362641788e-08,1,4.413270815462056e-08|Freefall
532.1788330078125,644.1519165039062,568.90087890625|0.4539906978607178,-8.332544609856996e-08,0.8910064697265625|1.533632776329341e-08,1,8.57040873825099e-08|Freefall
532.5535278320312,643.9884643554688,569.6361694335938|0.4539908170700073,-1.294162501608298e-07,0.8910064697265625|4.01203195110611e-08,1,1.2480494149258448e-07|Freefall
532.5750732421875,643.9790649414062,569.6784057617188|0.4539908170700073,-1.3206437188273412e-07,0.891006350517273|4.154427912794745e-08,1,1.2705145024938247e-07|Freefall
532.9285278320312,643.64306640625,570.3720092773438|0.4539908170700073,-9.622304730783071e-08,0.8910064697265625|3.59156331342092e-08,1,8.9693728000384e-08|Freefall
533.1048583984375,643.4754638671875,570.7179565429688|0.4539908170700073,-7.834535153961042e-08,0.891006350517273|3.310806562240032e-08,1,7.105964527909236e-08|Freefall
533.3705444335938,643.66455078125,571.2393798828125|0.44337838888168335,-4.199186420805745e-08,0.8963348865509033|2.7740233221607014e-08,1,3.3126521969961686e-08|Landed
533.4953002929688,643.7533569335938,571.4843139648438|0.4383719861507416,-2.4864108993938316e-08,0.898793637752533|2.5374516710030548e-08,1,1.5287859866930376e-08|Running
533.62060546875,643.8410034179688,571.7301635742188|0.38410937786102295,2.2729471638172072e-08,0.9232878684997559|2.1625471191555334e-08,1,-3.361467904028359e-08|Running
533.7156982421875,643.907470703125,571.9166870117188|0.3420177698135376,5.946073855511713e-08,0.9396935105323792|2.0726675487026114e-08,1,-7.082056896479116e-08|Running
533.7371826171875,643.8258666992188,571.9589233398438|0.3187914788722992,7.939915747101622e-08,0.9478249549865723|1.9539870166340734e-08,1,-9.034189929479908e-08|Running
533.7614135742188,643.7338256835938,572.0065307617188|0.2923741042613983,1.0197785371701684e-07,0.9563040137290955|1.8778347765646686e-08,1,-1.1237865749080811e-07|Running
533.761962890625,643.5345458984375,572.007568359375|0.2668043375015259,6.519395157056351e-08,0.9637508392333984|7.460086770549879e-09,1,-6.971132648914136e-08|Running
533.7625122070312,643.342041015625,572.008544921875|0.24192185699939728,2.9036801407755775e-08,0.9702957272529602|-4.5496584277771035e-09,1,-2.879136573596952e-08|Running
533.7667846679688,642.635498046875,572.0255737304688|0.24192169308662415,-4.9753243303030104e-08,0.9702959060668945|-3.0293030306438595e-08,1,5.882926146227874e-08|Freefall
533.7685546875,642.3457641601562,572.0325927734375|0.24192161858081818,-8.206605883742668e-08,0.970295786857605|-4.0850718363572014e-08,1,9.476361384486154e-08|Climbing
533.7987670898438,642.7743530273438,572.1539306640625|0.2419218122959137,-5.5865033488089466e-08,0.9702959060668945|-2.2253994202969807e-08,1,6.312380662620853e-08|Climbing
533.8096313476562,642.9281005859375,572.1974487304688|0.24192185699939728,-4.646411611020085e-08,0.9702957272529602|-1.5581500534267434e-08,1,5.177145467882838e-08|Climbing
533.9006958007812,643.32421875,572.5626220703125|0.24192187190055847,-5.420855320181772e-09,0.9702956676483154|5.5409774546433255e-09,1,4.2052863413744035e-09|Climbing
534.0426025390625,643.94140625,573.1317138671875|0.24192185699939728,5.8535391644909396e-08,0.9702956676483154|3.845537221991435e-08,1,-6.991537304656958e-08|Running
534.0506591796875,643.9764404296875,573.1640014648438|0.24192185699939728,6.216303916062316e-08,0.9702957272529602|4.032230194184194e-08,1,-7.411955493807909e-08|Jumping
534.3792724609375,644.2210693359375,574.4818115234375|0.22676241397857666,4.1973159170538565e-08,0.9739503860473633|2.133542764681806e-08,1,-4.8063277802157245e-08|Freefall
534.4185180664062,644.2503051757812,574.6393432617188|0.22494669258594513,3.953358174157984e-08,0.974371075630188|1.903892155041831e-08,1,-4.496882866078522e-08|Freefall
534.6433715820312,644.5009765625,575.6334838867188|0.17652736604213715,-8.429123177222664e-09,0.9842960834503174|-1.7789755446528943e-08,1,1.1754090145643659e-08|Freefall
534.6964111328125,644.5601196289062,575.8678588867188|0.16504424810409546,-2.008056654290158e-08,0.9862861633300781|-2.687808908774514e-08,1,2.4857532920918857e-08|Freefall
534.80322265625,645.5348510742188,576.4100341796875|0.15157537162303925,-4.4462488801855216e-08,0.9884459972381592|-4.7935589719827476e-08,1,5.233301436646798e-08|Freefall
534.9014282226562,646.4307861328125,576.9083251953125|0.1391703486442566,-6.716869194178798e-08,0.9902684688568115|-6.761973025959378e-08,1,7.733191154102315e-08|Jumping
535.0313110351562,647.5555419921875,577.8070068359375|0.12555283308029175,-2.8406912377931803e-08,0.9920868873596191|-1.1263021093554926e-07,1,4.2887325690799116e-08|Freefall
535.139892578125,648.4957275390625,578.5582275390625|0.11415116488933563,3.577688145739444e-09,0.993463397026062|-1.498901838203892e-07,1,1.362148971395527e-08|Jumping
535.2037963867188,649.0301513671875,579.1192626953125|0.11369842290878296,4.96997678567368e-08,0.9935152530670166|-1.1195563587307333e-07,1,-3.7211894010624746e-08|Freefall
535.27197265625,649.5999145507812,579.7174072265625|0.11321575194597244,9.889001262308739e-08,0.9935704469680786|-7.149000680328754e-08,1,-9.138377521367147e-08|Jumping
535.3505859375,650.1284790039062,580.4088745117188|0.11320826411247253,1.135213523184575e-07,0.9935711622238159|-2.7842087746421385e-08,1,-1.1108352282462874e-07|Freefall
535.40380859375,650.486083984375,580.8765869140625|0.11320319771766663,1.2341915578417684e-07,0.9935718774795532|1.6843993977389005e-09,1,-1.244095528818434e-07|Jumping
535.4727172851562,650.8353271484375,581.4824829101562|0.11320310086011887,9.929981104050967e-08,0.9935721158981323|3.7220221571487855e-08,1,-1.041829591486021e-07|Freefall
535.53564453125,651.1542358398438,582.0357666015625|0.11320295929908752,7.727383888322947e-08,0.9935718774795532|6.967169952076802e-08,1,-8.57118465091844e-08|Freefall
535.6339721679688,651.44287109375,582.8810424804688|0.11726541817188263,5.128686808575367e-08,0.993100643157959|1.1326019233592888e-07,1,-6.501694826965831e-08|Freefall
535.73779296875,651.7476806640625,583.7738037109375|0.12155406922101974,2.3656602010646566e-08,0.9925848245620728|1.5939014019750175e-07,1,-4.335258907417483e-08|Freefall
535.869384765625,651.855224609375,584.7827758789062|0.15690769255161285,8.91398101998675e-08,0.9876135587692261|1.1471250616068573e-07,1,-1.0848282983033641e-07|Freefall
535.8885498046875,651.8709106445312,584.9296264648438|0.16203710436820984,9.876685425069809e-08,0.9867846369743347|1.0801768013379842e-07,1,-1.1782685049865904e-07|Freefall
535.9987182617188,651.814697265625,585.596923828125|0.18393604457378387,8.996696010399319e-08,0.9829384088516235|-1.5193113434008865e-09,1,-9.12442885692144e-08|Freefall
536.074462890625,651.7760009765625,586.0557250976562|0.19894127547740936,8.534126294534872e-08,0.9800114035606384|-7.648001343341093e-08,1,-7.155654202506412e-08|Freefall
536.1767578125,651.5811767578125,586.6687622070312|0.2257571816444397,3.9237136206793366e-08,0.9741839170455933|-1.0831106322939377e-07,1,-1.51769565803761e-08|Freefall
536.2387084960938,651.4631958007812,587.0399780273438|0.24191445112228394,1.1876323924298049e-08,0.9702975749969482|-1.268303009283045e-07,1,1.9381435123477786e-08|Freefall
536.3720092773438,650.8698120117188,587.839111328125|0.2986917197704315,-5.5634188811382046e-08,0.9543499946594238|-8.417045904707265e-08,1,8.463899803246022e-08|Freefall
536.4359741210938,650.5851440429688,588.2224731445312|0.3255692422389984,-8.845294274806292e-08,0.9455181956291199|-6.235941185650518e-08,1,1.1502184804612625e-07|Freefall
536.550048828125,649.457275390625,588.9064331054688|0.3391335904598236,-1.1274051558984866e-07,0.9407382011413574|-1.0454007437488144e-08,1,1.2361124390736222e-07|Freefall
536.5744018554688,649.2166137695312,589.0523681640625|0.34201911091804504,-1.1800628385572054e-07,0.9396929740905762|6.37864538965971e-10,1,1.2534745508219203e-07|Freefall
536.6264038085938,648.0026245117188,589.364013671875|0.34201911091804504,-5.131517255563267e-08,0.9396929740905762|3.7954368536929906e-08,1,4.0794230216079086e-08|Freefall
536.654052734375,647.3576049804688,589.5296020507812|0.34201911091804504,-1.5880402770562796e-08,0.9396929740905762|5.778162659453301e-08,1,-4.131155861841762e-09|Freefall
536.66796875,645.80419921875,589.613037109375|0.34201911091804504,3.232945999798176e-08,0.9396929740905762|6.754326165037128e-08,1,-5.8987929207887646e-08|Freefall
536.6751098632812,645.008056640625,589.65576171875|0.34201911091804504,5.703837757664587e-08,0.9396929740905762|7.254636358311473e-08,1,-8.710357946029035e-08|Freefall
536.6751098632812,644.3574829101562,589.6558227539062|0.34201911091804504,4.790124918940819e-08,0.9396929740905762|-4.5624481970207853e-10,1,-5.0809365603754486e-08|Landed
536.6751098632812,644.0116577148438,589.6558227539062|0.34201911091804504,4.3044124709012976e-08,0.9396929740905762|-3.926306035850757e-08,1,-3.151604488493831e-08|Landed
536.6751098632812,644.0891723632812,589.6558227539062|0.34201911091804504,3.457748931623428e-08,0.9396929740905762|-7.673438773281305e-08,1,-8.867646172916466e-09|Running
536.6751098632812,644.1312866210938,589.6558227539062|0.34201911091804504,2.997814618765915e-08,0.9396929740905762|-9.708998760515897e-08,1,3.435680184793455e-09|Running
536.6751098632812,644.1608276367188,589.6558227539062|0.34201911091804504,-7.257935585869291e-09,0.9396929740905762|-4.21119139559778e-08,1,2.305116098000326e-08|Running
536.6751098632812,644.1781005859375,589.6558227539062|0.34201911091804504,-2.8970628562774436e-08,0.9396929740905762|-1.005369920648036e-08,1,3.448912266890147e-08|Running
536.7015991210938,644.169677734375,589.70361328125|0.4348020553588867,-5.2963301300223975e-08,0.9005262851715088|1.408344729725286e-08,1,5.201381014785511e-08|Running
536.7164306640625,644.1649780273438,589.7302856445312|0.48481184244155884,-6.68360158329051e-08,0.8746184706687927|2.8309404598303445e-08,1,6.072508540455601e-08|Running
536.8778076171875,644.259033203125,590.0213623046875|0.4848118722438812,-3.28808908989231e-08,0.8746187686920166|1.6179019013407014e-08,1,2.8626324422020843e-08|Running
537.0330810546875,644.3494873046875,590.3014526367188|0.48481184244155884,-2.1491497470549348e-10,0.8746185302734375|4.509175699496382e-09,1,-2.253767394932993e-09|Running
537.0448608398438,644.3563232421875,590.3226318359375|0.48481184244155884,2.258840448021715e-09,0.8746184706687927|3.6254317326012142e-09,1,-4.592279445603253e-09|Running
537.6473388671875,644.7261352539062,591.450439453125|0.46477293968200684,8.401670470448153e-08,0.8854302167892456|-2.347432115357151e-08,1,-8.256607486600842e-08|Running
537.737548828125,644.7815551757812,591.6193237304688|0.4617505669593811,9.628490715840599e-08,0.8870097994804382|-2.737999338364716e-08,1,-9.429679437289451e-08|Running
537.9235229492188,644.7816162109375,591.9765625|0.46534860134124756,6.965568388750398e-08,0.8851276636123657|-2.0487259888568587e-08,1,-6.792464546379051e-08|Running
538.136962890625,644.78173828125,592.3865356445312|0.46946820616722107,3.9125591655420067e-08,0.8829493522644043|-1.244537806144308e-08,1,-3.7695123467074154e-08|Running
538.4671630859375,644.6567993164062,592.9961547851562|0.48700037598609924,3.2300917496286274e-09,0.8734019994735718|-2.123532016895524e-09,1,-2.514227936956104e-09|Running
538.7144775390625,644.5632934570312,593.45263671875|0.5000020861625671,-2.3549441507952906e-08,0.8660241961479187|6.064431179453322e-09,1,2.369127116708114e-08|Running
539.0775756835938,644.5467529296875,593.9979858398438|0.5813803672790527,-5.385008350344833e-08,0.8136318922042847|1.8924065869896367e-08,1,5.266263869430077e-08|Running
539.4118041992188,644.5315551757812,594.5000610351562|0.6515012383460999,-8.08892579584608e-08,0.7586479187011719|3.3188978676435e-08,1,7.812138136387148e-08|Running
539.4343872070312,644.530517578125,594.5339965820312|0.6560580730438232,-8.26808914666799e-08,0.7547104358673096|3.423381400580183e-08,1,7.979420502124412e-08|Running
539.803955078125,645.4578247070312,594.9948120117188|0.7258012294769287,1.3891392036669004e-08,0.687904953956604|-3.7221138171616985e-08,1,1.907786284505164e-08|Running
540.1024780273438,646.2069702148438,595.3670654296875|0.7772294282913208,9.253475496961983e-08,0.629217267036438|-9.90145423429567e-08,1,-2.475732685525145e-08|Jumping
540.6792602539062,647.1699829101562,595.8860473632812|0.7870957851409912,6.63443557868959e-08,0.6168310642242432|-6.306179045623139e-08,1,-2.708795854289292e-08|Freefall
541.3199462890625,648.2396240234375,596.4624633789062|0.7978229522705078,3.678528770478806e-08,0.602892279624939|-2.3177282315600678e-08,1,-3.034361384379736e-08|Jumping
541.36376953125,648.3128051757812,596.5018920898438|0.7985479235649109,3.4744481069992617e-08,0.6019312143325806|-2.0449824944535067e-08,1,-3.0592062216783233e-08|Freefall
541.9556274414062,649.0317993164062,596.9481811523438|0.7986030578613281,-1.64234101873717e-08,0.6018579006195068|2.271058185954189e-08,1,-2.8467388446529185e-09|Freefall
542.2951049804688,649.4442138671875,597.2042236328125|0.7986347675323486,-4.5776118895446416e-08,0.6018160581588745|4.747077397837529e-08,1,1.306762698050079e-08|Jumping
542.844970703125,649.9833374023438,597.61865234375|0.7986354231834412,-6.082170500576467e-08,0.6018152236938477|5.503014932628503e-08,1,2.803631282688457e-08|Freefall
543.2267456054688,650.3576049804688,597.9063720703125|0.7986359000205994,-7.126740086960126e-08,0.6018145084381104|6.027840271372042e-08,1,3.8428616733199306e-08|Jumping
543.8848876953125,650.8143920898438,598.4151611328125|0.7867065072059631,-5.90118176546639e-08,0.6173275709152222|4.424960664550781e-08,1,3.9201836443680804e-08|Freefall
544.550537109375,651.2764282226562,598.9298095703125|0.7743326425552368,-4.679850107436323e-08,0.6327787637710571|2.8023507070429332e-08,1,3.9664708850750685e-08|Freefall
544.61181640625,651.3189697265625,598.9771728515625|0.7731788158416748,-4.5684217298003205e-08,0.6341881155967712|2.653015584996865e-08,1,3.9691162356803034e-08|Freefall
545.3052368164062,651.5553588867188,599.5812377929688|0.7414568662643433,4.734425473884585e-08,0.6710007190704346|-4.58732536401385e-08,1,-1.986766662298578e-08|Freefall
546.0402221679688,651.8059692382812,600.2214965820312|0.7059207558631897,1.4571621420600422e-07,0.7082910537719727|-1.1936673161017097e-07,1,-8.676205709434726e-08|Freefall
546.0431518554688,651.8069458007812,600.2240600585938|0.7057753801345825,1.461072116626383e-07,0.7084357142448425|-1.1965251189849369e-07,1,-8.70359997406922e-08|Freefall
546.7131958007812,651.7720336914062,600.9813842773438|0.6166818737983704,3.1511302722719847e-07,0.7872127294540405|-2.651643740136933e-07,1,-1.9256678740475763e-07|Freefall
547.2044067382812,651.7463989257812,601.5364990234375|0.5457568764686584,4.3334566157682275e-07,0.8379435539245605|-3.6332752983980754e-07,1,-2.805167014230392e-07|Freefall
547.767822265625,651.4774169921875,602.3663330078125|0.5387920141220093,2.1160533947295335e-07,0.8424386978149414|-1.7466226154283504e-07,1,-1.3947447996542905e-07|Freefall
547.859619140625,651.43359375,602.50146484375|0.5376541018486023,1.7555304054894805e-07,0.8431655168533325|-1.4404527348688134e-07,1,-1.1635498253781407e-07|Freefall
548.273681640625,651.0559692382812,603.1513061523438|0.5374841690063477,5.4608445765325087e-08,0.8432738780975342|-4.434158284993828e-08,1,-3.649531876703804e-08|Freefall
548.7216796875,650.6474609375,603.8543701171875|0.5373002290725708,-7.622997344469695e-08,0.8433910608291626|6.350789760745101e-08,1,4.992602598008489e-08|Freefall
549.08349609375,650.1282958984375,604.4223022460938|0.5464674830436707,-7.638612942173495e-08,0.8374803066253662|6.251782735944289e-08,1,5.041571782271603e-08|Freefall
549.300537109375,649.8168334960938,604.7630004882812|0.5519351363182068,-7.646970345831505e-08,0.8338870406150818|6.192653501102541e-08,1,5.071462894079559e-08|Freefall
549.70556640625,648.8705444335938,605.3987426757812|0.5807256698608398,-4.88538667298144e-08,0.8140994310379028|3.540940696211692e-08,1,3.4750936350747e-08|Freefall
550.0087280273438,648.1622314453125,605.8745727539062|0.601814329624176,-2.7848843231481624e-08,0.7986360192298889|1.5204461689677373e-08,1,2.3413143424022564e-08|Freefall
550.3328247070312,646.8150024414062,606.3833618164062|0.6234696507453918,-1.103216629161352e-09,0.7818475961685181|-1.2888636824470723e-08,1,1.1688840118040389e-08|Freefall
550.5247802734375,646.0170288085938,606.6846923828125|0.6360764503479004,1.493411971864589e-08,0.7716260552406311|-2.9676201052097895e-08,1,5.108969247658024e-09|Freefall
550.6217651367188,644.6744384765625,606.8368530273438|0.6518698334693909,3.537329007485823e-08,0.7583310604095459|-5.258896607074348e-08,1,-1.4401759784732349e-09|Freefall
550.6477661132812,644.314453125,606.877685546875|0.6560573577880859,4.089788063765809e-08,0.7547110319137573|-5.8754810794425794e-08,1,-3.115573576906172e-09|Landed
550.648193359375,644.1536865234375,606.87841796875|0.6560573577880859,2.7625137732911753e-08,0.7547112703323364|-3.725701347434551e-08,1,-4.216718529903574e-09|Landed
550.6484985351562,644.0211181640625,606.8789672851562|0.6560573577880859,1.668023763556903e-08,0.7547110319137573|-1.952960637652268e-08,1,-5.1247361909645406e-09|Running
550.6484985351562,644.0697021484375,606.8789672851562|0.6560573577880859,-1.2889805667271048e-08,0.7547112703323364|2.3522519043694956e-08,1,-3.368591627861406e-09|Running
550.6484985351562,644.1126098632812,606.8789672851562|0.6560573577880859,-3.9025866982456137e-08,0.7547110319137573|6.157497978165338e-08,1,-1.8163923698466533e-09|Running
550.6484985351562,644.119873046875,606.8789672851562|0.6560573577880859,-2.7679988079398754e-08,0.7547112703323364|4.204951054020967e-08,1,1.233599888905701e-10|Running
550.6484985351562,644.1279907226562,606.8789672851562|0.6560573577880859,-1.5060132696476103e-08,0.7547110319137573|2.033160839687298e-08,1,2.2809132360634976e-09|Running
550.680908203125,644.6891479492188,607.0142211914062|0.3873298466205597,-3.976894191737301e-08,0.9219413995742798|4.270783549031876e-08,1,2.5193498842668305e-08|Running
550.7001342773438,645.0215454101562,607.0943603515625|0.2079102098941803,-5.163396110674512e-08,0.9781479239463806|5.2168704911537134e-08,1,4.169876177684273e-08|Jumping
550.7385864257812,645.7694091796875,607.2632446289062|0.1849895566701889,1.6656169776751995e-08,0.9827406406402588|-6.8007506293099595e-09,1,-1.566853313761385e-08|Freefall
550.78076171875,646.5889892578125,607.4483032226562|0.15975363552570343,9.023810321195924e-08,0.9871569275856018|-6.986936540442912e-08,1,-8.010501773014767e-08|Jumping
550.84423828125,647.425537109375,607.7654418945312|0.12770597636699677,1.2008382554995478e-07,0.9918122291564941|-9.670331735378568e-08,1,-1.0862363808428199e-07|Freefall
550.8831176757812,647.9383544921875,607.9598999023438|0.10799183696508408,1.379598728590281e-07,0.994151771068573|-1.1269119681855955e-07,1,-1.2653012504415528e-07|Jumping
551.005126953125,649.14892578125,608.7569580078125|0.08617056906223297,1.2309946839650365e-07,0.996280312538147|-1.0063410371685677e-07,1,-1.1485499129548771e-07|Freefall
