aneh pro|false|14975
-83.4901123046875,525.8714599609375,969.9798583984375|-0.1478091925382614,2.473981730588548e-08,-0.9890158772468567|-8.006365703749907e-08,1,3.698015405007027e-08|Running
-83.49803924560547,525.8714599609375,969.9268188476562|-0.14780917763710022,2.5475177523048842e-08,-0.9890158772468567|-8.168306209199727e-08,1,3.796570524627896e-08|Running
-83.59356689453125,525.8714599609375,969.2875366210938|-0.1478091925382614,2.9397645207041023e-08,-0.9890158772468567|-8.781591276374456e-08,1,4.2848292025610135e-08|Running
-83.73297119140625,525.8714599609375,968.354736328125|-0.1478091925382614,3.51213991223176e-08,-0.9890158772468567|-9.676509193923266e-08,1,4.997307812004692e-08|Running
-83.73512268066406,525.8714599609375,968.34033203125|-0.14780917763710022,3.5209755111509367e-08,-0.9890158772468567|-9.69032427633465e-08,1,5.008306303011523e-08|Running
-83.86793518066406,525.8714599609375,967.3416137695312|-0.12790267169475555,4.989162416535464e-09,-0.9917867183685303|-1.3976277024596584e-08,1,6.83288581271313e-09|Running
-83.96578216552734,525.8714599609375,966.6057739257812|-0.11320257931947708,-1.841142172054333e-08,-0.993571937084198|4.7669409752870706e-08,1,-2.396174991758926e-08|Running
-84.04169464111328,525.8714599609375,965.8967895507812|-0.09729067236185074,-2.5794639313403422e-08,-0.9952560067176819|6.559487530921615e-08,1,-3.232977974221285e-08|Running
-84.08998107910156,525.8714599609375,965.4457397460938|-0.0871553122997284,-3.064382170236968e-08,-0.9961947202682495|7.706667304319126e-08,1,-3.750330179741468e-08|Running
-84.22346496582031,525.8714599609375,963.9274291992188|-0.0871553122997284,-1.2693140760688948e-08,-0.9961947202682495|2.8334515178585207e-08,1,-1.5220562588069697e-08|Running
-84.25599670410156,525.8714599609375,963.557373046875|-0.0871553048491478,-8.318192357137377e-09,-0.9961947202682495|1.6457494922406113e-08,1,-9.789802746240639e-09|Running
-84.32823944091797,525.8714599609375,962.7317504882812|-0.08715537190437317,1.4179013518855754e-09,-0.9961947202682495|-9.973900816362402e-09,1,2.295916790018282e-09|Running
-84.39581298828125,525.8714599609375,961.95947265625|-0.08715541660785675,1.052433429293842e-08,-0.9961947202682495|-3.4695908368576056e-08,1,1.3600022441551118e-08|Running
-84.5,525.8714599609375,960.768798828125|-0.08715542405843735,2.4530486086860037e-08,-0.9961947202682495|-7.27196010075204e-08,1,3.0986306853719725e-08|Running
-84.54833984375,525.8714599609375,960.21630859375|-0.08715541660785675,3.102939061250254e-08,-0.9961947202682495|-9.036271819695685e-08,1,3.9053599465432853e-08|Running
-84.60160827636719,525.8714599609375,959.6075439453125|-0.08715542405843735,3.50676714333531e-08,-0.9961947202682495|-1.0093589253301616e-07,1,4.403233333505341e-08|Running
-84.6500244140625,525.8714599609375,959.05419921875|-0.08715541660785675,3.873856257996522e-08,-0.9961947202682495|-1.1054716253511288e-07,1,4.855812463233633e-08|Running
-84.77318572998047,525.8714599609375,957.6466064453125|-0.08715542405843735,-2.172180879611574e-09,-0.9961947202682495|7.719010319817698e-09,1,-2.8558015952029336e-09|Running
-84.80255126953125,525.8714599609375,957.31103515625|-0.08715541660785675,-1.192542686823117e-08,-0.9961947202682495|3.5914027307626384e-08,1,-1.511303793222396e-08|Running
-84.88370513916016,525.8714599609375,956.3836059570312|-0.08715542405843735,-1.7354004455683025e-08,-0.9961947202682495|5.095598609727858e-08,1,-2.1878349798498675e-08|Running
-84.95394897460938,525.8714599609375,955.580810546875|-0.08715542405843735,-2.2052855541687677e-08,-0.9961947202682495|6.397596763463298e-08,1,-2.7734245122701395e-08|Running
-84.955078125,525.8714599609375,955.56787109375|-0.08715541660785675,-2.2128515908548252e-08,-0.9961947202682495|6.418560616339164e-08,1,-2.782853414373676e-08|Running
-85.05168151855469,525.8714599609375,954.4638671875|-0.08715542405843735,-1.0352205315200536e-08,-0.9961947202682495|2.881616190109071e-08,1,-1.2912827251909675e-08|Running
-85.10760498046875,525.8714599609375,953.82470703125|-0.08715541660785675,-3.5343783455488165e-09,-0.9961947202682495|8.339228863007975e-09,1,-4.277464604740544e-09|Running
-85.19001007080078,525.8714599609375,952.8828735351562|-0.08715542405843735,6.490399329095453e-09,-0.9961947202682495|-2.1769588798292716e-08,1,8.41977687571216e-09|Running
-85.20928955078125,525.8714599609375,952.66259765625|-0.08715541660785675,8.835264964091039e-09,-0.9961947202682495|-2.881224858697351e-08,1,1.138974958792005e-08|Running
-85.27318572998047,525.8714599609375,951.932373046875|-0.08715542405843735,1.6593501683814793e-08,-0.9961947202682495|-5.211364850765676e-08,1,2.121622166839643e-08|Running
-85.32368469238281,525.8714599609375,951.355224609375|-0.08715541660785675,2.2725872739215447e-08,-0.9961947202682495|-7.053186124039712e-08,1,2.8983397015736045e-08|Running
-85.41100311279297,525.8714599609375,950.3572998046875|-0.08715542405843735,3.330593756345479e-08,-0.9961947202682495|-1.0230844083025659e-07,1,4.238395945321827e-08|Running
-85.4635009765625,525.8714599609375,949.75732421875|-0.08715541660785675,3.966706785263341e-08,-0.9961947202682495|-1.2141371996676753e-07,1,5.044087103556194e-08|Running
-85.5531005859375,525.8714599609375,948.7333374023438|-0.08715542405843735,1.2041629915415797e-08,-0.9961947202682495|-3.649481783440933e-08,1,1.52804986441879e-08|Running
-85.61602783203125,525.8714599609375,948.01416015625|-0.08715541660785675,-7.3601844619020085e-09,-0.9961947202682495|2.314516578394432e-08,1,-9.41323108349934e-09|Running
-85.71841430664062,525.8714599609375,946.8440551757812|-0.08715542405843735,-1.7208401814627905e-08,-0.9961947202682495|5.316339013461402e-08,1,-2.19253113442619e-08|Running
-85.7685546875,525.8714599609375,946.27099609375|-0.08715541660785675,-2.2031743540651405e-08,-0.9961947202682495|6.786535777791869e-08,1,-2.8053326772692344e-08|Running
-85.91868591308594,525.8714599609375,944.5552368164062|-0.08715542405843735,-4.747770621094105e-09,-0.9961947202682495|1.3990294256416291e-08,1,-5.9898934701152484e-09|Running
-85.92108154296875,525.8714599609375,944.52783203125|-0.08715541660785675,-4.47171277784264e-09,-0.9961947202682495|1.3129807463485577e-08,1,-5.637498912136607e-09|Running
-86.00896453857422,525.8714599609375,943.5234375|-0.08715542405843735,5.620330423283804e-09,-0.9961947202682495|-1.8327622086644624e-08,1,7.245251953946763e-09|Running
-86.0736083984375,525.8714599609375,942.78466796875|-0.08715541660785675,1.304336993968036e-08,-0.9961947202682495|-4.146562915252616e-08,1,1.6720951734328082e-08|Running
-86.12493896484375,525.8714599609375,942.1980590820312|-0.08715542405843735,1.8924838585121506e-08,-0.9961947202682495|-5.979846662285127e-08,1,2.4228794970326817e-08|Running
-86.17529296875,525.8714599609375,941.62255859375|-0.08715541660785675,2.4695177458511353e-08,-0.9961947202682495|-7.778493227306171e-08,1,3.1594783678201566e-08|Running
-86.24823760986328,525.8714599609375,940.7888793945312|-0.08715542405843735,3.3039771807352736e-08,-0.9961947202682495|-1.0379547177308268e-07,1,4.224687089049439e-08|Running
-86.2769775390625,525.8714599609375,940.46044921875|-0.08715541660785675,3.632709422163316e-08,-0.9961947202682495|-1.1404222988176116e-07,1,4.6443219048342144e-08|Running
-86.3635025024414,525.8714599609375,939.4716186523438|-0.08715542405843735,1.5753844451182886e-08,-0.9961947202682495|-4.9357328890664576e-08,1,2.0132212341650302e-08|Running
-86.42950439453125,525.8714599609375,938.71728515625|-0.08715541660785675,6.041322997418774e-11,-0.9961947202682495|-1.519595387022843e-11,1,6.19734680240569e-11|Running
-86.4896011352539,525.8714599609375,938.0304565429688|-0.08715542405843735,-1.8425559744628117e-08,-0.9961947202682495|5.806992220414031e-08,1,-2.357638351213609e-08|Running
