Mt Forever|true|20028
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.0992082799532454e-08,1,1.2459716813850719e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.595651255570374e-08,1,1.808698435468159e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7475747466087341,0,0.6641777157783508|2.0939175726653048e-08,1,2.356838990635879e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7417435646057129,0,0.6706835627555847|1.831936913276877e-08,1,2.0260335631405724e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|1.0473630851492999e-08,1.0000001192092896,1.146204908764048e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|2.5287061333756355e-09,1.0000001192092896,2.767345019805134e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|-5.409451997451242e-09,1.0000001192092896,-5.9199525281883325e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|-1.3340847537790523e-08,1.0000001192092896,-1.4599850217678068e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|-2.1265487148980355e-08,1.0000001192092896,-2.327235293364538e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|-1.5549460385955172e-08,1.0000001192092896,-1.7016894560129003e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|-8.411269014629852e-09,1.0000001192092896,-9.205057160954766e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|-2.706189272672077e-09,1.0000001192092896,-2.9615778718294905e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|2.9940301349284937e-09,1.0000001192092896,3.2765827828740157e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|7.266007795436735e-09,1.0000001192092896,7.95171573031439e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|1.2957730000096035e-08,1.0000001192092896,1.4180576712874426e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|1.86446040828514e-08,1.0000001192092896,2.0404133493912013e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|2.0951029355842365e-08,1.0000001192092896,2.2928221099505208e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|1.3132993359477041e-08,1.0000001192092896,1.4372380618965508e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7382198572158813,0,0.6745602488517761|5.321620477616307e-09,1.0000001192092896,5.823832527340755e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7334883213043213,0,0.67970210313797|-2.30874785955848e-09,1,-2.4914439400447463e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7311105132102966,0,0.6822590231895447|-9.913646792369946e-09,1,-1.0623489643535322e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7287237048149109,0,0.6848078966140747|-1.7471418090053703e-08,1.0000001192092896,-1.8591837402937017e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7239217758178711,0,0.6898821592330933|-1.558222528785791e-08,1.0000001192092896,-1.6351071607800804e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7166497707366943,0,0.6974332332611084|-1.0748359535739382e-08,1,-1.1044511083468933e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.710530698299408,0,0.7036662101745605|-5.966863003692424e-09,1,-6.025071552784311e-09|Running
