Mt YNTKTS|true|13374
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,7.994422190904515e-08,-0.07727475464344025|-8.017413222205505e-08,1,1.270668709141276e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,1.1786984543959989e-07,-0.07727475464344025|-1.182145155098624e-07,1,1.1398008231688905e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,8.269137197203236e-08,-0.07727475464344025|-8.293542208548388e-08,1,5.096471855647877e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,4.754298643661059e-08,-0.07727475464344025|-4.7686505411093094e-08,1,-1.1995692633659516e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,1.2424670181587771e-08,-0.07727475464344025|-1.246773884133745e-08,1,-7.490111308960934e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-2.266360965563763e-08,-0.07727475464344025|2.2720904269135644e-08,1,-1.3775158791418107e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-5.772187350316926e-08,-0.07727475464344025|5.78794470129651e-08,1,-2.0054748139930467e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-9.27501559999655e-08,-0.07727475464344025|9.300791958821719e-08,1,-2.6328825231125563e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-1.0964119212530932e-07,-0.07727475464344025|1.0994818211429447e-07,1,-2.81734580109827e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-7.221920128586135e-08,-0.07727475464344025|7.242281441222076e-08,1,-1.6750199838266866e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-3.4829220396659366e-08,-0.07727475464344025|3.4929541925521335e-08,1,-5.3368347935345284e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,2.5287798521844707e-09,-0.07727475464344025|-2.5316617691117926e-09,1,6.066687430195117e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,3.9854825217844336e-08,-0.07727475464344025|-3.996082398316503e-08,1,1.7460351220410786e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,7.714893968113756e-08,-0.07727475464344025|-7.735796714314347e-08,1,2.8844143740158756e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,1.1441115788102252e-07,-0.07727475464344025|-1.1472312166915799e-07,1,4.0218112173917575e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,8.052686695236844e-08,-0.07727475464344025|-8.0747213360155e-08,1,2.73020883678754e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,4.667155195647865e-08,-0.07727475464344025|-4.68003662490446e-08,1,1.4397201486548994e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,1.2845200458855288e-08,-0.07727475464344025|-1.2882559907723135e-08,1,1.503425162141525e-11|Running
