Mt YNTKTS|true|13374
-338.1828308105469,173.49342346191406,-516.1383056640625|-0.013988045044243336,9.155947111594287e-08,-0.9999021887779236|1.0440197684147279e-07,1,9.010791046648592e-08|Freefall
-338.18896484375,173.34034729003906,-516.5757446289062|-0.013980683870613575,9.92549757938832e-08,-0.9999022483825684|1.1173627001426212e-07,1,9.770237596740117e-08|Freefall
-338.1991882324219,173.01707458496094,-517.3048095703125|-0.0124479029327631,1.1202206451343955e-07,-0.999922513961792|1.2377532243590395e-07,1,1.1048988568518325e-07|Freefall
-338.2047119140625,172.78224182128906,-517.7422485351562|-0.012294666841626167,1.1960754875417479e-07,-0.9999244213104248|1.3106610197155533e-07,1,1.1800505461678767e-07|Freefall
-338.21185302734375,172.42144775390625,-518.3255004882812|-0.010661008767783642,1.1758772444636634e-07,-0.999943196773529|1.2758671630308527e-07,1,1.1623412632388863e-07|Freefall
-338.2196350097656,171.89381408691406,-519.0545654296875|-0.010554834268987179,6.96838355906948e-08,-0.999944269657135|7.47277866253171e-08,1,6.88989345576374e-08|Freefall
-338.2257385253906,171.41038513183594,-519.6378173828125|-0.01049111969769001,3.139040316568753e-08,-0.9999449849128723|3.249244784342409e-08,1,3.1051229143486125e-08|Freefall
-338.2318420410156,170.87246704101562,-520.2210693359375|-0.0104872090741992,-6.870463753472222e-09,-0.9999449849128723|-9.702261216659736e-09,1,-6.76908618046923e-09|Freefall
-338.2379455566406,170.79037475585938,-520.8038940429688|-0.008740914054214954,-4.502563655250924e-08,-0.999961793422699|-5.1848914495167264e-08,1,-4.457413282921152e-08|Landed
-338.2431945800781,170.7887420654297,-521.3866577148438|-0.006993710529059172,-7.151470526878256e-08,-0.9999755620956421|-8.084478508862958e-08,1,-7.095103882193143e-08|Landed
-338.2474670410156,170.59097290039062,-521.9696655273438|-0.006993705406785011,-6.331471524845256e-08,-0.9999755620956421|-7.07646563569142e-08,1,-6.282134279445017e-08|Running
-338.2514953613281,170.3093719482422,-522.5524291992188|-0.005246872082352638,-5.5139235399792597e-08,-0.9999862313270569|-6.058328949620773e-08,1,-5.4822116624109185e-08|Running
-338.2546691894531,169.9732666015625,-523.1353759765625|-0.005246871616691351,-4.6970743738938836e-08,-0.9999862313270569|-5.052037721497982e-08,1,-4.6706311707112036e-08|Running
-338.2577209472656,169.58267211914062,-523.7183837890625|-0.005246871616691351,-3.880923316046392e-08,-0.9999862313270569|-4.0466062500854605e-08,1,-3.8597445239929584e-08|Running
-338.260009765625,169.2539520263672,-524.1555786132812|-0.005246871616691351,-3.2692678786361284e-08,-0.9999862313270569|-3.2930959292798434e-08,1,-3.252034019851635e-08|Running
-338.2630615234375,168.8363037109375,-524.7383422851562|-0.005246871616691351,-2.4543368226659368e-08,-0.9999862313270569|-2.289166900482087e-08,1,-2.4423595590405967e-08|Running
-338.26611328125,169.7119598388672,-525.3211059570312|-0.005246871616691351,-1.640102276212474e-08,-0.9999862313270569|-1.286095141495025e-08,1,-1.6333768115828207e-08|Jumping
-338.2699279785156,170.73416137695312,-526.0501708984375|-0.0037146753165870905,-6.307525612925247e-09,-0.999993085861206|-3.103754753208676e-10,1,-6.306416278079041e-09|Freefall
-338.2716064453125,171.30661010742188,-526.4876098632812|-0.00028594964533112943,-4.3129863569468796e-10,-0.9999999403953552|7.2080763580117946e-09,1,-4.333597924954802e-10|Freefall
-338.2718811035156,172.19256591796875,-527.2166748046875|0.0013893183786422014,8.929940342738973e-09,-0.9999990463256836|1.9659346151001955e-08,1,8.957261599107369e-09|Freefall
-338.2710266113281,172.8400115966797,-527.7999267578125|0.0016637592343613505,1.6270060854139956e-08,-0.9999986290931702|2.9596614936622245e-08,1,1.6319324558367043e-08|Freefall
-338.2700500488281,173.43296813964844,-528.3831787109375|0.004903876222670078,2.3450018815651674e-08,-0.9999879598617554|3.946098203755355e-08,1,2.3643814017759723e-08|Freefall
-338.2680358886719,173.8419189453125,-528.8206176757812|0.006754552014172077,2.858881131828639e-08,-0.999977171421051|4.683211329847836e-08,1,2.8905800419920524e-08|Freefall
-338.26312255859375,174.4553680419922,-529.5496826171875|0.006892544683068991,3.699922856981175e-08,-0.9999762177467346|5.917264189747584e-08,1,3.7407968278557746e-08|Freefall
-338.2601013183594,174.78257751464844,-529.9871215820312|0.008612112142145634,4.201375247703254e-08,-0.9999629259109497|6.650455475210038e-08,1,4.258807706492007e-08|Freefall
-338.25384521484375,175.25978088378906,-530.7161865234375|0.010197185911238194,5.020789117793356e-08,-0.9999480247497559|7.873946117342712e-08,1,5.101346189917422e-08|Freefall
-338.24786376953125,175.58023071289062,-531.2994384765625|0.010403143242001534,5.6641180634642296e-08,-0.999945878982544|8.85606041833853e-08,1,5.7565603839293544e-08|Freefall
-338.24176025390625,175.84619140625,-531.8826904296875|0.010466018691658974,6.305868538447612e-08,-0.9999452233314514|9.838309722454142e-08,1,6.409187847111752e-08|Freefall
-338.23565673828125,176.05764770507812,-532.4659423828125|0.010473287664353848,6.946992670009422e-08,-0.9999451637268066|1.0820076568052173e-07,1,7.060702245098582e-08|Freefall
-338.2310791015625,176.1804656982422,-532.9033813476562|0.01047416403889656,7.427469483900495e-08,-0.9999451637268066|1.1555884071867695e-07,1,7.548921843181233e-08|Freefall
-338.22344970703125,176.31704711914062,-533.6324462890625|0.01047419011592865,8.227577552588627e-08,-0.9999451637268066|1.2781195835032122e-07,1,8.361909209497753e-08|Freefall
-338.21734619140625,176.364990234375,-534.2156982421875|0.01047423668205738,8.867048251204324e-08,-0.9999451637268066|1.3760502781678952e-07,1,9.011673540726406e-08|Freefall
-338.21124267578125,176.3584442138672,-534.7989501953125|0.01047423668205738,9.50597254245622e-08,-0.9999451637268066|1.4738975551154e-07,1,9.660882227535694e-08|Freefall
-338.20513916015625,176.29739379882812,-535.3822021484375|0.01047423668205738,1.0144349715801582e-07,-0.9999451637268066|1.5716612722371792e-07,1,1.0309535269925618e-07|Freefall
-338.1990661621094,176.1818389892578,-535.9654541015625|0.021573051810264587,6.857666789983341e-08,-0.9997673034667969|1.0739768185885623e-07,1,7.091006182236015e-08|Freefall
-338.1869201660156,176.0117950439453,-536.5487060546875|0.04285984858870506,2.6417978915560525e-08,-0.9990810751914978|5.6822859306748796e-08,1,2.8879936664338857e-08|Freefall
-338.16241455078125,175.78724670410156,-537.1315307617188|0.052434228360652924,-3.053813202313904e-08,-0.9986243844032288|7.214762121066087e-09,1,-3.02013773989529e-08|Freefall
-338.1395568847656,175.58306884765625,-537.5684204101562|0.05864010378718376,-7.633962439967945e-08,-0.9982792139053345|-2.9588354877319034e-08,1,-7.820926839485765e-08|Freefall
-338.0968017578125,175.17465209960938,-538.2962646484375|0.05907759815454483,-1.0655374893531189e-07,-0.9982534050941467|-6.166737165358427e-08,1,-1.103897133702958e-07|Freefall
-338.0621337890625,174.78660583496094,-538.8785400390625|0.060913462191820145,-1.0553680596103732e-07,-0.9981430768966675|-7.138739022138907e-08,1,-1.1008968670012109e-07|Freefall
-338.0266418457031,174.34405517578125,-539.4608154296875|0.06102566421031952,-1.0457926435947229e-07,-0.9981362223625183|-8.130334805400707e-08,1,-1.0974540032293589e-07|Freefall
-337.9999084472656,173.97637939453125,-539.8975219726562|0.06271743029356003,-1.038739654291021e-07,-0.9980313181877136|-8.855087685333274e-08,1,-1.0964350138920054e-07|Freefall
-337.9542541503906,173.29547119140625,-540.6253662109375|0.06430089473724365,-1.0283421403300963e-07,-0.9979305267333984|-1.0074855083530565e-07,1,-1.0953912266131738e-07|Freefall
-337.9261779785156,172.84603881835938,-541.0618896484375|0.06614748388528824,-1.0231017455453184e-07,-0.9978098273277283|-1.079629328160081e-07,1,-1.096918893495058e-07|Freefall
-337.8779602050781,172.02886962890625,-541.7894287109375|0.06777357310056686,-1.0160997732100441e-07,-0.9977007508277893|-1.2013730099624809e-07,1,-1.1000503974400999e-07|Freefall
-337.8384094238281,172.17242431640625,-542.37109375|0.06799197196960449,-4.833394839920402e-08,-0.9976858496665955|-6.540701491530854e-08,1,-5.290352333986448e-08|Landed
-337.7997131347656,172.5121612548828,-542.9378662109375|0.06805524230003357,4.896532068698889e-09,-0.9976815581321716|-1.075150546370196e-08,1,4.174514067756263e-09|Landed
-337.76019287109375,172.73524475097656,-543.5169677734375|0.06457590311765671,5.828518823136619e-08,-0.9979128241539001|4.386815533052868e-08,1,6.124584928102195e-08|Running
-337.72222900390625,172.86328125,-544.0986938476562|0.061090730130672455,6.896980409010212e-08,-0.9981322288513184|6.054748524775277e-08,1,7.280468139470031e-08|Running
-337.6952209472656,172.92515563964844,-544.5352783203125|0.055860187858343124,6.627941928627479e-08,-0.9984385967254639|6.374806815756529e-08,1,6.994961410100586e-08|Running
-337.6540222167969,172.98965454101562,-545.2631225585938|0.0488818921148777,6.1830476738578e-08,-0.9988045692443848|6.893120740869563e-08,1,6.527800167077658e-08|Running
-337.62493896484375,173.02720642089844,-545.8453979492188|0.03666575998067856,5.8318828877190754e-08,-0.9993276000022888|7.347733088636232e-08,1,6.1053988531512e-08|Running
-337.6025390625,173.06057739257812,-546.4281616210938|0.020952589809894562,5.4867577148343116e-08,-0.9997804760932922|7.817788372221912e-08,1,5.651801515682564e-08|Running
-337.58892822265625,173.0865020751953,-547.0112915039062|0.0017406269907951355,5.149052029196355e-08,-0.9999985098838806|8.299599585370743e-08,1,5.163506244798555e-08|Running
-337.57647705078125,173.9519500732422,-547.5945434570312|-0.017472416162490845,4.818878451828823e-08,-0.9998473525047302|8.771623072334478e-08,1,4.666329189717544e-08|Jumping
-337.58172607421875,174.7628936767578,-548.1777954101562|-0.02698640711605549,4.379342399829511e-08,-0.9996358156204224|9.183190741168801e-08,1,4.1330263655936506e-08|Freefall
-337.593017578125,175.33534240722656,-548.6151123046875|-0.030877454206347466,3.866995967882758e-08,-0.9995231628417969|9.454304006339953e-08,1,3.5767765638183846e-08|Freefall
-337.6155700683594,176.22129821777344,-549.3438720703125|-0.031240662559866905,2.943225219098622e-08,-0.9995118975639343|9.868970352044926e-08,1,2.636198637162579e-08|Freefall
-337.6338806152344,176.86874389648438,-549.9268798828125|-0.03142932429909706,2.203581495052731e-08,-0.9995059967041016|1.019901105792087e-07,1,1.883964095839019e-08|Freefall
-337.6521911621094,177.46170043945312,-550.5098876953125|-0.031440719962120056,1.464669718842515e-08,-0.9995056390762329|1.052826164027465e-07,1,1.1342143224624124e-08|Freefall
-337.6705017089844,178.00015258789062,-551.0928955078125|-0.03144203498959541,7.2640315984529025e-09,-0.9995055794715881|1.0857208110337524e-07,1,3.852208774191013e-09|Freefall
-337.6888122558594,178.48410034179688,-551.6759033203125|-0.031442392617464066,-1.1230905788695011e-10,-0.9995055794715881|1.1185871784391566e-07,1,-3.6312102213997832e-09|Freefall
-337.7071228027344,178.91355895996094,-552.2589111328125|-0.028271591290831566,-7.57408358253997e-09,-0.9996002912521362|1.1514198661188857e-07,1,-1.0833661079345802e-08|Freefall
-337.7237243652344,179.28851318359375,-552.8419189453125|-0.028077440336346626,-1.5291773181047574e-08,-0.9996057748794556|1.1838828584131988e-07,1,-1.8623154574015643e-08|Freefall
-337.7359924316406,179.53396606445312,-553.2791748046875|-0.026327140629291534,-2.1105512004737648e-08,-0.9996533989906311|1.208500890470532e-07,1,-2.429557177663355e-08|Freefall
-337.75140380859375,179.81353759765625,-553.8623046875|-0.02626514621078968,-2.8908678118000353e-08,-0.99965500831604|1.2408202110236743e-07,1,-3.21788107271459e-08|Freefall
-337.7704772949219,180.0863800048828,-554.5913696289062|-0.02468067966401577,-3.870307452302768e-08,-0.999695360660553|1.2816583705443918e-07,1,-4.187905133790082e-08|Freefall
-337.7848815917969,180.2433319091797,-555.1746215820312|-0.02135472744703293,-4.6775891604511344e-08,-0.9997719526290894|1.3151192490568064e-07,1,-4.9595605844388047e-08|Freefall
-337.7974548339844,180.3457794189453,-555.7578735351562|-0.014758349396288395,-5.581487627637216e-08,-0.9998911023139954|1.3496880058028182e-07,1,-5.7813089426872466e-08|Freefall
-337.8062438964844,180.3937225341797,-556.3411254882812|-0.007906705141067505,-6.697570142932818e-08,-0.9999687671661377|1.3831936485075857e-07,1,-6.807147912013534e-08|Freefall
-337.8109436035156,180.38717651367188,-556.9243774414062|0.000650260248221457,-8.092077052879176e-08,-0.9999997615814209|1.4164997708121518e-07,1,-8.08286770848099e-08|Freefall
-337.81072998046875,180.3261260986328,-557.5076293945312|0.007731943856924772,-9.808098866415094e-08,-0.9999700784683228|1.447425859169016e-07,1,-9.696474734255389e-08|Freefall
-337.8062438964844,180.2105712890625,-558.0908813476562|0.01636037789285183,-1.0621585033732117e-07,-0.9998661875724792|1.3490729600107443e-07,1,-1.0402263228570519e-07|Freefall
-337.79937744140625,180.08815002441406,-558.5283203125|0.025325503200292587,-8.7382900915145e-08,-0.9996792674064636|9.84260353220634e-08,1,-8.491744551974989e-08|Freefall
-337.7810974121094,179.81597900390625,-559.2573852539062|0.030407307669520378,-5.9231073379351074e-08,-0.9995375871658325|3.6339073972158076e-08,1,-5.8152988202664346e-08|Freefall
-337.76776123046875,179.61180114746094,-559.6946411132812|0.032861415296792984,-4.327566216488776e-08,-0.9994599223136902|-1.0723140153601207e-09,1,-4.3334303256870044e-08|Freefall
-337.7437744140625,179.20338439941406,-560.4234008789062|0.033067114651203156,-1.6942612646175803e-08,-0.9994531273841858|-6.363504212458793e-08,1,-1.9057260658428277e-08|Freefall
-337.7292175292969,178.91746520996094,-560.8606567382812|0.03316875919699669,-1.1587164561177588e-09,-0.9994497895240784|-1.0114691662010955e-07,1,-4.516119034292387e-09|Freefall
-337.7049560546875,178.37278747558594,-561.5894165039062|0.03470433130860329,1.8218411668158296e-08,-0.9993976354598999|-1.2913481839404994e-07,1,1.3745154348043798e-08|Freefall
-337.6847229003906,178.30470275878906,-562.1718139648438|0.036598846316337585,2.5287056004685837e-08,-0.9993300437927246|-1.1018686052466364e-07,1,2.1268592220735627e-08|Landed
-337.6688232421875,178.30340576171875,-562.6085205078125|0.0384046696126461,3.056102571008523e-08,-0.999262273311615|-9.600498174222594e-08,1,2.6893827609342225e-08|Landed
-337.6410217285156,178.040283203125,-563.3363647460938|0.04015587642788887,3.930236758264982e-08,-0.9991934299468994|-7.237179033836583e-08,1,3.6425593208377904e-08|Running
-337.624267578125,178.02008056640625,-563.7730712890625|0.04190297797322273,4.4517552311162945e-08,-0.9991216659545898|-5.823938309390542e-08,1,4.211413795474073e-08|Running
-337.5963439941406,179.09336853027344,-564.5009155273438|0.041902992874383926,5.320210405557191e-08,-0.9991216659545898|-3.4599622722453205e-08,1,5.179776962904725e-08|Jumping
-337.57830810546875,179.69647216796875,-564.9379272460938|0.041901957243680954,5.8408392789033314e-08,-0.9991217255592346|-2.0427826541435934e-08,1,5.760301746704499e-08|Freefall
-337.55389404296875,180.4529266357422,-565.5206909179688|0.04190201684832573,6.534492058563046e-08,-0.9991217255592346|-1.5463001989957093e-09,1,6.533750962489648e-08|Freefall
-337.52947998046875,181.15487670898438,-566.1034545898438|0.041902028024196625,7.227551890309769e-08,-0.9991217255592346|1.731909549107513e-08,1,7.306540084073276e-08|Freefall
-337.50506591796875,181.8023223876953,-566.6862182617188|0.041902028024196625,7.920019129414868e-08,-0.9991217255592346|3.616837318531907e-08,1,8.078666979827176e-08|Freefall
-337.48065185546875,182.39527893066406,-567.2689819335938|0.041902028024196625,8.611894486421079e-08,-0.9991217255592346|5.5001546428457004e-08,1,8.85013449192229e-08|Freefall
-337.45623779296875,182.93373107910156,-567.8517456054688|0.041902028024196625,9.303177961328402e-08,-0.9991217255592346|7.381862587862997e-08,1,9.620942620358619e-08|Freefall
-337.43182373046875,183.4176788330078,-568.4345092773438|0.040317684412002563,9.99273765955877e-08,-0.9991869330406189|9.278638657406191e-08,1,1.0375266867868049e-07|Freefall
-337.40240478515625,183.94598388671875,-569.1629638671875|0.0402241088449955,1.0847402620584035e-07,-0.9991906881332397|1.1627727047880398e-07,1,1.132428266714669e-07|Freefall
-337.37896728515625,184.30731201171875,-569.7457275390625|0.04016130417585373,1.1530756438560275e-07,-0.9991931915283203|1.3504605078651366e-07,1,1.2082867328899738e-07|Freefall
-337.35552978515625,184.6141357421875,-570.3284912109375|0.040157511830329895,7.92655470149839e-08,-0.9991933703422546|9.910341702834558e-08,1,8.33125000099244e-08|Freefall
-337.33209228515625,184.86647033691406,-570.9112548828125|0.040157075971364975,4.325437430452439e-08,-0.9991933703422546|6.319100975815672e-08,1,4.5828905115286034e-08|Freefall
-337.30865478515625,185.06430053710938,-571.4940185546875|0.040157023817300797,7.273981861288803e-09,-0.9991933703422546|2.7309246419804367e-08,1,8.377397442416168e-09|Freefall
-337.29107666015625,185.17691040039062,-571.9310913085938|0.040157001465559006,-1.9691130503929344e-08,-0.9991933703422546|4.180361612426964e-10,1,-1.969022456194125e-08|Freefall
-337.26763916015625,185.27935791015625,-572.5138549804688|0.03857267647981644,-5.5705989154830604e-08,-0.9992557764053345|-3.5445133050870936e-08,1,-5.711570949529232e-08|Freefall
-337.23944091796875,185.33078002929688,-573.2426147460938|0.03847907856106758,-1.0075941503373542e-07,-0.9992594122886658|-8.019905095579816e-08,1,-1.0392236760026208e-07|Freefall
-337.22259521484375,185.3207550048828,-573.6798706054688|0.038415879011154175,-1.0121426896603225e-07,-0.9992618560791016|-8.41023961584142e-08,1,-1.0452229304291905e-07|Freefall
-337.19451904296875,185.23593139648438,-574.4086303710938|0.036882780492305756,-7.986485428546075e-08,-0.9993196129798889|-7.167978566258171e-08,1,-8.256478167822934e-08|Freefall
-337.1730041503906,185.10675048828125,-574.9916381835938|0.036734115332365036,-6.289201337494887e-08,-0.9993250966072083|-6.162655097341485e-08,1,-6.519982065356089e-08|Freefall
-337.156982421875,184.97410583496094,-575.4288940429688|0.03667401894927025,-5.0177881405488733e-08,-0.9993273019790649|-5.408344705415402e-08,1,-5.2196451605368566e-08|Freefall
-337.1356201171875,184.7495574951172,-576.0119018554688|0.036668505519628525,-3.3238901409049504e-08,-0.9993274807929993|-4.40280274460747e-08,1,-3.487679833824586e-08|Freefall
-337.1089172363281,184.39222717285156,-576.7406616210938|0.03513643518090248,-1.2108207769756518e-08,-0.999382495880127|-3.153343897110972e-08,1,-1.3224346062656878e-08|Freefall
-337.0884094238281,184.04505920410156,-577.3236694335938|0.03340349718928337,4.6571728695710135e-09,-0.999441921710968|-2.1530805582870016e-08,1,3.940167303539965e-09|Freefall
-337.07373046875,183.74891662597656,-577.7609252929688|0.0332392193377018,1.715368291854702e-08,-0.9994474053382874|-1.4017227378815278e-08,1,1.6696986904207733e-08|Freefall
-337.0543212890625,183.30636596679688,-578.3439331054688|0.03160461410880089,3.377942547899693e-08,-0.9995004534721375|-3.979701013179238e-09,1,3.3670467303181795e-08|Freefall
-337.0312805175781,182.67654418945312,-579.0726928710938|0.03149831295013428,5.445768636036519e-08,-0.9995037913322449|8.519109861993002e-09,1,5.4753190426026777e-08|Freefall
-337.0129699707031,182.1113739013672,-579.6557006835938|0.029849061742424965,7.09655409991683e-08,-0.9995543956756592|1.8601330253886772e-08,1,7.155265535629951e-08|Freefall
-336.9955139160156,181.49169921875,-580.2387084960938|0.026576422154903412,8.72511805027898e-08,-0.999646782875061|2.8825057896142425e-08,1,8.804835260889377e-08|Freefall
-336.9799499511719,180.81752014160156,-580.8218383789062|0.023155780509114265,1.0302350261781612e-07,-0.9997318983078003|3.909148560410358e-08,1,1.0395656602213421e-07|Freefall
-336.9664001464844,180.08885192871094,-581.4050903320312|0.02109607122838497,1.1845681768818395e-07,-0.9997774362564087|4.9217558029113206e-08,1,1.1952171519169497e-07|Landed
-336.95404052734375,179.30567932128906,-581.9883422851562|0.019223526120185852,6.899136195670508e-08,-0.9998152256011963|3.1527108035334095e-08,1,6.961028731211627e-08|Landed
-336.94268798828125,178.75369262695312,-582.5715942382812|0.01746131293475628,1.9535576711859903e-08,-0.9998475313186646|1.3749039240451566e-08,1,1.9778669368974988e-08|Running
-336.93487548828125,178.7410430908203,-583.009033203125|0.017459603026509285,-1.752850309344467e-08,-0.9998475909233093|3.3348490635631833e-10,1,-1.7525351836411573e-08|Running
-336.9247131347656,178.78990173339844,-583.59228515625|0.017460210248827934,-6.691031018135618e-08,-0.9998475313186646|-1.7540591201736788e-08,1,-6.722682144300052e-08|Running
-336.9145812988281,179.66555786132812,-584.175537109375|0.015713650733232498,-1.1628250717876654e-07,-0.9998765587806702|-3.5516809049340736e-08,1,-1.168550340935326e-07|Jumping
-336.9052734375,180.49012756347656,-584.7587890625|0.015713613480329514,-1.3086707895126892e-07,-0.9998765587806702|-4.192841984718143e-08,1,-1.315421656045146e-07|Freefall
-336.8961181640625,181.2602081298828,-585.342041015625|0.015713617205619812,-1.107085765283955e-07,-0.9998765587806702|-3.690747618634305e-08,1,-1.1130227051125985e-07|Freefall
-336.8846740722656,182.1461639404297,-586.0711059570312|0.015713604167103767,-8.553467267802262e-08,-0.9998765587806702|-3.063732734176483e-08,1,-8.602671641710913e-08|Freefall
-336.8778076171875,182.63685607910156,-586.508544921875|0.015713674947619438,-7.044323524496576e-08,-0.9998765587806702|-2.687844258275618e-08,1,-7.087434283903349e-08|Freefall
-336.86865234375,183.24343872070312,-587.091796875|0.015713727101683617,-5.0336360857272666e-08,-0.9998765587806702|-2.1870347310937177e-08,1,-5.068628539106612e-08|Freefall
-336.8572082519531,183.92501831054688,-587.8208618164062|0.015713710337877274,-2.5226929878385818e-08,-0.9998765587806702|-1.5616249626759782e-08,1,-2.5475465292856825e-08|Freefall
-336.8480529785156,184.40896606445312,-588.4041137695312|0.01571379043161869,-5.158694360574145e-09,-0.9998765587806702|-1.0617775991761391e-08,1,-5.326197705102231e-09|Freefall
-336.8388977050781,184.8384246826172,-588.9873657226562|0.015713904052972794,1.4892385991061019e-08,-0.9998765587806702|-5.6235740508725485e-09,1,1.4805845438559118e-08|Freefall
-336.8297424316406,185.21337890625,-589.5706176757812|0.017298700287938118,3.4887872146782684e-08,-0.9998503923416138|-6.609850444760923e-10,1,3.488165845055846e-08|Freefall
-336.8197326660156,185.53382873535156,-590.1538696289062|0.018982041627168655,5.4740191046676046e-08,-0.999819815158844|4.250173546438418e-09,1,5.483074971834867e-08|Freefall
-336.8086853027344,185.79978942871094,-590.7371215820312|0.02072150632739067,7.441917659889441e-08,-0.999785304069519|9.107567144894801e-09,1,7.462391948820368e-08|Freefall
-336.79052734375,186.09652709960938,-591.6119995117188|0.02234956994652748,1.0360925273289467e-07,-0.9997501969337463|1.6385271806029778e-08,1,1.0400143679589746e-07|Freefall
-336.7873229980469,186.13406372070312,-591.7578125|0.026109373196959496,1.0842827435908475e-07,-0.9996591210365295|1.72200831372038e-08,1,1.0891501034393514e-07|Freefall
-336.7685852050781,186.27064514160156,-592.4868774414062|0.02608422189950943,1.3241523788565246e-07,-0.9996597766876221|2.3376360402949103e-08,1,1.3307027302289498e-07|Freefall
-336.7533264160156,186.31858825683594,-593.0701293945312|0.02618486061692238,1.5157631594320264e-07,-0.9996570944786072|2.8289226960964697e-08,1,1.5236931005802035e-07|Freefall
-336.7380676269531,186.31204223632812,-593.6533813476562|0.02619094029068947,1.7072079572244547e-07,-0.9996569752693176|3.321115116250439e-08,1,1.7164950349979335e-07|Freefall
-336.72662353515625,186.2713623046875,-594.0908203125|0.026191668584942818,1.5061627323120774e-07,-0.9996569156646729|2.9896799702555654e-08,1,1.5145127463256358e-07|Freefall
-336.7075500488281,186.13543701171875,-594.8198852539062|0.026191702112555504,8.844267540553119e-08,-0.9996569156646729|1.8544541902087985e-08,1,8.895890601934298e-08|Freefall
-336.6922912597656,185.96539306640625,-595.4031372070312|0.02619173564016819,3.8751664988012635e-08,-0.9996569156646729|9.471467166122238e-09,1,3.901312339849028e-08|Freefall
-336.68084716796875,185.80209350585938,-595.840576171875|0.026191750541329384,1.5113071905048514e-09,-0.9996569156646729|2.671752596938859e-09,1,1.5818276688506216e-09|Freefall
-336.6617736816406,185.4617919921875,-596.5696411132812|0.026191720739006996,-6.050286316394704e-08,-0.9996569156646729|-8.65142002481889e-09,1,-6.075029546082078e-08|Freefall
-336.6465148925781,185.1282501220703,-597.1528930664062|0.02619173564016819,-1.1006644484723438e-07,-0.9996569156646729|-1.7701248467005826e-08,1,-1.1056800275355272e-07|Freefall
-336.63507080078125,184.8423309326172,-597.59033203125|0.026191750541329384,-1.472113098088812e-07,-0.9996569156646729|-2.4483540528308367e-08,1,-1.4790330737923796e-07|Freefall
-336.61981201171875,184.4134063720703,-598.173583984375|0.02619173564016819,-1.2497709178660443e-07,-0.9996569156646729|-2.125540454755992e-08,1,-1.2557688933156896e-07|Freefall
-336.6007385253906,183.8006134033203,-598.9026489257812|0.026191720739006996,-9.721105698190513e-08,-0.9996569156646729|-1.72241136908724e-08,1,-9.769570397111238e-08|Freefall
-336.58929443359375,183.39205932617188,-599.340087890625|0.026191750541329384,-8.056568390202301e-08,-0.9996569156646729|-1.4807402415328852e-08,1,-8.098129455902381e-08|Freefall
-336.57403564453125,182.7996368408203,-599.92333984375|0.02619173564016819,-5.8388462065295244e-08,-0.9996569156646729|-1.1587535375667812e-08,1,-5.871210362329293e-08|Freefall
-336.55877685546875,182.1527099609375,-600.506591796875|0.02619173564016819,-3.623020816689859e-08,-0.9996569156646729|-8.370419912751004e-09,1,-3.646195168016675e-08|Freefall
-336.5397033691406,181.2674102783203,-601.2356567382812|0.026191720739006996,-8.559037034672201e-09,-0.9996569156646729|-4.352892712944367e-09,1,-8.676023455223003e-09|Freefall
-336.52825927734375,180.6953582763672,-601.673095703125|0.026191750541329384,8.02946598099652e-09,-0.9996569156646729|-1.944436389678117e-09,1,7.98127608447885e-09|Freefall
-336.5091857910156,179.67381286621094,-602.4021606445312|0.026191720739006996,3.5653329177876e-08,-0.9996569156646729|2.066226745256472e-09,1,3.5719700974823354e-08|Freefall
-336.4939270019531,178.79525756835938,-602.9854125976562|0.02619173564016819,5.773115674401197e-08,-0.9996569156646729|5.271671543738421e-09,1,5.7889092630603045e-08|Freefall
-336.4786682128906,177.86221313476562,-603.5686645507812|0.02619173564016819,7.979009808423143e-08,-0.9996569156646729|8.474376755884805e-09,1,8.00395199007653e-08|Freefall
-336.4634094238281,176.87466430664062,-604.1519165039062|0.026191750541329384,1.0183018872567118e-07,-0.9996569156646729|1.1674342381695624e-08,1,1.0217100765430587e-07|Freefall
-336.45196533203125,176.09823608398438,-604.58935546875|0.026191765442490578,1.1834788438136457e-07,-0.9996569156646729|1.407252092633371e-08,1,1.1875720673515389e-07|Freefall
-336.4328918457031,174.73606872558594,-605.3184204101562|0.026191823184490204,1.4585383212306624e-07,-0.9996569156646729|1.8066064200183973e-08,1,1.4637723211308185e-07|Freefall
-336.42144775390625,173.87789916992188,-605.755859375|0.027827540412545204,1.6232756649969815e-07,-0.9996127486228943|2.020401623781254e-08,1,1.629529009505859e-07|Freefall
-336.4012756347656,172.3794708251953,-606.484619140625|0.0278768427670002,1.3774656792975293e-07,-0.9996113777160645|1.750302658365399e-08,1,1.3828824307893228e-07|Freefall
-336.3890686035156,171.43954467773438,-606.921875|0.031206972897052765,1.0219658719279323e-07,-0.9995129704475403|1.2734061805019792e-08,1,1.0264396621550986e-07|Freefall
-336.37103271484375,170.1386260986328,-607.5048828125|0.03765337914228439,5.404930547570075e-08,-0.9992908835411072|6.258263240965789e-09,1,5.432347549572114e-08|Freefall
-336.3492431640625,168.783203125,-608.087890625|0.04923446103930473,2.617865035858813e-09,-0.9987872242927551|-2.895324258123111e-10,1,2.6067712433075485e-09|Freefall
-336.3275146484375,167.37327575683594,-608.5958251953125|0.06410210579633713,-5.2338855027755926e-08,-0.9979433417320251|-6.26590246355363e-09,1,-5.28492059004293e-08|Landed
