serenity|true|5826
-795.87255859375,371.3005065917969,5.1279168128967285|-0.8333354592323303,1.0373490511028649e-07,-0.5527676343917847|8.722741284827862e-08,1,5.616321985257855e-08|Running
-796.2864990234375,371.3005065917969,4.847597599029541|-0.8327839374542236,1.0687418949828498e-07,-0.553598165512085|8.978059184983067e-08,1,5.7995777069663745e-08|Running
-796.5625,371.3005065917969,4.6607184410095215|-0.8324495553970337,1.1828245050082842e-07,-0.5541008710861206|9.930991495821218e-08,1,6.426981258300657e-08|Running
-796.7005004882812,371.3005065917969,4.5672783851623535|-0.8322930335998535,1.0892004809193168e-07,-0.5543359518051147|9.143537482714237e-08,1,5.9204207758511984e-08|Running
-796.9765014648438,371.3005065917969,4.380399227142334|-0.8319973349571228,9.429695779772373e-08,-0.554779589176178|7.913036625950554e-08,1,5.1300911962925966e-08|Running
-797.2525024414062,371.3005065917969,4.1935200691223145|-0.83172208070755,8.452847310991274e-08,-0.555192232131958|7.090046239000003e-08,1,4.6036291223572334e-08|Running
-797.5285034179688,371.3005065917969,4.006640911102295|-0.8314658999443054,7.896019127429099e-08,-0.5555758476257324|6.619518444495043e-08,1,4.3056509468897275e-08|Running
-797.8045043945312,371.3005065917969,3.8197615146636963|-0.8312274813652039,7.702093540729038e-08,-0.5559324026107788|6.453432632724798e-08,1,4.205228520959281e-08|Running
-798.0805053710938,371.3005065917969,3.6328818798065186|-0.8310057520866394,7.821764569371226e-08,-0.5562638640403748|6.550364162194455e-08,1,4.27562270033377e-08|Running
-798.3565063476562,371.3005065917969,3.446002721786499|-0.830799400806427,8.212447966116088e-08,-0.556571900844574|6.874503810649912e-08,1,4.493784189207872e-08|Running
-798.6325073242188,371.3005065917969,3.2591230869293213|-0.830607533454895,8.837199061417778e-08,-0.5568583011627197|7.394785939141002e-08,1,4.839712985926781e-08|Running
-798.9085083007812,371.3005065917969,3.0722436904907227|-0.8304290175437927,9.664157829547548e-08,-0.5571244359016418|8.084428770871455e-08,1,5.296148231082043e-08|Running
-799.1845092773438,371.3005065917969,2.885364055633545|-0.8302629590034485,1.0665863925396479e-07,-0.5573718547821045|8.920409300117171e-08,1,5.848121276130769e-08|Running
-799.4605102539062,371.3005065917969,2.6984848976135254|-0.8301085233688354,1.1818384137995963e-07,-0.5576018691062927|9.882634799396328e-08,1,6.482625991566238e-08|Running
-799.7359008789062,371.3005065917969,2.5106754302978516|-0.8298740983009338,1.1391902177138036e-07,-0.5579507350921631|9.525066957394301e-08,1,6.2501854358743e-08|Running
-800.0111083984375,371.3005065917969,2.322589635848999|-0.8296014070510864,9.558656444141889e-08,-0.5583560466766357|7.991975792265293e-08,1,5.24486445385719e-08|Running
-800.2862548828125,371.3005065917969,2.134465456008911|-0.8293272852897644,8.168998988367093e-08,-0.5587631464004517|6.830258314494131e-08,1,4.482184223775221e-08|Running
-800.5614013671875,371.3005065917969,1.946336269378662|-0.8290646076202393,7.203602336858239e-08,-0.5591528415679932|6.023653043030208e-08,1,3.951700833226823e-08|Running
-800.8359375,371.3005065917969,1.7572795152664185|-0.8287262916564941,6.756852144462755e-08,-0.559654176235199|5.6508735468696614e-08,1,3.705547158006084e-08|Running
-801.1102905273438,371.3005065917969,1.5679470300674438|-0.828355610370636,7.060729245722541e-08,-0.5602026581764221|5.905800293248831e-08,1,3.8711469585450686e-08|Running
-801.384521484375,371.3005065917969,1.3785765171051025|-0.8279897570610046,8.160656506106534e-08,-0.5607432126998901|6.826176957019925e-08,1,4.47379839840778e-08|Running
-801.6588134765625,371.3005065917969,1.1892006397247314|-0.827641487121582,1.0004092843018952e-07,-0.5612571239471436|8.367663184571938e-08,1,5.4853064312965216e-08|Running
-801.93310546875,371.3005065917969,0.9998242259025574|-0.8273144960403442,1.0628326663209009e-07,-0.5617390275001526|8.888733304956986e-08,1,5.829307170301945e-08|Running
-802.0435791015625,371.3005676269531,0.947020947933197|-0.6725501418113708,0.006474446039646864,-0.7400232553482056|0.007539637386798859,0.9999697804450989,0.0018965160707011819|Running
-802.169921875,371.3004150390625,0.9255423545837402|-0.5503584742546082,0.008965222164988518,-0.8348803520202637|0.009428349323570728,0.999945342540741,0.00452251685783267|Running
-802.2803955078125,371.3001403808594,0.9010329246520996|-0.4508267641067505,0.007759973406791687,-0.8925777077674866|0.008588874712586403,0.9999536275863647,0.0043553845025599|Running
-802.391357421875,371.30029296875,0.8703597784042358|-0.3887917101383209,0.005308218766003847,-0.9213103652000427|0.0065115466713905334,0.999974250793457,0.0030135847628116608|Running
-802.4926147460938,371.30029296875,0.8460766673088074|-0.310973584651947,0.004105851054191589,-0.9504097104072571|0.005994548089802265,0.9999792575836182,0.0023585825692862272|Running
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
