serenity|true|5826
527.9962158203125,818.4800415039062,30.793201446533203|-0.0756751149892807,-1.0567845976083845e-07,0.9971325397491455|-8.679286622736981e-09,1,1.0532366445659136e-07|Running
527.9708862304688,818.4800415039062,31.125566482543945|-0.0711490660905838,-1.196209211684618e-07,0.9974656701087952|-9.641564879814268e-09,1,1.1923711440431362e-07|Running
527.9348754882812,818.4800415039062,31.624265670776367|-0.06209457665681839,-8.820565255973634e-08,0.9980702996253967|-6.698734456023203e-09,1,8.795943529094075e-08|Running
527.9239501953125,818.4800415039062,31.790571212768555|-0.05756393447518349,-7.773834198587792e-08,0.9983417987823486|-5.6795674829857035e-09,1,7.753997977033578e-08|Running
527.9041137695312,818.4800415039062,32.12330627441406|-0.04849966987967491,-5.681161496795539e-08,0.9988232254981995|-3.736162490497463e-09,1,5.6697132322369725e-08|Running
527.8870849609375,818.4800415039062,32.456199645996094|-0.043966468423604965,-3.589505936929527e-08,0.9990330338478088|-2.240014618237751e-09,1,3.583122420991458e-08|Running
527.8719482421875,818.4800415039062,32.789188385009766|-0.0394330732524395,-1.4989110397323202e-08,0.9992222189903259|-8.391277117603124e-10,1,1.4967662664844283e-08|Running
527.8583374023438,818.4800415039062,33.12224197387695|-0.03489958122372627,5.905805622319349e-09,0.9993908405303955|4.665398622982764e-10,1,-5.893113552701834e-09|Running
527.8403930664062,818.4800415039062,33.62192153930664|-0.030362511053681374,3.722763963764919e-08,0.9995389580726624|2.2954267375752124e-09,1,-3.7175084344198694e-08|Running
527.829833984375,818.4800415039062,33.9550895690918|-0.030362511053681374,5.809770087239485e-08,0.9995389580726624|3.5318614699519912e-09,1,-5.801721414400163e-08|Running
527.82470703125,818.4930419921875,34.12167739868164|-0.030362511053681374,6.852938128076858e-08,0.9995389580726624|4.14988088337509e-09,1,-6.843493594033134e-08|Running
527.8145751953125,818.5341186523438,34.45485305786133|-0.030362511053681374,8.938605589037252e-08,0.9995389580726624|5.385523138556891e-09,1,-8.926369332584727e-08|Running
527.804443359375,818.609130859375,34.78803253173828|-0.030362511053681374,1.1023380608321531e-07,0.9995389580726624|6.620637815757391e-09,1,-1.1008354050545677e-07|Running
527.7943115234375,818.7215576171875,35.14373016357422|-0.030362511053681374,9.559786207091747e-08,0.9995389580726624|5.731692898081064e-09,1,-9.546784696112809e-08|Running
527.7841796875,818.8665161132812,35.52945327758789|-0.030362511053681374,8.096817083469432e-08,0.9995389580726624|4.84312723258995e-09,1,-8.08584061928741e-08|Running
527.7740478515625,819.005126953125,35.9452018737793|-0.030362511053681374,6.634473947997321e-08,0.9995389580726624|3.954941707462467e-09,1,-6.625521109526744e-08|Running
527.763916015625,819.119873046875,36.39097595214844|-0.030362511053681374,5.1727564454040476e-08,0.9995389580726624|3.0671354345201962e-09,1,-5.1658258115594435e-08|Running
527.7537841796875,819.2094116210938,36.86677551269531|-0.030362511053681374,3.7116642204182426e-08,0.9995389580726624|2.1797086358077422e-09,1,-3.706755080656876e-08|Running
527.74365234375,819.27734375,37.37260055541992|-0.030362511053681374,2.2511965624971708e-08,0.9995389580726624|1.2926612003028026e-09,1,-2.24830838391199e-08|Running
527.7335205078125,819.328125,37.905059814453125|-0.030362511053681374,7.91353649276516e-09,0.9995389580726624|4.0599279493847007e-10,1,-7.904853660534172e-09|Running
527.723388671875,819.3657836914062,38.44529724121094|-0.030362511053681374,-6.678649633329314e-09,0.9995389580726624|-4.802966913075579e-10,1,6.66714017327763e-09|Running
527.7132568359375,819.3935546875,38.986629486083984|-0.030362511053681374,-2.1264595417846976e-08,0.9995389580726624|-1.3662073694575838e-09,1,2.1232903435475237e-08|Running
527.6980590820312,819.4219970703125,39.798866271972656|-0.030362511053681374,-4.313181634074681e-08,0.9995389580726624|-2.6943636211029798e-09,1,4.3069867672329565e-08|Running
527.6929931640625,819.4288940429688,40.06962203979492|-0.030362511053681374,-5.041777484393606e-08,0.9995389580726624|-3.136893189648049e-09,1,5.03457400213847e-08|Running
527.6777954101562,819.4440307617188,40.88188934326172|-0.03036322630941868,-7.226629605838752e-08,0.9995389580726624|-4.463950098454461e-09,1,7.216402764242957e-08|Running
527.6727294921875,819.4476928710938,41.152645111083984|-0.030364418402314186,-7.954602665449784e-08,0.9995388984680176|-4.906187900388659e-09,1,7.943367563711945e-08|Running
527.66259765625,819.453369140625,41.694156646728516|-0.030362749472260475,-9.410081247551716e-08,0.9995389580726624|-5.790074641964793e-09,1,9.396833178243469e-08|Running
527.6524658203125,819.4573974609375,42.23566818237305|-0.03036489337682724,-1.0864938104759858e-07,0.9995388984680176|-6.673917862798362e-09,1,1.0849675646795731e-07|Running
527.6372680664062,819.4613647460938,43.047935485839844|-0.025826245546340942,-1.1245750641819541e-07,0.9996664524078369|-6.46345688082306e-09,1,1.1232804553173992e-07|Running
527.6326904296875,819.4622802734375,43.31870651245117|-0.025826245546340942,-1.0172772846317457e-07,0.9996664524078369|-5.862550001012323e-09,1,1.0161021180010721e-07|Running
527.6239624023438,819.463623046875,43.86025619506836|-0.025826722383499146,-8.027505060681506e-08,0.9996664524078369|-4.661169672459664e-09,1,8.018141528509659e-08|Running
527.6109619140625,819.4647827148438,44.67259216308594|-0.0258274357765913,-4.811322895648118e-08,0.9996663928031921|-2.8600461998706805e-09,1,4.8055394330503987e-08|Running
527.6066284179688,819.4649658203125,44.9433708190918|-0.025828389450907707,-3.739720710882466e-08,0.9996663928031921|-2.2599548898938338e-09,1,3.73512989426672e-08|Running
527.5936279296875,819.4652709960938,45.755706787109375|-0.025826720520853996,-5.262890123702846e-09,0.9996664524078369|-4.602508929529847e-10,1,5.2527555638448575e-09|Running
527.5892944335938,819.4651489257812,46.026485443115234|-0.025828389450907707,5.443969275376048e-09,0.9996663928031921|1.3936449216878088e-10,1,-5.4421853690200805e-09|Running
527.5806274414062,819.4647827148438,46.56804275512695|-0.0258271973580122,2.6850820233903505e-08,0.9996663928031921|1.3382221997204624e-09,1,-2.6825206944636193e-08|Running
527.5719604492188,819.4642944335938,47.10960006713867|-0.0258271973580122,4.8248509187942545e-08,0.9996663928031921|2.5365736178173393e-09,1,-4.8199073177102036e-08|Running
527.5632934570312,819.4638061523438,47.65115737915039|-0.025826483964920044,6.963703924611764e-08,0.9996664524078369|3.734378140052286e-09,1,-6.956379650091549e-08|Running
527.5546264648438,819.4633178710938,48.19271469116211|-0.025826483964920044,9.101641751385614e-08,0.9996664524078369|4.9317052663866434e-09,1,-9.091937869243338e-08|Running
527.5459594726562,819.4628295898438,48.73427200317383|-0.025826483964920044,1.1238666530744013e-07,0.9996664524078369|6.128520801951254e-09,1,-1.1226583040979676e-07|Running
527.5372924804688,819.4623413085938,49.27582931518555|-0.025826483964920044,9.753212282248569e-08,0.9996664524078369|5.336846076176016e-09,1,-9.742679196733661e-08|Running
527.5286254882812,819.4618530273438,49.817386627197266|-0.02582910656929016,8.268393258958895e-08,0.9996663928031921|4.545765097674348e-09,1,-8.259407735522473e-08|Running
527.5199584960938,819.4613647460938,50.358943939208984|-0.02582910656929016,6.784208750332255e-08,0.9996663928031921|3.754766719765712e-09,1,-6.776771499517054e-08|Running
527.5112915039062,819.4608764648438,50.9005012512207|-0.02582910656929016,5.300658756368648e-08,0.9996663928031921|2.964106293745772e-09,1,-5.2947690676319326e-08|Running
527.5026245117188,819.4603881835938,51.44205856323242|-0.02582910656929016,3.8177425665253395e-08,0.9996663928031921|2.1737833755253178e-09,1,-3.8134000845957416e-08|Running
527.4939575195312,819.4598999023438,51.98361587524414|-0.02582910656929016,2.335460358438013e-08,0.9996663928031921|1.3837979651043497e-09,1,-2.332664372772797e-08|Running
527.48095703125,819.4591674804688,52.79595184326172|-0.02582886815071106,1.1322524029466763e-09,0.9996663928031921|1.9944722262632553e-10,1,-1.127477000650856e-09|Running
527.4722900390625,819.4586791992188,53.33750915527344|-0.02582886815071106,-1.3674730681145775e-08,0.9996663928031921|-5.896944044181396e-10,1,1.3664057441076238e-08|Running
527.463623046875,819.4581909179688,53.879066467285156|-0.021292071789503098,-2.847338365086216e-08,0.9997733235359192|-1.3164844769875117e-09,1,2.8451802691620287e-08|Running
527.4561157226562,819.4578247070312,54.420650482177734|-0.0212923102080822,-4.326571456658712e-08,0.9997732639312744|-2.104958429782755e-09,1,4.3230695467855185e-08|Running
527.4525146484375,819.4576416015625,54.691444396972656|-0.02128944918513298,-5.0659505035355323e-08,0.999773383140564|-2.498941942263855e-09,1,5.061777841319781e-08|Running
527.44189453125,819.4570922851562,55.50382614135742|-0.021290162578225136,-7.283140490699225e-08,0.9997733235359192|-3.680794335991777e-09,1,7.276953084556226e-08|Running
527.434814453125,819.4567260742188,56.045413970947266|-0.021291116252541542,-8.760476788438609e-08,0.9997733235359192|-4.468319936279386e-09,1,8.752947877610495e-08|Running
527.427734375,819.4563598632812,56.58700180053711|-0.016753405332565308,-1.0236951908382252e-07,0.999859631061554|-4.8581392242397214e-09,1,1.0230248648213092e-07|Running
527.4218139648438,819.4560546875,57.12861633300781|-0.016754120588302612,-1.1712796066376541e-07,0.999859631061554|-5.644995137998876e-09,1,1.1704981517368651e-07|Running
527.4161987304688,819.455810546875,57.67023468017578|-0.01675531268119812,-1.1367560404096366e-07,0.999859631061554|-5.533887126318859e-09,1,1.1359882989836478e-07|Running
527.4105834960938,819.45556640625,58.21185302734375|-0.016753405332565308,-9.202413053799319e-08,0.999859631061554|-4.5249683999770696e-09,1,9.19612332950237e-08|Running
527.4049682617188,819.455322265625,58.75347137451172|-0.016753405332565308,-7.038192251229702e-08,0.999859631061554|-3.516697155703241e-09,1,7.03328737472475e-08|Running
527.3993530273438,819.455078125,59.29508972167969|-0.012215347960591316,-4.875212056276723e-08,0.9999253749847412|-2.189613601544238e-09,1,4.8729010160286634e-08|Running
527.3948974609375,819.454833984375,59.836727142333984|-0.012215347960591316,-2.7131580537798072e-08,0.9999253749847412|-1.1822038903375187e-09,1,2.7119163803490665e-08|Running
527.392822265625,819.4547119140625,60.107547760009766|-0.012216540053486824,-1.6324777973864002e-08,0.9999253749847412|-6.786927131408049e-10,1,1.631770452092951e-08|Running
527.3887329101562,819.4544677734375,60.64918899536133|-0.012216540053486824,5.281894477349169e-09,0.9999253749847412|3.2807156991054853e-10,1,-5.2782804793594096e-09|Running
527.3847045898438,819.4542236328125,61.19083023071289|-0.007679424248635769,2.6875731862219254e-08,0.9999704957008362|1.3104528573393281e-09,1,-2.6866461055874424e-08|Running
527.3817138671875,819.4541015625,61.73248291015625|-0.007679424248635769,4.846033263561367e-08,0.9999704957008362|2.316356662035446e-09,1,-4.844397594183647e-08|Running
527.3790893554688,819.4539794921875,62.274139404296875|-0.007679424248635769,7.003570345887056e-08,0.9999704957008362|3.3218305883764288e-09,1,-7.001225554859047e-08|Running
527.3765258789062,819.453857421875,62.8157958984375|-0.007679424248635769,9.160184077927624e-08,0.9999704957008362|4.326874414317672e-09,1,-9.157130875792063e-08|Running
527.3739624023438,819.4537353515625,63.357452392578125|-0.007679424248635769,1.1315875525497177e-07,0.9999704957008362|5.331489028037595e-09,1,-1.1312114622796798e-07|Running
527.3713989257812,819.45361328125,63.89910888671875|-0.007679424248635769,9.822539936976682e-08,0.9999704957008362|4.62146454438539e-09,1,-9.81928067744775e-08|Running
527.3688354492188,819.4534912109375,64.44076538085938|-0.007679424248635769,8.329843836918371e-08,0.9999704957008362|3.911743373663512e-09,1,-8.327084799475415e-08|Running
527.3662719726562,819.453369140625,64.982421875|-0.007679424248635769,6.837785804236773e-08,0.9999704957008362|3.202325959961172e-09,1,-6.835528409965264e-08|Running
527.3624267578125,819.4531860351562,65.79490661621094|-0.007679424248635769,4.600896730266868e-08,0.9999704957008362|2.13876827359627e-09,1,-4.599389669124321e-08|Running
527.3611450195312,819.453125,66.06573486328125|-0.007679424248635769,3.8555857173605546e-08,0.9999704957008362|1.7844005162359622e-09,1,-3.854329122532363e-08|Running
527.3572998046875,819.4529418945312,66.87821960449219|-0.007679424248635769,1.620610490249419e-08,0.9999704957008362|7.217516584390182e-10,1,-1.620103873278822e-08|Running
527.354736328125,819.4528198242188,67.41987609863281|-0.007679424248635769,1.3142379406971827e-09,0.9999704957008362|1.3697598610917794e-11,1,-1.3141714383380076e-09|Running
527.3521728515625,819.4526977539062,67.96153259277344|-0.007679424248635769,-1.357125611889387e-08,0.9999704957008362|-6.940538144206698e-10,1,1.3566325840486115e-08|Running
527.3508911132812,819.45263671875,68.23236083984375|-0.007679901085793972,-2.101161378220695e-08,0.9999704957008362|-1.0478226064591922e-09,1,2.1004186834261418e-08|Running
527.3457641601562,819.452392578125,69.315673828125|-0.007679901085793972,-5.075713005453508e-08,0.9999704957008362|-2.4621156224924334e-09,1,5.07397146520816e-08|Running
527.344482421875,819.4523315429688,69.58650207519531|-0.007679901085793972,-5.818953141556449e-08,0.9999704957008362|-2.8154998332752257e-09,1,5.816962200810849e-08|Running
527.3419189453125,819.4522094726562,70.12815856933594|-0.007679901085793972,-7.304956284315267e-08,0.9999704957008362|-3.5220415472991817e-09,1,7.302466542569164e-08|Running
527.33935546875,819.4520874023438,70.66981506347656|-0.007679901085793972,-8.790323136054212e-08,0.9999704957008362|-4.22828128066044e-09,1,8.787335303850341e-08|Running
527.3367919921875,819.4519653320312,71.21147155761719|-0.007679901085793972,-1.0275054762587388e-07,0.9999704957008362|-4.934218367225185e-09,1,1.0271568839925749e-07|Running
527.334228515625,819.4518432617188,71.75312805175781|-0.007679901085793972,-1.1759151163914794e-07,0.9999704957008362|-5.639853473127232e-09,1,1.1755167150795387e-07|Running
527.3316650390625,819.4517211914062,72.29478454589844|-0.007679901085793972,-9.766550590484258e-08,0.9999704957008362|-4.680584364535889e-09,1,9.763244435134766e-08|Running
527.3291015625,819.4515991210938,72.83644104003906|-0.007679901085793972,-7.774802668336633e-08,0.9999704957008362|-3.7217255943744476e-09,1,7.772173660214321e-08|Running
527.3278198242188,819.4515380859375,73.10726928710938|-0.007679901085793972,-6.779248451493913e-08,0.9999704957008362|-3.24245008620494e-09,1,6.776957661713823e-08|Running
527.323974609375,819.4513549804688,73.91975402832031|-0.007679901085793972,-3.793863001533282e-08,0.9999704957008362|-1.8052391803635714e-09,1,3.792588287865328e-08|Running
527.3226928710938,819.4512939453125,74.19058227539062|-0.007679901085793972,-2.7991601925236864e-08,0.9999704957008362|-1.3263736775570578e-09,1,2.7982242301050064e-08|Running
527.3201293945312,819.451171875,74.73223876953125|-0.007679901085793972,-8.103935300596277e-09,0.9999704957008362|-3.689497873882175e-10,1,8.101340043253913e-09|Running
527.3162841796875,819.4509887695312,75.54472351074219|-0.007677278947085142,2.171161384012521e-08,0.999970555305481|1.0664402694260389e-09,1,-2.17040660999146e-08|Running
527.3150024414062,819.450927734375,75.8155517578125|-0.007677278947085142,3.164588235904375e-08,0.999970555305481|1.5446922629891446e-09,1,-3.163495421176776e-08|Running
527.3124389648438,819.4508056640625,76.35720825195312|-0.007677278947085142,5.150804227582739e-08,0.999970555305481|2.500889939582862e-09,1,-5.1490360419848e-08|Running
527.3098754882812,819.45068359375,76.89886474609375|-0.007677278947085142,7.136171831234606e-08,0.999970555305481|3.45667960921503e-09,1,-7.133728274766327e-08|Running
527.3060302734375,819.4505004882812,77.71134948730469|-0.007677278947085142,1.0112631088077251e-07,0.999970555305481|4.8895993920439196e-09,1,-1.0109175008210514e-07|Running
527.3047485351562,819.450439453125,77.982177734375|-0.007677278947085142,1.1104359742830638e-07,0.999970555305481|5.367035260661623e-09,1,-1.1100566865707151e-07|Running
527.3021850585938,819.4503173828125,78.52383422851562|-0.007677278947085142,9.562140945718056e-08,0.999970555305481|4.619431503982696e-09,1,-9.558876712389974e-08|Running
527.2996215820312,819.4501953125,79.06549072265625|-0.007677278947085142,8.020582242806995e-08,0.999970555305481|3.872146603356441e-09,1,-8.017845942731583e-08|Running
527.2957763671875,819.4500122070312,79.87797546386719|-0.007677278947085142,5.7094791117151544e-08,0.999970555305481|2.7518176626273316e-09,1,-5.707534711518747e-08|Running
527.2944946289062,819.449951171875,80.1488037109375|-0.007677278947085142,4.9394408563330217e-08,0.999970555305481|2.378534036395763e-09,1,-4.937760422762949e-08|Running
527.2919311523438,819.4498291015625,80.69046020507812|-0.007677278947085142,3.399858528041477e-08,0.999970555305481|1.63220592597213e-09,1,-3.3987053171813386e-08|Running
527.2880859375,819.4496459960938,81.50294494628906|-0.007677278947085142,1.0917186266112822e-08,0.999970555305481|5.133109493016264e-10,1,-1.0913566939052544e-08|Running
527.2868041992188,819.4495849609375,81.77377319335938|-0.007677278947085142,3.2266769256494854e-09,0.999970555305481|1.4050516305985639e-10,1,-3.2256932680496675e-09|Running
527.2842407226562,819.449462890625,82.3154296875|-0.007677278947085142,-1.2149409478467987e-08,0.999970555305481|-6.048677669845404e-10,1,1.2145123129414515e-08|Running
527.2816772460938,819.4493408203125,82.85708618164062|-0.007677278947085142,-2.7518920475699815e-08,0.999970555305481|-1.3499225071100796e-09,1,2.750936722861752e-08|Running
527.2791137695312,819.44921875,83.39874267578125|-0.007677278947085142,-4.288185806444744e-08,0.999970555305481|-2.0946593348725173e-09,1,4.2867043248406844e-08|Running
527.2752685546875,819.4490356445312,84.21122741699219|-0.007677278947085142,-6.591395873556394e-08,0.999970555305481|-3.2111682202184966e-09,1,6.589124268430169e-08|Running
527.272705078125,819.4489135742188,84.75288391113281|-0.007677278947085142,-8.126048101075867e-08,0.999970555305481|-3.955110017273e-09,1,8.123250694325179e-08|Running
527.2701416015625,819.4487915039062,85.29454040527344|-0.007677278947085142,-9.660044497650233e-08,0.999970555305481|-4.698734290542461e-09,1,9.656721289275083e-08|Running
527.2688598632812,819.44873046875,85.56536865234375|-0.007677278947085142,-1.0426796137608108e-07,0.999970555305481|-5.070427189224347e-09,1,1.0423210738963462e-07|Running
527.2662963867188,819.4486083984375,86.10702514648438|-0.007677278947085142,-1.1959808432493446e-07,0.999970555305481|-5.8135753988608485e-09,1,1.1955697232224338e-07|Running
527.2637329101562,819.448486328125,86.648681640625|-0.007677278947085142,-9.946959522721954e-08,0.999970555305481|-4.8339554581389166e-09,1,9.943541101620212e-08|Running
527.2611694335938,819.4483642578125,87.19033813476562|-0.007677278947085142,-7.934970369660732e-08,0.999970555305481|-3.854754293541873e-09,1,7.932244727726356e-08|Running
527.25732421875,819.4481811523438,88.00282287597656|-0.007677278947085142,-4.91860028262181e-08,0.999970555305481|-2.3867368081909035e-09,1,4.91691274362438e-08|Running
527.2560424804688,819.4481201171875,88.27365112304688|-0.007677278947085142,-3.913573465297304e-08,0.999970555305481|-1.897606516365613e-09,1,3.912231960612189e-08|Running
527.2534790039062,819.447998046875,88.8153076171875|-0.007677278947085142,-1.904164292909627e-08,0.999970555305481|-9.196594596971863e-10,1,1.9035143239420904e-08|Running
527.2509155273438,819.4478759765625,89.35696411132812|-0.007677278947085142,1.0438596653727927e-09,0.999970555305481|5.787017393066307e-11,1,-1.0434461072961199e-09|Running
527.2483520507812,819.44775390625,89.89862060546875|-0.007677278947085142,2.1120776239058614e-08,0.999970555305481|1.034982544112495e-09,1,-2.1113452319809767e-08|Running
527.2457885742188,819.4476318359375,90.44027709960938|-0.007677278947085142,4.1189107236050404e-08,0.999970555305481|2.0116777132983543e-09,1,-4.117487861776681e-08|Running
527.2432250976562,819.447509765625,90.98193359375|-0.007677278947085142,6.124886198222157e-08,0.999970555305481|2.9879561047607694e-09,1,-6.122772333583271e-08|Running
527.2406616210938,819.4473876953125,91.52359008789062|-0.007677278947085142,8.130003692485843e-08,0.999970555305481|3.96381771849974e-09,1,-8.127199890850534e-08|Running
527.2380981445312,819.447265625,92.06524658203125|-0.007677278947085142,1.0134263561667467e-07,0.999970555305481|4.939262776559872e-09,1,-1.013077053357847e-07|Running
527.2355346679688,819.4471435546875,92.60690307617188|-0.007677278947085142,1.0366904490410889e-07,0.999970555305481|5.051628004792974e-09,1,-1.0363331881535487e-07|Running
527.2329711914062,819.447021484375,93.1485595703125|-0.007677278947085142,8.829061926007853e-08,0.999970555305481|4.3014658501761005e-09,1,-8.826020092556064e-08|Running
527.2291259765625,819.4468383789062,93.96104431152344|-0.007677278947085142,6.523531226321211e-08,0.999970555305481|3.1768228048179026e-09,1,-6.521284490190737e-08|Running
527.2278442382812,819.44677734375,94.23187255859375|-0.007677278947085142,5.755349619107619e-08,0.999970555305481|2.8021018838586542e-09,1,-5.753367915417584e-08|Running
527.2252807617188,819.4466552734375,94.77352905273438|-0.007677278947085142,4.219478810796318e-08,0.999970555305481|2.0528998501134765e-09,1,-4.21802717198716e-08|Running
527.2227172851562,819.446533203125,95.315185546875|-0.007677278947085142,2.6842650768799103e-08,0.999970555305481|1.3040175605993909e-09,1,-2.6833429700445777e-08|Running
527.2188720703125,819.4463500976562,96.12767028808594|-0.007677278947085142,3.826748695701099e-09,0.999970555305481|1.8129354961704536e-10,1,-3.825469274687521e-09|Running
527.2175903320312,819.4462890625,96.39849853515625|-0.007677278947085142,-3.8419378789456005e-09,0.999970555305481|-1.9278807716904822e-10,1,3.840570972357682e-09|Running
527.2137451171875,819.4461059570312,97.21098327636719|-0.007677278947085142,-2.68381601387091e-08,0.999970555305481|-1.314553910169991e-09,1,2.6828859134298e-08|Running
527.211181640625,819.4459838867188,97.75263977050781|-0.007677278947085142,-4.21607815326297e-08,0.999970555305481|-2.0619987939340945e-09,1,4.2146194090264544e-08|Running
527.2098999023438,819.4459228515625,98.02346801757812|-0.007677278947085142,-4.981963641625953e-08,0.999970555305481|-2.4356014982629404e-09,1,4.9802405754917345e-08|Running
527.2073364257812,819.44580078125,98.56512451171875|-0.007677278947085142,-6.51324327805014e-08,0.999970555305481|-3.182567764881128e-09,1,6.510991568120517e-08|Running
527.2047729492188,819.4456787109375,99.10678100585938|-0.012217970564961433,-8.044138155582914e-08,0.9999253749847412|-4.224840033373312e-09,1,8.039576471219334e-08|Running
527.1990356445312,819.4453125,99.91924285888672|-0.012217970564961433,-1.0339253009306049e-07,0.9999253749847412|-5.344212627989009e-09,1,1.0333494770975449e-07|Running
527.1950073242188,819.445068359375,100.46088409423828|-0.012217970564961433,-1.1868511506918367e-07,0.9999253749847412|-6.090062676378238e-09,1,1.1861956039638244e-07|Running
527.1909790039062,819.44482421875,101.00252532958984|-0.012217970564961433,-9.875662243530314e-08,0.9999253749847412|-5.044823669919651e-09,1,9.870235118114579e-08|Running
527.18896484375,819.4447021484375,101.27334594726562|-0.012217970564961433,-8.87955735606738e-08,0.9999253749847412|-4.522371366277866e-09,1,8.874694401583838e-08|Running
527.1829223632812,819.4443359375,102.08580780029297|-0.012217970564961433,-5.8925202495174744e-08,0.9999253749847412|-2.9556845859701752e-09,1,5.889348742016409e-08|Running
527.180908203125,819.4442138671875,102.35662841796875|-0.012217970564961433,-4.897267302794717e-08,0.9999253749847412|-2.4336785919842896e-09,1,4.8946589004117413e-08|Running
527.1768798828125,819.4439697265625,102.89826965332031|-0.012217970564961433,-2.9073992990902298e-08,0.9999253749847412|-1.3900014472767452e-09,1,2.905917995121854e-08|Running
527.1708374023438,819.443603515625,103.71073150634766|-0.012217970564961433,7.580705507770347e-10,0.9999253749847412|1.7467842450269444e-10,1,-7.559927683864487e-10|Running
527.1668090820312,819.443359375,104.25237274169922|-0.012217970564961433,2.0635480879604984e-08,0.9999253749847412|1.2172413077493616e-09,1,-2.0622149321525285e-08|Running
527.1627807617188,819.443115234375,104.79401397705078|-0.012217970564961433,4.0504389176021505e-08,0.9999253749847412|2.259358922174215e-09,1,-4.0479807950077884e-08|Running
527.1587524414062,819.44287109375,105.33565521240234|-0.012216778472065926,6.03647976049615e-08,0.9999253749847412|3.3009830424646225e-09,1,-6.032897914565183e-08|Running
527.1547241210938,819.442626953125,105.8772964477539|-0.012216778472065926,8.021671504820915e-08,0.9999253749847412|4.342210591090634e-09,1,-8.01696486973924e-08|Running
527.1506958007812,819.4423828125,106.41893768310547|-0.012216778472065926,1.0006014150576448e-07,0.9999253749847412|5.382993606417585e-09,1,-1.0000184147429536e-07|Running
527.1466674804688,819.442138671875,106.96057891845703|-0.012216778472065926,1.0239689629543136e-07,0.9999253749847412|5.489166454708538e-09,1,-1.0233747360643974e-07|Running
527.1426391601562,819.44189453125,107.5022201538086|-0.012216778472065926,8.723820599243481e-08,0.9999253749847412|4.6613282123075805e-09,1,-8.71877645636232e-08|Running
527.140625,819.4417724609375,107.77304077148438|-0.012216778472065926,7.966129089709284e-08,0.9999253749847412|4.247541429691637e-09,1,-7.961534009837123e-08|Running
527.1345825195312,819.44140625,108.58550262451172|-0.012216778472065926,5.6940269388405795e-08,0.9999253749847412|3.006711768449577e-09,1,-5.6907783374526844e-08|Running
527.132568359375,819.4412841796875,108.8563232421875|-0.012216778472065926,4.9369834442813954e-08,0.9999253749847412|2.593278480844674e-09,1,-4.934183550631133e-08|Running
527.1285400390625,819.4410400390625,109.39796447753906|-0.012216778472065926,3.423382111122919e-08,0.9999253749847412|1.7666766938262413e-09,1,-3.4214792776765535e-08|Running
527.1224975585938,819.440673828125,110.2104263305664|-0.012216778472065926,1.1541939848314087e-08,0.9999253749847412|5.274361503104785e-10,1,-1.1536356758767852e-08|Running
527.1204833984375,819.4405517578125,110.48124694824219|-0.012216778472065926,3.981214469206407e-09,0.9999253749847412|1.1453248766057911e-10,1,-3.980112239787559e-09|Running
527.1144409179688,819.440185546875,111.29370880126953|-0.012216778472065926,-1.869126187159509e-08,0.9999253749847412|-1.123649284728856e-09,1,1.8678928626059133e-08|Running
527.1124267578125,819.4400634765625,111.56452941894531|-0.012216778472065926,-2.624552131180735e-08,0.9999253749847412|-1.5362001670737868e-09,1,2.6228711647036107e-08|Running
527.1063842773438,819.439697265625,112.37699127197266|-0.012216778472065926,-4.8898606053171534e-08,0.9999253749847412|-2.7733242369265554e-09,1,4.886837245976494e-08|Running
527.1043701171875,819.4395751953125,112.64781188964844|-0.012216778472065926,-5.644640665991574e-08,0.9999253749847412|-3.1855227344834702e-09,1,5.6411700199987536e-08|Running
527.100341796875,819.4393310546875,113.189453125|-0.012216778472065926,-7.153716552465994e-08,0.9999253749847412|-4.009655718562044e-09,1,7.14935168844022e-08|Running
527.0963134765625,819.4390869140625,113.73109436035156|-0.012216778472065926,-8.662146910864976e-08,0.9999253749847412|-4.833436761941812e-09,1,8.656888184077616e-08|Running
527.09228515625,819.4388427734375,114.27273559570312|-0.012216778472065926,-1.0169932096459888e-07,0.9999253749847412|-5.656865642578168e-09,1,1.0163779506910942e-07|Running
527.0882568359375,819.4385986328125,114.81437683105469|-0.012216778472065926,-1.167707210925073e-07,0.9999253749847412|-6.4799428045603236e-09,1,1.1670027078025669e-07|Running
527.0822143554688,819.438232421875,115.62683868408203|-0.012216778472065926,-1.0287912743933703e-07,0.9999253749847412|-5.696295435342336e-09,1,1.0281721074534289e-07|Running
527.0802001953125,819.4381103515625,115.89765930175781|-0.012216778472065926,-9.217012575390982e-08,0.9999253749847412|-5.0989594768680035e-09,1,9.211470342052053e-08|Running
527.0741577148438,819.4378051757812,116.71012115478516|-0.012216778472065926,-6.005684838328307e-08,0.9999253749847412|-3.3077174332873938e-09,1,6.002092334256304e-08|Running
527.0721435546875,819.437744140625,116.98094177246094|-0.012216778472065926,-4.9357005593719805e-08,0.9999253749847412|-2.7108917333151794e-09,1,4.9327567808177264e-08|Running
527.068115234375,819.4375,117.5225830078125|-0.012216778472065926,-2.7964174975636524e-08,0.9999253749847412|-1.517622805202734e-09,1,2.794772058223316e-08|Running
527.0640869140625,819.437255859375,118.06422424316406|-0.012216778472065926,-6.580494815722204e-09,0.9999253749847412|-3.24863663747621e-10,1,6.5770171531198685e-09|Running
527.06005859375,819.4371337890625,118.60586547851562|-0.012216778472065926,1.4794039771004464e-08,0.9999253749847412|8.673859408503404e-10,1,-1.4784546920054709e-08|Running
