Mount Jirlah|true|19997
272.5897521972656,45.02736282348633,-803.5934448242188|-0.9473937749862671,0,-0.32007041573524475|-1.7395843654455234e-09,1.0000001192092896,5.149090043232718e-09|Running
272.17425537109375,45.74293899536133,-803.7965087890625|-0.97197026014328,0,-0.23510389029979706|-2.698737233686188e-09,1,1.1157163193331598e-08|Running
271.74334716796875,46.40401840209961,-803.9629516601562|-0.9849159717559814,0,-0.173033207654953|-2.474961791065766e-09,1.0000001192092896,1.4087639499393845e-08|Running
270.7290344238281,47.692169189453125,-804.2033081054688|-0.9927229881286621,0,-0.12042068690061569|-1.870073873533329e-09,1,1.5416498300169224e-08|Running
270.1501159667969,48.288597106933594,-804.2720947265625|-0.9978048801422119,0,-0.06622328609228134|-1.008425232207344e-09,1.0000001192092896,1.519422809792559e-08|Jumping
269.4516906738281,48.89189529418945,-804.3170776367188|-0.9980103969573975,0,-0.06304894387722015|-8.078633317865069e-10,1,1.2787779724021675e-08|Freefall
269.2187805175781,49.06574630737305,-804.3312377929688|-0.9976692199707031,0,-0.06823652237653732|-8.136227247490524e-10,1.0000001192092896,1.1895775919867901e-08|Freefall
268.86956787109375,49.30097961425781,-804.354736328125|-0.997660756111145,0,-0.0683600977063179|-7.287716541348743e-10,1.0000001192092896,1.0635837099925993e-08|Freefall
268.28759765625,49.62490463256836,-804.3947143554688|-0.9975423216819763,0,-0.07006721198558807|-6.003673114207686e-10,1.0000001192092896,8.547390351054673e-09|Freefall
267.82208251953125,49.82272720336914,-804.4273681640625|-0.9975293874740601,0,-0.07025155425071716|-4.860944424756042e-10,1.0000001192092896,6.902245441864352e-09|Freefall
266.42572021484375,50.089210510253906,-804.5255126953125|-0.9973633885383606,0,-0.07256992161273956|-1.410901812048948e-10,1.0000001192092896,1.9390702377108937e-09|Freefall
266.0914611816406,50.079185485839844,-804.5491333007812|-0.9953570365905762,0,-0.09625203162431717|-6.812086311702714e-11,1.0000001192092896,7.044483329998741e-10|Freefall
265.5838623046875,49.99436569213867,-804.5848999023438|-0.9951722621917725,0,-0.09814394265413284|1.2907266921935445e-10,1.0000001192092896,-1.3087873007577855e-09|Freefall
265.3981628417969,49.93659210205078,-804.5980224609375|-0.9935070872306824,0,-0.11377037316560745|2.453959258019722e-10,1,-2.142935606741503e-09|Freefall
265.05645751953125,49.78016662597656,-804.6220703125|-0.9931026697158813,0,-0.11724849045276642|4.5058007325238236e-10,1.0000001192092896,-3.816444049675738e-09|Freefall
264.75439453125,49.56924057006836,-804.6433715820312|-0.9915934801101685,0,-0.12939268350601196|7.207052177271578e-10,1.0000001192092896,-5.523083768110837e-09|Freefall
264.4919738769531,49.3038215637207,-804.6618041992188|-0.9901837110519409,0,-0.139771968126297|1.0251062221300344e-09,1,-7.262139334329731e-09|Freefall
264.2691345214844,48.9838981628418,-804.6775512695312|-0.9875914454460144,0,-0.157045379281044|1.4379638590966692e-09,1.0000001192092896,-9.042741666576148e-09|Freefall
263.9648742675781,48.60947036743164,-804.7145385742188|-0.9840782880783081,0,-0.17773589491844177|1.963409212990541e-09,1.0000001192092896,-1.087089618323489e-08|Landed
263.529052734375,48.18054962158203,-804.7896118164062|-0.9787327647209167,0,-0.2051398903131485|2.6740072378572677e-09,1,-1.2757824130460449e-08|Landed
263.0723876953125,47.69712829589844,-804.88330078125|-0.9761497378349304,0,-0.21709847450256348|3.2693558971175207e-09,1,-1.4700153982971642e-08|Running
262.61669921875,47.159202575683594,-804.9837646484375|-0.9722047448158264,0,-0.23413236439228058|4.012739029946033e-09,1,-1.6662387025689895e-08|Running
262.1627197265625,46.89872741699219,-805.0918579101562|-0.9692765474319458,0,-0.2459736466407776|4.7375867673338234e-09,1.0000001192092896,-1.8668796286647193e-08|Running
261.7101745605469,46.91880416870117,-805.205810546875|-0.9652935862541199,0,-0.2611672878265381|5.596777707950196e-09,1.0000001192092896,-2.0686103496814212e-08|Running
261.2594299316406,46.953941345214844,-805.32666015625|-0.9615423679351807,0,-0.27465662360191345|6.492532733659573e-09,1,-2.2729636839358136e-08|Running
260.8104553222656,46.97690200805664,-805.453857421875|-0.9571085572242737,0,-0.2897295653820038|7.503642152073553e-09,1,-2.4787942365378512e-08|Running
260.363525390625,46.99000930786133,-805.5880126953125|-0.9524319767951965,0,-0.30475136637687683|8.59532178765221e-09,1,-2.6862748470080078e-08|Running
259.9187316894531,46.99724578857422,-805.7291870117188|-0.9452698230743408,0,-0.32628974318504333|9.977779491521233e-09,1,-2.8905885685048816e-08|Running
259.58538818359375,46.981075286865234,-805.8357543945312|-0.9351754188537598,0,-0.35418501496315|1.1485680850853441e-08,1.0000001192092896,-3.032631568089528e-08|Running
259.0298156738281,46.88599395751953,-806.0133666992188|-0.924907386302948,0,-0.3801925778388977|1.3537025722598628e-08,1,-3.293198247433793e-08|Running
258.69647216796875,47.5470085144043,-806.1199340820312|-0.9066815972328186,0,-0.42181596159935|1.5862998026250352e-08,1.0000001192092896,-3.40970700563048e-08|Running
258.1543884277344,48.586246490478516,-806.3322143554688|-0.8919724225997925,0,-0.452089786529541|1.786200165554419e-08,1.0000001192092896,-3.524170111290914e-08|Running
257.7362365722656,49.356319427490234,-806.538818359375|-0.8740823864936829,0,-0.4857776463031769|1.40555460603764e-08,1.0000001192092896,-2.5290798788546454e-08|Jumping
257.42950439453125,49.898109436035156,-806.707275390625|-0.8532991409301758,0,-0.5214216113090515|6.630031634813349e-09,1.0000001192092896,-1.0849953824276781e-08|Freefall
256.9308776855469,50.732975006103516,-807.0098266601562|-0.8382421135902405,0,-0.5452983379364014|-6.721665890552231e-09,1.0000001192092896,1.0332661837253454e-08|Freefall
256.53997802734375,51.33955001831055,-807.2645874023438|-0.8226901888847351,0,-0.5684901475906372|-1.4840436435292759e-08,1,2.147633004767613e-08|Freefall
256.1559753417969,51.89162063598633,-807.5297241210938|-0.8092900514602661,0,-0.5874093174934387|-1.948322569944594e-08,1.0000001192092896,2.6842577938168688e-08|Freefall
255.87246704101562,52.26991653442383,-807.7349853515625|-0.798143208026886,0,-0.6024678349494934|-2.4026379108477158e-08,1,3.1829898716750904e-08|Freefall
255.49974060058594,52.726619720458984,-808.0158081054688|-0.786776065826416,0,-0.617238461971283|-2.231245410655447e-08,1,2.84410415218872e-08|Freefall
255.0408172607422,53.22085189819336,-808.3758544921875|-0.7781161665916443,0,-0.6281204223632812|-1.681656947027932e-08,1,2.0832381153468305e-08|Freefall
254.67782592773438,53.554931640625,-808.6690673828125|-0.7678046226501465,0,-0.6406840682029724|-1.2853067055118572e-08,1,1.5403292863425122e-08|Freefall
254.31939697265625,53.834510803222656,-808.9678344726562|-0.7597476243972778,0,-0.6502181887626648|-9.210028295569828e-09,1.0000001192092896,1.076146016742996e-08|Freefall
253.96481323242188,54.05958557128906,-809.2713012695312|-0.7474564909934998,0,-0.6643108129501343|-6.093104687465711e-09,1,6.855722656240459e-09|Freefall
253.61581420898438,54.230159759521484,-809.5811767578125|-0.7346981763839722,0,-0.6783941984176636|-3.9345540159274606e-09,1.0000001192092896,4.261106134606507e-09|Freefall
253.27279663085938,54.34624099731445,-809.8975830078125|-0.7171586751937866,0,-0.6969099640846252|-2.5469903963681872e-09,1,2.6209932002529968e-09|Freefall
252.93785095214844,54.40781784057617,-810.2225341796875|-0.6977065801620483,0,-0.716383695602417|-2.7853641615394054e-09,1,2.7127458057663034e-09|Freefall
252.61204528808594,54.41489028930664,-810.556640625|-0.6751495599746704,0,-0.7376809120178223|-4.2356451679381735e-09,1,3.8765999299528175e-09|Freefall
252.3047332763672,54.367469787597656,-810.8741455078125|-0.6481939554214478,0,-0.7614753246307373|-7.184783878955159e-09,1,6.115934869654893e-09|Freefall
252.02505493164062,54.26554870605469,-811.1630859375|-0.6216889023780823,0,-0.7832642793655396|-1.0738219202721666e-08,1,8.523089789491678e-09|Freefall
251.77301025390625,54.10912322998047,-811.4234619140625|-0.589617908000946,0,-0.8076823353767395|-1.4824696137338833e-08,1,1.0822208018623769e-08|Freefall
251.54859924316406,53.898197174072266,-811.6552734375|-0.5624966025352478,0,-0.8267996907234192|-1.924529868801983e-08,1,1.3093153228282972e-08|Freefall
251.351806640625,53.63277816772461,-811.8585815429688|-0.5347253084182739,0,-0.845025897026062|-1.9355818281496795e-08,1.0000001192092896,1.2248199787734393e-08|Freefall
251.18264770507812,53.3128547668457,-812.0333251953125|-0.5094087719917297,0,-0.8605247139930725|-1.3041131730062716e-08,1,7.720019290502478e-09|Freefall
251.04112243652344,52.93842697143555,-812.1795654296875|-0.48515573143959045,0,-0.8744277358055115|-5.007546377555627e-09,1,2.7783197964481587e-09|Freefall
250.95309448242188,52.62184524536133,-812.2705078125|-0.46673479676246643,0,-0.8843973875045776|2.019862499480496e-09,1.0000001192092896,-1.0659689797520855e-09|Freefall
250.8023681640625,52.026084899902344,-812.4482421875|-0.4503968358039856,0,-0.8928285241127014|1.4667920211763885e-08,1,-7.399388213258362e-09|Freefall
250.66754150390625,51.4881591796875,-812.6326904296875|-0.4345839023590088,0,-0.900631308555603|2.432537016261449e-08,1,-1.1737782301679545e-08|Freefall
250.54698181152344,51.048946380615234,-812.8388061523438|-0.423536092042923,0,-0.9058792591094971|2.7187430973185656e-08,1.0000001192092896,-1.2711250718666633e-08|Landed
250.35678100585938,50.415653228759766,-813.2312622070312|-0.41829749941825867,0,-0.9083101153373718|1.9253691974085996e-08,1.0000001192092896,-8.866763323567284e-09|Landed
250.16146850585938,49.72785568237305,-813.6543579101562|-0.41818615794181824,0,-0.9083613157272339|1.1259515098061001e-08,1.0000001192092896,-5.1835908898567595e-09|Running
249.96633911132812,49.22065734863281,-814.0781860351562|-0.418173611164093,0,-0.9083671569824219|3.2717493159140076e-09,1,-1.506174296395102e-09|Running
249.77120971679688,49.23552322387695,-814.5020141601562|-0.418173611164093,0,-0.9083671569824219|-4.709179268758135e-09,1,2.167905854832952e-09|Running
249.57608032226562,49.30215072631836,-814.9258422851562|-0.418173611164093,0,-0.9083671569824219|-1.2683307737404448e-08,1,5.838855621220773e-09|Running
249.33216857910156,50.38908004760742,-815.4556274414062|-0.418173611164093,0,-0.9083671569824219|-2.264138743157673e-08,1,1.0423131691084109e-08|Running
249.1370391845703,51.20003128051758,-815.8794555664062|-0.418173611164093,0,-0.9083671569824219|-1.9424243546950493e-08,1,8.94209506441257e-09|Jumping
248.94192504882812,51.956478118896484,-816.3032836914062|-0.422497034072876,0,-0.906364381313324|-1.6380040435137744e-08,1.0000001192092896,7.635470034017544e-09|Freefall
248.74488830566406,52.6584358215332,-816.726318359375|-0.4270575940608978,0,-0.9042243957519531|-1.3565982115437691e-08,1.0000001192092896,6.407099295557828e-09|Freefall
248.545654296875,53.30588912963867,-817.1482543945312|-0.4317789375782013,0,-0.9019795656204224|-1.097562574159383e-08,1.0000001192092896,5.254047863445521e-09|Freefall
248.34422302246094,53.89883804321289,-817.5692138671875|-0.43793654441833496,0,-0.8990058898925781|-8.664793327284315e-09,1,4.220917393382706e-09|Freefall
248.13995361328125,54.437286376953125,-817.9888305664062|-0.4427158236503601,0,-0.8966620564460754|-6.609406355551073e-09,1.0000001192092896,3.263312953194486e-09|Freefall
247.9333953857422,54.921241760253906,-818.4072875976562|-0.4460413455963135,0,-0.895012378692627|-4.717748858240611e-09,1,2.3511530500286426e-09|Freefall
247.72523498535156,55.35069274902344,-818.8248901367188|-0.45206549763679504,0,-0.891984760761261|-3.030580897345203e-09,1,1.5359242766521675e-09|Freefall
247.51438903808594,55.72563934326172,-819.2412109375|-0.4595852196216583,0,-0.888133704662323|-1.6571130023734781e-09,1,8.575112286912656e-10|Freefall
247.30003356933594,56.04609680175781,-819.65576171875|-0.4686657786369324,0,-0.8833755850791931|-6.981704103736774e-10,1,3.704070938859161e-10|Freefall
247.08145141601562,56.312049865722656,-820.068115234375|-0.4694497287273407,0,-0.8829591870307922|-1.2861294494681541e-11,1,6.8380639692278145e-12|Freefall
246.86221313476562,56.52349853515625,-820.47998046875|-0.46976202726364136,0,-0.882793128490448|6.297179999670277e-10,1,-3.350927590961561e-10|Freefall
246.64297485351562,56.680450439453125,-820.891845703125|-0.46982303261756897,0,-0.8827607035636902|1.262692062020676e-09,1.0000001192092896,-6.720301537477269e-10|Freefall
246.42373657226562,56.78290557861328,-821.3037109375|-0.46982303261756897,0,-0.8827607035636902|1.8977686089272083e-09,1.0000001192092896,-1.0100307257232544e-09|Freefall
246.25930786132812,56.823978424072266,-821.6126098632812|-0.46982303261756897,0,-0.8827607035636902|2.3733288667671104e-09,1.0000001192092896,-1.263133486695267e-09|Freefall
246.04006958007812,56.831050872802734,-822.0244750976562|-0.46982303261756897,0,-0.8827607035636902|3.0068467715693714e-09,1.0000001192092896,-1.6003044445156434e-09|Freefall
245.76602172851562,56.76325988769531,-822.539306640625|-0.46982303261756897,0,-0.8827607035636902|3.797958392226519e-09,1.0000001192092896,-2.0213499762888887e-09|Freefall
245.54678344726562,56.64771270751953,-822.951171875|-0.46982303261756897,0,-0.8827607035636902|4.43024683605131e-09,1.0000001192092896,-2.357866790703156e-09|Freefall
245.38235473632812,56.52528381347656,-823.2600708007812|-0.46982303261756897,0,-0.8827607035636902|3.5531595443671904e-09,1.0000001192092896,-1.8910630839030773e-09|Freefall
245.10830688476562,56.25311279296875,-823.77490234375|-0.46982303261756897,0,-0.8827607035636902|2.0926174126856267e-09,1.0000001192092896,-1.1137331057398114e-09|Freefall
244.88906860351562,55.97406768798828,-824.186767578125|-0.46982303261756897,0,-0.8827607035636902|9.253142696508121e-10,1.0000001192092896,-4.924708973952363e-10|Freefall
244.66983032226562,55.64051818847656,-824.5986328125|-0.46982303261756897,0,-0.8827607035636902|-2.4098531503646825e-10,1.0000001192092896,1.282572381633429e-10|Freefall
244.45059204101562,55.252464294433594,-825.010498046875|-0.46982303261756897,0,-0.8827607035636902|-1.4062828679328732e-09,1.0000001192092896,7.484520780920434e-10|Freefall
244.23138427734375,54.80992126464844,-825.42236328125|-0.4809836447238922,0,-0.8767296671867371|-1.9073229662325275e-09,1.0000001192092896,1.0463785393710623e-09|Freefall
244.0072784423828,54.31287384033203,-825.8316040039062|-0.4955061674118042,0,-0.8686044812202454|-2.5989228547018683e-09,1.0000001192092896,1.482587719259243e-09|Freefall
243.7762908935547,53.761322021484375,-826.2371826171875|-0.5090685486793518,0,-0.860725998878479|-4.151052834799884e-09,1,2.4551023436458763e-09|Freefall
243.53887939453125,53.1552734375,-826.638916015625|-0.534692645072937,0,-0.8450466394424438|-6.9416952186429626e-09,1,4.392270547270982e-09|Freefall
243.28988647460938,52.494728088378906,-827.0335693359375|-0.5605248808860779,0,-0.8281376361846924|-7.770380783256314e-09,1.0000001192092896,5.25938181894503e-09|Freefall
243.02859497070312,51.77967834472656,-827.420166015625|-0.5836461186408997,0,-0.8120081424713135|-8.791491978854538e-09,1,6.3190501720100656e-09|Freefall
242.75637817382812,51.01012420654297,-827.799072265625|-0.6054840683937073,0,-0.7958574891090393|-4.559505217827109e-09,1,3.4688469874311068e-09|Landed
242.4747772216797,50.18608093261719,-828.171142578125|-0.6214593052864075,0,-0.7834464311599731|-1.8960621961383595e-09,1,1.5040282352885015e-09|Landed
242.18577575683594,49.784114837646484,-828.53759765625|-0.6270220875740051,0,-0.7790015339851379|-3.729022993170794e-11,1.0000001192092896,3.0015087637558224e-11|Running
241.8935546875,49.834564208984375,-828.9013671875|-0.6297490000724792,0,-0.7767987847328186|1.5294472355265043e-09,1.0000001192092896,-1.2399193893841698e-09|Running
241.599853515625,49.90462112426758,-829.2639770507812|-0.6297490000724792,0,-0.7767987847328186|3.094751788168537e-09,1.0000001192092896,-2.50890819231131e-09|Running
240.93861389160156,50.06047821044922,-830.0797119140625|-0.6297490000724792,0,-0.7767987847328186|2.5244535351021113e-09,1.0000001192092896,-2.046568692293249e-09|Running
240.71820068359375,50.16929626464844,-830.3516235351562|-0.6297490000724792,0,-0.7767987847328186|1.6535541824680422e-09,1.0000001192092896,-1.3405326848570098e-09|Running
240.49778747558594,50.30937576293945,-830.62353515625|-0.6311049461364746,0,-0.7756975293159485|8.362190939692482e-10,1.0000001192092896,-6.803451135795058e-10|Running
240.203369140625,50.454368591308594,-830.9856567382812|-0.6311049461364746,0,-0.7756975293159485|-2.496149120734259e-10,1.0000001192092896,2.0308588144501982e-10|Running
239.8352508544922,50.555885314941406,-831.438232421875|-0.6311049461364746,0,-0.7756975293159485|-9.77873670926499e-10,1.0000001192092896,7.955947567417354e-10|Running
239.6143798828125,50.58763885498047,-831.7097778320312|-0.6311049461364746,0,-0.7756975293159485|-1.1635201691007069e-09,1.0000001192092896,9.466362138610407e-10|Running
239.2462615966797,50.614105224609375,-832.162353515625|-0.6297490000724792,0,-0.7767987847328186|-1.4379933910291243e-09,1.0000001192092896,1.165778029665887e-09|Running
238.95230102539062,50.62408447265625,-832.5248413085938|-0.6297490000724792,0,-0.7767987847328186|-1.6561380045132523e-09,1.0000001192092896,1.3426273426375701e-09|Running
238.65841674804688,50.62944030761719,-832.8873901367188|-0.6297490000724792,0,-0.7767987847328186|-1.8740973217745704e-09,1.0000001192092896,1.519326331411719e-09|Running
238.36453247070312,50.633548736572266,-833.2499389648438|-0.6283911466598511,0,-0.7778975963592529|-2.0656423238563093e-09,1.0000001192092896,1.6686403370158587e-09|Running
238.14451599121094,50.6365852355957,-833.5221557617188|-0.6283911466598511,0,-0.7778975963592529|-2.207206417637053e-09,1.0000001192092896,1.7829968612659286e-09|Running
237.77792358398438,50.64021301269531,-833.9759521484375|-0.6283911466598511,0,-0.7778975963592529|-2.4429469558384653e-09,1.0000001192092896,1.973429641921598e-09|Running
237.53216552734375,50.64179229736328,-834.2802124023438|-0.6283911466598511,0,-0.7778975963592529|-2.6313515810727495e-09,1.0000001192092896,2.1256243432077326e-09|Running
237.40724182128906,50.6363410949707,-834.4348754882812|-0.6283911466598511,0,-0.7778975963592529|-2.772551965790626e-09,1.0000001192092896,2.239686880400882e-09|Running
237.30191040039062,50.62950897216797,-834.5653076171875|-0.6283911466598511,0,-0.7778975963592529|-3.007677440436396e-09,1.0000001192092896,2.429622947275334e-09|Running
237.29119873046875,50.58509063720703,-834.5784912109375|-0.6283911466598511,0,-0.7778975963592529|-2.0234209863190245e-09,1.0000001192092896,1.6345337305878616e-09|Running
237.29100036621094,50.518489837646484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-6.494502158282955e-10,1.0000001192092896,5.246304501937971e-10|Running
237.29100036621094,50.48583221435547,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|7.23340665143013e-10,1.0000001192092896,-5.843197037336267e-10|Running
237.29100036621094,50.49501419067383,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|2.4376751728283352e-09,1.0000001192092896,-1.9691712704883457e-09|Running
237.29100036621094,50.4989013671875,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|3.1228968300212046e-09,1.0000001192092896,-2.522697828410969e-09|Running
237.29100036621094,50.50538635253906,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|2.5799782310542696e-09,1.0000001192092896,-2.0841244285918492e-09|Running
237.29100036621094,50.50757598876953,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.9164181352948617e-09,1.0000001192092896,-1.548096095760343e-09|Running
237.29100036621094,50.50932312011719,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.0323273347268014e-09,1.0000001192092896,-8.339212653751815e-10|Running
237.29100036621094,50.51027297973633,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.4899721734185079e-10,1.0000001192092896,-1.203609989453014e-10|Running
237.29100036621094,50.51095199584961,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-1.1744893946286084e-09,1.0000001192092896,9.487607366409634e-10|Running
237.29100036621094,50.511165618896484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.0558414970395233e-09,1.0000001192092896,1.6607231145826518e-09|Running
237.29100036621094,50.51128005981445,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.9364444209534213e-09,1.0000001192092896,2.372080531998222e-09|Running
237.29100036621094,50.5113410949707,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-3.81629039480913e-09,1.0000001192092896,3.0828262165272236e-09|Running
237.29100036621094,50.511375427246094,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-4.69538985470308e-09,1.0000001192092896,3.792969049953854e-09|Running
237.29100036621094,50.51139450073242,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-5.573740580189224e-09,1.0000001192092896,4.502506811832063e-09|Running
237.29100036621094,50.51140213012695,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-3.37663541571942e-09,1.0000001192092896,2.7276698677525246e-09|Running
237.29100036621094,50.51140594482422,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.2787833842130567e-09,1.0000001192092896,1.8408172763884068e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.0119544091580224e-09,1.0000001192092896,-8.174638743696505e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|3.2034404018332907e-09,1.0000001192092896,-2.5877617826353116e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|4.298480682507488e-09,1.0000001192092896,-3.4723428576910464e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|4.720276614023078e-09,1.0000001192092896,-3.813072524394556e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|3.3755824802028656e-09,1.0000001192092896,-2.726819214871057e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|2.0320394256145846e-09,1.0000001192092896,-1.6414958281529834e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|6.896440085668587e-10,1.0000001192092896,-5.570993111270184e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-6.516055472971516e-10,1.0000001192092896,5.263715574521655e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.661333153852752e-09,1.0000001192092896,2.1498436364453255e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-3.330670406143099e-09,1.0000001192092896,2.690539124827751e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-5.336970865243984e-09,1.0000001192092896,4.31124247413095e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-4.935070130329677e-09,1.0000001192092896,3.986584395931914e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.7962543391879535e-09,1.0000001192092896,2.258834008728172e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-6.592604795407908e-10,1.0000001192092896,5.325552776547227e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.4759072852754684e-09,1.0000001192092896,-1.1922483000859074e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|3.609251786329537e-09,1.0000001192092896,-2.915578889428616e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|5.7407700815304e-09,1.0000001192092896,-4.637434436460808e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|4.192646674283651e-09,1.0000001192092896,-3.3868494675459715e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|2.6458553126218476e-09,1.0000001192092896,-2.137340526786602e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.1003828959132989e-09,1.0000001192092896,-8.888970115528139e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-4.437718248428979e-10,1.0000001192092896,3.5848199408938797e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-1.986606434911664e-09,1.0000001192092896,1.6047947415387398e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-3.528127567875572e-09,1.0000001192092896,2.850046199043277e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-5.068333308599904e-09,1.0000001192092896,4.0942351731132476e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-4.867609426639774e-09,1.0000001192092896,3.932089320812793e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.928178366445877e-09,1.0000001192092896,2.3654032066389163e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-1.9590846722650213e-09,1.0000001192092896,1.5825624144483186e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-2.213826170993638e-11,1.0000001192092896,1.7883444725086406e-11|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|2.8801807605560725e-09,1.0000001192092896,-2.3266302218161172e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|4.812999776504512e-09,1.0000001192092896,-3.887975275063127e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|4.9371813304333045e-09,1.0000001192092896,-3.988290142586948e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|3.2550544482035093e-09,1.0000001192092896,-2.6294557642358996e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|1.574365637857511e-09,1.0000001192092896,-1.2717836783693315e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-1.0488870882952028e-10,1.0000001192092896,8.472984119878291e-11|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-9.43978339940088e-10,1.0000001192092896,7.625523545939927e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-3.4590998954087127e-09,1.0000001192092896,2.7942852476314783e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-5.134058067568503e-09,1.0000001192092896,4.147328258596872e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-5.970995697879289e-09,1.0000001192092896,4.823412336207866e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-3.0819504726053992e-09,1.0000001192092896,2.4896213979275217e-09|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-1.1579766034941485e-09,1.0000001192092896,9.35421629044697e-10|Running
237.29100036621094,50.511409759521484,-834.5787353515625|-0.6283911466598511,0,-0.7778975963592529|-1.9660355288220188e-10,1.0000001192092896,1.5881772286174822e-10|Running
