yahayuk zepetto|false|12018
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.505100706519443e-09,-0.9706012010574341|2.1754100743009985e-08,1,-4.398339470412793e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.59677298844963e-09,-0.9706012010574341|1.7386552642051356e-08,1,-3.5152918353986706e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.486845975459346e-09,-0.9706012010574341|2.171229773750838e-08,1,-4.389898666801173e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.687245341334801e-09,-0.9706012010574341|1.3016248523456397e-08,1,-2.63169019909526e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-5.68360514208166e-09,-0.9706012010574341|1.3007904975381734e-08,1,-2.630008211212953e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-9.464178774010179e-09,-0.9706012010574341|2.1660390814304264e-08,1,-4.3794181614487115e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-1.134295324334289e-08,-0.9706012010574341|2.5960261496038584e-08,1,-5.248799617163513e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-2.641322893737197e-08,-0.9706012010574341|6.045107170393749e-08,1,-1.2222383993787389e-08|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-1.3177017699206317e-08,-0.9706012010574341|3.015775362769091e-08,1,-6.097506499713745e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-2.2543369837535465e-08,-0.9706012010574341|5.1594138739119444e-08,1,-1.043168662562266e-08|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-1.31236363998255e-08,-0.9706012010574341|3.003551185543074e-08,1,-6.072822689162649e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.49041273451212e-09,-0.9706012010574341|1.714298569766015e-08,1,-3.4661102876754057e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-5.6136131298956116e-09,-0.9706012010574341|1.284762340958423e-08,1,-2.5976436557328952e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.610016895474246e-09,-0.9706012010574341|1.283938910745519e-08,1,-2.5959805416420068e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.342046247695635e-09,-0.9706012010574341|2.1380696324513337e-08,1,-4.322944668899709e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.466455009819128e-09,-0.9706012010574341|1.7088114034891078e-08,1,-3.4550344807371403e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.459682649368915e-09,-0.9706012010574341|1.7072599334255756e-08,1,-3.4519038738523022e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.452911177097121e-09,-0.9706012010574341|1.705709884447515e-08,1,-3.4487717126552297e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.447344518851651e-09,-0.9706012010574341|1.7044344602368255e-08,1,-3.4461984377287536e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-9.300235248588251e-09,-0.9706012010574341|2.1284950690869664e-08,1,-4.303611245148886e-09|Running
