Yahayuk|true|12180
-902,171.72662353515625,891|0.005241244565695524,-0,-0.9999862909317017|0,1,0|Running
-902,171.72662353515625,891|0.005239807069301605,-0,-0.9999862909317017|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
-902,171.72662353515625,891|0.00698641873896122,-0,-0.9999756217002869|0,1,0|Running
