runia|false|23720
958.650390625,117.22333526611328,-988.908935546875|0.14615514874458313,0.00021911012299824506,0.9892616271972656|-0.000009455857252760325,1,-0.00022009151871316135|Running
958.8616333007812,117.22372436523438,-988.7747192382812|0.20534953474998474,0.00019245567091275007,0.978688657283783|-0.00002125853643519804,1,-0.00019218598026782274|Running
959.0734252929688,117.2240219116211,-988.6415405273438|0.2600412368774414,0.0001687736075837165,0.9655975103378296|-0.000028926999220857397,1,-0.00016699648404028267|Running
959.2853393554688,117.22423553466797,-988.5086059570312|0.31030699610710144,0.00014761708735022694,0.9506363868713379|-0.000033571519452380016,1,-0.00014432395983021706|Running
959.6039428710938,117.22445678710938,-988.3104248046875|0.3786334991455078,0.00012063489702995867,0.9255467057228088|-0.0000367139873560518,1,-0.00011531968630151823|Running
959.7102661132812,117.2245101928711,-988.2445068359375|0.3994459807872772,0.00011310804984532297,0.9167567491531372|-0.00003713334081112407,1,-0.00010719886631704867|Running
959.9228515625,117.22459411621094,-988.1126098632812|0.438064843416214,0.00009864270396064967,0.8989433646202087|-0.00003678982102428563,1,-0.00009180374763673171|Running
960.1353759765625,117.22465515136719,-987.980712890625|0.4732266664505005,0.00008531807543477044,0.8809406757354736|-0.00003531075708451681,1,-0.00007788048242218792|Running
960.347900390625,117.22470092773438,-987.848876953125|0.5052433609962463,0.00007347808423219249,0.8629769086837769|-0.000033171760151162744,1,-0.00006572397251147777|Running
960.5603637695312,117.22473907470703,-987.7169799804688|0.5343949198722839,0.00006322662375168875,0.8452349305152893|-0.00003071919491048902,1,-0.00005538157347473316|Running
960.7733154296875,117.22476959228516,-987.5858764648438|0.5610727667808533,0.000054565854952670634,0.827766478061676|-0.000028224385459907353,1,-0.00004678846016759053|Running
960.98681640625,117.22478485107422,-987.4556274414062|0.5855745673179626,0.000047415978770004585,0.8106185793876648|-0.00002588091228972189,1,-0.00003979772736784071|Running
961.200927734375,117.22480773925781,-987.3263549804688|0.6081202030181885,0.000041534454794600606,0.793844997882843|-0.000023748400053591467,1,-0.00003412829391891137|Running
961.4155883789062,117.22482299804688,-987.1981201171875|0.6288920640945435,0.00003662870221887715,0.7774925827980042|-0.000021807525627082214,1,-0.000029471821108018048|Running
961.6307983398438,117.22482299804688,-987.0708618164062|0.6480504274368286,0.000032450025173602626,0.7615974545478821|-0.000020018944269395433,1,-0.000025573535822331905|Running
961.84619140625,117.22482299804688,-986.9437866210938|0.6656176447868347,0.000028748760087182745,0.7462929487228394|-0.000018303353499504738,1,-0.000022197351427166723|Running
962.0619506835938,117.22482299804688,-986.8174438476562|0.6817876100540161,0.000025398681827937253,0.7315502166748047|-0.000016632913684588857,1,-0.00001921750299516134|Running
962.2787475585938,117.22482299804688,-986.6928100585938|0.6968473792076111,0.000022502677893498912,0.7172194123268127|-0.000015118671399250161,1,-0.000016685648006387055|Running
962.49658203125,117.22482299804688,-986.5701293945312|0.710976243019104,0.00002015433165070135,0.703216016292572|-0.000013865720575267915,1,-0.000014641494090028573|Running
962.7151489257812,117.22482299804688,-986.44873046875|0.7241685390472412,0.000018243097656522878,0.6896229982376099|-0.000012826408237742726,1,-0.000012984798559045885|Running
962.933837890625,117.22482299804688,-986.32763671875|0.7363389730453491,0.000016512263755430467,0.6766128540039062|-0.00001183628774015233,1,-0.000011523196917551104|Running
963.1525268554688,117.22482299804688,-986.20654296875|0.747495174407959,0.000014782733160245698,0.6642672419548035|-0.000010780971024360042,1,-0.000010122445928573143|Running
963.371337890625,117.22482299804688,-986.08544921875|0.7577003240585327,0.000013043726539763156,0.6526026725769043|-0.000009662276170274708,1,-0.00000876891499501653|Running
963.5904541015625,117.22482299804688,-985.965087890625|0.7671361565589905,0.000011414459549996536,0.641484260559082|-0.000008577619155403227,1,-0.000007536049452028237|Running
963.8096923828125,117.22482299804688,-985.844970703125|0.775826632976532,0.000009979103197110817,0.6309460997581482|-0.000007598934189445572,1,-0.0000064722598835942335|Running
964.0289916992188,117.22482299804688,-985.7249145507812|0.7838000655174255,0.000008713623174116947,0.6210132241249084|-0.000006715908511978341,1,-0.000005554943982133409|Running
964.248291015625,117.22482299804688,-985.6047973632812|0.7911076545715332,0.000007587890650029294,0.6116769313812256|-0.000005912562301091384,1,-0.000004758095201395918|Running
964.467529296875,117.22482299804688,-985.4846801757812|0.7978050112724304,0.000006586392373719718,0.6029155254364014|-0.000005183194843993988,1,-0.000004065600023750449|Running
964.686767578125,117.22482299804688,-985.3645629882812|0.803945779800415,0.000005701904228772037,0.5947026014328003|-0.000004527500550466357,1,-0.0000034673450954869622|Running
964.9060668945312,117.22482299804688,-985.2445068359375|0.8095794916152954,0.000004928062480757944,0.5870102643966675|-0.000003944959644286428,1,-0.0000029544701192207867|Running
965.1253662109375,117.22482299804688,-985.1243896484375|0.8147512674331665,0.0000042563337956380565,0.579810619354248|-0.000003432495077504427,1,-0.00000251755295721523|Running
965.3445434570312,117.22482299804688,-985.0042114257812|0.8195021748542786,0.000003675983180073672,0.573076069355011|-0.0000029844841265003197,1,-0.000002146646693290677|Running
965.5637817382812,117.22482299804688,-984.8840942382812|0.8238691687583923,0.0000031755610052641714,0.5667800307273865|-0.0000025940328214346664,1,-0.0000018321348989047692|Running
965.7830810546875,117.22482299804688,-984.7640380859375|0.8278858065605164,0.0000027440798930911114,0.5608966946601868|-0.0000022541255475516664,1,-0.000001565210368426051|Running
966.0023193359375,117.22482299804688,-984.6439819335938|0.8315823674201965,0.0000023717618660157314,0.5554013848304749|-0.000001958266921064933,1,-0.000001338314064014412|Running
966.2216186523438,117.22482299804688,-984.5238037109375|0.8349863886833191,0.000002050191142188851,0.5502705574035645|-0.0000017006885855153087,1,-0.0000011451444379417808|Running
966.44091796875,117.22482299804688,-984.4036865234375|0.8381227254867554,0.0000017722725260682637,0.5454817414283752|-0.0000014764509614906274,1,-9.80464506028511e-07|Running
966.66015625,117.22482299804688,-984.2835083007812|0.8410139083862305,0.0000015319974409067072,0.5410134792327881|-0.0000012813140983780613,1,-8.398948239118909e-07|Running
966.87939453125,117.22482299804688,-984.1634521484375|0.8436805009841919,0.000001324237587141397,0.5368456244468689|-0.0000011115763527413947,1,-7.198017328846618e-07|Running
967.0986328125,117.22482299804688,-984.0433349609375|0.8461410999298096,0.0000011446099961176515,0.5329589247703552|-9.64001060310693e-07,1,-6.17175373918144e-07|Running
967.31787109375,117.22482299804688,-983.9232788085938|0.8484126925468445,9.893205970001873e-07,0.5293353199958801|-8.357657748092606e-07,1,-5.294305083225481e-07|Running
967.537109375,117.22482299804688,-983.8031616210938|0.8505106568336487,8.551018026992097e-07,0.5259578227996826|-7.244037760756328e-07,1,-4.543875036233658e-07|Running
967.75634765625,117.22482299804688,-983.6829833984375|0.8524490594863892,7.390954124275595e-07,0.5228102803230286|-6.277398938436818e-07,1,-3.901589877841616e-07|Running
967.9755859375,117.22482299804688,-983.5628662109375|0.8542407751083374,6.388306701410329e-07,0.5198776125907898|-5.438747052721737e-07,1,-3.351379120886122e-07|Running
968.1948852539062,117.22482299804688,-983.4426879882812|0.8558974862098694,5.521659431906301e-07,0.517145574092865|-4.71136758051216e-07,1,-2.879676515021856e-07|Running
968.4141235351562,117.22482299804688,-983.3225708007812|0.8574298620223999,4.772597321789362e-07,0.5146008729934692|-4.0806216361488623e-07,1,-2.4752199578870204e-07|Running
968.6334228515625,117.22482299804688,-983.2024536132812|0.8588477373123169,4.12523405657339e-07,0.5122309923171997|-3.533837400482298e-07,1,-2.1283481999034848e-07|Running
968.8527221679688,117.22482299804688,-983.0823364257812|0.8601600527763367,3.5656080399348866e-07,0.5100241899490356|-3.0597868772019865e-07,1,-1.8307005689166544e-07|Running
969.072021484375,117.22482299804688,-982.9622192382812|0.8613750338554382,3.0818435448054515e-07,0.5079695582389832|-2.648896213486296e-07,1,-1.575193664393737e-07|Running
969.291259765625,117.22482299804688,-982.8421020507812|0.8625001907348633,2.663724956164515e-07,0.5060567259788513|-2.2929106080482597e-07,1,-1.3557551881149266e-07|Running
969.5106201171875,117.22482299804688,-982.7219848632812|0.8635424375534058,2.3023520157039457e-07,0.5042761564254761|-1.984553392730959e-07,1,-1.1672291577724536e-07|Running
969.7299194335938,117.22482299804688,-982.6019287109375|0.8645081520080566,1.990046314404026e-07,0.5026187896728516|-1.717490079045092e-07,1,-1.005259235853373e-07|Running
