Mount Anora|true|17490
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|2.4798152420402175e-10,1.0000001192092896,4.724336832850895e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|4.0135653134321103e-10,1.0000001192092896,7.646308830544513e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|5.928909030394891e-10,1.0000001192092896,1.129526197019004e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|4.680623666430961e-10,1.0000001192092896,8.917132277019846e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|2.5074373133371353e-10,1.0000001192092896,4.776959983132656e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|3.3610884908608085e-11,1.0000001192092896,6.403264585230772e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.8333640161571907e-10,1.0000001192092896,-3.492771583069043e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|-8.007090546158224e-10,1,-7.627219389405582e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9993904829025269,0,-0.03491213917732239|-3.506301471389861e-09,1.0000001192092896,-1.0037094710924066e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9953862428665161,0,-0.09594966471195221|-6.915119588057905e-09,1.0000001192092896,-7.173777305524709e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9838582277297974,0,-0.17894989252090454|-7.765175169538452e-09,1,-4.269257658506831e-08|Running
