1|true|1376
285.5396728515625,22.899232864379883,163.58514404296875|0.6109049320220947,0.000006011268396832747,0.7917039394378662|-0.000004114832790946821,1,-0.000004417682703206083|Running
285.5712585449219,22.899232864379883,164.06729125976562|0.5427960157394409,0.0000045828992369933985,0.8398645520210266|-0.0000028135634693171596,1,-0.000003638334419520106|Running
285.6024169921875,22.899232864379883,164.5496063232422|0.48113682866096497,0.000003249370365665527,0.8766455054283142|-0.0000017440327155782143,1,-0.000002749403392954264|Running
285.6336364746094,22.899232864379883,165.0319366455078|0.4261634051799774,0.0000023504394448536914,0.9046462178230286|-0.0000011032561815227382,1,-0.000002078461193377734|Running
285.6648254394531,22.899232864379883,165.51426696777344|0.3776395320892334,0.0000017370517753079184,0.925952672958374|-7.223031275316316e-07,1,-0.0000015813783420526306|Running
285.6960144042969,22.899232864379883,165.99658203125|0.33510929346084595,0.00000128750650674192,0.942179262638092|-4.769016186401132e-07,1,-0.0000011968978697041166|Running
285.72723388671875,22.899232864379883,166.47889709472656|0.2980225682258606,9.510727636552474e-07,0.9545588493347168|-3.12874874452973e-07,1,-8.986654052023368e-07|Running
285.7584533691406,22.899232864379883,166.96119689941406|0.26580244302749634,7.013020422164118e-07,0.9640275239944458|-2.0499128083883988e-07,1,-6.709506124025211e-07|Running
285.7896728515625,22.899232864379883,167.44351196289062|0.2378871887922287,5.171576731299865e-07,0.9712927937507629|-1.3487724004335178e-07,1,-4.994087134946312e-07|Running
285.8190002441406,22.899232864379883,167.9259490966797|0.2133433222770691,3.88189391742344e-07,0.9769772887229919|-9.064499550959226e-08,1,-3.775429320285184e-07|Running
285.8480224609375,22.899232864379883,168.408447265625|0.1919710636138916,2.947215591575514e-07,0.9814006090164185|-6.187205059404732e-08,1,-2.88204347498322e-07|Running
285.8770751953125,22.899232864379883,168.89093017578125|0.17351053655147552,2.2005947641901002e-07,0.9848319888114929|-4.167918987718622e-08,1,-2.1610559031159937e-07|Running
285.9060974121094,22.899232864379883,169.3734130859375|0.1576004922389984,1.6224387877628033e-07,0.987502932548523|-2.7803816138316506e-08,1,-1.5985976631327503e-07|Running
285.9407043457031,22.899232864379883,169.85549926757812|0.1451413631439209,1.3418529931641388e-07,0.989410936832428|-2.0759850727358753e-08,1,-1.3257603370675497e-07|Running
285.9986267089844,22.899232864379883,170.3352508544922|0.13993898034095764,1.2180343844647723e-07,0.9901601076126099|-1.703624263882375e-08,1,-1.2060614551501203e-07|Running
286.08245849609375,22.899232864379883,170.81117248535156|0.14273111522197723,7.355080811066728e-08,0.989761471748352|-8.890836511454836e-09,1,-7.302951843257688e-08|Running
286.1993408203125,22.899232864379883,171.2799835205078|0.15431995689868927,9.777177467640286e-08,0.9880209565162659|-1.1909744301874525e-08,1,-9.709699355653356e-08|Running
286.3517150878906,22.899232864379883,171.7384796142578|0.17461034655570984,1.884630762560846e-07,0.9846376180648804|-2.9948537871860026e-08,1,-1.8609257779189647e-07|Running
286.5389099121094,22.899232864379883,172.18386840820312|0.20258797705173492,3.768128351566702e-07,0.9792640805244446|-7.0046958455805e-08,1,-3.7030068256171944e-07|Running
286.7481994628906,22.899232864379883,172.6194610595703|0.23422358930110931,5.57696694158949e-07,0.9721827507019043|-1.1821298784298051e-07,1,-5.451736342365621e-07|Running
286.9688415527344,22.832048416137695,173.0494842529297|0.2656077444553375,6.160902330520912e-07,0.9640811681747437|-1.481329405805809e-07,1,-5.982328161735495e-07|Running
287.1976013183594,22.70133399963379,173.47528076171875|0.29521840810775757,5.729425538447686e-07,0.9554297924041748|-1.5510781281591335e-07,1,-5.517431986845622e-07|Running
287.4307556152344,22.516122817993164,173.89865112304688|0.32213208079338074,4.889856199952192e-07,0.9466947317123413|-1.4689078398077982e-07,1,-4.6653624963255425e-07|Running
287.6661071777344,22.276409149169922,174.32081604003906|0.3459334373474121,3.9390590700350003e-07,0.9382590651512146|-1.289479030219809e-07,1,-3.7228366522867873e-07|Running
287.9017028808594,21.982196807861328,174.7427978515625|0.36645546555519104,3.0219678137655137e-07,0.9304355978965759|-1.0603160660593858e-07,1,-2.830297205491661e-07|Running
288.1390075683594,21.83099937438965,175.16387939453125|0.3843686282634735,2.290629907975017e-07,0.9231796860694885|-8.506747661840564e-08,1,-2.127058422729533e-07|Running
288.3765869140625,21.844680786132812,175.58480834960938|0.3998173773288727,1.7454580358844396e-07,0.9165948033332825|-6.787060868873596e-08,1,-1.6082347542578646e-07|Running
288.6141357421875,21.866775512695312,176.00570678710938|0.4130256474018097,1.4661605973742553e-07,0.9107193946838379|-5.939490321793528e-08,1,-1.3405275467448519e-07|Running
288.85333251953125,21.881122589111328,176.42568969726562|0.4246845245361328,1.4323076413802482e-07,0.905341386795044|-5.990141005440819e-08,1,-1.301073382364848e-07|Running
289.0943908691406,21.889299392700195,176.8446044921875|0.4351869523525238,1.3867074244444666e-07,0.9003400802612305|-5.947105563564037e-08,1,-1.2527456760835776e-07|Running
289.340576171875,21.893810272216797,177.26051330566406|0.44547703862190247,1.2731027254631044e-07,0.8952933549880981|-5.576728412393095e-08,1,-1.1445100511764394e-07|Running
289.5956115722656,21.896276473999023,177.6710662841797|0.45665621757507324,1.3601405157714908e-07,0.8896432518959045|-6.107608641059414e-08,1,-1.2153554962424096e-07|Running
289.8551330566406,21.897619247436523,178.0788116455078|0.46784794330596924,1.3268214615891338e-07,0.883808970451355|-6.094485627272661e-08,1,-1.1786395504032043e-07|Running
290.1152648925781,21.898351669311523,178.48619079589844|0.4778763949871063,1.3809109589146829e-07,0.8784270882606506|-6.496267701550096e-08,1,-1.2186208664388687e-07|Running
290.37542724609375,21.898752212524414,178.89352416992188|0.4865184426307678,1.2756828482451965e-07,0.8736703395843506|-6.124791696038301e-08,1,-1.1190725501819543e-07|Running
290.63555908203125,21.898967742919922,179.30087280273438|0.4939161539077759,1.1882431039111907e-07,0.8695095181465149|-5.821025084173925e-08,1,-1.0359095625744885e-07|Running
