Mt Sangkala|true|40121
-844.80029296875,248.87338256835938,-307.8827819824219|0.4590999186038971,0,-0.8883846402168274|-1.289299866868987e-08,1,-6.662851159688898e-09|Running
-844.4605102539062,248.87744140625,-308.4073486328125|0.4736393690109253,0,-0.8807189464569092|-1.497280166518067e-08,1.0000001192092896,-8.05218114408035e-09|Running
-844.1817626953125,248.8782958984375,-308.82244873046875|0.4853475093841553,0,-0.8743213415145874|-1.5348732063102943e-08,1,-8.520287586577524e-09|Running
-843.9690551757812,248.8634796142578,-309.130859375|0.4940209686756134,0,-0.869450032711029|-1.5247227480585934e-08,1.0000001192092896,-8.663465500546863e-09|Running
-843.6825561523438,248.82896423339844,-309.53912353515625|0.5053066611289978,0,-0.8629397749900818|-1.457673981519747e-08,1,-8.535617546101548e-09|Running
-843.3955078125,248.78314208984375,-309.9458923339844|0.5154513716697693,0,-0.8569188117980957|-1.2638505353379514e-08,1,-7.60227791829493e-09|Running
-843.1089477539062,248.72616577148438,-310.3516845703125|0.5242813229560852,0,-0.8515451550483704|-1.0788986593013306e-08,1,-6.64258870131107e-09|Running
-842.8224487304688,248.6675567626953,-310.7573547363281|0.5318027138710022,0,-0.8468682169914246|-1.000592408928469e-08,1,-6.283360054482046e-09|Running
-842.5359497070312,248.60890197753906,-311.1629333496094|0.5382689237594604,0,-0.8427732586860657|-8.617174529490512e-09,1,-5.503683286889327e-09|Running
-842.2494506835938,248.5502471923828,-311.5684814453125|0.5437649488449097,0,-0.8392375707626343|-8.08556066544952e-09,1,-5.2388555715765506e-09|Running
-841.96337890625,248.48715209960938,-311.97369384765625|0.5484731793403625,0,-0.8361682891845703|-7.927526191053857e-09,1.0000001192092896,-5.199952468615265e-09|Running
-841.6773681640625,248.41445922851562,-312.3773193359375|0.5526703000068665,0,-0.8333999514579773|-7.77009834251885e-09,1,-5.152751558767932e-09|Running
-841.3197021484375,248.31602478027344,-312.88031005859375|0.5573593378067017,0,-0.8302713632583618|-7.532257484399452e-09,1,-5.056387752944147e-09|Running
-841.1063842773438,248.23606872558594,-313.17840576171875|0.5599429607391357,0,-0.8285312056541443|-7.673071955593969e-09,1,-5.1856621219315e-09|Running
-840.7514038085938,248.03590393066406,-313.6673583984375|0.5645767450332642,0,-0.8253806829452515|-7.3735333394608915e-09,1.0000001192092896,-5.04364283671066e-09|Running
-840.4712524414062,247.82119750976562,-314.0478210449219|0.5684829950332642,0,-0.8226951360702515|-7.0149712705358525e-09,1,-4.847350520975624e-09|Running
-840.1905517578125,247.63848876953125,-314.4233093261719|0.5725710988044739,0,-0.8198551535606384|-7.30443749930032e-09,1.0000001192092896,-5.1012789548110504e-09|Running
-839.9802856445312,247.50411987304688,-314.70330810546875|0.5755107998847961,0,-0.817794144153595|-7.391983025684112e-09,1.0000001192092896,-5.202001052140304e-09|Running
-839.6312255859375,247.27992248535156,-315.1707763671875|0.5795886516571045,0,-0.8149092197418213|-7.728321982369835e-09,1,-5.496621824363501e-09|Running
-839.4248046875,247.13363647460938,-315.44744873046875|0.5816018581390381,0,-0.8134735822677612|-6.340438396534864e-09,1,-4.533166286790902e-09|Running
-839.1549682617188,246.91845703125,-315.8091125488281|0.5839284062385559,0,-0.8118051886558533|-5.818417747605054e-09,1,-4.185165991543727e-09|Running
-838.825439453125,246.62367248535156,-316.2507629394531|0.5864138007164001,0,-0.8100115656852722|-6.8524732554919865e-09,1,-4.960898358774557e-09|Running
-838.5684204101562,246.35150146484375,-316.5953369140625|0.58807373046875,0,-0.808807373046875|-5.567152516761098e-09,1.0000001192092896,-4.047806978491053e-09|Running
-838.3800659179688,246.11160278320312,-316.8477478027344|0.5891149044036865,0,-0.8080493211746216|-4.172101331079148e-09,1.0000001192092896,-3.0417042218289225e-09|Running
-838.1290283203125,245.86329650878906,-317.1842041015625|0.5903868675231934,0,-0.8071204423904419|-2.6592810176140347e-09,1.0000001192092896,-1.9451924515578867e-09|Running
-837.8768920898438,245.6852569580078,-317.52215576171875|0.5914800763130188,0,-0.8063195943832397|-1.4547849591650674e-09,1,-1.0671653560834216e-09|Running
-837.6234741210938,245.4527130126953,-317.8617248535156|0.5924096703529358,0,-0.8056368827819824|-4.843381251617984e-10,1,-3.5614877713641135e-10|Running
-837.3690185546875,245.16566467285156,-318.2027587890625|0.5932011604309082,0,-0.8050543665885925|3.0950567109222504e-10,1.0000001192092896,2.2805804467118662e-10|Running
-837.1257934570312,244.82412719726562,-318.5286560058594|0.5938692092895508,0,-0.8045616149902344|9.704335113269735e-10,1,7.163038495683338e-10|Running
-836.89794921875,244.42808532714844,-318.833984375|0.5944828987121582,0,-0.8041083216667175|1.5321103274956727e-09,1.0000001192092896,1.1326999338479027e-09|Running
-836.6866455078125,243.98060607910156,-319.1153564453125|0.5952188372612,0,-0.8035637140274048|1.9846142507162767e-09,1.0000001192092896,1.4700511918874781e-09|Running
-836.4932250976562,243.5546112060547,-319.3688659667969|0.5966352820396423,0,-0.8025126457214355|2.1255801563313526e-09,1.0000001192092896,1.5802816832888311e-09|Running
-836.3193969726562,243.26287841796875,-319.5937805175781|0.5985634922981262,0,-0.8010753393173218|1.4917980184492308e-09,1,1.1146714662402246e-09|Running
-836.1478271484375,242.91665649414062,-319.8129577636719|0.6008980870246887,0,-0.7993256449699402|-4.453704627316313e-10,1,-3.348100408029353e-10|Running
-835.9780883789062,242.51593017578125,-320.0285949707031|0.6033346652984619,0,-0.7974882125854492|-4.135441322716815e-09,1,-3.128642012129035e-09|Running
-835.7713623046875,241.93836975097656,-320.2886047363281|0.6065616607666016,0,-0.7950364351272583|-6.475948222117722e-09,1,-4.940731823666056e-09|Running
-835.6494140625,241.55096435546875,-320.439453125|0.6087576150894165,0,-0.7933562994003296|-6.9448944373107224e-09,1,-5.3289519463817214e-09|Running
-835.4855346679688,240.9967041015625,-320.6372985839844|0.6125473380088806,0,-0.7904338836669922|-8.669030826524704e-09,1,-6.718071876576914e-09|Running
-835.2825317382812,240.4787139892578,-320.8756103515625|0.618475079536438,0,-0.7858045101165771|-8.461621625599491e-09,1,-6.659801599084858e-09|Running
-835.1409912109375,240.36190795898438,-321.03582763671875|0.6228175163269043,0,-0.7823671698570251|-8.91324436480545e-09,1,-7.095549037217097e-09|Running
-834.9146118164062,240.15634155273438,-321.2813415527344|0.630061686038971,0,-0.7765451073646545|-9.082274488037001e-09,1,-7.369041821192468e-09|Running
