bisu|false|19868
-29.502361297607422,7.7945876121521,206.41574096679688|0.08417141437530518,-4.289232435894519e-08,-0.9964513182640076|4.086027516336799e-09,1,-4.269992714966975e-08|Running
-29.43294334411621,7.7945876121521,205.81979370117188|0.08809313923120499,-3.294643846629697e-08,-0.9961122274398804|2.0340664708129452e-09,1,-3.289513728077509e-08|Running
-29.35772132873535,7.7945876121521,205.2245330810547|0.09297453612089157,-7.949956426500648e-08,-0.9956684708595276|4.971962841437971e-09,1,-7.938113810723735e-08|Running
-29.277095794677734,7.7945876121521,204.62997436523438|0.09847911447286606,-1.0185497956172185e-07,-0.9951391220092773|7.801691737086003e-09,1,-1.0158044005947886e-07|Running
-29.19108009338379,7.7945876121521,204.0361785888672|0.1044846922159195,-1.0728751931310399e-07,-0.9945265054702759|9.762296748760946e-09,1,-1.0685236873086978e-07|Running
-29.104280471801758,7.7945876121521,203.4425048828125|0.11008334159851074,-1.2773909929819638e-07,-0.9939223527908325|1.296823093355215e-08,1,-1.2708389363069728e-07|Running
-29.017465591430664,7.7945876121521,202.8488311767578|0.11496227979660034,-1.139364940172527e-07,-0.9933698773384094|1.2191454956678172e-08,1,-1.1328604188065583e-07|Running
-28.930652618408203,7.7945876121521,202.25515747070312|0.1191626563668251,-1.2490244216678548e-07,-0.9928747415542603|1.3992528025141837e-08,1,-1.2411943828283256e-07|Running
-28.84383773803711,7.7945876121521,201.66146850585938|0.12277068197727203,-1.1461737159379481e-07,-0.9924350380897522|1.3222302364113148e-08,1,-1.1385536424768361e-07|Running
-28.75701904296875,7.7945876121521,201.0677947998047|0.12586869299411774,-1.0926618188022985e-07,-0.9920468926429749|1.2916640201865448e-08,1,-1.0850332188283573e-07|Running
-28.672508239746094,7.7945876121521,200.47377014160156|0.12811443209648132,-9.441620818506635e-08,-0.9917594194412231|1.1469938776542676e-08,1,-9.371904496902062e-08|Running
-28.58837890625,7.7945876121521,199.87973022460938|0.12985850870609283,-9.426024405456701e-08,-0.991532564163208|1.180977005077466e-08,1,-9.351850849270704e-08|Running
-28.504257202148438,7.7945876121521,199.28567504882812|0.1313258558511734,-1.0378680315170641e-07,-0.9913392663002014|1.3347690064335893e-08,1,-1.0292531982258879e-07|Running
-28.420133590698242,7.7945876121521,198.69161987304688|0.1325809508562088,-1.2029322249418328e-07,-0.991172194480896|1.576037966799504e-08,1,-1.1925646958843572e-07|Running
-28.336008071899414,7.7945876121521,198.09756469726562|0.13365799188613892,-8.982492261111474e-08,-0.9910275340080261|1.1900334051517802e-08,1,-8.903320036779405e-08|Running
-28.254188537597656,7.7945876121521,197.50318908691406|0.1341688632965088,-4.4814804311954504e-08,-0.9909585118293762|6.088384907343425e-09,1,-4.439936773792397e-08|Running
-28.172754287719727,7.7945876121521,196.9087677001953|0.1344234049320221,-3.5927757990883435e-10,-0.9909240007400513|3.453797248198498e-10,1,-3.1571589786949517e-10|Running
-28.091327667236328,7.7945876121521,196.31434631347656|0.13461169600486755,4.3878628730453784e-08,-0.9908984303474426|-5.370696332107627e-09,1,4.355205973638476e-08|Running
-28.00989532470703,7.7945876121521,195.7199249267578|0.13476841151714325,8.79670167819313e-08,-0.9908771514892578|-1.1068395089353089e-08,1,8.727151623588725e-08|Running
-27.928462982177734,7.7945876121521,195.12550354003906|0.1349022090435028,9.605265205436808e-08,-0.9908589124679565|-1.218651402012938e-08,1,9.527961708499788e-08|Running
-27.84703254699707,7.7945876121521,194.5310821533203|0.1350170075893402,6.82029721588151e-08,-0.9908432960510254|-8.732801148880753e-09,1,6.764329185671158e-08|Running
-27.765600204467773,7.7945876121521,193.93666076660156|0.1351155787706375,4.033415379467442e-08,-0.9908298254013062|-5.2759676627545105e-09,1,3.998798447923946e-08|Running
-27.68416976928711,7.7945876121521,193.3422393798828|0.13520023226737976,1.2457452847058903e-08,-0.9908183217048645|-1.8175296823130793e-09,1,1.2324886000669721e-08|Running
-27.602739334106445,7.7945876121521,192.74781799316406|0.13527293503284454,-1.5418802234989926e-08,-0.990808367729187|1.6413470582676837e-09,1,-1.533775062512177e-08|Running
-27.521310806274414,7.7945876121521,192.1533966064453|0.13533537089824677,-4.3288480355840875e-08,-0.9907998442649841|5.0998183453998536e-09,1,-4.299384670503059e-08|Running
-27.43988037109375,7.7945876121521,191.55897521972656|0.13538901507854462,-7.114706335187293e-08,-0.9907925128936768|8.557284658650133e-09,1,-7.063890450353938e-08|Running
-27.358449935913086,7.7945876121521,190.9645538330078|0.1354350745677948,-9.899122233036906e-08,-0.9907861948013306|1.2013270378474772e-08,1,-9.826963776049524e-08|Running
-27.277021408081055,7.7945876121521,190.37013244628906|0.13547465205192566,-1.0935324468164254e-07,-0.9907808303833008|1.3332777548669128e-08,1,-1.0854771659296603e-07|Running
-27.19559097290039,7.7945876121521,189.7757110595703|0.13550862669944763,-6.733817770054884e-08,-0.9907761812210083|8.250736982517992e-09,1,-6.68366197942305e-08|Running
-27.11416244506836,7.7945876121521,189.18128967285156|0.13553783297538757,-2.5362824729313616e-08,-0.9907721877098083|3.173397322697724e-09,1,-2.5164926142906552e-08|Running
-27.032733917236328,7.7945876121521,188.5868682861328|0.13556289672851562,1.6573853400814187e-08,-0.9907687306404114|-1.8993742134654212e-09,1,1.6468392871615833e-08|Running
-26.951303482055664,7.7945876121521,187.99244689941406|0.13558442890644073,5.847261164149131e-08,-0.9907658100128174|-6.967683319203388e-09,1,5.8064077990138685e-08|Running
-26.869874954223633,7.7945876121521,187.3980255126953|0.1356029063463211,1.0033404862497264e-07,-0.990763247013092|-1.203158195295373e-08,1,9.962271718677584e-08|Running
-26.7884464263916,7.7945876121521,186.80360412597656|0.13561879098415375,8.870206613664777e-08,-0.9907611012458801|-1.066300736596304e-08,1,8.806962625840242e-08|Running
-26.70701789855957,7.7945876121521,186.2091827392578|0.13563242554664612,5.926796831090542e-08,-0.9907592535018921|-7.153670100734644e-09,1,5.8841436612055986e-08|Running
-26.62558937072754,7.7945876121521,185.61476135253906|0.13564415276050568,2.985842328939725e-08,-0.9907576441764832|-3.647216750835014e-09,1,2.96376221342598e-08|Running
-26.544160842895508,7.7945876121521,185.0203399658203|0.13565421104431152,4.735600245275862e-10,-0.9907562732696533|-1.4366355327588565e-10,1,4.5830797490431507e-10|Running
-26.462730407714844,7.7945876121521,184.42591857910156|0.13566285371780396,-2.8886519842785674e-08,-0.9907550811767578|3.3569698132396297e-09,1,-2.8696399922978344e-08|Running
-26.381301879882812,7.7945876121521,183.8314971923828|0.1356702744960785,-5.822174742320385e-08,-0.9907540678977966|6.854667500277856e-09,1,-5.782643341945004e-08|Running
-26.29987335205078,7.7945876121521,183.23707580566406|0.13567666709423065,-8.753208646794519e-08,-0.990753173828125|1.0349426204925294e-08,1,-8.693175601592884e-08|Running
-26.21844482421875,7.7945876121521,182.6426544189453|0.1356821358203888,-1.168175103316571e-07,-0.9907523989677429|1.3841238377665377e-08,1,-1.1601233751434847e-07|Running
-26.13701629638672,7.7945876121521,182.04823303222656|0.13568682968616486,-9.168523718017241e-08,-0.9907518029212952|1.0876470390996928e-08,1,-9.105151121957533e-08|Running
-26.055587768554688,7.7945876121521,181.4538116455078|0.1356908529996872,-4.8451337164578945e-08,-0.9907512068748474|5.763933330626969e-09,1,-4.8114223716311244e-08|Running
-25.974159240722656,7.7945876121521,180.85939025878906|0.13569433987140656,-5.254445323288337e-09,-0.9907507300376892|6.557492882031113e-10,1,-5.213686815608298e-09|Running
-25.892730712890625,7.7945876121521,180.2649688720703|0.13569732010364532,3.7905497407564326e-08,-0.9907503128051758|-4.448087675967827e-09,1,3.7650156770041576e-08|Running
-25.811302185058594,7.7945876121521,179.67054748535156|0.13569988310337067,8.102853144009714e-08,-0.9907500147819519|-9.547577839441601e-09,1,8.047734212368596e-08|Running
-25.729873657226562,7.7945876121521,179.0761260986328|0.13570208847522736,1.0585227272486009e-07,-0.990749716758728|-1.248728676017663e-08,1,1.0513020498592596e-07|Running
-25.64844512939453,7.7945876121521,178.48170471191406|0.13570398092269897,7.589091666204695e-08,-0.9907494187355042|-8.960941322300187e-09,1,7.537211388353171e-08|Running
-25.5670166015625,7.7945876121521,177.8872833251953|0.1357056349515915,4.5955165006716925e-08,-0.990749180316925|-5.437602812463638e-09,1,4.563945310565032e-08|Running
-25.48558807373047,7.7945876121521,177.29286193847656|0.1357070356607437,1.604498045537639e-08,-0.9907490015029907|-1.91726701181949e-09,1,1.5932183572431313e-08|Running
-25.404159545898438,7.7945876121521,176.6984405517578|0.13570822775363922,-1.3839647650115694e-08,-0.9907488226890564|1.6000665237214662e-09,1,-1.374970626244476e-08|Running
-25.322731018066406,7.7945876121521,176.10401916503906|0.1357092410326004,-4.36987406260414e-08,-0.9907487034797668|5.114397794159231e-09,1,-4.340623505072472e-08|Running
-25.241302490234375,7.7945876121521,175.5095977783203|0.13571013510227203,-7.353233399953751e-08,-0.9907485842704773|8.625732128564323e-09,1,-7.303743387865325e-08|Running
-25.159873962402344,7.7945876121521,174.91517639160156|0.13571089506149292,-1.0334045441595663e-07,-0.9907484650611877|1.2134072413516606e-08,1,-1.0264333383247504e-07|Running
-25.078445434570312,7.7945876121521,174.3207550048828|0.13571156561374664,-9.818378998716071e-08,-0.990748405456543|1.1534156740822255e-08,1,-9.752069729529467e-08|Running
-24.99701690673828,7.7945876121521,173.72633361816406|0.135712131857872,-5.810715819620782e-08,-0.9907482862472534|6.8312426826366845e-09,1,-5.771402555865279e-08|Running
-24.91558837890625,7.7945876121521,173.1319122314453|0.1357126235961914,-1.806477101240489e-08,-0.9907482266426086|2.1323427468189493e-09,1,-1.7941374608199112e-08|Running
-24.83415985107422,7.7945876121521,172.53749084472656|0.13571302592754364,2.1943412420455388e-08,-0.9907481670379639|-2.5625481736568645e-09,1,2.1797307070414718e-08|Running
-24.752731323242188,7.7945876121521,171.9430694580078|0.1357133835554123,6.19174187477256e-08,-0.9907481670379639|-7.253432077192201e-09,1,6.150204256982761e-08|Running
-24.671302795410156,7.7945876121521,171.34864807128906|0.13571368157863617,1.0185727461475835e-07,-0.9907481074333191|-1.1940312738545344e-08,1,1.011728514299648e-07|Running
-24.589874267578125,7.7945876121521,170.7542266845703|0.13571393489837646,8.852596522501699e-08,-0.9907480478286743|-1.0380453829839098e-08,1,8.793072225898868e-08|Running
-24.508445739746094,7.7945876121521,170.15980529785156|0.13571417331695557,5.7467946845690676e-08,-0.9907480478286743|-6.741902591755888e-09,1,5.708108474777873e-08|Running
-24.427017211914062,7.7945876121521,169.5653839111328|0.1357143521308899,2.6436453026690288e-08,-0.9907479882240295|-3.1064562033833454e-09,1,2.6257799490281286e-08|Running
