mount feels|false|16760
986.6366577148438,19.67028045654297,-157.92816162109375|-0.9979967474937439,-3.335653531166827e-08,0.06326524913311005|-3.217285993173391e-08,1,1.9728451761125143e-08|Freefall
986.0708618164062,18.914358139038086,-157.89239501953125|-0.9976564645767212,-6.273995722949621e-08,0.06842247396707535|-6.434142818534383e-08,1,-2.120188469234563e-08|Freefall
985.505126953125,18.103933334350586,-157.85365295410156|-0.9972847700119019,-9.243457554930501e-08,0.07364168018102646|-9.816329793466139e-08,1,-7.417254010988472e-08|Freefall
984.9393310546875,17.239011764526367,-157.81190490722656|-0.9963648915290833,-7.840299787176264e-08,0.08518773317337036|-8.745098512008553e-08,1,-1.0248066928397748e-07|Freefall
984.3739624023438,16.319589614868164,-157.76382446289062|-0.9951183199882507,-5.112917733640643e-08,0.09868889302015305|-6.537462127198523e-08,1,-1.411132188877673e-07|Freefall
983.8092041015625,15.345666885375977,-157.70797729492188|-0.9934730529785156,-1.8670180068625086e-08,0.11406716704368591|-3.686217908693834e-08,1,-1.5737570890905772e-07|Freefall
983.2455444335938,14.317243576049805,-157.64344787597656|-0.9923689365386963,2.185972958201887e-09,0.12330405414104462|-1.7384211403737027e-08,1,-1.5763896499265684e-07|Freefall
982.6828002929688,13.234320640563965,-157.57345581054688|-0.9914301633834839,1.698198204280743e-08,0.13063792884349823|-3.6916480983251176e-09,1,-1.58009200390552e-07|Freefall
982.1204833984375,12.09689712524414,-157.49935913085938|-0.9902610182762146,2.3563242024238207e-08,0.13922332227230072|2.559703338178565e-09,1,-1.510412772631753e-07|Freefall
981.5588989257812,10.904973983764648,-157.42051696777344|-0.9890151023864746,2.1365279323504183e-08,0.14781443774700165|4.0959660663197894e-10,1,-1.4180065477376047e-07|Freefall
980.9979248046875,9.658551216125488,-157.33676147460938|-0.9874382019042969,1.6258965729321062e-08,0.1580057591199875|-7.966066917219905e-09,1,-1.5268409470081679e-07|Freefall
980.4384155273438,8.35762882232666,-157.2473907470703|-0.9855759739875793,-1.3234581486276653e-10,0.16923339664936066|-1.0713486986446696e-08,1,-6.161082666267248e-08|Landed
979.8798828125,7.456084251403809,-157.1521453857422|-0.9823997616767883,-1.808594873864422e-08,0.18679049611091614|-1.3088255812476746e-08,1,2.798883436128108e-08|Landed
979.3229370117188,7.564619541168213,-157.0477294921875|-0.9778963923454285,-2.704054224977881e-08,0.20909000933170319|-1.0279173068283853e-08,1,8.125005734882507e-08|Running
978.7684326171875,7.743190288543701,-156.93112182617188|-0.9716705083847046,-2.5512720824849566e-08,0.23633962869644165|-2.3919703995289865e-09,1,9.81152155077325e-08|Running
978.21728515625,7.859313011169434,-156.79949951171875|-0.9699952602386475,-2.4108224749852525e-08,0.24312379956245422|3.901190481769845e-09,1,1.1472493355313418e-07|Running
977.8048706054688,7.91243314743042,-156.69674682617188|-0.9699952602386475,-2.3055648057379585e-08,0.24312390387058258|8.103664406178268e-09,1,1.2716218122932332e-07|Running
977.2552490234375,7.954874515533447,-156.5590057373047|-0.9699952602386475,-1.3815479427137234e-08,0.24312390387058258|8.48863646041309e-09,1,9.06920973875458e-08|Running
976.5682983398438,7.982023239135742,-156.38681030273438|-0.9699952602386475,9.876335305136763e-10,0.24312390387058258|6.797991058959951e-09,1,2.3059786968815388e-08|Running
976.0187377929688,7.99290657043457,-156.24905395507812|-0.9699952602386475,1.28187451764461e-08,0.24312390387058258|5.446768369665733e-09,1,-3.0994097954817335e-08|Running
975.4691772460938,7.998834609985352,-156.11129760742188|-0.9699952602386475,2.4639753348765225e-08,0.24312390387058258|4.096696315514237e-09,1,-8.500183668047612e-08|Running
974.9196166992188,8.002062797546387,-155.97354125976562|-0.9699952602386475,2.2701405200109548e-08,0.24312390387058258|1.7990523515365453e-09,1,-8.619610269988698e-08|Running
974.3700561523438,8.00382137298584,-155.83578491210938|-0.9699952602386475,1.6183584250484273e-08,0.24312390387058258|-8.127325479279079e-10,1,-6.9807747138384e-08|Running
973.8204956054688,8.004778861999512,-155.69802856445312|-0.9699952602386475,9.671333955907357e-09,0.24312390387058258|-3.4222846778675375e-09,1,-5.34333892687755e-08|Running
973.2709350585938,8.00529956817627,-155.56027221679688|-0.9699952602386475,3.1646474329960483e-09,0.24312390387058258|-6.029604815438461e-09,1,-3.707301132749308e-08|Running
972.7213745117188,8.005583763122559,-155.42251586914062|-0.9699952602386475,-3.336479093007938e-09,0.24312390387058258|-8.634694736997517e-09,1,-2.0726607985466217e-08|Running
972.1718139648438,8.005738258361816,-155.28475952148438|-0.9699954390525818,-9.832039182811059e-09,0.2431230992078781|-1.123754156395762e-08,1,-4.39417258135677e-09|Running
971.6222534179688,8.00582218170166,-155.14700317382812|-0.969995379447937,-1.63220548188292e-08,0.24312344193458557|-1.3838181267544769e-08,1,1.1924325526990742e-08|Running
