Mt Newbie|true|53710
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-7.213524777505143e-10,1.0000001192092896,2.860782544189533e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|4.297268096919993e-11,1.0000001192092896,-1.7042360855867855e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|8.066447509946784e-10,1.0000001192092896,-3.1990396109904395e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.5696643984597358e-09,1.0000001192092896,-6.225068460707917e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.9923753757922213e-09,1.0000001192092896,-7.901481069438887e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.3961902745052157e-09,1.0000001192092896,-5.5370943385923965e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|8.005144325196056e-10,1.0000001192092896,-3.174727680743672e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.0534775269087646e-10,1.0000001192092896,-8.143802965321356e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-3.893104449925744e-10,1.0000001192092896,1.5439505673953136e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-9.834606462533202e-10,1.0000001192092896,3.900266420941989e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.5771031147693293e-09,1.0000001192092896,6.25456948455394e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.1702382113630847e-09,1.0000001192092896,8.606860291138219e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.4612463461460834e-09,1.0000001192092896,5.795097379746039e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-7.528599965667127e-10,1.0000001192092896,2.985736813343465e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-4.507900649985963e-11,1.0000001192092896,1.7877700431156995e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|6.620972103910105e-10,1.0000001192092896,-2.625784389920227e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.36866928901469e-09,1.0000001192092896,-5.427950000580495e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.0746375728464272e-09,1.0000001192092896,-8.227721082221251e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.477856281795198e-09,1.0000001192092896,-5.8609703756928866e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|8.815850827126326e-10,1.0000001192092896,-3.496242584333231e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.858232817093409e-10,1.0000001192092896,-1.1335349547891838e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-3.0942948203716014e-10,1.0000001192092896,1.2271538452068853e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-9.041737358828073e-10,1.0000001192092896,3.5858256808296574e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.3498983042481427e-09,1.0000001192092896,5.353506793426277e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.9437533804733675e-09,1.0000001192092896,7.70865256072284e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.6832865101790162e-09,1.0000001192092896,6.675677610701314e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-9.409030221618764e-10,1.0000001192092896,3.731489073288685e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.991539710921586e-10,1.0000001192092896,7.89816656521225e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|5.419614201862544e-10,1.0000001192092896,-2.1493427482255356e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.2824435957625724e-09,1.0000001192092896,-5.085991006126278e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.0222929997260053e-09,1.0000001192092896,-8.020129627084316e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.470693011818014e-09,1.0000001192092896,-5.832561811303094e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|9.195642025616735e-10,1.0000001192092896,-3.6468623676455536e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|3.6890640542353026e-10,1.0000001192092896,-1.4630309408403264e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.812808514412012e-10,1.0000001192092896,7.189343786961899e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-7.309979288550039e-10,1.0000001192092896,2.8990351452762297e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.2802453541738146e-09,1.0000001192092896,5.0772730020298695e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.8290232661755113e-09,1.0000001192092896,7.253649414451502e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.0479646867244128e-09,1.0000001192092896,8.121939742977702e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.27903687641151e-09,1.0000001192092896,5.0724807465485355e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-5.107660960845806e-10,1.0000001192092896,2.0256264221529818e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.5684829263461495e-10,1.0000001192092896,-1.018624207205221e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.0238068171020132e-09,1.0000001192092896,-4.060273894879174e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.7901097271177946e-09,1.0000001192092896,-7.099323795500823e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.8681409752474565e-09,1.0000001192092896,-7.408784341578212e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.2587819675502487e-09,1.0000001192092896,-4.992152113914017e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|6.49943598940439e-10,1.0000001192092896,-2.5775850787113086e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|4.162547737052158e-11,1.0000001192092896,-1.6508079347943294e-09|Running
