Mt Freestyle|true|13238
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9168526530265808,-2.923227215845259e-09,0.3992258310317993|6.750455305848391e-09,1,-8.18069700869728e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9168519973754883,6.083568315773391e-09,0.39922723174095154|-1.4617596910682096e-08,1,1.833192797562333e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.50253676167722e-08,0.4008274972438812|-3.5999381253759566e-08,1,4.4796315989970026e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.1726705767832755e-08,0.4008276164531708|-5.199977337611017e-08,1,6.464890844881666e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.8230877191504078e-08,0.4008274972438812|-6.751425729589755e-08,1,8.388284555849168e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.8538916179977605e-08,0.4008276164531708|-4.431301547924704e-08,1,5.503265754214226e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,8.85522322136012e-09,0.4008274972438812|-2.113157293592849e-08,1,2.620714134593527e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-8.20203571727518e-10,0.4008276164531708|2.0300614522739124e-09,1,-2.5937443304258068e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.0487380741608376e-08,0.4008274972438812|2.517191965978327e-08,1,-3.1370014141884894e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.0146302404100425e-08,0.4008276164531708|4.829401945016798e-08,1,-6.012168540792118e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.9796987988106594e-08,0.4008274972438812|7.139635727071436e-08,1,-8.884879321158223e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.0940875700148354e-08,0.4008276164531708|5.0163720288765035e-08,1,-6.241284467023434e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.2092315593292824e-08,0.4008274972438812|2.8949193264793394e-08,1,-3.5999502046024645e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-3.2513067793615846e-09,0.4008276164531708|7.752795738724672e-09,1,-9.608728035459535e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,5.58216273205403e-09,0.4008274972438812|-1.34255069283995e-08,1,1.6759486243245192e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.4408091608686391e-08,0.4008276164531708|-3.458572450654174e-08,1,4.310516388272845e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.3226496281836262e-08,0.4008274972438812|-5.572786321295098e-08,1,6.942833152834282e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.749384542255484e-08,0.4008276164531708|-6.595370649620236e-08,1,8.215470614914011e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.813277883400133e-08,0.4008274972438812|-4.348999027570244e-08,1,5.4164768670261765e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,8.779703186689858e-09,0.4008276164531708|-2.104547291992276e-08,1,2.6198742730798585e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-5.653982837472427e-10,0.4008274972438812|1.379888980856947e-09,1,-1.7433732235616617e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-9.902523245841621e-09,0.4008276164531708|2.3786096647882005e-08,1,-2.966161005701906e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.9231684689202666e-08,0.4008274972438812|4.61731630707618e-08,1,-5.755599019607871e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.8552886277566358e-08,0.4008276164531708|6.854112655219069e-08,1,-8.542652096821257e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.3698794038296e-08,0.4008274972438812|5.688436743866987e-08,1,-7.089339248977922e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.4128413106107018e-08,0.4008276164531708|3.390722014273706e-08,1,-4.225209337960223e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-4.566193201327451e-09,0.4008274972438812|1.094968204995439e-08,1,-1.3635284901170053e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,4.987864787864282e-09,0.4008276164531708|-1.1988243286964462e-08,1,1.495707024901094e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.4533775960501316e-08,0.4008274972438812|-3.490658073701525e-08,1,4.35249880581523e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.407153765204839e-08,0.4008276164531708|-5.780535161648004e-08,1,7.206848096075191e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.881456140357841e-08,0.4008274972438812|-6.919103157088102e-08,1,8.625917047311304e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.919986125642481e-08,0.4008276164531708|-4.610117443348827e-08,1,5.7470820991056826e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,9.593357219728205e-09,0.4008274972438812|-2.303102064615814e-08,1,2.8707095367508373e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-4.944196961564895e-12,0.4008276164531708|1.9421041164147113e-11,1,-3.205482060342213e-11|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-9.595062522294029e-09,0.4008274972438812|2.305018220738475e-08,1,-2.8746638847110262e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.917699599118805e-08,0.4008276164531708|4.606128101158902e-08,1,-5.743667941260355e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.875075644226399e-08,0.4008274972438812|6.905271732193796e-08,1,-8.610220447735628e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.3975006868681703e-08,0.4008276164531708|5.7580962220527e-08,1,-7.179643546351144e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.4424922589739708e-08,0.4008274972438812|3.464270292852234e-08,1,-4.319342750136457e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-4.8829886800660915e-09,0.4008276164531708|1.1724047510597302e-08,1,-1.4614856880257321e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,4.650809071193862e-09,0.4008274972438812|-1.1175044889455421e-08,1,1.3939282617059234e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.4176467111326474e-08,0.4008276164531708|-3.405457960070635e-08,1,4.246901852411611e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.3694004980256977e-08,0.4008274972438812|-5.691456905765335e-08,1,7.09743730453738e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.8466640600299797e-08,0.4008276164531708|-6.837734645159799e-08,1,8.526733807912024e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.903094926092308e-08,0.4008274972438812|-4.5711793461578054e-08,1,5.7002257136673506e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,9.603309258920945e-09,0.4008276164531708|-2.306561519560546e-08,1,2.8761325765458423e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.837084928624222e-10,0.4008274972438812|-4.3876366428996505e-10,1,5.445394690717364e-10|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-9.22785226009637e-09,0.4008276164531708|2.2168761049101704e-08,1,-2.764813444855463e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.8631391540679942e-08,0.4008274972438812|4.475697679140467e-08,1,-5.58167130293441e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.8026901688349426e-08,0.4008276164531708|6.732591373292962e-08,1,-8.39612042113913e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.3408810889691267e-08,0.4008274972438812|5.623184762271194e-08,1,-7.012541658468763e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.4128127112655875e-08,0.4008276164531708|3.39374963687078e-08,1,-4.2322007232087344e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-4.855356117161591e-09,0.4008274972438812|1.1662169896453634e-08,1,-1.4542371751247174e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,4.409501208613165e-09,0.4008276164531708|-1.0594128241336875e-08,1,1.321352804950493e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.3666458187344688e-08,0.4008274972438812|-3.283142291365948e-08,1,4.09457072692021e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.29155112663193e-08,0.4008276164531708|-5.50497283313689e-08,1,6.865418100687748e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.7566905203002534e-08,0.4008274972438812|-6.622320114502145e-08,1,8.258843564590279e-08|Running
