MT Varsha|true|8344
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.990191074393806e-08,0.4816772937774658|-9.375933274213821e-08,1,-3.682143301375618e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.456134116206158e-08,0.4816772937774658|-6.059170942762648e-08,1,-2.3795754700017824e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.9250964317384387e-08,0.4816772937774658|-2.7452431439201064e-08,1,-1.0781207926413572e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-6.029239774107964e-09,0.4816772937774658|5.658532753471945e-09,1,2.222217965197615e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.127929997821411e-08,0.4816772937774658|3.8741205798942246e-08,1,1.5214531856599933e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.64992407198406e-08,0.4816772937774658|7.179561123393796e-08,1,2.819574618229126e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.1168908287118029e-07,0.4816772937774658|1.0482177259518721e-07,1,4.116586538316369e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.791096834353084e-08,0.4816772937774658|7.312053185160039e-08,1,2.871608018040206e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.416170895638061e-08,0.4816772937774658|4.144638054981442e-08,1,1.6276935355108435e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.0441292275231717e-08,0.4816772937774658|9.799291156298295e-09,1,3.848419805052572e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.325031367433894e-08,0.4816772937774658|-2.182075853340848e-08,1,-8.569473131103678e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.691313020861344e-08,0.4816772937774658|-5.3413792500123236e-08,1,-2.097675455559056e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.054718219658753e-08,0.4816772937774658|-8.497983117194963e-08,1,-3.337343201792464e-08|Running
