MT Varsha|true|8344
-160.6822509765625,292.0058288574219,-830.96484375|0.5889847874641418,-3.0034936315814775e-08,0.8081441521644592|-3.060080189243308e-08,1,5.9467542001812035e-08|Running
-160.28956604003906,292.0058288574219,-830.4262084960938|0.5889847874641418,-4.535596787036411e-08,0.8081441521644592|-4.6211660276185285e-08,1,8.980320131968256e-08|Running
-159.9754180908203,292.0058288574219,-829.9953002929688|0.5889847874641418,-3.255587799344539e-08,0.8081441521644592|-3.317052943430099e-08,1,6.445980460512146e-08|Running
-159.66127014160156,292.0058288574219,-829.5643920898438|0.5889847874641418,-1.9766721592873182e-08,0.8081441521644592|-2.0140523915301856e-08,1,3.913804746957794e-08|Running
-159.3471221923828,292.0058288574219,-829.1334838867188|0.5889847874641418,-6.988493339576962e-09,0.8081441521644592|-7.1216326169576405e-09,1,1.383791126130518e-08|Running
-159.03297424316406,292.0058288574219,-828.7025756835938|0.5889847874641418,5.778820533208773e-09,0.8081441521644592|5.886154230694274e-09,1,-1.1440627112335733e-08|Running
-158.64028930664062,292.0058288574219,-828.1639404296875|0.5889847874641418,2.172262902888633e-08,0.8081441521644592|2.2130285159960295e-08,1,-4.300845546367782e-08|Running
-158.40467834472656,292.0058288574219,-827.8407592773438|0.5889847874641418,3.1280741552563995e-08,0.8081441521644592|3.186844921287957e-08,1,-6.193297963363875e-08|Running
-158.0905303955078,292.0058288574219,-827.4098510742188|0.5889847874641418,4.4015369127237136e-08,0.8081441521644592|4.484298088414107e-08,1,-8.714683019661607e-08|Running
-157.77638244628906,292.0058288574219,-826.9789428710938|0.5889847874641418,4.8904936988947156e-08,0.8081441521644592|4.9824858905367364e-08,1,-9.682805313104836e-08|Running
-157.4622344970703,292.0058288574219,-826.5480346679688|0.5889847874641418,3.0297830022618655e-08,0.8081441521644592|3.086797306650624e-08,1,-5.99875633611191e-08|Running
-157.14808654785156,292.0058288574219,-826.1171264648438|0.5889847874641418,1.1706633884500661e-08,0.8081441521644592|1.1927248522169975e-08,1,-2.3178539976242973e-08|Running
-156.8339385986328,292.0058288574219,-825.6862182617188|0.5889847874641418,-6.8686714094212675e-09,0.8081441521644592|-6.9973218330687814e-09,1,1.3599043668932609e-08|Running
-156.44125366210938,292.0058288574219,-825.1475830078125|0.5889847874641418,-3.0065475442597744e-08,0.8081441521644592|-3.063034270667231e-08,1,5.952685810939329e-08|Running
-156.2056427001953,292.0058288574219,-824.8244018554688|0.5889847874641418,-4.3971660090846854e-08,0.8081441521644592|-4.4798063925099996e-08,1,8.706000897973354e-08|Running
-155.89149475097656,292.0058288574219,-824.3934936523438|0.5889847874641418,-3.899202383195188e-08,0.8081441521644592|-3.972499484916625e-08,1,7.720088746054898e-08|Running
-155.49880981445312,292.0058288574219,-823.8548583984375|0.5889847874641418,-2.2983966729839267e-08,0.8081441521644592|-2.341620408685685e-08,1,4.550642884737499e-08|Running
-155.18466186523438,292.0058288574219,-823.4239501953125|0.5889847874641418,-1.018982231926202e-08,0.8081441521644592|-1.038169017419932e-08,1,2.0175212611661664e-08|Running
-154.9490509033203,292.0058288574219,-823.1007690429688|0.5889847874641418,-6.013872733134917e-10,0.8081441521644592|-6.131011254240093e-10,1,1.190993526023476e-09|Running
-154.63490295410156,292.0058288574219,-822.6698608398438|0.5889847874641418,1.2173637209400567e-08,0.8081441521644592|1.2401963012109718e-08,1,-2.4102389417635095e-08|Running
-154.3992919921875,292.0058288574219,-822.3466796875|0.5889847874641418,2.1747743161881772e-08,0.8081441521644592|2.21559748325717e-08,1,-4.3058253851313566e-08|Running
-154.08514404296875,292.0058288574219,-821.915771484375|0.5889847874641418,3.450367458412984e-08,0.8081441521644592|3.5151618504869475e-08,1,-6.831385945815782e-08|Running
-153.6924591064453,292.0058288574219,-821.3771362304688|0.5889847874641418,5.0433275333716665e-08,0.8081441521644592|5.138057801445939e-08,1,-9.985304671999984e-08|Running
-153.37831115722656,292.0058288574219,-820.9462280273438|0.5889847874641418,3.9641964377779004e-08,0.8081441521644592|4.03866451392787e-08,1,-7.848733929449736e-08|Running
-153.1427001953125,292.0058288574219,-820.623046875|0.5889847874641418,2.567573176293081e-08,0.8081441521644592|2.6158105015383626e-08,1,-5.0835556208994603e-08|Running
-152.75001525878906,292.0058288574219,-820.0844116210938|0.5889847874641418,2.4185742297788693e-09,0.8081441521644592|2.4640935958331056e-09,1,-4.788610841188756e-09|Running
-152.4358673095703,292.0058288574219,-819.6535034179688|0.5889847874641418,-1.616925970893135e-08,0.8081441521644592|-1.64729314633405e-08,1,3.201355269766282e-08|Running
-152.12171936035156,292.0058288574219,-819.2225952148438|0.5889847874641418,-3.474120546798076e-08,0.8081441521644592|-3.5393806996353305e-08,1,6.878428848722251e-08|Running
-151.8075714111328,292.0058288574219,-818.7916870117188|0.5889847874641418,-4.545104559383617e-08,0.8081441521644592|-4.630491190482644e-08,1,8.998881639854517e-08|Running
-151.49342346191406,292.0058288574219,-818.3607788085938|0.5889847874641418,-3.262310954710301e-08,0.8081441521644592|-3.323601305282864e-08,1,6.459072210418526e-08|Running
-151.1792755126953,292.0058288574219,-817.9298706054688|0.5889847874641418,-1.980612474028476e-08,0.8081441521644592|-2.0178266169068593e-08,1,3.921431357412075e-08|Running
-150.94366455078125,292.0058288574219,-817.606689453125|0.5889847874641418,-1.020057371903249e-08,0.8081441521644592|-1.039226393828585e-08,1,2.019622336035809e-08|Running
-150.5509796142578,292.0058288574219,-817.0680541992188|0.5889847874641418,5.795005808550968e-09,0.8081441521644592|5.903827204889467e-09,1,-1.1473535010964042e-08|Running
-150.23683166503906,292.0058288574219,-816.6371459960938|0.5889847874641418,1.8579173755028933e-08,0.8081441521644592|1.8928188794120615e-08,1,-3.6785007040407436e-08|Running
-149.9226837158203,292.0058288574219,-816.2062377929688|0.5889847874641418,3.1352421103747474e-08,0.8081441521644592|3.1941443268124203e-08,1,-6.207487501797004e-08|Running
-149.60853576660156,292.0058288574219,-815.7753295898438|0.5889847874641418,4.411475629240158e-08,0.8081441521644592|4.494359728823838e-08,1,-8.734314604907922e-08|Running
-149.2943878173828,292.0058288574219,-815.3444213867188|0.5889847874641418,4.9014527547797115e-08,0.8081441521644592|4.99354584349021e-08,1,-9.70442641801128e-08|Running
-148.98023986816406,292.0058288574219,-814.9135131835938|0.5889847874641418,3.0365182368541355e-08,0.8081441521644592|3.093571265821993e-08,1,-6.012027142787701e-08|Running
-148.6660919189453,292.0058288574219,-814.4826049804688|0.5889847874641418,1.1731777327383952e-08,0.8081441521644592|1.1952169032269921e-08,1,-2.3227816114967936e-08|Running
-148.35194396972656,292.0058288574219,-814.0516967773438|0.5889847874641418,-6.8856991219945485e-09,0.8081441521644592|-7.01518576562421e-09,1,1.3633133733037539e-08|Running
-148.0377960205078,292.0058288574219,-813.6207885742188|0.5889847874641418,-2.5487260302270442e-08,0.8081441521644592|-2.5966365058138763e-08,1,5.0462599432421484e-08|Running
-147.72364807128906,292.0058288574219,-813.1898803710938|0.5889847874641418,-4.4072923088833704e-08,0.8081441521644592|-4.490138039159319e-08,1,8.726061651032069e-08|Running
-147.4095001220703,292.0058288574219,-812.7589721679688|0.5889847874641418,-3.908145984610201e-08,0.8081441521644592|-3.981609708603173e-08,1,7.737794760487304e-08|Running
-147.09535217285156,292.0058288574219,-812.3280639648438|0.5889847874641418,-2.624386574723303e-08,0.8081441521644592|-2.6737181357816553e-08,1,5.1960604707801394e-08|Running
-146.7812042236328,292.0058288574219,-811.8971557617188|0.5889847874641418,-1.3417239763668931e-08,0.8081441521644592|-1.3669420262374388e-08,1,2.65649635622367e-08|Running
-146.46705627441406,292.0058288574219,-811.4662475585938|0.5889847874641418,-6.015692388672278e-10,0.8081441521644592|-6.128046403652831e-10,1,1.1910027408745805e-09|Running
-146.1529083251953,292.0058288574219,-811.0353393554688|0.5889847874641418,1.2203154042822462e-08,0.8081441521644592|1.243267355732769e-08,1,-2.4161295186786447e-08|Running
-145.83876037597656,292.0058288574219,-810.6044311523438|0.5889847874641418,2.499693962931815e-08,0.8081441521644592|2.5467024045155995e-08,1,-4.9491948317381684e-08|Running
-145.5246124267578,292.0058288574219,-810.1735229492188|0.5889847874641418,3.777979173946733e-08,0.8081441521644592|3.849025986824017e-08,1,-7.480097252710038e-08|Running
-145.21046447753906,292.0058288574219,-809.7426147460938|0.5889847874641418,5.055172991319523e-08,0.8081441521644592|5.1502382802937063e-08,1,-1.000883926849383e-07|Running
-144.8963165283203,292.0058288574219,-809.3117065429688|0.5889847874641418,3.973488915676171e-08,0.8081441521644592|4.048212076668278e-08,1,-7.86719098755384e-08|Running
-144.58216857910156,292.0058288574219,-808.8807983398438|0.5889847874641418,2.1071363320857017e-08,0.8081441521644592|2.1467576161171564e-08,1,-4.171958778442786e-08|Running
-144.2680206298828,292.0058288574219,-808.4498901367188|0.590395450592041,2.4886259719636428e-09,0.8071141242980957|2.3963682149741317e-09,1,-4.836281153330901e-09|Running
-143.95326232910156,292.0058288574219,-808.0194091796875|0.5903952717781067,-1.607824273719416e-08,0.8071142435073853|-1.658569281914879e-08,1,3.205290610708289e-08|Running
-143.6383819580078,292.0058288574219,-807.5889892578125|0.5903952717781067,-3.462925590724808e-08,0.8071142435073853|-3.5551522614696296e-08,1,6.891057324764915e-08|Running
-143.32350158691406,292.0058288574219,-807.1585693359375|0.5903952717781067,-4.533588437993785e-08,0.8071142435073853|-4.647957041470363e-08,1,9.016964241936876e-08|Running
-143.0086212158203,292.0058288574219,-806.7281494140625|0.5903952717781067,-3.255778224797723e-08,0.8071142435073853|-3.334385567654863e-08,1,6.472917135624812e-08|Running
-142.69374084472656,292.0058288574219,-806.2977294921875|0.5903952717781067,-1.9790590499724203e-08,0.8071142435073853|-2.0219378171759672e-08,1,3.931043934812806e-08|Running
-142.3788604736328,292.0058288574219,-805.8673095703125|0.5903952717781067,-7.034304250197465e-09,0.8071142435073853|-7.106121024946788e-09,1,1.3913425966904924e-08|Running
-142.06398010253906,292.0058288574219,-805.4368896484375|0.5903952717781067,5.7110871587440215e-09,0.8071142435073853|5.995924645674222e-09,1,-1.1461887439168095e-08|Running
-141.7490997314453,292.0058288574219,-805.0064697265625|0.5903950929641724,1.8445591720706034e-08,0.8071143627166748|1.9086773050958072e-08,1,-3.6815514192767296e-08|Running
-141.43421936035156,292.0058288574219,-804.5760498046875|0.590395450592041,3.116919344847702e-08,0.8071141242980957|3.216640820369321e-08,1,-6.21474640638553e-08|Running
-141.1193389892578,292.0058288574219,-804.1456298828125|0.5903950929641724,4.388192564874771e-08,0.8071144223213196|4.523491625718634e-08,1,-8.745773527607525e-08|Running
-140.80445861816406,292.0058288574219,-803.7152099609375|0.590395450592041,4.8770086635840926e-08,0.8071141242980957|5.024465821179547e-08,1,-9.717870597114597e-08|Running
-140.4895782470703,292.0058288574219,-803.2847900390625|0.5903950929641724,3.0223016977970474e-08,0.8071144223213196|3.111791002652353e-08,1,-6.020816556429054e-08|Running
-140.17469787597656,292.0058288574219,-802.8543701171875|0.590395450592041,1.1691815515746384e-08,0.8071141242980957|1.2007424388116306e-08,1,-2.3269254967317465e-08|Running
-139.8598175048828,292.0058288574219,-802.4239501953125|0.5903950929641724,-6.823567488822846e-09,0.8071144223213196|-7.086704556513723e-09,1,1.3638119966685736e-08|Running
-139.54493713378906,292.0058288574219,-801.9935302734375|0.590395450592041,-2.532312137759618e-08,0.8071141242980957|-2.6164528321714897e-08,1,5.051397167221694e-08|Running
-139.2300567626953,292.0058288574219,-801.5631103515625|0.5903950929641724,-4.3806888783137765e-08,0.8071144223213196|-4.52260913164082e-08,1,8.735830903106034e-08|Running
-138.993896484375,292.0058288574219,-801.2402954101562|0.590395450592041,-4.2042234582595484e-08,0.8071141242980957|-4.3394130955221044e-08,1,8.383192806604711e-08|Running
-138.6002960205078,292.0058288574219,-800.7022705078125|0.5903950929641724,-2.6096328653579803e-08,0.8071144223213196|-2.691957945444301e-08,1,5.202424091521607e-08|Running
-138.28541564941406,292.0058288574219,-800.2718505859375|0.590395450592041,-1.335187604922794e-08,0.8071141242980957|-1.3752547545209381e-08,1,2.6602579694667838e-08|Running
-138.04925537109375,292.0058288574219,-799.9490356445312|0.5903950929641724,-3.800672665477123e-09,0.8071144223213196|-3.8846827976612985e-09,1,7.55056550616473e-09|Running
-137.65565490722656,292.0058288574219,-799.4110107421875|0.5903950929641724,1.2104405477941782e-08,0.8071144223213196|1.2547743288848778e-08,1,-2.4175671242687713e-08|Running
-137.3407745361328,292.0058288574219,-798.9805908203125|0.5903950929641724,2.4816241506186998e-08,0.8071144223213196|2.568106260980585e-08,1,-4.953227872306343e-08|Running
-137.1046142578125,292.0058288574219,-798.6577758789062|0.590395450592041,3.4342978239010336e-08,0.8071141242980957|3.552366578674082e-08,1,-6.853552037000554e-08|Running
-136.7110137939453,292.0058288574219,-798.1197509765625|0.5903950929641724,5.020730498017656e-08,0.8071144223213196|5.1914074816750144e-08,1,-1.0018049323434752e-07|Running
-136.39613342285156,292.0058288574219,-797.6893310546875|0.590395450592041,3.9467241919055596e-08,0.8071141242980957|4.080257909322427e-08,1,-7.874586316347632e-08|Running
-136.0812530517578,292.0058288574219,-797.2589111328125|0.5903950929641724,2.093324091845261e-08,0.8071144223213196|2.163371704000383e-08,1,-4.176072110340101e-08|Running
-135.76637268066406,292.0058288574219,-796.8284912109375|0.590395450592041,2.4151023403362615e-09,0.8071141242980957|2.4811690479964454e-09,1,-4.807217734992264e-09|Running
-135.4514923095703,292.0058288574219,-796.3980712890625|0.5903950929641724,-1.6087238208228882e-08,0.8071144223213196|-1.665500093395167e-08,1,3.2114737535948734e-08|Running
-135.13661193847656,292.0058288574219,-795.9676513671875|0.590395450592041,-3.457375896687154e-08,0.8071141242980957|-3.5774814222122586e-08,1,6.90051678020609e-08|Running
-134.90045166015625,292.0058288574219,-795.6448364257812|0.5903950929641724,-4.8428297816371924e-08,0.8071144223213196|-5.01039991718244e-08,1,9.665228617450339e-08|Running
-134.50685119628906,292.0058288574219,-795.1068115234375|0.5903950929641724,-3.247007640538868e-08,0.8071144223213196|-3.3588953840535396e-08,1,6.479977088247324e-08|Running
-134.27069091796875,292.0058288574219,-794.7839965820312|0.5903950929641724,-2.2903320129330496e-08,0.8071144223213196|-2.3688379258146597e-08,1,4.570457790009641e-08|Running
-133.955810546875,292.0058288574219,-794.3535766601562|0.5903950929641724,-1.0157176433267523e-08,0.8071144223213196|-1.0497473112991429e-08,1,2.026333945082115e-08|Running
-133.5622100830078,292.0058288574219,-793.8155517578125|0.5903950929641724,5.76019898446134e-09,0.8071144223213196|5.975328676299796e-09,1,-1.1507666819454698e-08|Running
-133.24732971191406,292.0058288574219,-793.3851318359375|0.590395450592041,1.8481847163798193e-08,0.8071141242980957|1.9140900420211437e-08,1,-3.6900043909326996e-08|Running
-133.01116943359375,292.0058288574219,-793.0623168945312|0.5903950929641724,2.8015950448434523e-08,0.8071144223213196|2.9007722446294792e-08,1,-5.593007301740727e-08|Running
-132.61756896972656,292.0058288574219,-792.5242919921875|0.5903950929641724,4.3892544709933645e-08,0.8071144223213196|4.5438358853289174e-08,1,-8.761971059811913e-08|Running
-132.3026885986328,292.0058288574219,-792.0938720703125|0.5903950929641724,4.876912740314765e-08,0.8071144223213196|5.0483421887292934e-08,1,-9.735211392580823e-08|Running
-132.0665283203125,292.0058288574219,-791.7710571289062|0.590395450592041,3.485139643544244e-08,0.8071141242980957|3.607481602330154e-08,1,-6.956860687523658e-08|Running
-131.6729278564453,292.0058288574219,-791.2330322265625|0.5903950929641724,1.1674982758336228e-08,0.8071144223213196|1.2081079248105198e-08,1,-2.33022632301072e-08|Running
-131.35804748535156,292.0058288574219,-790.8026123046875|0.5918033719062805,-6.783164696599897e-09,0.8060823678970337|-7.1362018516651915e-09,1,1.3654179120692334e-08|Running
-131.1214141845703,292.0058288574219,-790.4801025390625|0.5918039679527283,-2.06164152416477e-08,0.8060819506645203|-2.1507876368787038e-08,1,4.136659015330224e-08|Running
-130.72689819335938,292.0058288574219,-789.9426879882812|0.5918039679527283,-4.3652160996998646e-08,0.8060819506645203|-4.5440224027970544e-08,1,8.751450764066249e-08|Running
-130.41128540039062,292.0058288574219,-789.5127563476562|0.5918039679527283,-3.871932818810819e-08,0.8060819506645203|-4.0282934321567154e-08,1,7.760864662031963e-08|Running
-130.09567260742188,292.0058288574219,-789.0828247070312|0.5932106375694275,-2.6057783486521657e-08,0.805047333240509|-2.6902998939704048e-08,1,5.219187571015027e-08|Running
-129.77940368652344,292.0058288574219,-788.6533813476562|0.5946156978607178,-1.3452060798613275e-08,0.8040100932121277|-1.3578757673826658e-08,1,2.6773548711389594e-08|Running
-129.46238708496094,292.0058288574219,-788.2244873046875|0.5960191488265991,-9.021189906199822e-10,0.8029702305793762|-3.1022365232225013e-10,1,1.353746670318401e-09|Running
-129.14463806152344,292.0058288574219,-787.7962036132812|0.5974209308624268,1.1592084625533516e-08,0.8019278049468994|1.2902590107444212e-08,1,-2.406745558403145e-08|Running
-128.82611083984375,292.0058288574219,-787.368408203125|0.5974209308624268,2.4075612614637976e-08,0.8019278049468994|2.6101750094653653e-08,1,-4.9467477225562106e-08|Running
-128.50750732421875,292.0058288574219,-786.940673828125|0.5988214612007141,3.650347935035825e-08,0.8008825182914734|3.9203133184173566e-08,1,-7.489132514137964e-08|Running
-128.18824768066406,292.0058288574219,-786.513427734375|0.5988214612007141,4.8920725248535746e-08,0.8008825182914734|5.237971834048949e-08,1,-1.0024794505625323e-07|Running
-127.86888122558594,292.0058288574219,-786.086181640625|0.5988222360610962,3.848704466236086e-08,0.8008819818496704|4.113758578228044e-08,1,-7.881454422431489e-08|Running
-127.54951477050781,292.0058288574219,-785.658935546875|0.598820686340332,2.045200631073385e-08,0.8008831143379211|2.1773006508851722e-08,1,-4.1816505813585536e-08|Running
-127.23014831542969,292.0058288574219,-785.231689453125|0.5988222360610962,2.43241848885134e-09,0.8008819818496704|2.424753287044723e-09,1,-4.850171375636592e-09|Running
-126.91078186035156,292.0058288574219,-784.804443359375|0.6002197861671448,-1.550610662093277e-08,0.7998350858688354|-1.6915358003188885e-08,1,3.2080411216384164e-08|Running
-126.67080688476562,292.0058288574219,-784.4844360351562|0.6002197861671448,-2.8949949992806978e-08,0.7998350858688354|-3.140324977835007e-08,1,5.97608220687107e-08|Running
-126.27066040039062,292.0058288574219,-783.9512939453125|0.6002197861671448,-4.377702822466745e-08,0.7998350858688354|-4.7356852661550874e-08,1,9.027054659327405e-08|Running
-125.95053100585938,292.0058288574219,-783.5247802734375|0.6002190113067627,-3.1444944426084476e-08,0.7998356819152832|-3.396755587914413e-08,1,6.48044533591019e-08|Running
-125.63040161132812,292.0058288574219,-783.0982666015625|0.6002201437950134,-1.9123410410770703e-08,0.7998348474502563|-2.058952475181286e-08,1,3.9360198655913337e-08|Running
-125.31027221679688,292.0058288574219,-782.6717529296875|0.6002188324928284,-6.8123435781330954e-09,0.7998358607292175|-7.223088349661566e-09,1,1.3937581755385509e-08|Running
-124.99014282226562,292.0058288574219,-782.2452392578125|0.6002197861671448,5.488196563874226e-09,0.7998351454734802|6.132015784032774e-09,1,-1.1463304971925936e-08|Running
-124.67001342773438,292.0058288574219,-781.8187255859375|0.5988206267356873,1.7823515108261745e-08,0.8008831739425659|1.949572414616796e-08,1,-3.68317856214162e-08|Running
-124.35053253173828,292.0058288574219,-781.3916625976562|0.5974217653274536,3.0193426425739744e-08,0.8019272089004517|3.289225602998158e-08,1,-6.215523740138451e-08|Running
-124.03179931640625,292.0058288574219,-780.9639892578125|0.5974211692810059,4.2552791512662225e-08,0.8019276261329651|4.6213166626785096e-08,1,-8.749108104666448e-08|Running
-123.71316528320312,292.0058288574219,-780.5362548828125|0.5974213480949402,4.731839098326418e-08,0.8019275069236755|5.1306951576179927e-08,1,-9.722856475491426e-08|Running
-123.31487274169922,292.0058288574219,-780.0015869140625|0.5974215269088745,2.484784111800309e-08,0.801927387714386|2.6875749625787648e-08,1,-5.1007102541689164e-08|Running
-123.07589721679688,292.0058288574219,-779.6807861328125|0.5974213480949402,1.1377020214808908e-08,0.8019275069236755|1.2229583568057478e-08,1,-2.329790937949383e-08|Running
-122.59794616699219,292.0058288574219,-779.0391845703125|0.5974211692810059,-1.5538756059640946e-08,0.8019276261329651|-1.7034578192465233e-08,1,3.2067198674212705e-08|Running
-122.43862915039062,292.0058288574219,-778.8253173828125|0.5974221229553223,-2.4502998741127158e-08,0.8019269108772278|-2.6780915263202587e-08,1,5.050648610449571e-08|Running
-122.04033660888672,292.0058288574219,-778.2906494140625|0.5974209904670715,-4.6896907690552325e-08,0.8019277453422546|-5.112869416734611e-08,1,9.657012611796745e-08|Running
-121.80136108398438,292.0058288574219,-777.9698486328125|0.5988208055496216,-3.7603960834076133e-08,0.8008830547332764|-4.089788063765809e-08,1,7.753249775532822e-08|Running
-121.24256896972656,292.0058288574219,-777.22216796875|0.6002193093299866,-1.6023076199189745e-08,0.7998354434967041|-1.7309277566823766e-08,1,3.302234219404454e-08|Running
-121.16261291503906,292.0058288574219,-777.115478515625|0.6044023633003235,-1.297681695433539e-08,0.7966791987419128|-1.3788424624294748e-08,1,2.6749253478897117e-08|Running
-120.84063720703125,292.0058288574219,-776.6903076171875|0.6044029593467712,-7.983003702527469e-10,0.7966787815093994|-4.052730928627568e-10,1,1.3094971773597308e-09|Running
-120.51829528808594,292.0058288574219,-776.2655029296875|0.6057931780815125,1.1324365445375406e-08,0.7956221699714661|1.2968698115400912e-08,1,-2.4107817964136302e-08|Running
-120.19530487060547,292.0058288574219,-775.8411254882812|0.6085682511329651,2.3345753774606237e-08,0.7935015559196472|2.6244682871379155e-08,1,-4.9549285563443846e-08|Running
-119.8709487915039,292.0058288574219,-775.417724609375|0.6099538803100586,3.531135917000938e-08,0.792436957359314|3.950691507270676e-08,1,-7.496969089970662e-08|Running
-119.46443176269531,292.0058288574219,-774.889404296875|0.612718939781189,5.0140229745920806e-08,0.7903009057044983|5.591476082145164e-08,1,-1.0679509898636752e-07|Running
-119.21955871582031,292.0058288574219,-774.5731201171875|0.6168509125709534,3.698893991099794e-08,0.7870800495147705|4.100611050716907e-08,1,-7.91324836768581e-08|Running
-118.89090728759766,292.0058288574219,-774.153076171875|0.6168509125709534,1.9466980916149623e-08,0.7870800495147705|2.1889221102355805e-08,1,-4.188820312833741e-08|Running
-118.56192779541016,292.0058288574219,-773.7333984375|0.6264278292655945,2.425736500555331e-09,0.779479444026947|2.2748853911735978e-09,1,-4.940204689773964e-09|Running
-118.22858428955078,292.0058288574219,-773.3170776367188|0.633212149143219,-1.4266937853335548e-08,0.7739782333374023|-1.6852576223413962e-08,1,3.2220796697401966e-08|Running
-117.89141845703125,292.0058288574219,-772.9038696289062|0.6399476528167725,-3.061038000851113e-08,0.7684184908866882|-3.5638421991279756e-08,1,6.951564301971302e-08|Running
-117.55064392089844,292.0058288574219,-772.49365234375|0.6479663848876953,-3.9706002041839383e-08,0.7616689205169678|-4.5996188191566034e-08,1,9.126010525051242e-08|Running
-117.20569610595703,292.0058288574219,-772.0868530273438|0.6559125185012817,-2.8589214551288933e-08,0.754836916923523|-3.223659561513159e-08,1,6.588655310224567e-08|Running
-116.85651397705078,292.0058288574219,-771.6837158203125|0.6650928854942322,-1.780795244599176e-08,0.7467606663703918|-1.863880250141392e-08,1,4.0447346805194684e-08|Running
-116.50253295898438,292.0058288574219,-771.2847900390625|0.6754623055458069,-7.4100969804646866e-09,0.7373945713043213|-5.292953186852856e-09,1,1.4897435285377014e-08|Running
-116.14311218261719,292.0058288574219,-770.8907470703125|0.6882393956184387,2.5086317467781782e-09,0.7254836559295654|7.736011831127598e-09,1,-1.0796742166974127e-08|Running
-115.77706909179688,292.0058288574219,-770.5028686523438|0.6983088850975037,1.2040870522866953e-08,0.7157965302467346|2.0341426321124345e-08,1,-3.666610126629166e-08|Running
-115.40545654296875,292.0058288574219,-770.1203002929688|0.7107055187225342,2.1090174939786266e-08,0.7034896016120911|3.2443971065276855e-08,1,-6.275612918216211e-08|Running
-115.02739715576172,292.0058288574219,-769.744140625|0.726495087146759,2.9510994536963153e-08,0.6871716976165771|4.3745938427264264e-08,1,-8.919489147274362e-08|Running
-114.7380142211914,292.0058288574219,-769.468017578125|0.740737795829773,3.5389568608934496e-08,0.6717942953109741|5.14111775373749e-08,1,-1.0936646788195503e-07|Running
-114.24539947509766,292.0058288574219,-769.0188598632812|0.7558005452156067,1.9146474627973475e-08,0.6548019051551819|2.8474703483993835e-08,1,-6.210682812479718e-08|Running
-113.84349822998047,292.0058288574219,-768.6683349609375|0.7726954817771912,7.2150814212079695e-09,0.6347768902778625|1.0501633340709304e-08,1,-2.4149660049488375e-08|Running
-113.4327392578125,292.0058288574219,-768.3281860351562|0.7858299016952515,-3.860435970892695e-09,0.6184426546096802|-6.329105239899491e-09,1,1.4284325722258018e-08|Running
-113.01468658447266,292.0058288574219,-767.9970092773438|0.7986196875572205,-1.4076631416060081e-08,0.6018360257148743|-2.2336642757636582e-08,1,5.3029584279329356e-08|Running
-112.58978271484375,292.0058288574219,-767.6746826171875|0.810035765171051,-2.3501758761312885e-08,0.5863804817199707|-3.7608010927669966e-08,1,9.203169781812903e-08|Running
-112.15867614746094,292.0058288574219,-767.3606567382812|0.8201540112495422,-2.0125218824773583e-08,0.5721428394317627|-3.258274361428448e-08,1,8.188180089518937e-08|Running
-111.7220687866211,292.0058288574219,-767.0543823242188|0.830021321773529,-1.3217323235892309e-08,0.5577316284179688|-2.1177166686925375e-08,1,5.5214410821236015e-08|Running
-111.39082336425781,292.0058288574219,-766.8302001953125|0.8386862874031067,-8.372637694264995e-09,0.544614851474762|-1.28342634297951e-08,1,3.5137784237804226e-08|Running
-110.8324203491211,292.0058288574219,-766.466064453125|0.8462145924568176,-7.98709653970775e-10,0.5328422784805298|1.0121351673442192e-10,1,1.33822208869816e-09|Running
-110.38169860839844,292.0058288574219,-766.180908203125|0.8544870615005493,4.809297404761992e-09,0.5194727182388306|1.0067255473700243e-08,1,-2.5817788795734486e-08|Running
-109.9266357421875,292.0058288574219,-765.90283203125|0.8607736229896545,1.0065583033735948e-08,0.5089879631996155|1.9687403707280282e-08,1,-5.3069982186570996e-08|Running
-109.46806335449219,292.0058288574219,-765.6305541992188|0.8678019046783447,1.492019841009551e-08,0.4969102740287781|2.8871935953134198e-08,1,-8.044776222959626e-08|Running
-109.00580596923828,292.0058288574219,-765.3645629882812|0.8755061030387878,1.9323092459444524e-08,0.4832070767879486|3.7523271601003216e-08,1,-1.0797636917914133e-07|Running
-108.65620422363281,292.0058288574219,-765.1702270507812|0.8846285939216614,1.647909364521638e-08,0.46629637479782104|3.159482986347939e-08,1,-9.528014288662234e-08|Running
-108.06719970703125,292.0058288574219,-764.8579711914062|0.8918496370315552,7.786055356007182e-09,0.4523320198059082|1.429122242768699e-08,1,-4.539072051557014e-08|Running
-107.59212493896484,292.0058288574219,-764.6156005859375|0.9003751277923584,1.6391636936674558e-09,0.4351145029067993|7.872100193928588e-10,1,-5.39616129557885e-09|Running
-107.11260986328125,292.0058288574219,-764.3821411132812|0.9085693955421448,-3.6999303620888213e-09,0.4177340269088745|-1.1935166632781602e-08,1,3.4816071803334125e-08|Running
-106.6286849975586,292.0058288574219,-764.157958984375|0.9171252250671387,-8.1575333155115e-09,0.39859917759895325|-2.3810594385054173e-08,1,7.525060397028938e-08|Running
-106.1402359008789,292.0058288574219,-763.9437866210938|0.9265969395637512,-9.925607891148047e-09,0.3760559558868408|-2.9431046044692266e-08,1,9.891167707110071e-08|Running
-105.64680480957031,292.0058288574219,-763.741455078125|0.9367441534996033,-7.522143796734326e-09,0.35001492500305176|-1.8734541029630236e-08,1,7.163013293620679e-08|Running
