bayiii|true|1391
-366.6107482910156,101.67242431640625,101.12165069580078|-0.052184272557497025,9.30911738805662e-08,0.9986374974250793|8.367454285007625e-09,1,-9.278094381670599e-08|Freefall
-366.6371154785156,100.97808074951172,101.65430450439453|-0.051443129777908325,1.270416731813384e-07,0.9986759424209595|1.1115211862033902e-08,1,-1.266375591058022e-07|Freefall
-366.6902770996094,98.93538665771484,102.71961212158203|-0.05046406760811806,9.210936724457497e-08,0.9987258911132812|7.320374084685e-09,1,-9.185698957026034e-08|Freefall
-366.73138427734375,98.84346008300781,103.45177459716797|-0.05232248827815056,-6.2891682972576746e-09,0.9986302256584167|-2.820596645136675e-09,1,6.150011611083528e-09|Landed
-366.77154541015625,98.29190826416016,104.05042266845703|-0.056489527225494385,7.175423633043465e-08,0.9984031915664673|-3.664670344960541e-09,1,-7.207634666883678e-08|Running
-366.8219909667969,98.14594268798828,104.7151870727539|-0.06284546107053757,1.2855811348799762e-07,0.998023271560669|7.55459694801175e-09,1,-1.2833703522119322e-07|Running
-366.9042663574219,98.16360473632812,105.71177673339844|-0.07260806113481522,1.2788173364697286e-07,0.9973605275154114|6.918318806725665e-09,1,-1.2771651825005392e-07|Running
-366.9388122558594,98.16495513916016,106.11027526855469|-0.07567877322435379,1.1477349204369602e-07,0.9971322417259216|6.787222783799507e-09,1,-1.1458845250444938e-07|Running
-366.9676513671875,98.1654281616211,106.44234466552734|-0.07766878604888916,1.0667895367078017e-07,0.9969792366027832|6.813589692455935e-09,1,-1.0647137571595522e-07|Running
-367.0027770996094,98.16569519042969,106.9076919555664|-0.0775485411286354,9.59725596771932e-08,0.9969885945320129|6.836450072711386e-09,1,-9.573069092994047e-08|Running
-367.0336608886719,98.1657943725586,107.44012451171875|-0.07280214875936508,1.307837749209284e-07,0.9973464012145996|8.612349944314701e-09,1,-1.3050308211859374e-07|Running
-367.0604248046875,98.16580963134766,108.1062240600586|-0.062182243913412094,1.5154446941778588e-07,0.9980648159980774|7.802164248005283e-09,1,-1.513522107643439e-07|Running
-367.0751647949219,98.16581726074219,108.63935089111328|-0.05279691889882088,1.654571377684988e-07,0.9986052513122559|7.015752423455979e-09,1,-1.653173029581012e-07|Running
-367.0851135253906,98.16581726074219,109.10590362548828|-0.045171745121479034,1.4277181037414266e-07,0.9989792108535767|4.927951380295781e-09,1,-1.4269485859585984e-07|Running
-367.0920715332031,98.16582489013672,109.43915557861328|-0.04077378660440445,1.278560688433572e-07,0.9991683959960938|3.727675057518809e-09,1,-1.278103525237384e-07|Running
-367.1016540527344,98.16582489013672,109.972412109375|-0.03457380458712578,1.3613276905743987e-07,0.9994021654129028|3.085556032900172e-09,1,-1.361074595251921e-07|Running
-367.1062927246094,98.16582489013672,110.37239837646484|-0.029881637543439865,1.3993680170187872e-07,0.9995534420013428|2.579446656270079e-09,1,-1.399222071540862e-07|Running
-367.110595703125,98.1658706665039,110.77238464355469|-0.02515973150730133,1.2818888706078724e-07,0.9996834397315979|1.7415212605342845e-09,1,-1.2818564698591217e-07|Running
-367.1126708984375,98.16590881347656,111.105712890625|-0.021709339693188667,1.174419494986978e-07,0.9997643232345581|1.135442961874844e-09,1,-1.1744497641075213e-07|Running
-367.11248779296875,98.16595458984375,111.50570678710938|-0.01727733202278614,1.3992477931878966e-07,0.9998507499694824|7.526451684114477e-10,1,-1.399326663431566e-07|Running
-367.106689453125,98.16600799560547,111.97232055664062|-0.010487967170774937,1.3491403194620943e-07,0.9999449849128723|-3.131646331144822e-11,1,-1.3492177686202922e-07|Running
-367.1022033691406,98.16604614257812,112.30560302734375|-0.005386949051171541,1.2349823919066694e-07,0.9999855160713196|-6.731528667813791e-10,1,-1.2350365352631343e-07|Running
-367.0827941894531,98.16610717773438,112.83856964111328|0.005645878612995148,2.3490333944664599e-07,0.999984085559845|-3.573135343160061e-09,1,-2.3488691169859521e-07|Running
-367.066162109375,98.16614532470703,113.17149353027344|0.013171043246984482,2.6993097890226636e-07,0.9999132752418518|-6.0102025578601115e-09,1,-2.6987524393007334e-07|Running
-367.0421142578125,98.16619873046875,113.6375503540039|0.02247200906276703,2.1324987642401538e-07,0.9997474551200867|-6.8593002389150115e-09,1,-2.1314956200058077e-07|Running
-367.0180358886719,98.16625213623047,114.1036148071289|0.03145400434732437,1.9340841106441076e-07,0.9995052218437195|-8.07341926645222e-09,1,-1.932500879320287e-07|Running
-366.9910583496094,98.16631317138672,114.6362533569336|0.037469711154699326,1.3404849141807063e-07,0.9992977380752563|-6.903651872391947e-09,1,-1.3388383024448558e-07|Running
-366.9751892089844,98.16635131835938,114.9692153930664|0.03950130194425583,1.2194117005037697e-07,0.999219536781311|-6.8356857951812344e-09,1,-1.2176619179626869e-07|Running
-366.9622497558594,98.16639709472656,115.36900329589844|0.03860652074217796,8.312454014003379e-08,0.9992544651031494|-4.98310326335627e-09,1,-8.299403475575673e-08|Running
-366.9544677734375,98.16643524169922,115.70225524902344|0.03625853359699249,8.076293056547001e-08,0.9993424415588379|-4.751186999385482e-09,1,-8.064368728355475e-08|Running
-366.95135498046875,98.1664810180664,116.10224914550781|0.030908148735761642,1.3546603838676674e-07,0.9995222091674805|-6.6243712737446e-09,1,-1.3532594778098428e-07|Running
-366.9512023925781,98.1665267944336,116.50225067138672|0.024771317839622498,1.2685538308687683e-07,0.9996931552886963|-5.2958086804721916e-09,1,-1.267630977963563e-07|Running
-366.955810546875,98.16658782958984,117.03559112548828|0.01583898812532425,1.500113171459816e-07,0.9998745322227478|-4.968268019212019e-09,1,-1.4995143260421173e-07|Running
-366.9610900878906,98.16663360595703,117.435546875|0.009762700647115707,1.272776160021749e-07,0.9999523162841797|-3.421145366999667e-09,1,-1.2725027431770286e-07|Running
-366.9703369140625,98.16669464111328,117.96881866455078|0.0023307488299906254,1.3072229876343044e-07,0.9999972581863403|-2.498064199940586e-09,1,-1.307168275843651e-07|Running
-366.97711181640625,98.16673278808594,118.30207824707031|-0.0016923618968576193,1.2389814685320744e-07,0.9999985694885254|-1.8205128515802471e-09,1,-1.2390140113893722e-07|Running
-366.9840393066406,98.1667709350586,118.63533020019531|-0.005032897461205721,1.1734792337847466e-07,0.9999873638153076|-1.252137726837077e-09,1,-1.1735571092685859e-07|Running
-366.9909362792969,98.16680908203125,118.96858215332031|-0.007786438334733248,1.1334736882417928e-07,0.9999696612358093|-8.294901987504488e-10,1,-1.1335725957906106e-07|Running
-366.99920654296875,98.16685485839844,119.36849212646484|-0.010485013946890831,1.1170915570346551e-07,0.9999450445175171|-4.4145592736910544e-10,1,-1.1171992753133964e-07|Running
-367.00750732421875,99.46162414550781,119.76839447021484|-0.013070912100374699,1.586448661328177e-07,0.9999145865440369|-2.0865809080561348e-10,1,-1.586611375614666e-07|Jumping
-367.0157470703125,100.6371841430664,120.16829681396484|-0.014819907955825329,1.7100043692153122e-07,0.9998902082443237|1.4631637915152318e-11,1,-1.71019010508644e-07|Freefall
-367.0224914550781,101.69010925292969,120.56824493408203|-0.015405436046421528,1.0877272416109918e-07,0.9998813271522522|1.650990871793212e-10,1,-1.0878309097961392e-07|Freefall
-367.0274963378906,102.62041473388672,120.96819305419922|-0.014972756616771221,5.011012405020665e-08,0.9998878836631775|3.1907254616214686e-10,1,-5.0110966043348526e-08|Freefall
-367.03314208984375,103.78594207763672,121.56818389892578|-0.013382548466324806,-1.2301004659320824e-08,0.9999104738235474|5.466518349095395e-10,1,1.2309422814382742e-08|Freefall
-367.03704833984375,104.67557525634766,122.16817474365234|-0.011357901617884636,-1.3031816514796901e-08,0.999935507774353|6.924755213688627e-10,1,1.3040523327845222e-08|Freefall
-367.0400085449219,105.43255615234375,122.96815490722656|-0.008296160027384758,1.219856926581997e-07,0.9999656081199646|3.808892923284901e-10,1,-1.219867300505939e-07|Freefall
-367.0415954589844,105.62710571289062,123.36814880371094|-0.007270254660397768,1.3430539524961205e-07,0.9999735951423645|-1.2993919829007439e-10,1,-1.3430988587970205e-07|Freefall
-367.043212890625,105.69903564453125,123.76814270019531|-0.006548690609633923,1.6015189885365544e-07,0.9999785423278809|-7.416271485816139e-10,1,-1.6016019799280912e-07|Freefall
-367.0445861816406,105.6653060913086,124.10147094726562|-0.006077456753700972,1.523266348613106e-07,0.9999815225601196|-1.022572471143235e-09,1,-1.5233565875405475e-07|Freefall
-367.0467834472656,105.4342041015625,124.63479614257812|-0.005478391889482737,6.190752799284382e-08,0.9999849796295166|-8.501448434117265e-10,1,-6.19131128587469e-08|Freefall
-367.0489807128906,104.985107421875,125.16812133789062|-0.005035141482949257,-2.328600601231301e-08,0.9999873042106628|-7.170730120797941e-10,1,2.328269133045069e-08|Freefall
-367.05145263671875,104.21929931640625,125.76811218261719|-0.00467991316691041,-1.1582727665881976e-07,0.9999890327453613|-5.920390844238455e-10,1,1.1582577030821994e-07|Freefall
-367.0541687011719,103.0447998046875,126.43476867675781|-0.004410123452544212,-1.0997263188983197e-07,0.9999902844429016|-2.1898462210234726e-10,1,1.0997273847124234e-07|Freefall
-367.0541687011719,101.85995483398438,126.96809387207031|-0.0033338998910039663,-3.890531630190708e-08,0.9999944567680359|9.529398797836208e-11,1,3.890585276167258e-08|Freefall
-367.053466796875,100.82825469970703,127.36808776855469|-0.0023407801054418087,3.277357407682757e-08,0.9999972581863403|1.051283088360222e-10,1,-3.2773417757425705e-08|Freefall
-367.0523681640625,99.05078887939453,127.96807098388672|-0.0010778468567878008,1.320745468547102e-07,0.9999994039535522|-2.017281758304179e-10,1,-1.320748310718045e-07|Freefall
-367.0485534667969,98.92412567138672,128.63473510742188|0.0011252209078520536,6.700613397470079e-08,0.9999993443489075|-6.669575447482146e-10,1,-6.700542343196503e-08|Landed
-367.0465393066406,98.6666259765625,128.96804809570312|0.002023478504270315,2.247893782225674e-08,0.9999979734420776|-1.1698719770691923e-09,1,-2.2476616123867643e-08|Running
-367.0441589355469,98.26128387451172,129.3680419921875|0.002854479243978858,-1.6067804864405844e-08,0.9999959468841553|-2.0084700569356073e-09,1,1.6073604669486485e-08|Running
-367.04217529296875,98.24192810058594,129.7013702392578|0.0034074215218424797,-4.0194787942482435e-08,0.9999942183494568|-2.8425299891665645e-09,1,4.0204707119073646e-08|Running
-367.0401916503906,98.2550277709961,130.03469848632812|0.0038569392636418343,-5.970552052758649e-08,0.9999925494194031|-3.75957132092708e-09,1,5.972046324131952e-08|Running
-367.0372619628906,98.26434326171875,130.4346923828125|0.004514873027801514,-7.721755679312992e-08,0.9999898076057434|-4.968785827230704e-09,1,7.724077732973456e-08|Running
-367.0338439941406,98.26868438720703,130.90135192871094|0.005205234047025442,-8.818513208552758e-08,0.999986469745636|-6.558688703250937e-09,1,8.822046737577693e-08|Running
-367.0309143066406,98.27008056640625,131.3013458251953|0.0056662349961698055,-9.191609962044822e-08,0.9999839663505554|-8.031294740362682e-09,1,9.196308781156404e-08|Running
-367.0274658203125,98.27072143554688,131.76800537109375|0.006082028150558472,-9.245739818197762e-08,0.9999815225601196|-9.827608948853594e-09,1,9.251888144490295e-08|Running
-367.0245361328125,98.27094268798828,132.16799926757812|0.006355353631079197,-9.090712183024152e-08,0.9999797940254211|-1.1409878375445714e-08,1,9.098147302211146e-08|Running
-367.0220947265625,98.27103424072266,132.50132751464844|0.00653425557538867,-8.877226065351351e-08,0.9999786615371704|-1.2747111810540446e-08,1,8.885744762210379e-08|Running
-367.0196533203125,98.2710952758789,132.83465576171875|0.00667937844991684,-8.61604547708339e-08,0.999977707862854|-1.4094696076938362e-08,1,8.625652014870866e-08|Running
-367.0167236328125,98.2711410522461,133.23464965820312|0.0068212547339499,-8.261633865913609e-08,0.9999767541885376|-1.57208113193974e-08,1,8.272549933963091e-08|Running
-367.0142822265625,98.27117919921875,133.56797790527344|0.00691637396812439,-7.943244639818658e-08,0.9999760985374451|-1.707977936860061e-08,1,7.95524854879659e-08|Running
-367.0113525390625,98.2712173461914,133.9679718017578|0.007008484564721584,-7.544074520637878e-08,0.9999754428863525|-1.8714109373263454e-08,1,7.557375880651307e-08|Running
-367.0101623535156,98.27125549316406,134.30130004882812|0.006550110876560211,-7.054320150245985e-08,0.9999785423278809|-2.0105305864603906e-08,1,7.06764069491328e-08|Running
-367.0089111328125,98.27127838134766,134.7012939453125|0.0058588809333741665,-5.708923112024422e-08,0.9999828338623047|-2.1917262671422577e-08,1,5.7218624505139815e-08|Running
-367.0078430175781,98.27130889892578,135.0346221923828|0.005373924504965544,-4.00242932130368e-08,0.9999855756759644|-2.353219663575601e-08,1,4.015133114876335e-08|Running
-367.00634765625,98.2713394165039,135.50128173828125|0.004826321732252836,-1.0421581819741732e-08,0.9999883770942688|-2.588963532446087e-08,1,1.0546656881160743e-08|Running
-367.00506591796875,98.2713851928711,135.90127563476562|0.004462081473320723,1.8459477502119626e-08,0.9999900460243225|-2.7965052495915188e-08,1,-1.8334878504333574e-08|Running
-367.0039978027344,98.27140808105469,136.23460388183594|0.004223322030156851,4.4001716048569506e-08,0.9999910593032837|-2.971489898584423e-08,1,-4.3876610789084225e-08|Running
-367.0029296875,98.27143859863281,136.56793212890625|0.004029632080346346,7.037095173245689e-08,0.9999918937683105|-3.147439642248173e-08,1,-7.024468828831232e-08|Running
-367.0016784667969,98.2714614868164,136.96792602539062|0.003840253222733736,1.0271427441921333e-07,0.9999926090240479|-3.3592453263509015e-08,1,-1.0258602856083598e-07|Running
-367.0006103515625,98.27149200439453,137.30125427246094|0.0037132720462977886,1.1262950749824086e-07,0.999993085861206|-3.095886214055099e-08,1,-1.1251532328060421e-07|Running
-366.9991149902344,98.27152252197266,137.76791381835938|0.003570765256881714,2.939163756821017e-08,0.999993622303009|-2.651132424702496e-09,1,-2.9382357880081145e-08|Running
-366.9982604980469,98.27155303955078,138.03457641601562|0.003505977336317301,-1.7971480303913268e-08,0.9999938607215881|1.3503171913953338e-08,1,1.7924248751910454e-08|Running
-366.996337890625,98.2715835571289,138.6345672607422|0.0033893301151692867,-8.989987776431008e-08,0.9999942779541016|3.629429912166415e-08,1,8.977738019666504e-08|Running
-366.99505615234375,98.2716293334961,139.03456115722656|0.0033321708906441927,-5.774228384325397e-08,0.9999944567680359|1.997838339207192e-08,1,5.76760328385717e-08|Running
-366.9937744140625,98.27166748046875,139.43455505371094|0.0032889030408114195,-2.5582110652067058e-08,0.9999945759773254|3.683463756232186e-09,1,2.5570134454255822e-08|Running
-366.992919921875,98.27169799804688,139.7012176513672|0.003265790641307831,-4.14970324769115e-09,0.999994695186615|-7.168003968160974e-09,1,4.173134726670469e-09|Running
-366.9920349121094,98.27171325683594,140.16787719726562|0.0029682968743145466,3.3997011428255064e-08,0.9999955892562866|-2.61429597969709e-08,1,-3.3919558717343534e-08|Running
-366.99224853515625,98.2717514038086,140.50120544433594|0.0024018147960305214,6.447046274615786e-08,0.9999971389770508|-3.9725396305811955e-08,1,-6.43752358087113e-08|Running
-366.9958190917969,98.27178955078125,140.96788024902344|0.00024323005345650017,9.642868548098704e-08,1|-3.7320450729794175e-08,1,-9.641960474482403e-08|Running
-366.998046875,98.27182006835938,141.2345428466797|-0.000958628486841917,1.1621240503245645e-07,0.9999995231628418|-1.976207286702447e-08,1,-1.1623139783978331e-07|Running
-367.00250244140625,98.27183532714844,141.70120239257812|-0.00296733807772398,8.749570667987427e-08,0.9999955892562866|1.4323262575999252e-08,1,-8.745358570649842e-08|Running
-367.00506591796875,98.27186584472656,141.96786499023438|-0.0039297365583479404,1.011859396271575e-07,0.9999922513961792|3.345340005012076e-08,1,-1.010552566071965e-07|Running
-367.0089416503906,98.27189636230469,142.36785888671875|-0.005110213998705149,8.020096231575735e-08,0.9999869465827942|3.309903462422881e-08,1,-8.003286211533123e-08|Running
-367.0115051269531,98.27192687988281,142.634521484375|-0.005754814017564058,5.608443842675115e-08,0.9999834299087524|2.3164593798696842e-08,1,-5.5952057209651684e-08|Running
-367.0153503417969,98.27195739746094,143.03451538085938|-0.006552181206643581,3.140963400483088e-08,0.9999785423278809|8.189441125239227e-09,1,-3.135664883302525e-08|Running
-367.0185852050781,98.2719955444336,143.3678436279297|-0.007090490311384201,1.8306391069700112e-08,0.9999748468399048|-4.326121683106976e-09,1,-1.833752705238112e-08|Running
-367.02178955078125,98.27201843261719,143.701171875|-0.007528951857239008,9.565818359646983e-09,0.9999716281890869|-1.6856416706900745e-08,1,-9.693003732991201e-09|Running
-367.02435302734375,98.27204132080078,143.96783447265625|-0.007820353843271732,4.729589164753634e-09,0.9999694228172302|-2.6882091219704307e-08,1,-4.939967990225114e-09|Running
-367.0275573730469,98.27206420898438,144.30116271972656|-0.008126460947096348,5.061895347324707e-10,0.9999669790267944|-3.941219972602994e-08,1,-8.264985362771426e-10|Running
-367.0314025878906,98.2720947265625,144.70115661621094|-0.00842925626784563,-2.6951134657338116e-09,0.9999644756317139|-5.4440100427655125e-08,1,2.236303364711034e-09|Running
-367.03460693359375,98.27212524414062,145.03448486328125|-0.008632575161755085,-4.295461764058928e-09,0.9999627470970154|-6.69517845608425e-08,1,3.717633756394889e-09|Running
-367.037841796875,98.27215576171875,145.36781311035156|-0.008798087947070599,-5.274543912747731e-09,0.9999613165855408|-7.945175184431719e-08,1,4.575697154507452e-09|Running
-367.0410461425781,98.27218627929688,145.70114135742188|-0.008934106677770615,-5.8373439415504436e-09,0.9999600648880005|-9.19390785725227e-08,1,5.016150605996472e-09|Running
-367.0448913574219,98.2721939086914,146.10113525390625|-0.009067363105714321,-6.148861420030016e-09,0.999958872795105|-1.0690643392763377e-07,1,5.179715323322398e-09|Running
-367.048095703125,98.27223205566406,146.43446350097656|-0.009156729094684124,-6.202066415994523e-09,0.9999580979347229|-1.1936450050598069e-07,1,5.109292100513585e-09|Running
-367.0513000488281,98.27226257324219,146.76779174804688|-0.00922944862395525,-6.135187913258733e-09,0.9999573826789856|-1.3180928704059625e-07,1,4.918870644132767e-09|Running
-367.05450439453125,98.27230072021484,147.1011199951172|-0.009289213456213474,-3.060516062802776e-09,0.9999568462371826|-7.483410513486888e-08,1,2.3654682657081594e-09|Running
-367.0577087402344,98.27232360839844,147.4344482421875|-0.009338393807411194,8.044130361817281e-10,0.9999563694000244|-5.772226030487104e-10,1,-8.098386961030712e-10|Running
-367.06256103515625,98.27234649658203,147.83444213867188|-0.009825029410421848,7.312639382917041e-09,0.9999517202377319|8.842091858696222e-08,1,-6.444212274914207e-09|Running
-367.06903076171875,98.27237701416016,148.16769409179688|-0.011229249648749828,2.2310182146156876e-08,0.9999369382858276|8.758526348628948e-08,1,-2.1328009580656726e-08|Running
-367.07818603515625,98.27240753173828,148.5009002685547|-0.013783562928438187,9.07081698642287e-08,0.999904990196228|6.083055126282488e-08,1,-8.987824884343354e-08|Running
-367.1153564453125,98.2724380493164,148.89906311035156|-0.02792075090110302,6.227598419172864e-07,0.9996101260185242|7.028119863861093e-09,1,-6.228063966773334e-07|Running
-367.20465087890625,98.27246856689453,149.28863525390625|-0.06435312330722809,0.0000040554987208452076,0.997927188873291|1.32882306047577e-07,1,-0.000004055353656440275|Running
-367.2991943359375,99.55020141601562,149.67726135253906|-0.10534719377756119,0.000026315996365156025,0.9944354891777039|0.0000015640498531865887,1,-0.000026297560907551087|Jumping
-367.4726867675781,100.88591766357422,150.09945678710938|-0.2229614406824112,0.00004712515146820806,0.9748272895812988|0.000006467560069722822,1,-0.00004686279862653464|Freefall
-367.70501708984375,101.89796447753906,150.4122772216797|-0.3374054729938507,0.00006294382183114067,0.9413594007492065|0.000015114101188373752,1,-0.00006144756480352953|Freefall
-367.94818115234375,102.64767456054688,150.63819885253906|-0.41905486583709717,0.000058314479247201234,0.9079608917236328|0.000018837712559616193,1,-0.000055531512771267444|Freefall
-368.19921875,103.31222534179688,150.85821533203125|-0.484547883272171,0.000043389591155573726,0.8747647404670715|0.000017368571207043715,1,-0.00003998067768407054|Freefall
-368.4537353515625,103.89160919189453,151.0740203857422|-0.538548469543457,0.000030663501092931256,0.842594563961029|0.000014423385437112302,1,-0.000027172984118806198|Freefall
-368.7086181640625,104.38584899902344,151.28924560546875|-0.5821455717086792,0.000021758190996479243,0.813084602355957|0.00001146786416938994,1,-0.000018549393644207157|Freefall
-369.0150146484375,104.86652374267578,151.54676818847656|-0.6237712502479553,0.00001422780678694835,0.7816069722175598|0.000008250273822341114,1,-0.000011619040378718637|Freefall
-369.42535400390625,105.31668090820312,151.88778686523438|-0.6667473316192627,0.000008573454579163808,0.745283842086792|0.000005420291927293874,1,-0.000006654496701230528|Freefall
-369.63006591796875,105.46000671386719,152.05877685546875|-0.6826803088188171,0.000006551650130859343,0.7307171821594238|0.000004270047156751389,1,-0.000004976717718818691|Freefall
-369.8857421875,105.5625228881836,152.2726593017578|-0.6982579827308655,0.000003996750365331536,0.7158462405204773|0.0000026840650662052212,1,-0.0000029651346267201006|Freefall
-370.1413879394531,105.57988739013672,152.486572265625|-0.7108386754989624,0.0000025162578367599053,0.703355073928833|0.0000017331208255200181,1,-0.0000018259462422065553|Freefall
-370.4480895996094,105.48831176757812,152.74330139160156|-0.7229493260383606,0.0000015710672869317932,0.6909010410308838|0.0000011064029195040348,1,-0.0000011162147757204366|Freefall
-370.75494384765625,105.27411651611328,153|-0.7324767112731934,0.000001019416345116042,0.6807920932769775|7.294553938663739e-07,1,-7.125629508664133e-07|Freefall
-371.0614318847656,104.93729400634766,153.25709533691406|-0.739768922328949,6.308409865596332e-07,0.6728610396385193|4.56996360753692e-07,1,-4.351111044798017e-07|Freefall
-371.6231994628906,104.00130462646484,153.7285919189453|-0.7497998476028442,2.9950771818221256e-07,0.6616647243499756|2.2068246607886977e-07,1,-2.0258001143247384e-07|Freefall
-371.8785400390625,103.4395980834961,153.94293212890625|-0.7529295086860657,2.3466830612051126e-07,0.6581012010574341|1.738639099357897e-07,1,-1.5766730143695895e-07|Freefall
-372.1849060058594,102.65315246582031,154.2001495361328|-0.7556970119476318,1.9794292427377513e-07,0.6549214124679565|1.4758396105207794e-07,1,-1.3194585335440934e-07|Freefall
-372.49127197265625,101.74407958984375,154.45738220214844|-0.7578631639480591,1.6934957614012092e-07,0.652413547039032|1.267912352886924e-07,1,-1.1228945595576079e-07|Freefall
-372.84869384765625,100.52851104736328,154.7574920654297|-0.7598300576210022,1.6599852870058385e-07,0.6501217484474182|1.2469135413084587e-07,1,-1.0960145857552561e-07|Freefall
-373.1550598144531,99.35375213623047,155.01473999023438|-0.7611207962036133,1.4722384378274e-07,0.6486101746559143|1.1077982264851016e-07,1,-9.698740655039728e-08|Freefall
-373.4112548828125,98.2811050415039,155.2279815673828|-0.7623492479324341,1.541824019568594e-07,0.647165834903717|1.1615345130167043e-07,1,-1.014158996781589e-07|Freefall
-373.7190246582031,96.88153839111328,155.4835205078125|-0.7637801170349121,1.6394541546560504e-07,0.6454765200614929|1.2364793633423687e-07,1,-1.0768103919645e-07|Freefall
-373.9758605957031,97.52259826660156,155.6959686279297|-0.7649443745613098,5.996805896302249e-08,0.644096314907074|4.532579822580374e-08,1,-3.9274159036040146e-08|Landed
-374.2328186035156,98.29483032226562,155.90835571289062|-0.7659619450569153,9.676885071030483e-09,0.6428859233856201|7.584307404329138e-09,1,-6.015988152086038e-09|Landed
-374.48980712890625,98.703125,156.12074279785156|-0.7668055891990662,-2.052208181169135e-09,0.6418794393539429|-9.625662489298747e-10,1,2.047280123207429e-09|Running
-374.79815673828125,98.92316436767578,156.3756103515625|-0.767632007598877,1.791181780674833e-08,0.640890896320343|1.4585497254415714e-08,1,-1.0478419909532022e-08|Running
-375.1154479980469,99.01201629638672,156.61917114257812|-0.7722448110580444,1.7692748599529295e-07,0.6353250741958618|1.3511727559034625e-07,1,-1.1424680224081385e-07|Running
-375.4145812988281,99.09552764892578,156.76348876953125|-0.7944408655166626,0.000004611129497789079,0.607341468334198|0.0000035795608255284606,1,-0.0000029100269784976263|Running
-375.7409973144531,99.15174102783203,156.80613708496094|-0.8440251350402832,0.000028818138162023388,0.5363036394119263|0.000023381922801490873,1,-0.000016936690371949226|Running
-376.140869140625,99.2607421875,156.80511474609375|-0.9001667499542236,0.00004582768815453164,0.4355454742908478|0.00003955743522965349,1,-0.000023463453544536605|Running
-376.5390625,99.32524871826172,156.76925659179688|-0.9428629875183105,0.00004145937055000104,0.3331807255744934|0.00003801271304837428,1,-0.00001686349423835054|Running
-376.86962890625,99.22393798828125,156.72683715820312|-0.9669766426086426,0.00003388999175513163,0.2548651099205017|0.000032180068956222385,1,-0.00001087876626115758|Running
-377.2655029296875,99.0565185546875,156.67031860351562|-0.9848655462265015,0.00002346723158552777,0.1733199805021286|0.000022881326003698632,1,-0.000005378495188779198|Running
-377.9209289550781,99.06034851074219,156.54855346679688|-0.9986440539360046,0.000017041469618561678,0.05205870792269707|0.000016972864614217542,1,-0.0000017599063539819326|Running
-378.3819885253906,99.17462921142578,156.47691345214844|-0.9999967813491821,0.0000075093530540470965,-0.0025294634979218245|0.000007510039267799584,1,-2.618668588638684e-07|Running
-378.77386474609375,99.15896606445312,156.39710998535156|-0.9990571737289429,0.000005066047833679477,-0.04341417923569679|0.00000506723972648615,1,8.259102912688832e-08|Running
-379.0997619628906,99.074462890625,156.3271026611328|-0.9973292350769043,0.000004461647222342435,-0.07303673028945923|0.000004460289346752688,1,1.8169355087138683e-07|Running
-379.55230712890625,99.0672836303711,156.21339416503906|-0.9935114979743958,0.000004001663910457864,-0.11373190581798553|0.000003990227469330421,1,3.2820040019032604e-07|Running
-380.0031433105469,99.07002258300781,156.0928192138672|-0.9887903332710266,0.0000031553170174447587,-0.14931084215641022|0.0000031342069632955827,1,3.7668849017791217e-07|Running
-380.385009765625,99.071044921875,155.973876953125|-0.9836961627006531,0.0000030946414426580304,-0.17983849346637726|0.000003060490371353808,1,4.673573528179986e-07|Running
-380.766357421875,99.07111358642578,155.8532257080078|-0.9775934815406799,0.0000032430223200208275,-0.21050187945365906|0.0000031912422855384648,1,5.856713301000127e-07|Running
-381.0810546875,99.07135772705078,155.74337768554688|-0.9726020693778992,0.0000026494803933019284,-0.2324761599302292|0.000002594951411083457,1,5.403794602898415e-07|Running
-381.3954772949219,99.07156372070312,155.63284301757812|-0.9681723117828369,0.0000017458655747759622,-0.2502845823764801|0.0000017013288697853568,1,3.9429545495295315e-07|Running
-381.711181640625,99.07166290283203,155.52578735351562|-0.9647040367126465,9.789565638129716e-07,-0.2633365988731384|9.497596238361439e-07,1,2.3817284500182723e-07|Running
-382.02886962890625,99.07170867919922,155.4248809814453|-0.9625623226165771,3.8243413769123435e-07,-0.2710604965686798|3.697577994898893e-07,1,9.78350129798855e-08|Running
-382.5555114746094,99.07173156738281,155.3437042236328|-0.9696707725524902,0.0000017372203728882596,-0.24441489577293396|0.000001685472966528323,1,4.2086850271516596e-07|Running
-382.9516296386719,99.07173156738281,155.28750610351562|-0.975829541683197,0.000002425497314106906,-0.21853305399417877|0.0000023660236365685705,1,5.338397954801621e-07|Running
-383.3506774902344,99.07173156738281,155.30206298828125|-0.9853323698043823,0.000007283680588443531,-0.17064614593982697|0.000007165373062889557,1,0.0000013091795381114935|Running
-383.6833801269531,99.07173156738281,155.32281494140625|-0.991455614566803,0.000008619206710136496,-0.13044431805610657|0.000008527680620318279,1,0.0000012602292827068595|Running
-384.0161437988281,99.07173156738281,155.3423614501953|-0.9952754378318787,0.0000060500833569676615,-0.09709194302558899|0.000006015412054694025,1,6.498125344478467e-07|Running
-384.3490905761719,99.07173156738281,155.35911560058594|-0.9974908828735352,0.000003602739525376819,-0.07079480588436127|0.000003593631390685914,1,2.5601823949727986e-07|Running
-384.7487487792969,99.07173156738281,155.37557983398438|-0.9989004135131836,0.0000018979195601787069,-0.04688273370265961|0.0000018963230559165822,1,7.85298652772326e-08|Running
