MT Cinlok|true|40325
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|3.221148858756351e-08,1,-9.672478817890351e-09|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|8.225547354356877e-09,1,-2.4699706724362613e-09|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|-1.573991070813463e-08,1,4.726386393372195e-09|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|-3.968489892258731e-08,1,1.1916597486560931e-08|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|-6.360944837524585e-08,1,1.91006694905127e-08|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|-4.6634582417937054e-08,1,1.400345084334731e-08|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|-2.1199468847044045e-08,1,6.365784788187057e-09|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|-4.2608268024935114e-09,1,1.279442773949313e-09|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|4.2030681157712024e-09,1,-1.2620990919032238e-09|Running
-605.8711547851562,26.811857223510742,273.6780700683594|-0.2875942587852478,0,-0.9577523469924927|2.112001773468819e-08,1,-6.3419274276554916e-09|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.7319946289062,26.77885627746582,273.1537170410156|0,0,-1|0,1,0|Running
-605.732177734375,26.752933502197266,273.1539001464844|-0.6992819309234619,0,-0.7148459553718567|-3.25938174228213e-08,1,3.188416641819458e-08|Running
-605.7320556640625,26.749345779418945,273.1537780761719|-0.6835176944732666,-0.0000019073067960562184,-0.7299339175224304|-0.0000013565218068833929,1,-0.0000013427243175101466|Running
-605.7319946289062,26.75240707397461,273.15374755859375|-0.6765189170837402,0,-0.7364253997802734|-1.77387580180266e-08,1.0000001192092896,1.6295752303108202e-08|Running
-605.7319946289062,26.755334854125977,273.15374755859375|-0.6747512221336365,0,-0.7380453944206238|1.2900317480912804e-09,1.0000001192092896,-1.1793996890219205e-09|Running
-605.7319946289062,26.757118225097656,273.15374755859375|-0.686082124710083,0,-0.7275241613388062|4.163498434905932e-09,1,-3.926332592385506e-09|Running
-605.7319946289062,26.75811004638672,273.15374755859375|-0.6936604976654053,0,-0.720302164554596|4.345358739499261e-09,1,-4.184637969473215e-09|Running
-605.7319946289062,26.75865364074707,273.15374755859375|-0.6936604976654053,0,-0.720302164554596|4.569762790396226e-09,1,-4.400741548948872e-09|Running
-605.7319946289062,26.759000778198242,273.15374755859375|-0.6911062598228455,0,-0.7227532267570496|4.862515279313584e-09,1.0000001192092896,-4.64960159263228e-09|Running
-605.7319946289062,26.759143829345703,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|5.08475261895569e-09,1,-4.845540857445485e-09|Running
-605.7319946289062,26.759220123291016,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|5.301488137376964e-09,1,-5.052080087608601e-09|Running
-605.7319946289062,26.759262084960938,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|5.517853285397223e-09,1,-5.258266266849887e-09|Running
-605.7319946289062,26.75928497314453,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|5.734035912752233e-09,1,-5.464278363120911e-09|Running
-605.7319946289062,26.759296417236328,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|5.950038239888045e-09,1,-5.6701190409569335e-09|Running
-605.7319946289062,26.759302139282227,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|6.11191719457338e-09,1,-5.82438230978255e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|6.327593116139951e-09,1,-6.029911681082467e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|6.543087405219694e-09,1,-6.235268301679753e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|6.7583996177233985e-09,1,-6.440450839306777e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|7.0272805352544765e-09,1,-6.696682319784486e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|7.242178412525391e-09,1,-6.901470506193164e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|7.510542410216203e-09,1,-7.157209491737149e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|7.617809494320227e-09,1,-7.259429946060436e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|7.832203330337961e-09,1,-7.463737183854846e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6898730397224426,0,-0.723930299282074|8.099940274064465e-09,1,-7.718878869411583e-09|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.6911062598228455,0,-0.7227532267570496|8.250460759029465e-09,1.0000001192092896,-7.889200404065377e-09|Running
-605.7319946289062,26.753543853759766,273.15374755859375|-0.698664665222168,0,-0.7154492139816284|8.397112338798252e-09,1,-8.200114365308764e-09|Running
-605.7319946289062,26.7557373046875,273.15374755859375|-0.7110477089881897,0,-0.7031437754631042|8.570754772563305e-09,1,-8.667097262105017e-09|Running
-605.7319946289062,26.757272720336914,273.15374755859375|-0.7256406545639038,0,-0.6880738735198975|8.667544904028546e-09,1,-9.140767254223192e-09|Running
-605.7319946289062,26.758203506469727,273.15374755859375|-0.7387153506278992,0,-0.6740174889564514|8.794521555444135e-09,1,-9.638693398983378e-09|Running
-605.7319946289062,26.75875473022461,273.15374755859375|-0.7549838423728943,0,-0.655743420124054|8.886454239132036e-09,1,-1.0231333114063546e-08|Running
-605.7319946289062,26.759098052978516,273.15374755859375|-0.7663117051124573,0,-0.6424689292907715|9.05523567240607e-09,1.0000001192092896,-1.0800729199900161e-08|Running
-605.7319946289062,26.759305953979492,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|9.368469555681713e-09,1.0000001192092896,-1.1254319254305756e-08|Running
-605.7319946289062,26.759422302246094,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|9.719645532868526e-09,1.0000001192092896,-1.1676185351916502e-08|Running
-605.7319946289062,26.759489059448242,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.0070572820097823e-08,1.0000001192092896,-1.2097753909756648e-08|Running
-605.7319946289062,26.759525299072266,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.0421159046813955e-08,1.0000001192092896,-1.2518912129166893e-08|Running
-605.7319946289062,26.759540557861328,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.0683850248938143e-08,1.0000001192092896,-1.2834482809864767e-08|Running
-605.7319946289062,26.759552001953125,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.1033934654847144e-08,1.0000001192092896,-1.3255037956128035e-08|Running
-605.7319946289062,26.759559631347656,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.138367800024298e-08,1.0000001192092896,-1.3675183652139822e-08|Running
-605.7319946289062,26.75956153869629,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.182046105441259e-08,1.0000001192092896,-1.4199890152610806e-08|Running
-605.7319946289062,26.75956153869629,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.2169553365026786e-08,1.0000001192092896,-1.4619253363434837e-08|Running
-605.7319946289062,26.75956153869629,273.15374755859375|-0.7685613632202148,0,-0.6397760510444641|1.2518344583156704e-08,1.0000001192092896,-1.503825686199889e-08|Running
-605.7319946289062,26.75956916809082,273.15374755859375|-0.7696701884269714,0,-0.6384417414665222|1.284250217281624e-08,1,-1.5482212845085996e-08|Running
-605.7319946289062,26.75957679748535,273.15374755859375|-0.7719055414199829,0,-0.6357371807098389|1.3141240096103957e-08,1,-1.5955958332369846e-08|Running
-605.7319946289062,26.759592056274414,273.15374755859375|-0.7741068601608276,0,-0.6330549716949463|1.3442088331316882e-08,1,-1.6437139649383425e-08|Running
-605.7319946289062,26.75960922241211,273.15374755859375|-0.7763137221336365,0,-0.6303467154502869|1.365395263519531e-08,1,-1.6815747017062677e-08|Running
-605.7319946289062,26.759662628173828,273.15374755859375|-0.7839851975440979,0,-0.6207795739173889|1.3908900697856552e-08,1,-1.756561118781974e-08|Running
-605.7779541015625,26.76006507873535,273.21173095703125|-0.7968174815177917,0,-0.6042202115058899|1.3924592145997394e-08,1.0000001192092896,-1.8363103038154804e-08|Running
-605.8596801757812,26.76187515258789,273.31695556640625|-0.8093057870864868,0,-0.5873875617980957|1.3838051593495493e-08,1,-1.9066142442625278e-08|Running
-606.0806884765625,26.770862579345703,273.61358642578125|-0.8143886923789978,0,-0.5803198218345642|1.4180680629749531e-08,1,-1.9900381786897015e-08|Running
-606.3217163085938,26.783763885498047,273.94964599609375|-0.8214223980903625,0,-0.5703203082084656|1.4350963972731279e-08,1,-2.0669443046017477e-08|Running
-606.56884765625,26.80178451538086,274.30413818359375|-0.827368438243866,0,-0.5616596341133118|1.4553496185953918e-08,1.0000001192092896,-2.1438433250864364e-08|Running
-606.8123168945312,26.8236026763916,274.66156005859375|-0.8322334289550781,0,-0.5544255375862122|1.4790639824013851e-08,1.0000001192092896,-2.2201835037094497e-08|Running
-607.0525512695312,26.847705841064453,275.02117919921875|-0.8351359963417053,0,-0.550043523311615|1.5100821926239405e-08,1,-2.292771306144914e-08|Running
-607.290771484375,26.873123168945312,275.3821716308594|-0.8370491862297058,0,-0.5471276640892029|1.544902517025548e-08,1,-2.3635422508050397e-08|Running
-607.5277709960938,26.896835327148438,275.7443542480469|-0.839909017086029,0,-0.5427273511886597|1.57552246804471e-08,1.0000001192092896,-2.438232549195618e-08|Running
-607.762451171875,26.92323112487793,276.1069641113281|-0.8417966961860657,0,-0.5397948026657104|1.610161071141647e-08,1.0000001192092896,-2.5110063361921675e-08|Running
-607.9942016601562,26.96111297607422,276.468017578125|-0.8436740636825562,0,-0.5368557572364807|1.6446596973196392e-08,1,-2.5845988460559965e-08|Running
-608.2265625,26.99233055114746,276.8327941894531|-0.8464757800102234,0,-0.5324271321296692|1.674545480057077e-08,1,-2.662265252695306e-08|Running
-608.399658203125,26.996793746948242,277.1072692871094|-0.8529196381568909,0,-0.522042453289032|1.674785288230396e-08,1.0000001192092896,-2.7362855092860627e-08|Running
-608.6813354492188,26.94843864440918,277.56597900390625|-0.8574472069740295,0,-0.5145720839500427|1.7059798906871038e-08,1.0000001192092896,-2.8427264098240812e-08|Running
-608.9017944335938,26.87883949279785,277.9322814941406|-0.8645592927932739,0,-0.5025308132171631|1.710549035749409e-08,1,-2.9428464998204618e-08|Running
-609.1180419921875,26.816011428833008,278.302490234375|-0.8723520040512085,0,-0.48887842893600464|1.7088535031462015e-08,1.0000001192092896,-3.0492689262473505e-08|Running
-609.3053588867188,26.74960708618164,278.5442810058594|-0.8799355626106262,0,-0.47509318590164185|1.694412787855981e-08,1.0000001192092896,-3.138277193670547e-08|Running
-609.6153564453125,26.62531089782715,278.7823791503906|-0.8864781856536865,0,-0.4627704322338104|1.6954729176177352e-08,1,-3.2478300937555105e-08|Running
-609.9910278320312,26.530441284179688,278.9316101074219|-0.8936323523521423,0,-0.44879984855651855|1.689280537675586e-08,1.0000001192092896,-3.36362795394507e-08|Running
-610.3878173828125,26.4218692779541,279.0628967285156|-0.8975304365158081,0,-0.4409526288509369|1.7047492306687673e-08,1.0000001192092896,-3.469906317832283e-08|Running
-610.7846069335938,26.311481475830078,279.1976623535156|-0.9005899429321289,0,-0.43466970324516296|1.7253253048465922e-08,1,-3.5746925419744e-08|Running
-611.183837890625,26.21636390686035,279.3365173339844|-0.9036054611206055,0,-0.4283657371997833|1.7450593858825414e-08,1,-3.6810721582014594e-08|Running
-611.5827026367188,26.123716354370117,279.4783630371094|-0.905097246170044,0,-0.42520466446876526|1.7768607918355883e-08,1,-3.7822534437736977e-08|Running
-612.0797119140625,26.003870010375977,279.6573791503906|-0.9065664410591125,0,-0.42206335067749023|1.819408623759955e-08,1.0000001192092896,-3.907979007067297e-08|Running
-612.472412109375,25.889524459838867,279.80035400390625|-0.9065664410591125,0,-0.42206335067749023|1.863945620073082e-08,1.0000001192092896,-4.0036418624822545e-08|Running
-612.8621215820312,25.738693237304688,279.9424743652344|-0.9065664410591125,0,-0.42206335067749023|1.908446911613737e-08,1.0000001192092896,-4.099228334553118e-08|Running
-613.2249755859375,25.53418731689453,280.0747985839844|-0.9043527245521545,0,-0.4267858862876892|1.9743911394698443e-08,1,-4.183704405136268e-08|Running
-613.7359619140625,25.16423988342285,280.2584228515625|-0.8998289704322815,0,-0.4362427890300751|2.0850235316061116e-08,1,-4.300735056972371e-08|Running
-613.9061889648438,25.078676223754883,280.3179931640625|-0.8888917565345764,0,-0.45811736583709717|2.2118792131209375e-08,1,-4.291741362294488e-08|Running
-614.257080078125,24.866670608520508,280.36346435546875|-0.8840402364730835,0,-0.46741095185279846|2.30128360811932e-08,1.0000001192092896,-4.3525453463644226e-08|Running
-614.6231689453125,24.679271697998047,280.2915344238281|-0.8740420937538147,0,-0.4858502149581909|2.4362885042705784e-08,1,-4.382870955055296e-08|Running
-614.9982299804688,24.704050064086914,280.1111145019531|-0.8636638522148132,0,-0.5040683746337891|2.5714072648952424e-08,1.0000001192092896,-4.4058140247216215e-08|Running
-615.3682861328125,24.772550582885742,279.89739990234375|-0.8529196381568909,0,-0.522042453289032|2.7062968754876238e-08,1.0000001192092896,-4.42158238911361e-08|Running
-615.7301635742188,24.863977432250977,279.677490234375|-0.8501754403114319,0,-0.5264996290206909|2.7723318751782244e-08,1.0000001192092896,-4.476676451758976e-08|Running
-616.0870971679688,24.971923828125,279.4568176269531|-0.8492509722709656,0,-0.5279894471168518|2.8229573345583958e-08,1.0000001192092896,-4.540619613635499e-08|Running
-616.4408569335938,25.09173011779785,279.237060546875|-0.8492509722709656,0,-0.5279894471168518|2.8657268558163196e-08,1.0000001192092896,-4.609412584954953e-08|Running
-616.791748046875,25.214332580566406,279.0189208984375|-0.8492509722709656,0,-0.5279894471168518|2.9084601393947196e-08,1.0000001192092896,-4.678147647041442e-08|Running
-617.1396484375,25.311220169067383,278.8026428222656|-0.8492509722709656,0,-0.5279894471168518|2.95115647475086e-08,1.0000001192092896,-4.746823023538127e-08|Running
-617.399658203125,25.347566604614258,278.6409912109375|-0.8492509722709656,0,-0.5279894471168518|2.9831550563130804e-08,1.0000001192092896,-4.798291541874278e-08|Running
-617.745361328125,25.411029815673828,278.4260559082031|-0.8492509722709656,0,-0.5279894471168518|3.0257876204586864e-08,1.0000001192092896,-4.8668646002170135e-08|Running
-618.1771850585938,25.53337860107422,278.1575012207031|-0.8492509722709656,0,-0.5279894471168518|3.079027521835087e-08,1.0000001192092896,-4.952498855459453e-08|Running
-618.5270385742188,25.65218162536621,277.94000244140625|-0.8492509722709656,0,-0.5279894471168518|3.121577663023345e-08,1.0000001192092896,-5.0209393975819694e-08|Running
-618.8795776367188,25.777498245239258,277.7208251953125|-0.8492509722709656,0,-0.5279894471168518|3.164092277074815e-08,1.0000001192092896,-5.089322385742889e-08|Running
-619.1455688476562,25.871545791625977,277.5555114746094|-0.8492509722709656,0,-0.5279894471168518|3.195949460632619e-08,1.0000001192092896,-5.140563175132229e-08|Running
-619.5914916992188,26.02070426940918,277.2783203125|-0.8417966961860657,0,-0.5397948026657104|3.3198258364564026e-08,1.0000001192092896,-5.177186324090144e-08|Running
-619.9413452148438,26.139942169189453,277.0550537109375|-0.8370491862297058,0,-0.5471276640892029|3.4063830867125944e-08,1,-5.211416365114019e-08|Running
-620.2916870117188,26.26702880859375,276.82672119140625|-0.834166407585144,0,-0.5515129566192627|3.47482540519195e-08,1,-5.255692414607438e-08|Running
-620.6442260742188,26.39450454711914,276.5940856933594|-0.8322334289550781,0,-0.5544255375862122|3.534127657189856e-08,1.0000001192092896,-5.3049848958153234e-08|Running
-620.9081420898438,26.487079620361328,276.41851806640625|-0.8312560319900513,0,-0.555889904499054|3.574027118702361e-08,1.0000001192092896,-5.344460518585947e-08|Running
-621.3538818359375,26.624528884887695,276.12060546875|-0.8312560319900513,0,-0.555889904499054|3.625046929300879e-08,1.0000001192092896,-5.4207536237527165e-08|Running
-621.6234741210938,26.68711280822754,275.9403381347656|-0.8312560319900513,0,-0.555889904499054|3.6556329519044084e-08,1.0000001192092896,-5.466490904382226e-08|Running
-621.9835205078125,26.745649337768555,275.6996154785156|-0.8312560319900513,0,-0.555889904499054|3.6963847094284574e-08,1.0000001192092896,-5.52742918102922e-08|Running
-622.3436279296875,26.783559799194336,275.4587707519531|-0.8312560319900513,0,-0.555889904499054|3.737100229272983e-08,1.0000001192092896,-5.5883138116996633e-08|Running
-622.7937622070312,26.81260108947754,275.15771484375|-0.8312560319900513,0,-0.555889904499054|3.7879463121726076e-08,1.0000001192092896,-5.6643465029537765e-08|Running
-623.1536254882812,26.81267738342285,274.9170837402344|-0.8312560319900513,0,-0.555889904499054|3.828584027587567e-08,1.0000001192092896,-5.725114959886923e-08|Running
-623.5128173828125,26.781784057617188,274.6768493652344|-0.8312560319900513,0,-0.555889904499054|3.86918763695121e-08,1.0000001192092896,-5.7858319024717275e-08|Running
-623.8719482421875,26.749343872070312,274.4366149902344|-0.8312560319900513,0,-0.555889904499054|3.909755719178065e-08,1.0000001192092896,-5.84649555435135e-08|Running
-624.2313232421875,26.718189239501953,274.1963806152344|-0.8312560319900513,0,-0.555889904499054|3.950289695353604e-08,1.0000001192092896,-5.907108757696733e-08|Running
-624.5911254882812,26.699535369873047,273.95574951171875|-0.8312560319900513,0,-0.555889904499054|3.99078885493509e-08,1.0000001192092896,-5.96766938087967e-08|Running
-624.9512329101562,26.697120666503906,273.71490478515625|-0.8312560319900513,0,-0.555889904499054|4.031253553193892e-08,1.0000001192092896,-6.028179200257e-08|Running
-625.3113403320312,26.701461791992188,273.47406005859375|-0.8312560319900513,0,-0.555889904499054|3.0786324600740045e-08,1.0000001192092896,-4.603666781122229e-08|Running
-625.6714477539062,26.699678421020508,273.23321533203125|-0.8312560319900513,0,-0.555889904499054|1.134197802343806e-08,1.0000001192092896,-1.6960349569217215e-08|Running
-626.0313110351562,26.681928634643555,272.9925842285156|-0.8312560319900513,0,-0.555889904499054|-8.085774716448668e-09,1.0000001192092896,1.2091152079563017e-08|Running
-626.3907470703125,26.653459548950195,272.752197265625|-0.8312560319900513,0,-0.555889904499054|-2.7496945165239595e-08,1.0000001192092896,4.111785756322206e-08|Running
-626.7494506835938,26.614492416381836,272.5122985839844|-0.8293267488479614,0,-0.5587640404701233|-2.5513989143632898e-08,1.0000001192092896,3.786827917906521e-08|Running
-627.0179443359375,26.58412742614746,272.3316955566406|-0.8283559083938599,0,-0.5602022409439087|-2.3986205022197282e-08,1,3.546775317886386e-08|Running
-627.3754272460938,26.543655395507812,272.090087890625|-0.827368438243866,0,-0.5616596341133118|-2.1924432047626397e-08,1.0000001192092896,3.229639844448684e-08|Running
-627.7318725585938,26.49629783630371,271.8482666015625|-0.826373279094696,0,-0.5631228089332581|-1.9858916289194894e-08,1.0000001192092896,2.9142626090106205e-08|Running
-628.0870361328125,26.440893173217773,271.6063232421875|-0.825394868850708,0,-0.5645559430122375|-1.7789838935300395e-08,1.0000001192092896,2.6009187692466185e-08|Running
-628.44091796875,26.377437591552734,271.3643798828125|-0.825394868850708,0,-0.5645559430122375|-1.567167373650591e-08,1.0000001192092896,2.2912377772854597e-08|Running
-628.8831176757812,26.29704475402832,271.06195068359375|-0.8303090929985046,0,-0.5573031902313232|-1.2826220974204716e-08,1,1.9109396731664674e-08|Running
-629.2365112304688,26.218029022216797,270.82403564453125|-0.8351359963417053,0,-0.550043523311615|-1.0546234996411386e-08,1,1.6012442927149095e-08|Running
-629.5914916992188,26.136024475097656,270.5895080566406|-0.8351359963417053,0,-0.550043523311615|-8.435459442068804e-09,1,1.2807633176237232e-08|Running
-629.943115234375,26.03455924987793,270.35784912109375|-0.8351359963417053,0,-0.550043523311615|-6.326486001739795e-09,1,9.605559903036465e-09|Running
-630.2896118164062,25.91038703918457,270.1296081542969|-0.8351359963417053,0,-0.550043523311615|-4.219312454978308e-09,1,6.4062199989223245e-09|Running
-630.6300048828125,25.748865127563477,269.90545654296875|-0.8351359963417053,0,-0.550043523311615|-2.113938357695133e-09,1,3.2096112434487623e-09|Running
-630.9631958007812,25.537649154663086,269.6860046386719|-0.8351359963417053,0,-0.550043523311615|-1.0361376687195722e-11,1,1.5731770053317717e-11|Running
-631.2819213867188,25.325708389282227,269.47607421875|-0.8351359963417053,0,-0.550043523311615|2.0914190379528463e-09,1,-3.175420371093196e-09|Running
-631.514404296875,25.14741325378418,269.322998046875|-0.8331940770149231,0,-0.5529806017875671|3.6782732415474584e-09,1.0000001192092896,-5.542175163242291e-09|Running
-631.8223266601562,24.917320251464844,269.1188049316406|-0.8293267488479614,0,-0.5587640404701233|5.816787052026484e-09,1.0000001192092896,-8.633371351152164e-09|Running
-632.1292724609375,24.717378616333008,268.9124450683594|-0.825394868850708,0,-0.5645559430122375|7.975396343340435e-09,1.0000001192092896,-1.1660228338428169e-08|Running
-632.4352416992188,24.56113624572754,268.70361328125|-0.8214223980903625,0,-0.5703203082084656|1.0152776397376329e-08,1,-1.4622866473246177e-08|Running
-632.8253784179688,24.289194107055664,268.43328857421875|-0.8194383978843689,0,-0.5731674432754517|1.2820604133878533e-08,1,-1.8329190609733814e-08|Running
-633.16357421875,24.105730056762695,268.1969909667969|-0.8194383978843689,0,-0.5731674432754517|1.4912115986476238e-08,1,-2.1319355170135168e-08|Running
-633.5120239257812,24.040769577026367,267.9532470703125|-0.8194383978843689,0,-0.5731674432754517|1.7001847041342444e-08,1,-2.430697421118566e-08|Running
-633.8651733398438,23.998035430908203,267.7062072753906|-0.8194383978843689,0,-0.5731674432754517|1.908979641029873e-08,1,-2.7292044180171615e-08|Running
-634.2200317382812,23.991724014282227,267.45794677734375|-0.8194383978843689,0,-0.5731674432754517|2.1175960540631422e-08,1,-3.027456330073619e-08|Running
-634.5718994140625,24.008426666259766,267.21185302734375|-0.8194383978843689,0,-0.5731674432754517|2.3260342985054194e-08,1,-3.3254536901949905e-08|Running
-634.9121704101562,24.06704330444336,266.9738464355469|-0.8194383978843689,0,-0.5731674432754517|2.5342947296280727e-08,1,-3.62319667601696e-08|Running
-635.2369384765625,24.177656173706055,266.7467041015625|-0.8194383978843689,0,-0.5731674432754517|2.742377525066786e-08,1,-3.920685998082263e-08|Running
-635.5422973632812,24.337068557739258,266.5331115722656|-0.8194383978843689,0,-0.5731674432754517|2.9502821519145073e-08,1,-4.217920235305428e-08|Running
-635.8253173828125,24.53784942626953,266.33514404296875|-0.8194383978843689,0,-0.5731674432754517|3.158010386528076e-08,1,-4.51490187458603e-08|Running
-636.1112670898438,24.76384735107422,266.1351623535156|-0.8194383978843689,0,-0.5731674432754517|3.3655599196436015e-08,1,-4.8116291395672306e-08|Running
-636.4038696289062,24.998571395874023,265.9304504394531|-0.8194383978843689,0,-0.5731674432754517|3.572933238160658e-08,1,-5.1081034513345e-08|Running
-636.6744995117188,25.238903045654297,265.74114990234375|-0.8194383978843689,0,-0.5731674432754517|3.780128565722407e-08,1,-5.4043240993451036e-08|Running
-636.8828735351562,25.432844161987305,265.59539794921875|-0.8184225559234619,0,-0.5746169686317444|3.9448263322583443e-08,1.0000001192092896,-5.6185861296853545e-08|Running
-637.1494140625,25.71457862854004,265.4084167480469|-0.8164177536964417,0,-0.5774617195129395|4.171209511127927e-08,1,-5.8972734251483416e-08|Running
-637.4714965820312,26.079687118530273,265.18084716796875|-0.811345100402832,0,-0.5845676064491272|4.4804675525256243e-08,1.0000001192092896,-6.218622417009101e-08|Running
-637.665283203125,26.308948516845703,265.0417175292969|-0.8041336536407471,0,-0.5944485664367676|4.710383194606038e-08,1,-6.371918459535664e-08|Running
-637.9138793945312,26.615388870239258,264.8586120605469|-0.7968174815177917,0,-0.6042202115058899|3.164816675393922e-08,1.0000001192092896,-4.1736129219316354e-08|Running
-638.3179931640625,27.049034118652344,264.5528259277344|-0.7893670201301575,0,-0.613921582698822|-1.2590710696258611e-09,1,1.6188862472787946e-09|Running
-638.5386962890625,27.25038719177246,264.3819274902344|-0.7741068601608276,0,-0.6330549716949463|-1.790803239032357e-08,1,2.189814551911695e-08|Running
-638.7691650390625,27.437211990356445,264.1951904296875|-0.7651960253715515,0,-0.6437973976135254|-3.473970622280831e-08,1,4.129045194645187e-08|Running
-639.0868530273438,27.647552490234375,263.9290771484375|-0.7549838423728943,0,-0.655743420124054|-3.095252765206169e-08,1,3.563689432439787e-08|Running
-639.4801025390625,27.844207763671875,263.5887756347656|-0.7375492453575134,0,-0.6752933859825134|-2.637756679746417e-08,1,2.8809337138113733e-08|Running
-639.8621826171875,28.017356872558594,263.2411804199219|-0.7171660661697388,0,-0.696902334690094|-2.1793491455923686e-08,1,2.2427178336670295e-08|Running
-640.0859985351562,28.126811981201172,263.026123046875|-0.698664665222168,0,-0.7154492139816284|-1.916612646368776e-08,1,1.8716486138714572e-08|Running
-640.3530883789062,28.298913955688477,262.7550354003906|-0.6923844814300537,0,-0.7215288281440735|-1.507929958677323e-08,1.0000001192092896,1.4470208142824958e-08|Running
-640.5798950195312,28.515548706054688,262.51971435546875|-0.6911062598228455,0,-0.7227532267570496|-1.0863428379082052e-08,1.0000001192092896,1.0387754656449033e-08|Running
-640.792236328125,28.770490646362305,262.2978515625|-0.6911062598228455,0,-0.7227532267570496|-6.626228454820193e-09,1.0000001192092896,6.336087654545963e-09|Running
-640.9995727539062,29.05436134338379,262.0810546875|-0.6911062598228455,0,-0.7227532267570496|-2.3926451930833537e-09,1.0000001192092896,2.2878792194092057e-09|Running
