MT Cinlok|true|40325
-841.5343017578125,16.005916595458984,901.9308471679688|0.9994074106216431,0,0.03442443907260895|6.151771869689071e-10,1.0000001192092896,-1.7859770551353904e-08|Running
-841.2386474609375,16.005916595458984,902.2477416992188|0.9994074106216431,0,0.03442443907260895|2.531244935877197e-10,1.0000001192092896,-7.34868876861583e-09|Running
-840.9429931640625,16.005916595458984,902.5646362304688|0.9994074106216431,0,0.03442443907260895|-1.0860083665686915e-10,1.0000001192092896,3.152890393209873e-09|Running
-840.6473388671875,16.005916595458984,902.8815307617188|0.9994074106216431,0,0.03442443907260895|-4.700163591664364e-10,1.0000001192092896,1.3645474972179272e-08|Running
-840.3516845703125,16.005916595458984,903.1984252929688|0.9994074106216431,0,0.03442443907260895|-8.311233368196724e-10,1.0000001192092896,2.4129102271785996e-08|Running
-840.0560302734375,16.005916595458984,903.5153198242188|0.9994074106216431,0,0.03442443907260895|-6.376681405129148e-10,1.0000001192092896,1.8512729127451166e-08|Running
-839.6864624023438,16.005916595458984,903.9114379882812|0.9994074106216431,0,0.03442443907260895|-3.9608141766400706e-10,1.0000001192092896,1.1499001750792104e-08|Running
-839.31689453125,16.005916595458984,904.3075561523438|0.9994074106216431,0,0.03442443907260895|-1.5475229431238802e-10,1.0000001192092896,4.4927555009621756e-09|Running
-839.021240234375,16.005916595458984,904.6244506835938|0.9994074106216431,0,0.03442443907260895|3.812537091585355e-11,1.0000001192092896,-1.1068526095669995e-09|Running
-838.5038452148438,16.005916595458984,905.1790161132812|0.9994074106216431,0,0.03442443907260895|3.752652910637977e-10,1.0000001192092896,-1.0894670054995004e-08|Running
-837.9125366210938,16.005916595458984,905.8128051757812|0.9994074106216431,0,0.03442443907260895|7.599542106717649e-10,1.0000001192092896,-2.2062925708610237e-08|Running
-837.6907958984375,16.005916595458984,906.0504760742188|0.9994074106216431,0,0.03442443907260895|7.799965118238106e-10,1.0000001192092896,-2.2644792707637862e-08|Running
-837.3951416015625,16.005916595458984,906.3673706054688|0.9994074106216431,0,0.03442443907260895|4.760651872715016e-10,1.0000001192092896,-1.3821083832965542e-08|Running
-837.0994873046875,16.005916595458984,906.6842651367188|0.9994074106216431,0,0.03442443907260895|1.723933079622597e-10,1.0000001192092896,-5.004908043559908e-09|Running
-836.7684326171875,16.005916595458984,906.92333984375|0.9994074106216431,0,0.03442443907260895|-1.3101927875958097e-10,1.0000001192092896,3.803740433738767e-09|Running
-836.3807373046875,16.005916595458984,907.0380859375|0.9994074106216431,0,0.03442443907260895|-4.3417275330526195e-10,1.0000001192092896,1.2604866483911792e-08|Running
-835.9515991210938,16.005916595458984,907.0617065429688|0.9994074106216431,0,0.03442443907260895|-7.370674626194784e-10,1.0000001192092896,2.1398479432832573e-08|Running
-835.5185546875,16.005916595458984,907.0767822265625|0.9994074106216431,0,0.03442443907260895|-5.553961179849409e-10,1.0000001192092896,1.6124213075841e-08|Running
-835.08544921875,16.005916595458984,907.0916748046875|0.9994074106216431,0,0.03442443907260895|-3.7387998252924604e-10,1.0000001192092896,1.0854452447972562e-08|Running
-834.65234375,16.005916595458984,907.1065673828125|0.9994074106216431,0,0.03442443907260895|-1.9251877869663758e-10,1.0000001192092896,5.589188667443068e-09|Running
-834.21923828125,16.005916595458984,907.1214599609375|0.9994074106216431,0,0.03442443907260895|-1.131247612945474e-11,1.0000001192092896,3.2842284447553993e-10|Running
-833.7861328125,16.005916595458984,907.1363525390625|0.9994074106216431,0,0.03442443907260895|1.6973909777728835e-10,1.0000001192092896,-4.927851016134355e-09|Running
-833.35302734375,16.005916595458984,907.1512451171875|0.9994074106216431,0,0.03442443907260895|3.506361034855132e-10,1.0000001192092896,-1.017963757732332e-08|Running
-832.919921875,16.005916595458984,907.1661376953125|0.9994074106216431,0,0.03442443907260895|5.313786077820737e-10,1.0000001192092896,-1.5426939725671218e-08|Running
-832.48681640625,16.005916595458984,907.1810302734375|0.9994074106216431,0,0.03442443907260895|7.119668188337869e-10,1.0000001192092896,-2.066976101389173e-08|Running
-832.0537109375,16.005916595458984,907.1959228515625|0.9994074106216431,0,0.03442443907260895|6.598512292121939e-10,1.0000001192092896,-1.9156745523218888e-08|Running
-831.62060546875,16.005916595458984,907.2108154296875|0.9994074106216431,0,0.03442443907260895|3.753299060438309e-10,1.0000001192092896,-1.089654677599583e-08|Running
-831.1875,16.005916595458984,907.2257080078125|0.9994074106216431,0,0.03442443907260895|9.105159681777053e-11,1.0000001192092896,-2.643402163826636e-09|Running
-830.75439453125,16.005916595458984,907.2406005859375|0.9994074106216431,0,0.03442443907260895|-1.9298396214395552e-10,1.0000001192092896,5.602693864403818e-09|Running
-830.3212890625,16.005916595458984,907.2554931640625|0.9994074106216431,0,0.03442443907260895|-4.7677700676374e-10,1.0000001192092896,1.3841749968435124e-08|Running
-829.88818359375,16.005916595458984,907.2703857421875|0.9994074106216431,0,0.03442443907260895|-6.470054492169197e-10,1.0000001192092896,1.8783808286571002e-08|Running
-829.455078125,16.005916595458984,907.2852783203125|0.9994074106216431,0,0.03442443907260895|-4.772667816510534e-10,1.0000001192092896,1.3855968816756103e-08|Running
-829.02197265625,16.005916595458984,907.3001708984375|0.9994074106216431,0,0.03442443907260895|-3.0767308145662753e-10,1.0000001192092896,8.932339312650583e-09|Running
-828.5888671875,16.005916595458984,907.3150634765625|0.9994074106216431,0,0.03442443907260895|-1.38224209855764e-10,1.0000001192092896,4.012913557005504e-09|Running
-828.15576171875,16.005916595458984,907.3299560546875|0.9994074106216431,0,0.03442443907260895|3.1079996215543915e-11,1.0000001192092896,-9.023117808482084e-10|Running
-827.72265625,16.005916595458984,907.3448486328125|0.9994074106216431,0,0.03442443907260895|2.0023961655457612e-10,1.0000001192092896,-5.813339587490418e-09|Running
-827.28955078125,16.005916595458984,907.3597412109375|0.9994074106216431,0,0.03442443907260895|3.6925479340865763e-10,1.0000001192092896,-1.0720174081768619e-08|Running
-826.8564453125,16.005916595458984,907.3746337890625|0.9995211362838745,0,0.03094511479139328|4.809533882266237e-10,1.0000001192092896,-1.5534698860619756e-08|Running
-826.42333984375,16.005916595458984,907.3882446289062|0.9995744228363037,0,0.02917485311627388|5.923947443697841e-10,1.0000001192092896,-2.029633527911301e-08|Running
