ducky|true|2775
82.74403381347656,286.46636962890625,-764.9650268554688|-0.9995810985565186,4.47428938343819e-09,0.028942763805389404|6.461487345177375e-09,1,6.856605239136115e-08|Climbing
82.74403381347656,286.9184875488281,-764.9650268554688|-0.9995810985565186,7.569554760777919e-09,0.028942763805389404|1.0742331468804878e-08,1,1.0946696704650094e-07|Climbing
82.74403381347656,287.37060546875,-764.9650268554688|-0.9995810985565186,5.6516462620948005e-09,0.028942763805389404|7.956939995779067e-09,1,7.953494218781998e-08|Climbing
82.74403381347656,288.0035705566406,-764.9650268554688|-0.9995810985565186,1.2178694719366945e-09,0.028942763805389404|1.5926522323184145e-09,1,1.2926050452222171e-08|Climbing
82.69200134277344,288.47454833984375,-764.968994140625|-0.999903678894043,-1.7158602361178055e-07,0.013878267258405685|-1.7177103472931776e-07,1,-1.2138636762415445e-08|Running
82.58051300048828,288.7733459472656,-764.9766235351562|-0.9999998807907104,-2.5959579375012254e-07,0.0005268034874461591|-2.5959570848499425e-07,1,2.2550877831761795e-10|Freefall
82.36491394042969,289.0195007324219,-764.9896850585938|-0.9999473094940186,-2.02473970034589e-07,-0.010264642536640167|-2.0250119803222333e-07,1,1.6134952263158198e-09|Freefall
82.0005111694336,289.1517028808594,-765.0092163085938|-0.9998223185539246,-1.7260606455238303e-07,-0.01885092817246914|-1.726197780271832e-07,1,-8.994496258907247e-10|Freefall
81.59137725830078,289.1321716308594,-765.0283813476562|-0.9997519850730896,-1.3906645790484617e-07,-0.022270308807492256|-1.3904015361276834e-07,1,-2.7292337279050116e-09|Freefall
81.23910522460938,289.560302734375,-765.0415649414062|-0.9997313618659973,-6.055005030702887e-08,-0.023177871480584145|-6.050940015711603e-08,1,-2.455097236619963e-09|Landed
80.67572021484375,290.0638732910156,-765.0582885742188|-0.999717116355896,3.5099994022402825e-08,-0.023782959207892418|3.516101898526358e-08,1,-2.1478676615060976e-09|Landed
80.0948715209961,290.40911865234375,-765.0741577148438|-0.9997137784957886,9.175055737387083e-08,-0.023924458771944046|9.181084692500008e-08,1,-1.421705420057151e-09|Running
79.57606506347656,290.6692199707031,-765.0883178710938|-0.9997135400772095,9.111341370271475e-08,-0.023933999240398407|9.114079091432359e-08,1,-5.301414862657339e-11|Running
79.11930084228516,290.8441467285156,-765.100830078125|-0.9997135400772095,9.047688109831142e-08,-0.023934639990329742|9.04713388649725e-08,1,1.3142114063668942e-09|Running
78.548828125,290.9416809082031,-765.1148071289062|-0.999737560749054,8.80167903005713e-08,-0.022907881066203117|8.797292849749283e-08,1,2.9225581954506197e-09|Freefall
78.00516510009766,290.92926025390625,-765.1263427734375|-0.9997591972351074,8.185094202417531e-08,-0.0219429824501276|8.177874377679473e-08,1,4.187635571639703e-09|Freefall
77.52555084228516,290.8580322265625,-765.1353149414062|-0.9997734427452087,7.461176210199483e-08,-0.02128439210355282|7.45188231121574e-08,1,5.159465743531655e-09|Freefall
76.88462829589844,290.6923522949219,-765.1466064453125|-0.9997879862785339,6.356290782605356e-08,-0.020589491352438927|6.344579617234558e-08,1,6.341301705958813e-09|Freefall
76.10971069335938,290.381103515625,-765.154052734375|-0.9998272657394409,4.2345813966448986e-08,-0.018587404862046242|4.221112703817198e-08,1,7.638478294325068e-09|Freefall
75.07638549804688,289.775390625,-765.1559448242188|-0.9998986124992371,-3.295170358796895e-08,-0.014239886775612831|-3.308009155489344e-08,1,8.780534521690697e-09|Freefall
74.17227935791016,290.0609436035156,-765.1446533203125|-0.9999663829803467,-1.2216000300213636e-07,-0.008196385577321053|-1.2220374401294976e-07,1,4.837179101713218e-09|Landed
73.39771270751953,290.2735290527344,-765.1192626953125|-0.9999999403953552,-1.203473516397935e-07,-0.0002949243353214115|-1.2034652741022e-07,1,-2.840962354255794e-09|Running
72.62371826171875,290.3647766113281,-765.080078125|-0.9999523162841797,-1.3007039001422527e-07,0.009764918126165867|-1.3008224186705775e-07,1,-5.789603241268537e-10|Running
71.97887420654297,290.39776611328125,-765.0441284179688|-0.9998425245285034,-1.1834857360781825e-07,0.01774655282497406|-1.1832585045112864e-07,1,2.3304054241890526e-09|Running
71.33413696289062,290.4132080078125,-765.006591796875|-0.9996928572654724,-1.2299423701733758e-07,0.02478237822651863|-1.229375925504428e-07,1,3.809294657486362e-09|Running
70.68938446044922,290.42047119140625,-764.9688720703125|-0.9995291829109192,-1.2116822745156242e-07,0.030683165416121483|-1.2109721581055055e-07,1,4.172735490470814e-09|Running
70.04459381103516,290.4239196777344,-764.9320678710938|-0.999373733997345,-1.2038061925068178e-07,0.03538622334599495|-1.20297528383162e-07,1,4.477000103975115e-09|Running
69.3998031616211,290.4255676269531,-764.8953247070312|-0.9992315173149109,-1.0067431333027343e-07,0.03919634222984314|-1.0059096666736878e-07,1,4.098620109971307e-09|Running
68.6257095336914,290.42645263671875,-764.8580322265625|-0.9991424083709717,-1.224738497285216e-07,0.04140530899167061|-1.2234656310283754e-07,1,5.6081370658489504e-09|Running
67.72230529785156,290.4268798828125,-764.8212280273438|-0.9991361498832703,-5.205027164834064e-08,0.041556213051080704|-5.198274521944768e-08,1,2.705523360901907e-09|Running
66.94782257080078,290.42706298828125,-764.7927856445312|-0.9991705417633057,2.1983312947781997e-08,0.04072200879454613|2.198344972725863e-08,1,-4.4444711799762615e-10|Running
66.48616027832031,290.42718505859375,-764.7759399414062|-0.9991787672042847,7.001337110068562e-08,0.04051918536424637|6.997029089461648e-08,1,-2.4813346932717195e-09|Running
65.96308135986328,290.4272766113281,-764.7568359375|-0.9991797208786011,8.83007302832084e-08,0.04049500823020935|8.823403874202995e-08,1,-3.4341522958669657e-09|Running
65.6476821899414,290.4273376464844,-764.7453002929688|-0.9991797208786011,5.299991556739769e-08,0.04049486666917801|5.295052929454869e-08,1,-2.2921771147821346e-09|Running
65.52903747558594,290.4273376464844,-764.7409057617188|-0.9991797208786011,1.7744376634709624e-08,0.04049486666917801|1.7712267208480625e-08,1,-1.1516668729782964e-09|Running
65.5261459350586,290.4273376464844,-764.7407836914062|-0.9991797208786011,-5.7341953407785695e-09,0.04049486666917801|-5.754795306955884e-09,1,-3.921395153039242e-10|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,-2.9192687378554183e-08,0.04049486666917801|-2.920178943099927e-08,1,3.66738306389891e-10|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,-6.434281374367856e-08,0.04049486666917801|-6.433469224020882e-08,1,1.5038382761289881e-09|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,-8.775118942594418e-08,0.04049486666917801|-8.773159265729191e-08,1,2.261094644850914e-09|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,-1.1113954201391607e-07,0.04049486666917801|-1.1110847708550864e-07,1,3.017703420482576e-09|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,-9.97848630390763e-08,0.04049486666917801|-9.975367731840379e-08,1,2.7907802735427367e-09|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,-3.071989596037383e-08,0.04049486666917801|-3.070550391726101e-08,1,9.773771791898866e-10|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,3.825649486088878e-08,0.04049486666917801|3.825411454272398e-08,1,-8.337001089486762e-10|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,8.419161190431623e-08,0.04049486666917801|8.417805474891793e-08,1,-2.0397941113969864e-09|Running
65.52608489990234,290.4273376464844,-764.7407836914062|-0.9991797208786011,8.182442456927674e-08,0.04049486666917801|8.180808208635426e-08,1,-2.060640769130373e-09|Running
65.47171783447266,290.4273376464844,-764.7472534179688|-0.9996499419212341,-1.498620321171984e-07,0.026458030566573143|-1.4975158535435185e-07,1,6.155793208506566e-09|Running
65.22705078125,290.4273376464844,-764.7745361328125|-1,-5.220716730036656e-07,-0.00021257894695736468|-5.220739467404201e-07,1,1.0502567704406829e-08|Running
64.90080261230469,291.70123291015625,-764.8104248046875|-0.9996410608291626,-0.000002265575858473312,-0.026791928336024284|-0.000002266268893436063,1,-4.492600957917148e-09|Jumping
64.52249908447266,292.8525085449219,-764.8482666015625|-0.999210774898529,-0.000001097693257179344,-0.03972223028540611|-0.0000010981922287101042,1,-9.260174849146097e-09|Freefall
64.05486297607422,293.88116455078125,-764.8895263671875|-0.9989346265792847,-1.1050488524233515e-07,-0.04614773020148277|-1.1047560377619448e-07,1,-3.1850564408131277e-09|Freefall
63.69348907470703,294.4988098144531,-764.9185791015625|-0.9987971782684326,3.950274063413417e-08,-0.04903263971209526|3.960823846682615e-08,1,-1.1799572430248872e-09|Freefall
63.18593215942383,295.1942138671875,-764.9564819335938|-0.9986554980278015,1.104675888541351e-07,-0.051838282495737076|1.1063339400152472e-07,1,-3.291573402730563e-10|Freefall
62.61637496948242,295.8044738769531,-764.997314453125|-0.998501181602478,9.669420109048588e-08,-0.05473051592707634|9.689376412325146e-08,1,-9.926791610936903e-10|Freefall
61.7310791015625,296.5157775878906,-765.0606689453125|-0.9982768297195435,2.2908116292796876e-08,-0.05867975950241089|2.3223384104653633e-08,1,-4.690735355694642e-09|Freefall
60.8293571472168,297.0601806640625,-765.1268310546875|-0.9980664849281311,-1.0562971652916531e-07,-0.06215522810816765|-1.0512562909070766e-07,1,-1.138033134395755e-08|Freefall
59.92775344848633,297.4376525878906,-765.1950073242188|-0.9978651404380798,-1.4970635220379336e-07,-0.0653078630566597|-1.493516350592472e-07,1,-1.0313415010898552e-08|Freefall
58.89740753173828,297.6647033691406,-765.2736206054688|-0.9976671934127808,-1.1517722953158227e-07,-0.06826531141996384|-1.1509836639334026e-07,1,-5.088490517834998e-09|Freefall
58.124698638916016,297.6919250488281,-765.3330078125|-0.9975426197052002,-9.49724636711835e-08,-0.07006198912858963|-9.508847398365106e-08,1,-1.6793477719545535e-09|Freefall
57.48078155517578,297.6209411621094,-765.3825073242188|-0.99745774269104,-8.619192470860071e-08,-0.07126074284315109|-8.645705662502223e-08,1,6.361369209173517e-10|Freefall
56.57929229736328,297.37847900390625,-765.4517211914062|-0.9973607659339905,-8.14076983601808e-08,-0.07260517030954361|-8.186865585457781e-08,1,3.3728226878082523e-09|Freefall
55.03388595581055,296.5745544433594,-765.5704345703125|-0.997233510017395,-8.525833550265816e-08,-0.07433275133371353|-8.603399948015067e-08,1,7.2330301748024795e-09|Freefall
53.23090744018555,295.0166931152344,-765.7089233398438|-0.9971421360969543,-9.950200308139756e-08,-0.07554827630519867|-1.006236090006496e-07,1,1.1039802849666103e-08|Freefall
52.329463958740234,294.9367370605469,-765.7789916992188|-0.9971046447753906,-1.0842595088433882e-07,-0.07604148983955383|-1.0971751862598467e-07,1,1.2807442217876996e-08|Landed
51.428104400634766,294.52960205078125,-765.8502197265625|-0.9970577955245972,-1.1849512304706877e-07,-0.07665327936410904|-1.1995850002222141e-07,1,1.4486468913332828e-08|Running
50.784278869628906,294.11541748046875,-765.9011840820312|-0.9970281720161438,-1.2654160741476517e-07,-0.07703754305839539|-1.2812571981157816e-07,1,1.5620212678868484e-08|Running
49.8829231262207,293.39251708984375,-765.9725341796875|-0.9969947338104248,-1.0429152297319888e-07,-0.07746897637844086|-1.0560865604247738e-07,1,1.290520135199813e-08|Running
48.98139953613281,292.9305725097656,-766.0415649414062|-0.9970066547393799,3.130158354736068e-09,-0.07731561362743378|3.17327630838804e-09,1,-4.348300886025669e-10|Running
47.95029830932617,292.9680480957031,-766.1093139648438|-0.9972214102745056,9.506968723371756e-08,-0.07449502497911453|9.637921749572342e-08,1,-1.398386917372818e-08|Running
47.047733306884766,292.98699951171875,-766.1631469726562|-0.9974745512008667,3.0524738292569964e-08,-0.07102509588003159|3.147959048988014e-08,1,-1.23245333938371e-08|Running
46.016204833984375,294.6582946777344,-766.2240600585938|-0.9977583289146423,-1.0464287925060489e-07,-0.06692048907279968|-1.0391039495516452e-07,1,-1.442634012249755e-08|Jumping
45.11343765258789,295.94183349609375,-766.2742309570312|-0.9979478120803833,-1.4440188067510462e-07,-0.0640329048037529|-1.4413119231448945e-07,1,-8.846705590315196e-09|Freefall
44.081722259521484,297.2043762207031,-766.3322143554688|-0.9980916976928711,-1.1314054404465423e-07,-0.061749137938022614|-1.1324617332775233e-07,1,-1.7892075598879842e-09|Freefall
43.307987213134766,298.0082092285156,-766.3764038085938|-0.9981551170349121,-7.287437853165102e-08,-0.06071510538458824|-7.322454820268831e-08,1,3.542459214855853e-09|Freefall
42.6632080078125,298.58441162109375,-766.413330078125|-0.9981948137283325,-4.177250900738727e-08,-0.06005884334445|-4.231994665815364e-08,1,7.843011573527292e-09|Freefall
42.14738464355469,298.9840393066406,-766.44287109375|-0.998221218585968,-1.796575688217672e-08,-0.05961891636252403|-1.86679489644348e-08,1,1.1221038320741172e-08|Freefall
41.50260543823242,299.4069519042969,-766.4797973632812|-0.9982487559318542,1.0867737820774437e-08,-0.059156086295843124|9.974862713590937e-09,1,1.538884397689344e-08|Freefall
40.857826232910156,299.7447204589844,-766.5166625976562|-0.9982714653015137,3.895898359473904e-08,-0.058771390467882156|3.787770452845507e-08,1,1.951204353645153e-08|Freefall
40.08409118652344,300.0376281738281,-766.5609741210938|-0.9982936382293701,7.199972174021241e-08,-0.05839389190077782|7.069449026175789e-08,1,2.4418095989631183e-08|Freefall
39.31035614013672,300.2079162597656,-766.6052856445312|-0.9983111619949341,1.0454120058511762e-07,-0.05809292569756508|1.0301350528152398e-07,1,2.9292147374349042e-08|Freefall
38.536617279052734,300.25555419921875,-766.6495971679688|-0.998324990272522,1.3675455079464882e-07,-0.05785559117794037|1.3500526563348103e-07,1,3.4143859295454604e-08|Freefall
37.6337776184082,300.15618896484375,-766.698486328125|-0.9983722567558289,1.7298793864028994e-07,-0.05703331530094147|1.7100046534324065e-07,1,3.972787609995976e-08|Freefall
36.911956787109375,299.9381408691406,-766.7373657226562|-0.998382568359375,1.1503696129011587e-07,-0.05685248225927353|1.13787258726461e-07,1,2.521857389581328e-08|Freefall
36.58451843261719,299.78314208984375,-766.7549438476562|-0.9983829259872437,7.733149232080905e-08,-0.05684654787182808|7.654288936009834e-08,1,1.6049941820028835e-08|Freefall
35.99656677246094,299.3811950683594,-766.78662109375|-0.9983829855918884,1.9931953865182095e-09,-0.05684513971209526|2.1256514326495335e-09,1,-2.2696529100585394e-09|Freefall
35.57477951049805,298.9525451660156,-766.809326171875|-0.9983829855918884,-6.071489622172521e-08,-0.05684509500861168|-5.981580386560381e-08,1,-1.7518022588092208e-08|Freefall
35.21497344970703,298.4387512207031,-766.8286743164062|-0.9983829855918884,-1.2335596011325833e-07,-0.05684509500861168|-1.216910590073894e-07,1,-3.275008353398334e-08|Freefall
34.91714096069336,297.83978271484375,-766.8447265625|-0.9983829855918884,-1.3165063705855573e-07,-0.05684509500861168|-1.299251550790359e-07,1,-3.40499290985008e-08|Freefall
34.64154815673828,297.0086364746094,-766.8595581054688|-0.9983829855918884,-9.819684976264398e-08,-0.05684509500861168|-9.696194069874764e-08,1,-2.4482305960304984e-08|Freefall
34.480064392089844,296.22235107421875,-766.8682250976562|-0.9983829855918884,-7.035146865064235e-08,-0.05684509500861168|-6.952488718070526e-08,1,-1.651866199381402e-08|Freefall
34.4224853515625,295.1663818359375,-766.871337890625|-0.9983829855918884,-3.697630290844245e-08,-0.05684509500861168|-3.6639136169469566e-08,1,-6.9735293095618545e-09|Landed
34.422019958496094,294.44915771484375,-766.871337890625|-0.9983829855918884,-3.6439424810907894e-09,-0.05684509500861168|-3.795566527742267e-09,1,2.559353617925808e-09|Running
34.422019958496094,294.5150146484375,-766.871337890625|-0.9983829855918884,4.072798276411049e-08,-0.05684509500861168|3.992568409216801e-08,1,1.524948700648565e-08|Running
34.422019958496094,294.5384826660156,-766.871337890625|-0.9983829855918884,6.288549769806195e-08,-0.05684509500861168|6.175827849119742e-08,1,2.158641621008428e-08|Running
34.422019958496094,294.5516052246094,-766.871337890625|-0.9983829855918884,8.502406956267805e-08,-0.05684509500861168|8.357221048527208e-08,1,2.791792752532274e-08|Running
34.422019958496094,294.56097412109375,-766.871337890625|-0.9983829855918884,1.1819644640809202e-07,-0.05684509500861168|1.1625814266835732e-07,1,3.740504439520009e-08|Running
34.344749450683594,294.56463623046875,-766.8870239257812|-0.9965428709983826,-4.550038568140735e-07,-0.08307980000972748|-4.5477588628273224e-07,1,-2.166787105295498e-08|Running
34.23140335083008,296.2359313964844,-766.9099731445312|-0.9927464127540588,-0.000004752085715153953,-0.12022717297077179|-0.000004733841706183739,1,-4.37350564652661e-07|Jumping
34.094181060791016,297.3463134765625,-766.9268188476562|-0.9936239123344421,-0.0000019900767256331164,-0.1127452626824379|-0.000001981030436581932,1,-1.9226969527608162e-07|Freefall
33.91154098510742,298.177978515625,-766.9412231445312|-0.9951008558273315,-4.304652918563079e-07,-0.09886503219604492|-4.280499581454933e-07,1,-4.5642103430054703e-08|Freefall
33.72074508666992,298.7820129394531,-766.952880859375|-0.996079683303833,-1.7574646449247666e-07,-0.08846079558134079|-1.7484288150626526e-07,1,-1.7963108334129174e-08|Freefall
33.42639923095703,299.46038818359375,-766.9672241210938|-0.9970696568489075,-1.9167453046975425e-07,-0.07649919390678406|-1.9108487947505637e-07,1,-1.5027513455834196e-08|Freefall
33.06999206542969,300.0536193847656,-766.9810791015625|-0.997809112071991,-1.9061801026509784e-07,-0.06615903228521347|-1.9016007968275517e-07,1,-1.321889087080308e-08|Freefall
32.56040573120117,300.653076171875,-766.9962768554688|-0.9984778761863708,-1.9051978483730636e-07,-0.055153682827949524|-1.9019243779894168e-07,1,-1.1184145165543669e-08|Freefall
31.85293960571289,301.1974792480469,-767.0125122070312|-0.998968243598938,-1.813537124917275e-07,-0.045414287596940994|-1.8115719058187096e-07,1,-8.442796683993947e-09|Freefall
31.273136138916016,301.484130859375,-767.0243530273438|-0.999176025390625,-1.6920159850997152e-07,-0.04058651626110077|-1.690738002935177e-07,1,-6.5809979687969644e-09|Freefall
30.767271041870117,301.65216064453125,-767.0357055664062|-0.9992799162864685,-1.565658749314025e-07,-0.03794301673769951|-1.5647957241071708e-07,1,-5.244260581349636e-09|Freefall
29.476335525512695,301.8337707519531,-767.0701293945312|-0.9994245171546936,-1.0253346971467181e-07,-0.033920858055353165|-1.0254060356373884e-07,1,-1.5294651101172008e-09|Freefall
28.959861755371094,301.81103515625,-767.084228515625|-0.9994598627090454,-9.492516284126395e-08,-0.03286251425743103|-9.496098840600098e-08,1,-4.705686951211874e-10|Freefall
28.443389892578125,301.73382568359375,-767.098388671875|-0.9994856119155884,-9.05933390527025e-08,-0.03207048401236534|-9.065582418088525e-08,1,4.943822018432797e-10|Freefall
27.66871452331543,301.5157775878906,-767.120849609375|-0.9995080232620239,-8.701638876118523e-08,-0.03136365860700607|-8.711759136303954e-08,1,1.8603144580353614e-09|Freefall
26.635854721069336,301.0343322753906,-767.1519775390625|-0.9995198249816895,-8.375887006195626e-08,-0.03098524734377861|-8.391189965095691e-08,1,3.638500167824077e-09|Freefall
25.861215591430664,300.5301818847656,-767.1754150390625|-0.9995247721672058,-8.153775610253433e-08,-0.030826345086097717|-8.172963816832635e-08,1,4.964517241745625e-09|Freefall
24.957469940185547,299.7870178222656,-767.2027587890625|-0.9995288848876953,-7.90404968142866e-08,-0.030691197142004967|-7.927755518721824e-08,1,6.507158367696775e-09|Freefall
24.441043853759766,299.28741455078125,-767.2183837890625|-0.9995307922363281,-7.764210607774658e-08,-0.030630795285105705|-7.790493583570424e-08,1,7.38695460356098e-09|Freefall
23.924617767333984,298.7333068847656,-767.2340087890625|-0.9995322823524475,-7.625671827327096e-08,-0.030581019818782806|-7.654529099454521e-08,1,8.265704565246779e-09|Freefall
23.316307067871094,297.96405029296875,-767.25244140625|-0.9995327591896057,-7.45332187079839e-08,-0.030565429478883743|-7.485436981369276e-08,1,9.362883801600219e-09|Freefall
22.77003288269043,297.109619140625,-767.2689819335938|-0.9995328187942505,-7.281169445150226e-08,-0.030564378947019577|-7.316554473391079e-08,1,1.0458880872477039e-08|Freefall
22.330570220947266,296.1700439453125,-767.2822875976562|-0.9995328187942505,-7.109199628985152e-08,-0.030564306303858757|-7.147852443267766e-08,1,1.1553706436018274e-08|Landed
22.027769088745117,295.1452941894531,-767.2914428710938|-0.9995328187942505,-6.93741384338864e-08,-0.03056430071592331|-6.979330890999336e-08,1,1.2647362268580764e-08|Landed
21.850265502929688,294.779541015625,-767.2968139648438|-0.9995328187942505,-6.731520585390172e-08,-0.03056430071592331|-6.777349170761227e-08,1,1.3958159073013121e-08|Running
21.829540252685547,294.8931579589844,-767.2974243164062|-0.9995328187942505,-6.525883122776577e-08,-0.03056430071592331|-6.575618982651577e-08,1,1.526731985279639e-08|Running
21.829471588134766,294.94732666015625,-767.2974243164062|-0.9995328187942505,-6.354720483159326e-08,-0.03056430071592331|-6.407707786593164e-08,1,1.63570046396444e-08|Running
21.829471588134766,294.96539306640625,-767.2974243164062|-0.9995328187942505,-6.252110296145474e-08,-0.03056430071592331|-6.307048039388974e-08,1,1.7010256314620165e-08|Running
21.829471588134766,294.9822082519531,-767.2974243164062|-0.9995328187942505,-6.081240400135357e-08,-0.03056430071592331|-6.139423902595809e-08,1,1.8098081255857323e-08|Running
21.829471588134766,294.99005126953125,-767.2974243164062|-0.9995328187942505,-5.910552403065594e-08,-0.03056430071592331|-5.971978822572055e-08,1,1.9184742683364675e-08|Running
21.829471588134766,296.46435546875,-767.2974243164062|-0.9995328187942505,-5.671894953707124e-08,-0.03056430071592331|-5.7378564122245734e-08,1,2.070411575516573e-08|Jumping
21.829471588134766,297.5951843261719,-767.2974243164062|-0.9995328187942505,-5.4676156935329345e-08,-0.03056430071592331|-5.5374584917444736e-08,1,2.200462567714112e-08|Freefall
21.829471588134766,298.4438781738281,-767.2974243164062|-0.9995328187942505,-5.2975831721369104e-08,-0.03056430071592331|-5.370656452896583e-08,1,2.3087110889719042e-08|Freefall
21.829471588134766,299.34991455078125,-767.2974243164062|-0.9995328187942505,-5.093783883580727e-08,-0.03056430071592331|-5.170729266978924e-08,1,2.4384567254287504e-08|Freefall
21.829471588134766,300.0112609863281,-767.2974243164062|-0.9995328187942505,-4.924150331930832e-08,-0.03056430071592331|-5.004318737178437e-08,1,2.5464508723871404e-08|Freefall
21.80549430847168,300.4790344238281,-767.290283203125|-0.9999937415122986,-7.201774678833317e-07,-0.0035362490452826023|-7.202150413831987e-07,1,9.350937801855252e-09|Freefall
21.7213134765625,300.9870910644531,-767.2677612304688|-0.9993240237236023,-0.000002004814177780645,0.036763016134500504|-0.000002005175929298275,1,2.7030329974309097e-08|Freefall
21.61056900024414,301.3322448730469,-767.2394409179688|-0.9978414177894592,-0.0000021141413526493125,0.06566961854696274|-0.000002113879418175202,1,7.347386343781181e-08|Freefall
21.32453155517578,301.80511474609375,-767.1649169921875|-0.993672251701355,-0.0000016834616189953522,0.1123187467455864|-0.0000016782206557763857,1,1.4120844582521386e-07|Freefall
21.048351287841797,302.0406799316406,-767.0923461914062|-0.9903489947319031,-0.0000012592463463079184,0.13859625160694122|-0.0000012512117564256187,1,1.4509841150811553e-07|Freefall
20.78406524658203,302.1678161621094,-767.0235595703125|-0.9880213737487793,-8.445066441709059e-07,0.15431690216064453|-8.368245971723809e-07,1,1.1473823491314761e-07|Freefall
20.399280548095703,302.2501220703125,-766.9249877929688|-0.9855525493621826,-4.520556728948577e-07,0.16937004029750824|-4.4639958218795073e-07,1,7.147330904899718e-08|Freefall
19.95394515991211,302.24725341796875,-766.8129272460938|-0.9834113121032715,-2.8382774530655297e-07,0.1813894808292389|-2.792711768506706e-07,1,5.06605140060401e-08|Freefall
19.447790145874023,302.15924072265625,-766.6885375976562|-0.9817532300949097,-2.201458357831143e-07,0.1901593953371048|-2.1601962885142711e-07,1,4.2426822943752995e-08|Freefall
18.998779296875,302.0274963378906,-766.5817260742188|-0.9807833433151245,-1.8312402971787378e-07,0.19510012865066528|-1.7942424790362566e-07,1,3.663618386440248e-08|Freefall
18.259328842163086,301.72772216796875,-766.4153442382812|-0.9798207879066467,-1.4997623054568976e-07,0.1998780518770218|-1.4667335790363722e-07,1,3.1332252348192924e-08|Freefall
17.754638671875,301.4597473144531,-766.3051147460938|-0.9793964624404907,-1.4177791740621615e-07,0.20194688439369202|-1.3848695346041495e-07,1,3.0425248098708835e-08|Freefall
17.1230525970459,301.0481262207031,-766.1702270507812|-0.9791104197502136,-1.4613894450121734e-07,0.20332928001880646|-1.4254763414101035e-07,1,3.2307550412724595e-08|Freefall
16.490116119384766,300.5513610839844,-766.0418090820312|-0.9791958332061768,-1.5415785981076624e-07,0.20291753113269806|-1.50190430758812e-07,1,3.495026490440978e-08|Freefall
15.856382369995117,299.9694519042969,-765.9173583984375|-0.9795154929161072,-1.6745448760957515e-07,0.20136873424053192|-1.6300410266012477e-07,1,3.8682504310827426e-08|Freefall
15.221710205078125,299.3023681640625,-765.7978515625|-0.9800373911857605,-1.4565604544714006e-07,0.19881315529346466|-1.4177940954596124e-07,1,3.373477497348176e-08|Freefall
14.586217880249023,298.5501403808594,-765.6827392578125|-0.9807112812995911,-1.2505518043326447e-07,0.19546207785606384|-1.2193835630114336e-07,1,2.7979211836282047e-08|Landed
13.822443962097168,297.5350341796875,-765.5513305664062|-0.9817110300064087,-1.0620350110457366e-07,0.19037701189517975|-1.0405803152480075e-07,1,2.1266130190156218e-08|Landed
12.930827140808105,297.24249267578125,-765.4011840820312|-0.9828207492828369,-1.0331529409768336e-07,0.18456269800662994|-1.0173967979199006e-07,1,1.8007025204269667e-08|Running
12.165152549743652,297.3431701660156,-765.2813720703125|-0.9839151501655579,-1.1126117271942348e-07,0.17863638699054718|-1.0957091234331529e-07,1,1.9328039613242254e-08|Running
11.397915840148926,297.39276123046875,-765.1719970703125|-0.9852286577224731,-1.2303203789088002e-07,0.17124399542808533|-1.2102066193619976e-07,1,2.2184785564149934e-08|Running
10.757566452026367,297.4109802246094,-765.0880737304688|-0.9864028096199036,-1.197888082060672e-07,0.16434556245803833|-1.1789031617581713e-07,1,2.1305508468572043e-08|Running
9.85763931274414,297.4215393066406,-765.0010375976562|-0.9888182282447815,-1.3488994454746717e-07,0.14912573993206024|-1.331273153937218e-07,1,2.1801874083848816e-08|Running
9.2135648727417,297.42449951171875,-764.9536743164062|-0.9906467199325562,-1.6067212982306955e-07,0.13645191490650177|-1.588918365769132e-07,1,2.393852938098462e-08|Running
8.440506935119629,297.3554992675781,-764.8987426757812|-0.9926730990409851,-1.7772403282378946e-07,0.1208309531211853|-1.7613376712688478e-07,1,2.3841455032425074e-08|Running
7.667447090148926,297.16387939453125,-764.8438720703125|-0.9944555759429932,-1.7717933076255576e-07,0.10515736788511276|-1.7595108658952086e-07,1,2.0957163116008815e-08|Running
7.023231506347656,296.9105224609375,-764.7981567382812|-0.9957520365715027,-1.766369877032048e-07,0.0920751616358757|-1.7567309384958207e-07,1,1.857337927901881e-08|Running
6.379955768585205,297.2286071777344,-764.8260498046875|-0.9978548288345337,-5.84322322083608e-07,0.06546575576066971|-5.823652031722304e-07,1,4.8978570532653976e-08|Running
5.867045879364014,297.4954528808594,-764.8876342773438|-0.999177873134613,-9.505334332970961e-07,0.04054113104939461|-9.487908414484991e-07,1,6.22224902713242e-08|Running
5.229517459869385,297.6850280761719,-764.990478515625|-0.9999750852584839,-0.0000011416615279813414,0.007056673523038626|-0.0000011414110758778406,1,3.9513714966687985e-08|Running
4.594140529632568,297.7763366699219,-765.1061401367188|-0.9996846318244934,-0.0000011018993291145307,-0.02511199750006199|-0.00000110228756966535,1,1.6172418959570223e-09|Running
