Mt Seru|true|32212
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.163389424882702e-11,1,-7.61039675722941e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-1.757971546112458e-11,1,-3.213453947381595e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|6.45384917383196e-12,1,1.1797203491870079e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|3.046682350849039e-11,1,5.569131267257887e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|5.445926695712977e-11,1,9.9547892151719e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|7.843123372985872e-11,1,1.4336704046158388e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|5.428664462403532e-11,1,9.923234456366004e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|3.016273342204556e-11,1,5.51354573108398e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|6.059449383227777e-12,1,1.1076267680820706e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-1.8023199252481525e-11,1,-3.2945202121936745e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.2085210316678e-11,1,-7.692894099520231e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-6.612663194793811e-11,1,-1.2087504330793308e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-6.615292341694001e-11,1,-1.2092311596489935e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.2194844840359735e-11,1,-7.71293473533774e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-1.8257268960542028e-11,1,-3.337306264672435e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|5.659785574235743e-12,1,1.0345709011705395e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|2.9556371239358725e-11,1,5.402706615420527e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|5.343250841782776e-11,1,9.767103792412968e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|7.72882313704315e-11,1,1.4127770064931156e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|5.363137711711374e-11,1,9.803456935131294e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|2.9994756678419776e-11,1,5.482840292891922e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|6.378335793560952e-12,1,1.1659170850997214e-10|Running
