tali|true|1067
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.153457218627807e-09,-0.9935092329978943|8.683446850454857e-09,1,-2.155202905029796e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.768968387911741e-09,-0.9935092329978943|-2.0845856596451995e-08,1,5.173801831404035e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.646322768868231e-09,-0.9935092329978943|-6.509252159503376e-08,1,1.6155569326770092e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0603766753547461e-08,-0.9935092329978943|-7.9828815557903e-08,1,1.9813031215676347e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.4516146507048688e-08,-0.9935092329978943|-1.0928251015229762e-07,1,2.712326896414652e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.3607236226675923e-08,-0.9935092329978943|-1.0243991255265428e-07,1,2.542497767876739e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.883216746051858e-09,-0.9935092329978943|-5.934751357017376e-08,1,1.4729704567173485e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.1640877978512663e-09,-0.9935092329978943|-1.6291926030476134e-08,1,4.043567702893824e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.5501555029071596e-09,-0.9935092329978943|2.672688026450487e-08,1,-6.633439575409739e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-9.259516708937099e-09,-0.9935092329978943|6.970893196012184e-08,1,-1.730132481725377e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.496399981704144e-08,-0.9935092329978943|1.1265426280715474e-07,1,-2.796009646033326e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1015146128556808e-08,-0.9935092329978943|8.292585107483319e-08,1,-2.0581692794507944e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-7.0696670739778256e-09,-0.9935092329978943|5.322283769260139e-08,1,-1.3209595195462498e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.127559988769235e-09,-0.9935092329978943|2.354519246239306e-08,1,-5.843796113680355e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.11178790804945e-10,-0.9935092329978943|-6.107103267538605e-09,1,1.5157103350205148e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.746552484391486e-09,-0.9935092329978943|-3.573406814894042e-08,1,8.868929590732932e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.678563645503345e-09,-0.9935092329978943|-6.533572616262973e-08,1,1.6215865983326694e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.260721393947506e-08,-0.9935092329978943|-9.491209596035333e-08,1,2.3556527395385274e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.6532508695377146e-08,-0.9935092329978943|-1.244631988583933e-07,1,3.089091649144393e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0784690473997216e-08,-0.9935092329978943|-8.119132388628714e-08,1,2.0151137647417272e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.172168445113698e-09,-0.9935092329978943|-1.635280000300554e-08,1,4.058671176920825e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.962189713632938e-10,-0.9935092329978943|5.2415809470574e-09,1,-1.3009014976361755e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.429317078726626e-09,-0.9935092329978943|4.8402675645320414e-08,1,-1.2013178007919123e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.215751677108301e-08,-0.9935092329978943|9.152690694236298e-08,1,-2.2716303504921598e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.3037570134599719e-08,-0.9935092329978943|9.815227031140239e-08,1,-2.436067703115441e-08|Running
