paralel|true|1828
-127.1050033569336,-180.92152404785156,-307.962646484375|0.6000160574913025,-3.9793932593568115e-09,0.7999879121780396|2.3388526670942156e-09,1,3.2201039612544946e-09|Running
-126.28829193115234,-180.40174865722656,-306.8731384277344|0.5998750925064087,8.142342977635053e-08,0.8000936508178711|-4.965969324643993e-08,1,-6.453471002032529e-08|Running
-125.47623443603516,-179.83839416503906,-305.787109375|0.5993771553039551,-4.46083241456563e-08,0.800466775894165|2.7310406380820496e-08,1,3.527827985294607e-08|Running
-124.8112564086914,-179.37203979492188,-304.91156005859375|0.601530909538269,-8.536523665725326e-08,0.7988495230674744|5.2136236661226576e-08,1,6.760181747722527e-08|Running
-123.97041320800781,-178.83859252929688,-303.842041015625|0.6100931763648987,1.335922803491485e-07,0.7923296689987183|-8.259285522171922e-08,1,-1.0501050695665981e-07|Running
-123.11272430419922,-178.29550170898438,-302.7846374511719|0.6208426356315613,1.2819457140267332e-07,0.7839351892471313|-8.073129009744662e-08,1,-9.95913183032826e-08|Running
-122.7885971069336,-178.0786895751953,-302.3899841308594|0.6239854693412781,1.303360050997071e-07,0.7814359664916992|-8.259434736146432e-08,1,-1.0083785895176334e-07|Running
-121.92234802246094,-177.5452423095703,-301.3392028808594|0.6305643320083618,1.196724355168044e-07,0.7761369943618774|-7.66508705396518e-08,1,-9.191564487309734e-08|Running
-121.49968719482422,-177.23312377929688,-300.82879638671875|0.6327468156814575,9.53950802795589e-08,0.7743587493896484|-6.134251862022211e-08,1,-7.306793747829943e-08|Running
-120.66895294189453,-176.61029052734375,-299.82586669921875|0.6356133818626404,7.93172958424293e-08,0.7720075249671936|-5.1428070690917593e-08,1,-6.03995715664496e-08|Running
-120.24530792236328,-176.2333526611328,-299.3167419433594|0.6367663145065308,5.616635334604325e-08,0.7710568308830261|-3.6520017232533064e-08,1,-4.268380138228167e-08|Running
-119.39324951171875,-175.60569763183594,-298.2930603027344|0.6384157538414001,9.321896499159266e-08,0.7696917057037354|-6.076333392002198e-08,1,-7.071233198985283e-08|Running
-118.94830322265625,-175.37586975097656,-297.7585144042969|0.6388490200042725,1.1717031611624407e-07,0.7693321704864502|-7.637730448095681e-08,1,-8.887806757229555e-08|Running
-118.06005096435547,-174.93072509765625,-296.6913757324219|0.6393539309501648,-7.826859160786626e-08,0.7689125537872314|5.102327804706874e-08,1,5.9365209637007865e-08|Running
-117.52305603027344,-174.55795288085938,-296.0492248535156|0.6400374174118042,-6.059759982690593e-08,0.7683437466621399|3.949994820118263e-08,1,4.59640006056361e-08|Running
-116.64986419677734,-174.00445556640625,-295.00518798828125|0.640896201133728,8.211052460183055e-08,0.7676275372505188|-5.356963228564382e-08,1,-6.224105675300962e-08|Running
-116.26211547851562,-173.7722930908203,-294.5416259765625|0.6410968899726868,7.981150673685988e-08,0.7674599885940552|-5.206828035397848e-08,1,-6.049917544714845e-08|Running
-115.3905258178711,-173.2637481689453,-293.5045471191406|0.6422597169876099,-2.47880951320667e-08,0.7664870619773865|1.6168650418535435e-08,1,1.8791736167145245e-08|Running
-114.97056579589844,-172.906005859375,-293.0048828125|0.6426180005073547,-6.296344423617484e-08,0.7661867141723633|4.105987372327036e-08,1,4.773983519612557e-08|Running
-114.13317108154297,-172.2633819580078,-292.0027160644531|0.6419683694839478,-1.29811482452169e-07,0.7667311429977417|8.46393035658366e-08,1,9.843832771139205e-08|Running
-113.80455780029297,-172.02481079101562,-291.609375|0.6417800188064575,-6.243602967970219e-08,0.7668887972831726|4.070965431424156e-08,1,4.734635439263002e-08|Running
-112.91529083251953,-171.5312957763672,-290.5329895019531|0.6392713785171509,1.1856545967248167e-07,0.7689812183380127|-7.721806838389966e-08,1,-8.999199963000137e-08|Running
-112.41661834716797,-171.2704315185547,-289.92913818359375|0.6383833885192871,4.1604764078329026e-08,0.769718587398529|-2.70185900319575e-08,1,-3.164344164474642e-08|Running
-111.55150604248047,-170.7882537841797,-288.8572082519531|0.6330703496932983,1.1701414592835135e-07,0.77409428358078|-7.548088376552187e-08,1,-8.943282381324025e-08|Running
-110.75287628173828,-170.2896728515625,-287.8540344238281|0.6278243660926819,1.237980882251577e-07,0.7783550024032593|-7.919804545508669e-08,1,-9.516945453924563e-08|Running
-109.97802734375,-169.74188232421875,-286.74066162109375|0.599218487739563,7.238577950374747e-07,0.8005855083465576|-4.4661985043603636e-07,1,-5.698765335182543e-07|Running
-109.24788665771484,-169.17918395996094,-285.5982666015625|0.5667123794555664,7.498735499211762e-07,0.8239156603813171|-4.38434000216148e-07,1,-6.085665518185124e-07|Running
-108.94002532958984,-168.86245727539062,-285.01287841796875|0.5408451557159424,0.0000018890747242039652,0.8411221504211426|-0.00000106388256426726,1,-0.0000015618170436937362|Running
-108.38473510742188,-168.20880126953125,-283.86822509765625|0.4854385256767273,0.0000019255455754318973,0.8742707967758179|-9.79351739260892e-07,1,-0.000001658674136706395|Running
-108.10970306396484,-167.49057006835938,-283.30169677734375|0.4666852355003357,3.8010693970136344e-07,0.8844234943389893|-1.8237503240925435e-07,1,-3.3354521633555123e-07|Running
-107.67160034179688,-166.51971435546875,-282.3888854980469|0.44787469506263733,1.9108944115941995e-07,0.894096314907074|-8.862289746502938e-08,1,-1.6933016411257995e-07|Running
-107.45368194580078,-165.71031188964844,-281.9480285644531|0.4452970623970032,6.552086517785938e-08,0.8953828811645508|-2.9137176227322925e-08,1,-5.868569274980473e-08|Running
-107.09735870361328,-164.6206512451172,-281.2374572753906|0.4466092586517334,-9.902755238044847e-08,0.8947290778160095|4.9698535065090255e-08,1,8.587149835648233e-08|Running
-106.84403228759766,-163.64205932617188,-280.7449951171875|0.4503835439682007,-4.591924351871057e-08,0.8928351998329163|2.730754644630906e-08,1,3.765574518865833e-08|Running
-106.46068572998047,-162.46917724609375,-280.03948974609375|0.46446582674980164,1.3136406096236897e-07,0.8855910301208496|-6.243365646696475e-08,1,-1.1559032486729848e-07|Running
-106.25968170166016,-161.7017364501953,-279.6702880859375|0.46877801418304443,1.2397200066516234e-07,0.8833159804344177|-5.946989034555372e-08,1,-1.0878759582055864e-07|Running
-105.84971618652344,-160.633544921875,-278.9173278808594|0.4740162193775177,1.1138505584540326e-07,0.8805161118507385|-5.4304976515595627e-08,1,-9.726525007636155e-08|Running
-105.58694458007812,-159.99188232421875,-278.4347229003906|0.47537291049957275,7.382854505522118e-08,0.8797844052314758|-3.611702226180569e-08,1,-6.440156141707121e-08|Running
-104.98979949951172,-159.10121154785156,-277.338134765625|0.47694721817970276,2.9060620576615293e-08,0.8789319396018982|-1.45634411197193e-08,1,-2.5160796113254946e-08|Running
-104.6192398071289,-158.773193359375,-276.6577453613281|0.4774267077445984,2.2676202249272137e-08,0.8786715865135193|-1.1646739572768183e-08,1,-1.947910632793537e-08|Running
-103.93887329101562,-158.35159301757812,-275.4085693359375|0.4779270589351654,1.8662136724856282e-08,0.8783994913101196|-1.0071063982763917e-08,1,-1.576606400988112e-08|Running
-103.24105072021484,-158.18325805664062,-274.1274719238281|0.4781610071659088,1.8207900964739565e-08,0.8782721757888794|-1.0252933613230653e-08,1,-1.5149458576502184e-08|Running
-102.85688018798828,-158.14637756347656,-273.39935302734375|0.4750622808933258,9.443242987572376e-08,0.8799521923065186|-4.7540041236970865e-08,1,-8.164983711367313e-08|Running
-102.4614028930664,-158.01763916015625,-271.9963073730469|0.3710040748119354,0.000007478122370230267,0.9286312460899353|-0.000003059612254219246,1,-0.000006830476195318624|Running
-102.1667251586914,-157.66781616210938,-270.61480712890625|0.2816188633441925,0.000003844019374810159,0.9595263600349426|-0.0000011960104302488617,1,-0.0000036551371067616856|Running
-101.91683959960938,-157.2468719482422,-269.221923828125|0.22246505320072174,0.0000015314516303988057,0.9749406576156616|-3.764750147183804e-07,1,-0.000001484909944338142|Running
-101.76453399658203,-157.12060546875,-268.4190673828125|0.2085806280374527,1.8296910297976865e-07,0.9780051708221436|-3.2591060517006554e-08,1,-1.8013322744536708e-07|Running
-101.45701599121094,-156.95150756835938,-266.99835205078125|0.20881646871566772,-5.656445267732124e-08,0.9779548645019531|5.512097889237566e-09,1,5.6662567970988675e-08|Running
-101.2162094116211,-156.65890502929688,-265.9647216796875|0.2156701534986496,1.0808276584839405e-07,0.9764662981033325|-2.5732202146855343e-08,1,-1.050042399697304e-07|Running
-100.80879974365234,-156.317626953125,-264.60589599609375|0.25263115763664246,7.858105277591676e-07,0.9675626754760742|-2.0267412992325262e-07,1,-7.592363431285776e-07|Running
-100.54742431640625,-155.81419372558594,-263.8471374511719|0.27788829803466797,8.245791605077102e-07,0.9606133699417114|-2.3360092882285244e-07,1,-7.908115549071226e-07|Running
-100.03565979003906,-155.07765197753906,-262.6240539550781|0.335538387298584,0.0000018316826526643126,0.9420265555381775|-6.163637067402306e-07,1,-0.0000017248653421120252|Running
-99.55823516845703,-154.7963409423828,-261.5573425292969|0.36944788694381714,8.036899430408084e-07,0.9292514324188232|-3.023532144652563e-07,1,-7.446705581060087e-07|Running
-98.90415954589844,-154.3896026611328,-260.31085205078125|0.4207850992679596,0.0000015376424471469363,0.9071603417396545|-6.5002842575268e-07,1,-0.0000013934914022684097|Running
-98.59217834472656,-154.29617309570312,-259.756103515625|0.4388248920440674,9.822605306908372e-07,0.8985726237297058|-4.354776308446162e-07,1,-8.804654498817399e-07|Running
-97.80785369873047,-154.20762634277344,-258.5188903808594|0.49066174030303955,0.0000016971970353552024,0.871350109577179|-8.349977065336134e-07,1,-0.0000014775870340599795|Running
-96.99472045898438,-154.2037353515625,-257.2987976074219|0.5269069075584412,7.415461595883244e-07,0.8499230146408081|-3.950291329601896e-07,1,-6.275892587837006e-07|Running
-96.09972381591797,-154.5162353515625,-256.1570739746094|0.5756233334541321,0.000001703979592093674,0.8177149295806885|-9.829359441937413e-07,1,-0.0000013919016055297107|Running
-95.12235260009766,-154.7521514892578,-255.08999633789062|0.6306235790252686,0.000002283804406033596,0.7760888338088989|-0.0000014399141718968167,1,-0.000001772684413481329|Running
-94.62931823730469,-154.8779296875,-254.5618896484375|0.6470261812210083,7.803588459864841e-07,0.7624678015708923|-5.094094603919075e-07,1,-5.911824700888246e-07|Running
-93.64241790771484,-155.2112274169922,-253.5295867919922|0.6713120341300964,4.712661052508338e-07,0.7411748170852661|-3.189925621427392e-07,1,-3.4691214523263625e-07|Running
-92.99793243408203,-155.6673583984375,-252.86337280273438|0.6811798214912415,1.5473595738058066e-07,0.732116162776947|-1.0686630247391804e-07,1,-1.1192319959718589e-07|Running
-92.07898712158203,-156.36924743652344,-251.957763671875|0.6979057192802429,2.623214641062077e-07,0.7161896824836731|-1.8480002950127528e-07,1,-1.8619157060584257e-07|Running
-91.5981674194336,-156.77621459960938,-251.48480224609375|0.7026963233947754,1.3606569382318412e-07,0.7114899158477783|-9.701877701218109e-08,1,-9.54208374537302e-08|Running
-90.59198760986328,-157.13418579101562,-250.49505615234375|0.7083995938301086,1.2316968422965147e-07,0.705811619758606|-8.837308484999085e-08,1,-8.581074695257485e-08|Running
-89.55888366699219,-157.21026611328125,-249.47891235351562|0.7110808491706848,9.238996057092663e-08,0.7031102776527405|-6.644424388468906e-08,1,-6.420434317533363e-08|Running
-88.57134246826172,-157.83482360839844,-248.5029754638672|0.7113549709320068,-4.3597964349828544e-08,0.7028329372406006|3.097149203767913e-08,1,3.0684731200381066e-08|Running
-88.15289306640625,-158.1811981201172,-248.08938598632812|0.7113339304924011,-1.0266504091305251e-07,0.7028542160987854|7.328243611937069e-08,1,7.190219264430198e-08|Running
-87.1540756225586,-158.48681640625,-247.10211181640625|0.7112675905227661,1.4920631841164322e-08,0.7029213309288025|-1.050505016308989e-08,1,-1.0596818533770147e-08|Running
-86.63919067382812,-158.52171325683594,-246.59317016601562|0.7112495303153992,9.160552849607484e-08,0.7029396295547485|-6.518292394730452e-08,1,-6.436428634515323e-08|Running
-85.61953735351562,-158.8224334716797,-245.58534240722656|0.7112279534339905,6.436646771135202e-10,0.7029614448547363|-5.517166168367282e-10,1,-3.574426310493095e-10|Running
-84.85811614990234,-159.38619995117188,-244.83619689941406|0.7118837237358093,-9.426221225794507e-08,0.7022973895072937|6.684490472252946e-08,1,6.646246220043395e-08|Running
-84.00621032714844,-160.2230987548828,-243.9983367919922|0.7124708294868469,5.062849695036675e-09,0.7017017006874084|-3.6707121786605512e-09,1,-3.4880554000693564e-09|Running
-83.53532409667969,-160.72608947753906,-243.5352020263672|0.7126349806785583,9.748544727017361e-08,0.7015349864959717|-6.928483742285607e-08,1,-6.857911216684442e-08|Running
-82.6590347290039,-161.5847625732422,-242.67323303222656|0.7127989530563354,1.2703014640180754e-08,0.7013684511184692|-8.958775055134538e-09,1,-9.006976497971664e-09|Running
-81.73209381103516,-162.3414764404297,-241.76150512695312|0.712875247001648,-7.119616896034131e-08,0.7012909054756165|5.0729521916537124e-08,1,4.995409597086109e-08|Running
-81.38180541992188,-162.79519653320312,-241.41696166992188|0.7128910422325134,-1.0776547298974037e-07,0.7012748122215271|7.67450032412853e-08,1,7.565456883185107e-08|Running
-80.65975952148438,-163.69400024414062,-240.7067108154297|0.7129114866256714,2.228884277144516e-08,0.7012540102005005|-1.5893624194518452e-08,1,-1.5626426375092706e-08|Running
-80.33753967285156,-164.1882781982422,-240.38978576660156|0.7129167914390564,1.0407991624106216e-07,0.7012486457824707|-7.414165992258859e-08,1,-7.304552696041355e-08|Running
-79.70640563964844,-165.659912109375,-239.76893615722656|0.7129228115081787,7.1061627693325136e-09,0.7012425065040588|-5.040073247641885e-09,1,-5.009650028142687e-09|Running
-79.29777526855469,-166.42755126953125,-239.36703491210938|0.7129250168800354,-5.937055647109446e-08,0.7012403011322021|4.2329826754894384e-08,1,4.162990308032022e-08|Running
-78.71577453613281,-167.60577392578125,-238.79461669921875|0.7129267454147339,-6.690115128549223e-08,0.7012385129928589|4.7681581349934277e-08,1,4.692793709182297e-08|Running
-78.04939270019531,-168.8121795654297,-238.1339569091797|0.7115232348442078,9.588908511659611e-08,0.7026625871658325|-6.851394118712051e-08,1,-6.70874271690991e-08|Running
-77.34065246582031,-169.8881378173828,-237.42074584960938|0.7080867290496826,1.0782272141796057e-07,0.7061254978179932|-7.766483633986354e-08,1,-7.481572339429476e-08|Running
-76.92784118652344,-170.45245361328125,-237.02035522460938|0.7104817628860474,1.1063873728289764e-07,0.7037156224250793|-7.97153276721474e-08,1,-7.67390204714502e-08|Running
-76.1749038696289,-171.5489501953125,-236.32394409179688|0.7228552103042603,1.6289945392600202e-07,0.6909995675086975|-1.1891630435911793e-07,1,-1.1134622468489397e-07|Running
-75.77313995361328,-172.00733947753906,-235.95298767089844|0.7266011834144592,1.16414888395866e-07,0.6870594620704651|-8.568400033936996e-08,1,-7.882402996983728e-08|Running
-74.95100402832031,-173.0274658203125,-235.1940155029297|0.7311346530914307,1.160571798664023e-07,0.6822332143783569|-8.596120437687205e-08,1,-7.799087597959442e-08|Running
-74.55860900878906,-173.30381774902344,-234.8317413330078|0.7321836948394775,1.0062341715411094e-07,0.681107223033905|-7.459276929466796e-08,1,-6.754855519375269e-08|Running
-73.64008331298828,-174.18931579589844,-233.98365783691406|0.7336057424545288,7.871845753015805e-08,0.6795753240585327|-5.849195972018606e-08,1,-5.2692350038796576e-08|Running
-73.04859924316406,-174.7433624267578,-233.4414825439453|0.7349078059196472,-2.253254827166984e-08,0.6781670451164246|1.6578361794472585e-08,1,1.5260223307222986e-08|Running
-72.21115112304688,-175.71279907226562,-232.67604064941406|0.7366533875465393,-5.596024621468132e-08,0.6762704849243164|4.0974640569402254e-08,1,3.811513238360931e-08|Running
-71.6651840209961,-176.2259979248047,-232.16506958007812|0.7348030805587769,1.7962417331318647e-08,0.6782805323600769|-1.4448549912060571e-08,1,-1.0829706020842877e-08|Running
-70.77470397949219,-177.166259765625,-231.32655334472656|0.731147289276123,1.0205371125948659e-07,0.6822196245193481|-7.525679279751785e-08,1,-6.893661463891476e-08|Running
-70.42228698730469,-177.4617919921875,-230.99461364746094|0.7303398847579956,8.581005772612116e-08,0.6830838918685913|-6.273206309970192e-08,1,-5.854965934304346e-08|Running
-69.46099853515625,-178.1117401123047,-230.09742736816406|0.7305961847305298,7.495631137999226e-08,0.6828097701072693|-5.3349022977045024e-08,1,-5.269361835757991e-08|Running
-68.97775268554688,-178.5571746826172,-229.66143798828125|0.7334770560264587,1.1669129662550404e-07,0.6797142028808594|-8.513913485330704e-08,1,-7.980367655591181e-08|Running
-68.01453399658203,-179.1309814453125,-228.79544067382812|0.7390484809875488,1.1597674642871425e-07,0.6736522316932678|-8.721282540591346e-08,1,-7.648195321507956e-08|Running
-67.38740539550781,-179.7556610107422,-228.1861114501953|0.7321234345436096,1.4839348239092942e-07,0.6811719536781311|-1.1040194891620558e-07,1,-9.919027377236489e-08|Running
-66.49577331542969,-180.39353942871094,-227.29774475097656|0.7194661498069763,1.581813933171361e-07,0.6945275068283081|-1.157118703076776e-07,1,-1.0788718185494872e-07|Running
-65.9803695678711,-180.77655029296875,-226.76670837402344|0.7123855948448181,1.5052965807171859e-07,0.7017882466316223|-1.0906120451181778e-07,1,-1.0378631998264609e-07|Running
-65.02901458740234,-181.36585998535156,-225.78384399414062|0.7031142115592957,1.2603004506672733e-07,0.7110769748687744|-9.005702139575078e-08,1,-8.81897221916006e-08|Running
-64.04316711425781,-181.7992401123047,-224.80303955078125|0.7053931355476379,4.249794827160258e-08,0.7088162899017334|-2.9712069249399065e-08,1,-3.038764972984609e-08|Running
-63.606815338134766,-181.99554443359375,-224.37551879882812|0.7074441313743591,1.0894319757426274e-07,0.7067692875862122|-7.727098960685908e-08,1,-7.679774682856078e-08|Running
-62.59131622314453,-182.37396240234375,-223.3872833251953|0.7124221324920654,1.1709080638411251e-07,0.701751172542572|-8.485780256251019e-08,1,-8.070699664131098e-08|Running
-62.270751953125,-182.47442626953125,-223.07554626464844|0.713386058807373,9.176198290106186e-08,0.7007712721824646|-6.654148165807783e-08,1,-6.320496481748705e-08|Running
-61.243629455566406,-182.7705078125,-222.07679748535156|0.7153502702713013,1.1553537149211479e-07,0.6987659931182861|-8.378776783501962e-08,1,-7.956563763400482e-08|Running
-60.54083251953125,-182.99510192871094,-221.38951110839844|0.715352475643158,-5.282434933917557e-09,0.6987637877464294|3.8296197324427794e-09,1,3.639151202605717e-09|Running
-59.51782989501953,-183.29830932617188,-220.38316345214844|0.714099645614624,-7.980209204561106e-08,0.7000440359115601|5.789369339481709e-08,1,5.49397256577322e-08|Running
-58.49873733520508,-183.4580078125,-219.34713745117188|0.707552433013916,1.2673228866333375e-07,0.7066608667373657|-9.119724353467973e-08,1,-8.802731343848791e-08|Running
-57.9945068359375,-183.4935760498047,-218.82008361816406|0.7032179236412048,1.3701126988507895e-07,0.7109743356704712|-9.792487531967708e-08,1,-9.585261295796954e-08|Running
-56.98613357543945,-183.62840270996094,-217.7636260986328|0.6962458491325378,1.1716302594777517e-07,0.7178033590316772|-8.285518759976185e-08,1,-8.285756791792664e-08|Running
-56.480953216552734,-183.6521759033203,-217.2338104248047|0.6942945718765259,9.698061376184341e-08,0.7196909189224243|-6.823296416769153e-08,1,-6.892796733382056e-08|Running
-55.4696044921875,-183.70758056640625,-216.17303466796875|0.6919374465942383,4.662528496623963e-08,0.7219574451446533|-3.251533442494292e-08,1,-3.341846266380344e-08|Running
-54.786285400390625,-183.65829467773438,-215.43222045898438|0.6870919466018677,1.259567312672516e-07,0.7265704870223999|-8.802673789887194e-08,1,-9.011413482085118e-08|Running
-53.799381256103516,-183.56710815429688,-214.35020446777344|0.6799399256706238,1.2696705198322888e-07,0.7332678437232971|-8.77651444852745e-08,1,-9.177005466654009e-08|Running
-53.31291580200195,-183.53018188476562,-213.8026885986328|0.6757148504257202,1.325603591340041e-07,0.7371631264686584|-9.114104670970846e-08,1,-9.62812691795989e-08|Running
-52.34273910522461,-183.45343017578125,-212.7055206298828|0.6684949398040771,1.2142227490130608e-07,0.7437166571617126|-8.256034078613084e-08,1,-8.905421822191784e-08|Running
-51.97929763793945,-183.41473388671875,-212.29449462890625|0.6669546961784363,9.944825052343731e-08,0.7450982928276062|-6.738012814366812e-08,1,-7.315646399774778e-08|Running
-51.02237319946289,-183.22119140625,-211.21217346191406|0.6644439697265625,6.308232514129486e-08,0.7473381161689758|-4.2359204144304385e-08,1,-4.67485996580308e-08|Running
-50.05768585205078,-182.9084014892578,-210.1601104736328|0.6700530052185059,1.1983310344021447e-07,0.7423132658004761|-8.132904127933216e-08,1,-8.801988826689922e-08|Running
-49.35310745239258,-182.7748565673828,-209.444580078125|0.6813068389892578,2.683444790818612e-07,0.7319979667663574|-1.8460529815911286e-07,1,-1.9477052148886287e-07|Running
-48.339046478271484,-183.02162170410156,-208.41880798339844|0.6934859752655029,1.3771179396826483e-07,0.720470130443573|-9.661473399091847e-08,1,-9.814540646857495e-08|Running
-47.95650100708008,-183.11097717285156,-208.03390502929688|0.6962717175483704,1.1832366908492986e-07,0.7177783250808716|-8.345077162630332e-08,1,-8.389674377440315e-08|Running
-47.01665115356445,-183.37451171875,-206.93943786621094|0.6743626594543457,5.448525257634174e-07,0.7384002804756165|-3.7593503066091216e-07,1,-3.9455017031286843e-07|Running
-46.5152473449707,-183.45755004882812,-206.3034210205078|0.6579317450523376,7.372941581706982e-07,0.7530775666236877|-4.972058036400995e-07,1,-5.446539148579177e-07|Running
-45.66996765136719,-183.90188598632812,-205.17088317871094|0.6262156367301941,8.026382829484646e-07,0.7796498537063599|-5.165039169696684e-07,1,-6.146289592834364e-07|Running
-44.81150817871094,-183.99859619140625,-203.98756408691406|0.6043494343757629,3.156793582093087e-07,0.7967193722724915|-1.9541813855994405e-07,1,-2.479901013430208e-07|Running
-44.04020309448242,-184.06497192382812,-202.74208068847656|0.5640771985054016,0.000001272540544050571,0.8257220387458801|-7.438627562805777e-07,1,-0.0000010329680435461341|Running
-43.66912078857422,-184.08233642578125,-202.11009216308594|0.5475082993507385,7.094653255990124e-07,0.8368002772331238|-4.009519614101009e-07,1,-5.854931259818841e-07|Running
-42.96696090698242,-184.1241912841797,-200.8231964111328|0.5112671256065369,8.755398539506132e-07,0.8594218492507935|-4.647367859433871e-07,1,-7.422841008519754e-07|Running
-42.62763977050781,-184.13258361816406,-200.17327880859375|0.49721190333366394,4.7219359089467616e-07,0.8676291704177856|-2.4285296262860356e-07,1,-4.050627353535674e-07|Running
-42.0328254699707,-184.14523315429688,-198.83282470703125|0.44982945919036865,0.0000014857876067253528,0.893114447593689|-7.024728461146879e-07,1,-0.0000013097925375404884|Running
-41.61758804321289,-184.1385955810547,-197.81423950195312|0.41966331005096436,8.465334531138069e-07,0.9076798558235168|-3.7169053257457563e-07,1,-7.607843031109951e-07|Running
-41.1347770690918,-184.1599884033203,-196.4296112060547|0.37174180150032043,0.0000013200714192862506,0.9283361434936523|-5.210384870224516e-07,1,-0.0000012133316431572894|Running
-40.9526252746582,-184.16831970214844,-195.91073608398438|0.36140361428260803,5.349007778931991e-07,0.9324094653129578|-2.0345426321455307e-07,1,-4.94816561058542e-07|Running
-40.45705795288086,-184.16000366210938,-194.5303955078125|0.3481336832046509,1.3573179558079573e-07,0.9374449253082275|-4.871267478279151e-08,1,-1.2669893578731717e-07|Running
-40.19129180908203,-184.13864135742188,-193.84793090820312|0.35075241327285767,9.759675378973043e-08,0.936468243598938|-4.376822460017138e-08,1,-8.782459559597555e-08|Running
-39.65605926513672,-184.05055236816406,-192.48609924316406|0.3588556945323944,1.1837874325237863e-07,0.9333930611610413|-4.1354876856303235e-08,1,-1.109268055188295e-07|Running
-39.27311706542969,-183.99363708496094,-191.55352783203125|0.3665468096733093,1.428591502872223e-07,0.9303995966911316|-5.428719873634691e-08,1,-1.3215863248206006e-07|Running
-38.72237014770508,-183.7785186767578,-190.21737670898438|0.3746626675128937,1.1852630166231393e-07,0.9271612167358398|-4.576174816861567e-08,1,-1.093456916123614e-07|Running
-38.14329147338867,-183.70065307617188,-188.87429809570312|0.3859892785549164,1.3543993304665491e-07,0.9225032925605774|-5.374545253289398e-08,1,-1.2432992946287413e-07|Running
-37.90456008911133,-183.687744140625,-188.3791046142578|0.39517372846603394,3.1123292387746915e-07,0.9186064004898071|-1.256383512782122e-07,1,-2.847617395218549e-07|Running
-37.27159118652344,-183.60736083984375,-187.05853271484375|0.41555896401405334,2.120913080716491e-07,0.9095662236213684|-9.011998969299384e-08,1,-1.9200486178760912e-07|Running
-36.81081008911133,-183.83837890625,-186.17433166503906|0.432852566242218,3.857230979065207e-07,0.9014647006988525|-1.6973719141333277e-07,1,-3.4638284773791383e-07|Running
-36.191619873046875,-184.41432189941406,-184.9271240234375|0.4404996335506439,-3.8319832640354434e-08,0.8977527618408203|1.0687031704037508e-08,1,3.7440372580022085e-08|Running
-35.577171325683594,-184.71925354003906,-183.63771057128906|0.43575161695480347,9.828555391777627e-08,0.9000669717788696|-5.721232909650098e-08,1,-8.149970653903438e-08|Running
-35.035701751708984,-184.99574279785156,-182.30320739746094|0.4053898751735687,6.173581823532004e-07,0.9141438603401184|-2.622982719913125e-07,1,-5.590204636973795e-07|Running
-34.6550407409668,-185.21267700195312,-181.19512939453125|0.37076953053474426,0.0000010635528724378673,0.9287248849868774|-4.1785131088545313e-07,1,-9.783590257939068e-07|Running
-34.54810333251953,-185.3470916748047,-180.7887420654297|0.351911336183548,0.0000017149762925328105,0.9360333681106567|-6.442169819820265e-07,1,-0.0000015899744312264374|Running
-34.47332000732422,-185.51593017578125,-180.4691619873047|0.3353995084762573,0.000002251463001812226,0.9420759677886963|-8.146309937728802e-07,1,-0.000002099869107041741|Running
-34.413673400878906,-185.73927307128906,-180.14523315429688|0.31565141677856445,0.0000028956681035197107,0.9488752484321594|-9.959217095456552e-07,1,-0.000002720383008636418|Running
-34.336551666259766,-186.1436004638672,-179.66375732421875|0.284371554851532,0.000003603563754950301,0.9587141275405884|-0.0000011356879667800968,1,-0.000003421881729082088|Running
-34.14634323120117,-186.55938720703125,-178.3151092529297|0.20677119493484497,0.000002917417987191584,0.978389322757721|-6.869415756227681e-07,1,-0.000002836681005646824|Running
-34.05421829223633,-186.9188232421875,-177.57199096679688|0.17857058346271515,0.0000010466254707353073,0.9839271306991577|-2.0866228567228973e-07,1,-0.0000010258529528073268|Running
-34.02592849731445,-187.38914489746094,-177.015380859375|0.14956317842006683,0.000002061157374555478,0.9887521862983704|-3.6152562188362936e-07,1,-0.0000020299185052863322|Running
-34.01504898071289,-187.86534118652344,-176.3859100341797|0.11391337960958481,0.0000024585151550127193,0.9934906959533691|-3.5148474353263737e-07,1,-0.0000024343221411982086|Running
-34.02217102050781,-188.17660522460938,-175.59780883789062|0.07206130027770996,0.0000020572513221850386,0.9974002242088318|-2.030825356769128e-07,1,-0.00000204794127967034|Running
-34.047630310058594,-188.59800720214844,-175.03143310546875|0.043873049318790436,0.0000019357942164788255,0.9990370869636536|-1.363392954090159e-07,1,-0.000001931672613864066|Running
-34.08061218261719,-189.06979370117188,-174.54013061523438|0.02097017504274845,0.0000017553970792505424,0.9997801184654236|-8.256798622596762e-08,1,-0.0000017540513681524317|Running
-34.13148880004883,-189.224853515625,-173.9223175048828|-0.0037576318718492985,0.000001481227968724852,0.9999929666519165|-3.1252817223048623e-08,1,-0.0000014813558664172888|Running
-34.19089126586914,-189.35842895507812,-173.30735778808594|-0.02611314132809639,0.0000012103324706913554,0.99965900182724|2.8818540886987876e-09,1,-0.0000012106700069125509|Running
-34.24631118774414,-189.5952911376953,-172.78411865234375|-0.042772430926561356,9.406266485711967e-07,0.9990848302841187|1.9053175037697656e-08,1,-9.406725212102174e-07|Running
-34.324710845947266,-189.772216796875,-172.08782958984375|-0.06186043098568916,6.577018325515382e-07,0.9980847835540771|2.705158408389252e-08,1,-6.572872166543675e-07|Running
