paralel|true|1828
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,2.4145922594698277e-08,-0.26968708634376526|-2.750898708825389e-08,1,-8.690816954981528e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-8.788410355009546e-08,-0.26968708634376526|1.0012467299702621e-07,1,3.163203032841011e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.3032242779663648e-09,-0.26968708634376526|2.6240172257274708e-09,1,8.289896546997966e-10|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,6.912699745953432e-08,-0.26968708634376526|-7.875507179733177e-08,1,-2.488083161722443e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.43475835656659e-08,-0.26968708634376526|1.6345925502037062e-08,1,5.164104255328539e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.632697591157921e-08,-0.26968708634376526|7.556506176342737e-08,1,2.3873017340747538e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,2.7356842124959257e-08,-0.26968708634376526|-3.1167129321829634e-08,1,-9.846536919155824e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,5.5741587345892185e-08,-0.26968708634376526|-6.350532544274756e-08,1,-2.0063037453610377e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-7.595316731112689e-08,-0.26968708634376526|8.653201177821757e-08,1,2.733782444863664e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.8053225520352498e-08,-0.26968708634376526|3.196050712972465e-08,1,1.00971808691952e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,7.458943684923725e-08,-0.26968708634376526|-8.49783603484866e-08,1,-2.684704014654926e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.0467379185641335e-09,-0.26968708634376526|1.1925370690946124e-09,1,3.7678221653791866e-10|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-7.203838237046511e-08,-0.26968708634376526|8.207199186927028e-08,1,2.592888037611374e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,3.272867843406857e-08,-0.26968708634376526|-3.7287186671619565e-08,1,-1.1780105779735095e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,5.518504408996705e-08,-0.26968708634376526|-6.287130815962882e-08,1,-1.9862861577735202e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-4.8985501877041315e-08,-0.26968708634376526|5.580828243978431e-08,1,1.763145363042895e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.880747729250288e-08,-0.26968708634376526|3.2819830408925554e-08,1,1.0368728098342217e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,7.196221929461899e-08,-0.26968708634376526|-8.198524881208868e-08,1,-2.5901545797069048e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.1901957459344885e-09,-0.26968708634376526|-4.773813788716552e-09,1,-1.5081885740286793e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-9.115605337228772e-08,-0.26968708634376526|1.0385243598420857e-07,1,3.281004268274046e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,2.7179849482195095e-08,-0.26968708634376526|-3.0965516373271385e-08,1,-9.782939791591616e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.1961314423133445e-08,-0.26968708634376526|-4.780576645657675e-08,1,-1.510326441689358e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.376244800927907e-08,-0.26968708634376526|2.7072131203453864e-08,1,8.552902386327332e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.79251002111414e-08,-0.26968708634376526|7.73858488400947e-08,1,2.4448512547792234e-08|Running
